entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-01,2020-01-02,12200,75,YES,,,2,0,0,4,2,16.50,1237.50,120.00,1117.50,0,0,0,0,0,0.76
2020-01-03,2020-01-08,2020-01-09,12250,75,YES,,,5,3,2,10,4,-138.95,-10421.25,300.00,-10721.25,0,4,0,0,0,0.79
2020-01-10,2020-01-15,2020-01-16,12250,75,YES,,,3,1,0,6,3,54.90,4117.50,180.00,3937.50,0,6,0,0,0,0.96
2020-01-17,2020-01-22,2020-01-23,12350,75,YES,,,4,2,0,8,4,-56.15,-4211.25,240.00,-4451.25,0,0,0,6,0,0.80
2020-01-24,2020-01-29,2020-01-30,12150,75,YES,,,3,1,1,6,3,28.15,2111.25,180.00,1931.25,0,4,0,0,0,0.75
2020-01-31,2020-02-05,2020-02-06,12050,75,YES,,,5,3,2,10,4,43.60,3270.00,300.00,2970.00,5,3,0,4,0,0.94
2020-02-07,2020-02-12,2020-02-13,12150,75,YES,,,4,2,2,8,3,25.30,1897.50,240.00,1657.50,0,4,0,0,0,0.50
2020-02-14,2020-02-19,2020-02-20,12250,75,YES,,,4,2,0,8,4,53.85,4038.75,240.00,3798.75,2,1,0,7,0,0.88
2020-02-24,2020-02-26,2020-02-27,11950,75,YES,,,4,2,0,8,4,-40.15,-3011.25,240.00,-3251.25,0,4,0,2,0,0.67
2020-02-28,2020-03-04,2020-03-05,11350,75,YES,,,5,3,3,10,4,51.25,3843.75,300.00,3543.75,1,0,0,0,0,0.88
2020-03-06,2020-03-11,2020-03-12,10900,75,YES,,,4,2,0,8,4,96.60,7245.00,240.00,7005.00,0,1,0,4,0,0.93
2020-03-13,2020-03-18,2020-03-19,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-20,2020-03-25,2020-03-26,8350,75,YES,,,6,4,3,12,4,-134.10,-10057.50,360.00,-10417.50,10,0,0,0,0,0.94
2020-03-27,2020-03-31,2020-04-01,8950,75,YES,,,4,2,0,8,4,521.10,39082.50,240.00,38842.50,8,0,0,4,0,0.88
2020-04-03,2020-04-08,2020-04-09,8150,75,YES,,,4,2,0,8,4,52.65,3948.75,240.00,3708.75,8,0,0,4,0,0.87
2020-04-13,2020-04-15,2020-04-16,9100,75,YES,,,4,2,1,8,3,67.85,5088.75,240.00,4848.75,0,1,0,0,0,0.81
2020-04-17,2020-04-22,2020-04-23,9250,75,YES,,,4,2,2,8,4,119.60,8970.00,240.00,8730.00,4,1,0,0,0,0.85
2020-04-24,2020-04-29,2020-04-30,9200,75,YES,,,4,2,0,8,4,67.45,5058.75,240.00,4818.75,0,0,0,3,0,0.83
2020-05-04,2020-05-06,2020-05-07,9450,75,YES,,,5,3,1,10,4,157.50,11812.50,300.00,11512.50,1,0,0,0,0,0.81
