entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-02,2020-01-02,12200,75,YES,,,2,0,0,4,2,-14.60,-1095.00,120.00,-1215.00,0,0,0,0,0,0.76
2020-01-03,2020-01-09,2020-01-09,12250,75,YES,,,6,4,2,12,4,-304.25,-22818.75,360.00,-23178.75,3,6,0,9,0,0.79
2020-01-10,2020-01-16,2020-01-16,12250,75,YES,,,3,1,0,6,3,70.00,5250.00,180.00,5070.00,0,14,0,0,0,0.96
2020-01-17,2020-01-23,2020-01-23,12350,75,YES,,,4,2,0,8,4,22.25,1668.75,240.00,1428.75,1,1,0,14,0,0.80
2020-01-24,2020-01-30,2020-01-30,12150,75,YES,,,4,2,1,8,3,-0.80,-60.00,240.00,-300.00,0,10,0,0,0,0.75
2020-01-31,2020-02-06,2020-02-06,12050,75,YES,,,6,3,3,12,4,99.80,7485.00,360.00,7125.00,4,2,1,10,0,0.94
2020-02-07,2020-02-13,2020-02-13,12150,75,YES,,,7,5,4,14,4,54.35,4076.25,420.00,3656.25,0,12,0,0,0,0.50
2020-02-14,2020-02-20,2020-02-20,12250,75,YES,,,4,2,0,8,4,52.25,3918.75,240.00,3678.75,8,6,0,17,0,0.88
2020-02-24,2020-02-27,2020-02-27,11950,75,YES,,,6,2,0,12,4,1.55,116.25,360.00,-243.75,0,5,2,6,0,0.67
2020-02-28,2020-03-05,2020-03-05,11350,75,YES,,,6,4,4,12,4,47.35,3551.25,360.00,3191.25,1,2,0,0,0,0.88
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,6,2,0,12,4,-596.55,-44741.25,360.00,-45101.25,0,1,2,9,0,0.93
2020-03-13,2020-03-19,2020-03-19,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-20,2020-03-26,2020-03-26,8350,75,YES,,,9,6,4,18,4,285.50,21412.50,540.00,20872.50,21,1,1,0,0,0.94
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,6,2,1,12,4,685.40,51405.00,360.00,51045.00,16,0,2,3,0,0.88
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,4,2,0,8,4,-302.25,-22668.75,240.00,-22908.75,17,0,0,12,0,0.87
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,6,4,3,12,3,306.70,23002.50,360.00,22642.50,0,2,0,0,0,0.81
2020-04-17,2020-04-23,2020-04-23,9250,75,YES,,,5,2,2,10,4,107.90,8092.50,300.00,7792.50,4,1,1,0,0,0.85
2020-04-24,2020-04-30,2020-04-30,9200,75,YES,,,5,3,1,10,4,-250.60,-18795.00,300.00,-19095.00,0,1,0,8,0,0.83
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,6,3,2,12,4,233.65,17523.75,360.00,17163.75,3,0,1,0,0,0.81
2020-05-08,2020-05-14,2020-05-14,9350,75,YES,,,9,6,6,18,4,-174.25,-13068.75,540.00,-13608.75,6,1,1,0,0,0.90
2020-05-15,2020-05-21,2020-05-21,9100,75,YES,,,7,4,3,14,4,221.80,16635.00,420.00,16215.00,1,0,1,0,0,0.91
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,5,3,1,10,4,-133.35,-10001.25,300.00,-10301.25,1,0,0,3,0,1.00
2020-05-29,2020-06-04,2020-06-04,9450,75,YES,,,7,3,1,14,4,78.95,5921.25,420.00,5501.25,15,0,2,10,0,0.70
