entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-02,2020-01-02,12200,75,YES,,,2,0,0,4,2,-14.60,-1095.00,120.00,-1215.00,0,0,0,0,0,0.76
2020-01-03,2020-01-09,2020-01-09,12250,75,YES,,,6,4,2,12,4,-304.25,-22818.75,360.00,-23178.75,3,4,0,5,0,0.79
2020-01-10,2020-01-16,2020-01-16,12250,75,YES,,,3,1,0,6,3,70.00,5250.00,180.00,5070.00,0,11,0,0,0,0.96
2020-01-17,2020-01-23,2020-01-23,12350,75,YES,,,4,2,0,8,4,22.25,1668.75,240.00,1428.75,1,0,0,14,0,0.80
2020-01-24,2020-01-30,2020-01-30,12150,75,YES,,,3,1,1,6,3,-23.70,-1777.50,180.00,-1957.50,0,8,0,0,0,0.75
2020-01-31,2020-02-06,2020-02-06,12050,75,YES,,,4,2,2,8,4,155.80,11685.00,240.00,11445.00,4,2,0,11,0,0.94
2020-02-07,2020-02-13,2020-02-13,12150,75,YES,,,6,4,3,12,3,68.50,5137.50,360.00,4777.50,0,9,0,0,0,0.50
2020-02-14,2020-02-20,2020-02-20,12250,75,YES,,,4,2,0,8,4,52.25,3918.75,240.00,3678.75,8,4,0,17,0,0.88
2020-02-24,2020-02-27,2020-02-27,11950,75,YES,,,4,2,0,8,4,-84.95,-6371.25,240.00,-6611.25,0,5,0,7,0,0.67
2020-02-28,2020-03-05,2020-03-05,11350,75,YES,,,6,4,4,12,4,40.45,3033.75,360.00,2673.75,1,1,0,0,0,0.88
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,4,2,0,8,4,-800.50,-60037.50,240.00,-60277.50,0,1,0,10,0,0.93
2020-03-13,2020-03-19,2020-03-19,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-20,2020-03-26,2020-03-26,8350,75,YES,,,7,4,3,14,4,382.70,28702.50,420.00,28282.50,21,1,1,1,0,0.94
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,5,2,0,10,4,547.60,41070.00,300.00,40770.00,15,0,1,2,0,0.88
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,4,2,0,8,4,-302.25,-22668.75,240.00,-22908.75,17,0,0,12,0,0.87
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,5,3,2,10,3,334.35,25076.25,300.00,24776.25,0,1,0,0,0,0.81
2020-04-17,2020-04-23,2020-04-23,9250,75,YES,,,4,2,2,8,4,209.90,15742.50,240.00,15502.50,4,1,0,2,0,0.85
2020-04-24,2020-04-30,2020-04-30,9200,75,YES,,,4,2,0,8,4,-245.50,-18412.50,240.00,-18652.50,0,1,0,8,0,0.83
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,6,3,1,12,4,261.05,19578.75,360.00,19218.75,2,0,1,0,0,0.81
