entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-02,2020-01-02,12200,75,YES,,,2,0,0,4,2,-31.10,-2332.50,120.00,-2452.50,0,6,0,0,0,0.65
2020-01-03,2020-01-06,2020-01-09,12250,75,YES,,,5,2,0,10,4,-56.05,-4203.75,300.00,-4503.75,0,2,1,3,0,0.66
2020-01-06,2020-01-07,2020-01-09,12000,75,YES,,,3,1,1,6,3,-20.45,-1533.75,180.00,-1713.75,0,3,0,0,0,0.84
2020-01-07,2020-01-08,2020-01-09,12050,75,YES,,,4,2,1,8,3,-28.45,-2133.75,240.00,-2373.75,0,3,0,0,0,0.60
2020-01-08,2020-01-09,2020-01-09,12050,75,YES,,,3,1,0,6,3,-50.20,-3765.00,180.00,-3945.00,0,7,0,0,0,0.51
2020-01-10,2020-01-13,2020-01-16,12250,75,YES,,,3,1,0,6,3,14.25,1068.75,180.00,888.75,0,0,0,0,0,0.95
2020-01-13,2020-01-14,2020-01-16,12350,75,YES,,,3,1,1,6,3,22.60,1695.00,180.00,1515.00,0,0,0,0,0,0.67
2020-01-14,2020-01-15,2020-01-16,12350,75,YES,,,2,0,0,4,2,27.10,2032.50,120.00,1912.50,0,6,0,0,0,0.90
2020-01-15,2020-01-16,2020-01-16,12350,75,YES,,,2,0,0,4,2,58.45,4383.75,120.00,4263.75,0,5,0,0,0,0.92
2020-01-17,2020-01-20,2020-01-23,12350,75,YES,,,3,1,0,6,3,-11.65,-873.75,180.00,-1053.75,0,3,0,0,0,0.91
2020-01-20,2020-01-21,2020-01-23,12250,75,YES,,,3,1,0,6,3,8.45,633.75,180.00,453.75,0,3,0,0,0,0.99
2020-01-21,2020-01-22,2020-01-23,12150,75,YES,,,2,0,0,4,2,20.10,1507.50,120.00,1387.50,0,4,0,0,0,0.48
2020-01-22,2020-01-23,2020-01-23,12100,75,YES,,,3,1,1,6,3,-5.85,-438.75,180.00,-618.75,1,5,0,0,0,0.69
2020-01-24,2020-01-27,2020-01-30,12250,75,YES,,,3,1,0,6,3,-22.65,-1698.75,180.00,-1878.75,0,3,0,0,0,0.72
2020-01-27,2020-01-28,2020-01-30,12100,75,YES,,,3,1,1,6,3,-2.55,-191.25,180.00,-371.25,0,0,0,0,0,0.69
2020-01-28,2020-01-29,2020-01-30,12050,75,YES,,,4,2,0,8,4,32.50,2437.50,240.00,2197.50,0,1,0,5,0,0.58
2020-01-29,2020-01-30,2020-01-30,12150,75,YES,,,3,1,0,6,3,-22.25,-1668.75,180.00,-1848.75,0,7,0,0,0,0.46
2020-01-31,2020-02-01,2020-02-06,11950,75,YES,,,4,2,0,8,4,19.20,1440.00,240.00,1200.00,0,0,0,0,0,0.86
2020-02-01,2020-02-03,2020-02-06,11650,75,YES,,,2,0,0,4,2,53.80,4035.00,120.00,3915.00,0,0,0,0,0,0.80
2020-02-03,2020-02-04,2020-02-06,11700,75,YES,,,4,2,0,8,4,-75.45,-5658.75,240.00,-5898.75,0,1,0,4,0,0.81
2020-02-04,2020-02-05,2020-02-06,12000,75,YES,,,3,1,1,6,3,9.35,701.25,180.00,521.25,0,2,0,0,0,0.38
2020-02-05,2020-02-06,2020-02-06,12100,75,YES,,,3,1,0,6,3,35.70,2677.50,180.00,2497.50,0,3,0,0,0,0.61
2020-02-07,2020-02-10,2020-02-13,12100,75,YES,,,3,1,0,6,3,18.55,1391.25,180.00,1211.25,0,5,0,0,0,0.78
2020-02-10,2020-02-11,2020-02-13,12050,75,YES,,,3,1,0,6,3,1.05,78.75,180.00,-101.25,0,5,0,0,0,0.73
2020-02-11,2020-02-12,2020-02-13,12100,75,YES,,,3,1,0,6,3,-21.75,-1631.25,180.00,-1811.25,0,7,0,0,0,0.89
2020-02-12,2020-02-13,2020-02-13,12200,75,YES,,,2,0,0,4,2,38.25,2868.75,120.00,2748.75,0,6,0,0,0,0.74
2020-02-14,2020-02-17,2020-02-20,12100,75,YES,,,3,1,1,6,3,5.15,386.25,180.00,206.25,0,0,0,0,0,0.72
2020-02-17,2020-02-18,2020-02-20,12050,75,YES,,,4,2,0,8,4,-3.00,-225.00,240.00,-465.00,0,1,0,3,0,0.70
2020-02-18,2020-02-19,2020-02-20,12000,75,YES,,,4,2,0,8,4,-8.40,-630.00,240.00,-870.00,0,0,0,5,0,0.80
2020-02-19,2020-02-20,2020-02-20,12150,75,YES,,,2,0,0,4,2,0.10,7.50,120.00,-112.50,0,6,0,0,0,0.54
2020-02-24,2020-02-25,2020-02-27,11800,75,YES,,,3,1,1,6,3,28.65,2148.75,180.00,1968.75,0,1,0,0,0,0.76
2020-02-25,2020-02-26,2020-02-27,11800,75,YES,,,4,2,0,8,4,39.85,2988.75,240.00,2748.75,0,3,0,1,0,0.74
2020-02-26,2020-02-27,2020-02-27,11700,75,YES,,,2,0,0,4,2,23.80,1785.00,120.00,1665.00,0,6,0,0,0,0.97
2020-02-28,2020-03-02,2020-03-05,11200,75,YES,,,4,2,0,8,4,-113.40,-8505.00,240.00,-8745.00,0,1,0,0,0,0.97
2020-03-02,2020-03-03,2020-03-05,11150,75,YES,,,4,2,1,8,3,-3.90,-292.50,240.00,-532.50,0,0,0,0,0,0.96
2020-03-03,2020-03-04,2020-03-05,11350,75,YES,,,4,2,0,8,4,22.25,1668.75,240.00,1428.75,0,2,0,2,0,0.76
2020-03-04,2020-03-05,2020-03-05,11250,75,YES,,,5,3,3,10,4,66.45,4983.75,300.00,4683.75,0,3,0,1,0,0.91
2020-03-06,2020-03-09,2020-03-12,11000,75,YES,,,6,2,0,12,4,-13.45,-1008.75,360.00,-1368.75,0,0,2,2,0,0.69
2020-03-09,2020-03-11,2020-03-12,10450,75,YES,,,2,0,0,4,2,133.75,10031.25,120.00,9911.25,0,0,0,0,0,0.99
2020-03-11,2020-03-12,2020-03-12,10450,75,YES,,,3,1,0,6,3,-690.15,-51761.25,180.00,-51941.25,8,7,0,0,0,0.93
2020-03-13,2020-03-16,2020-03-19,9950,75,YES,,,5,2,0,10,4,-235.30,-17647.50,300.00,-17947.50,8,0,1,0,0,0.84
2020-03-16,2020-03-17,2020-03-19,9200,75,YES,,,2,0,0,4,2,175.10,13132.50,120.00,13012.50,0,0,0,0,0,0.85
2020-03-17,2020-03-18,2020-03-19,8950,75,YES,,,4,2,0,8,4,132.85,9963.75,240.00,9723.75,0,0,0,2,0,0.92
2020-03-18,2020-03-19,2020-03-19,8450,75,YES,,,5,3,3,10,4,-130.90,-9817.50,300.00,-10117.50,0,1,0,2,0,0.97
2020-03-20,2020-03-23,2020-03-26,8800,75,YES,,,4,2,0,8,4,-356.85,-26763.75,240.00,-27003.75,5,1,0,5,0,0.89
2020-03-23,2020-03-24,2020-03-26,7600,75,YES,,,4,2,1,8,3,-252.80,-18960.00,240.00,-19200.00,1,0,0,0,0,0.92
2020-03-24,2020-03-25,2020-03-26,7800,75,YES,,,4,2,0,8,4,75.65,5673.75,240.00,5433.75,0,0,0,0,0,0.81
2020-03-25,2020-03-26,2020-03-26,8300,75,YES,,,5,3,3,10,4,155.35,11651.25,300.00,11351.25,0,1,0,0,0,0.81
2020-03-27,2020-03-30,2020-04-01,8700,75,YES,,,4,2,0,8,4,278.70,20902.50,240.00,20662.50,0,0,0,0,0,0.84
2020-03-30,2020-03-31,2020-04-01,8250,75,YES,,,5,2,0,10,4,163.85,12288.75,300.00,11988.75,4,0,1,2,0,0.97
2020-03-31,2020-04-01,2020-04-01,8600,75,YES,,,3,1,0,6,3,-21.65,-1623.75,180.00,-1803.75,0,6,0,0,0,0.86
2020-04-03,2020-04-07,2020-04-09,8100,75,YES,,,4,2,0,8,4,-246.90,-18517.50,240.00,-18757.50,0,0,0,4,0,0.83
2020-04-07,2020-04-08,2020-04-09,8800,75,YES,,,3,1,1,6,3,46.55,3491.25,180.00,3311.25,0,1,0,0,0,0.82
2020-04-08,2020-04-09,2020-04-09,8750,75,YES,,,4,2,0,8,4,-26.25,-1968.75,240.00,-2208.75,1,1,0,4,0,0.83
2020-04-13,2020-04-15,2020-04-16,9000,75,YES,,,6,3,2,12,4,99.80,7485.00,360.00,7125.00,0,1,1,0,0,0.94
2020-04-15,2020-04-16,2020-04-16,8950,75,YES,,,5,3,2,10,4,142.25,10668.75,300.00,10368.75,0,2,0,0,0,0.82
2020-04-17,2020-04-20,2020-04-23,9300,75,YES,,,2,0,0,4,2,58.50,4387.50,120.00,4267.50,0,0,0,0,0,0.91
2020-04-20,2020-04-21,2020-04-23,9250,75,YES,,,4,2,0,8,4,-2.10,-157.50,240.00,-397.50,2,1,0,2,0,0.99
2020-04-21,2020-04-22,2020-04-23,9000,75,YES,,,3,1,0,6,3,64.75,4856.25,180.00,4676.25,0,1,0,0,0,0.76
2020-04-22,2020-04-23,2020-04-23,9200,75,YES,,,3,1,0,6,3,82.70,6202.50,180.00,6022.50,0,4,0,0,0,0.65
2020-04-24,2020-04-27,2020-04-30,9150,75,YES,,,4,2,0,8,4,22.40,1680.00,240.00,1440.00,2,0,0,0,0,0.93
2020-04-27,2020-04-28,2020-04-30,9300,75,YES,,,3,1,0,6,3,58.80,4410.00,180.00,4230.00,0,0,0,0,0,0.94
2020-04-28,2020-04-29,2020-04-30,9400,75,YES,,,5,2,0,10,4,29.05,2178.75,300.00,1878.75,0,1,1,0,0,0.92
2020-04-29,2020-04-30,2020-04-30,9550,75,YES,,,4,2,0,8,4,-155.20,-11640.00,240.00,-11880.00,2,0,0,6,0,0.85
2020-05-04,2020-05-05,2020-05-07,9300,75,YES,,,3,1,1,6,3,68.85,5163.75,180.00,4983.75,0,0,0,0,0,0.86
2020-05-05,2020-05-06,2020-05-07,9200,75,YES,,,3,1,0,6,3,82.55,6191.25,180.00,6011.25,0,1,0,0,0,0.95
2020-05-06,2020-05-07,2020-05-07,9250,75,YES,,,3,1,1,6,3,121.70,9127.50,180.00,8947.50,0,4,0,0,0,0.81
2020-05-08,2020-05-11,2020-05-14,9250,75,YES,,,3,1,1,6,3,47.75,3581.25,180.00,3401.25,0,0,0,0,0,0.90
2020-05-11,2020-05-12,2020-05-14,9250,75,YES,,,4,2,2,8,4,-38.30,-2872.50,240.00,-3112.50,0,1,0,0,0,0.83
2020-05-12,2020-05-13,2020-05-14,9200,75,YES,,,5,3,2,10,4,-168.40,-12630.00,300.00,-12930.00,0,0,0,0,0,0.92
2020-05-13,2020-05-14,2020-05-14,9400,75,YES,,,4,2,0,8,4,58.20,4365.00,240.00,4125.00,0,1,0,6,0,0.98
2020-05-15,2020-05-18,2020-05-21,9150,75,YES,,,4,2,0,8,4,-24.50,-1837.50,240.00,-2077.50,3,0,0,0,0,0.89
2020-05-18,2020-05-19,2020-05-21,8800,75,YES,,,4,2,1,8,4,45.40,3405.00,240.00,3165.00,0,0,0,0,0,0.85
2020-05-19,2020-05-20,2020-05-21,8900,75,YES,,,3,1,0,6,3,34.60,2595.00,180.00,2415.00,0,1,0,0,0,0.90
2020-05-20,2020-05-21,2020-05-21,9100,75,YES,,,3,1,1,6,3,76.55,5741.25,180.00,5561.25,0,4,0,0,0,0.68
2020-05-22,2020-05-26,2020-05-28,9050,75,YES,,,3,1,1,6,3,27.40,2055.00,180.00,1875.00,0,0,0,0,0,0.99
2020-05-26,2020-05-27,2020-05-28,9050,75,YES,,,4,2,0,8,4,-66.45,-4983.75,240.00,-5223.75,0,0,0,1,0,0.90
2020-05-27,2020-05-28,2020-05-28,9300,75,YES,,,4,2,0,8,4,-35.70,-2677.50,240.00,-2917.50,0,2,0,4,0,0.69
2020-05-29,2020-06-01,2020-06-04,9600,75,YES,,,5,2,1,10,4,-29.15,-2186.25,300.00,-2486.25,0,1,1,0,0,0.42
2020-06-01,2020-06-02,2020-06-04,9800,75,YES,,,4,2,0,8,4,41.10,3082.50,240.00,2842.50,0,0,0,0,0,0.91
2020-06-02,2020-06-03,2020-06-04,10000,75,YES,,,4,2,0,8,4,34.60,2595.00,240.00,2355.00,0,2,0,1,0,0.66
2020-06-03,2020-06-04,2020-06-04,10050,75,YES,,,2,0,0,4,2,97.75,7331.25,120.00,7211.25,0,4,0,0,0,0.95
2020-06-05,2020-06-08,2020-06-11,10150,75,YES,,,3,1,1,6,3,6.00,450.00,180.00,270.00,0,0,0,0,0,0.93
2020-06-08,2020-06-09,2020-06-11,10150,75,YES,,,3,1,1,6,3,-4.05,-303.75,180.00,-483.75,0,0,0,0,0,0.88
2020-06-09,2020-06-10,2020-06-11,10050,75,YES,,,3,1,0,6,3,32.20,2415.00,180.00,2235.00,0,0,0,0,0,0.81
2020-06-10,2020-06-11,2020-06-11,10150,75,YES,,,4,2,0,8,4,-56.85,-4263.75,240.00,-4503.75,0,0,0,5,0,0.70
2020-06-12,2020-06-15,2020-06-18,9950,75,YES,,,5,2,2,10,4,-39.70,-2977.50,300.00,-3277.50,0,0,1,0,0,1.00
2020-06-15,2020-06-16,2020-06-18,9800,75,YES,,,6,3,3,12,4,-97.45,-7308.75,360.00,-7668.75,0,0,1,0,0,0.87
2020-06-16,2020-06-17,2020-06-18,9900,75,YES,,,4,2,1,8,3,28.45,2133.75,240.00,1893.75,0,0,0,0,0,0.94
