date,net_pnl,equity,peak,drawdown
2020-01-02,-2452.50,297547.50,300000.00,2452.50
2020-01-06,-4503.75,293043.75,300000.00,6956.25
2020-01-07,-1713.75,291330.00,300000.00,8670.00
2020-01-08,-2373.75,288956.25,300000.00,11043.75
2020-01-09,-3945.00,285011.25,300000.00,14988.75
2020-01-13,888.75,285900.00,300000.00,14100.00
2020-01-14,1515.00,287415.00,300000.00,12585.00
2020-01-15,1912.50,289327.50,300000.00,10672.50
2020-01-16,4263.75,293591.25,300000.00,6408.75
2020-01-20,-1053.75,292537.50,300000.00,7462.50
2020-01-21,453.75,292991.25,300000.00,7008.75
2020-01-22,1387.50,294378.75,300000.00,5621.25
2020-01-23,-618.75,293760.00,300000.00,6240.00
2020-01-27,-1878.75,291881.25,300000.00,8118.75
2020-01-28,-371.25,291510.00,300000.00,8490.00
2020-01-29,2197.50,293707.50,300000.00,6292.50
2020-01-30,-1848.75,291858.75,300000.00,8141.25
2020-02-01,1200.00,293058.75,300000.00,6941.25
2020-02-03,3915.00,296973.75,300000.00,3026.25
2020-02-04,-5898.75,291075.00,300000.00,8925.00
2020-02-05,521.25,291596.25,300000.00,8403.75
2020-02-06,2497.50,294093.75,300000.00,5906.25
2020-02-10,1211.25,295305.00,300000.00,4695.00
2020-02-11,-101.25,295203.75,300000.00,4796.25
2020-02-12,-1811.25,293392.50,300000.00,6607.50
2020-02-13,2748.75,296141.25,300000.00,3858.75
2020-02-17,206.25,296347.50,300000.00,3652.50
2020-02-18,-465.00,295882.50,300000.00,4117.50
2020-02-19,-870.00,295012.50,300000.00,4987.50
2020-02-20,-112.50,294900.00,300000.00,5100.00
2020-02-25,1968.75,296868.75,300000.00,3131.25
2020-02-26,2748.75,299617.50,300000.00,382.50
2020-02-27,1665.00,301282.50,301282.50,0.00
2020-03-02,-8745.00,292537.50,301282.50,8745.00
2020-03-03,-532.50,292005.00,301282.50,9277.50
2020-03-04,1428.75,293433.75,301282.50,7848.75
2020-03-05,4683.75,298117.50,301282.50,3165.00
2020-03-09,-1368.75,296748.75,301282.50,4533.75
2020-03-11,9911.25,306660.00,306660.00,0.00
2020-03-12,-51941.25,254718.75,306660.00,51941.25
2020-03-16,-17947.50,236771.25,306660.00,69888.75
2020-03-17,13012.50,249783.75,306660.00,56876.25
2020-03-18,9723.75,259507.50,306660.00,47152.50
2020-03-19,-10117.50,249390.00,306660.00,57270.00
2020-03-23,-27003.75,222386.25,306660.00,84273.75
2020-03-24,-19200.00,203186.25,306660.00,103473.75
2020-03-25,5433.75,208620.00,306660.00,98040.00
2020-03-26,11351.25,219971.25,306660.00,86688.75
2020-03-30,20662.50,240633.75,306660.00,66026.25
2020-03-31,11988.75,252622.50,306660.00,54037.50
2020-04-01,-1803.75,250818.75,306660.00,55841.25
2020-04-07,-18757.50,232061.25,306660.00,74598.75
2020-04-08,3311.25,235372.50,306660.00,71287.50
2020-04-09,-2208.75,233163.75,306660.00,73496.25
2020-04-15,7125.00,240288.75,306660.00,66371.25
2020-04-16,10368.75,250657.50,306660.00,56002.50
2020-04-20,4267.50,254925.00,306660.00,51735.00
2020-04-21,-397.50,254527.50,306660.00,52132.50
2020-04-22,4676.25,259203.75,306660.00,47456.25
2020-04-23,6022.50,265226.25,306660.00,41433.75
2020-04-27,1440.00,266666.25,306660.00,39993.75
2020-04-28,4230.00,270896.25,306660.00,35763.75
2020-04-29,1878.75,272775.00,306660.00,33885.00
2020-04-30,-11880.00,260895.00,306660.00,45765.00
2020-05-05,4983.75,265878.75,306660.00,40781.25
2020-05-06,6011.25,271890.00,306660.00,34770.00
2020-05-07,8947.50,280837.50,306660.00,25822.50
2020-05-11,3401.25,284238.75,306660.00,22421.25
2020-05-12,-3112.50,281126.25,306660.00,25533.75
2020-05-13,-12930.00,268196.25,306660.00,38463.75
2020-05-14,4125.00,272321.25,306660.00,34338.75
2020-05-18,-2077.50,270243.75,306660.00,36416.25
2020-05-19,3165.00,273408.75,306660.00,33251.25
2020-05-20,2415.00,275823.75,306660.00,30836.25
2020-05-21,5561.25,281385.00,306660.00,25275.00
2020-05-26,1875.00,283260.00,306660.00,23400.00
2020-05-27,-5223.75,278036.25,306660.00,28623.75
2020-05-28,-2917.50,275118.75,306660.00,31541.25
2020-06-01,-2486.25,272632.50,306660.00,34027.50
2020-06-02,2842.50,275475.00,306660.00,31185.00
2020-06-03,2355.00,277830.00,306660.00,28830.00
2020-06-04,7211.25,285041.25,306660.00,21618.75
2020-06-08,270.00,285311.25,306660.00,21348.75
2020-06-09,-483.75,284827.50,306660.00,21832.50
2020-06-10,2235.00,287062.50,306660.00,19597.50
2020-06-11,-4503.75,282558.75,306660.00,24101.25
2020-06-15,-3277.50,279281.25,306660.00,27378.75
2020-06-16,-7668.75,271612.50,306660.00,35047.50
2020-06-17,1893.75,273506.25,306660.00,33153.75
2020-06-18,-4428.75,269077.50,306660.00,37582.50
2020-06-22,3551.25,272628.75,306660.00,34031.25
2020-06-23,566.25,273195.00,306660.00,33465.00
2020-06-24,-2347.50,270847.50,306660.00,35812.50
2020-06-25,840.00,271687.50,306660.00,34972.50
2020-06-29,1192.50,272880.00,306660.00,33780.00
2020-06-30,360.00,273240.00,306660.00,33420.00
2020-07-01,5111.25,278351.25,306660.00,28308.75
2020-07-02,-146.25,278205.00,306660.00,28455.00
2020-07-06,-33.75,278171.25,306660.00,28488.75
2020-07-07,1920.00,280091.25,306660.00,26568.75
2020-07-08,1308.75,281400.00,306660.00,25260.00
2020-07-09,146.25,281546.25,306660.00,25113.75
2020-07-13,1233.75,282780.00,306660.00,23880.00
2020-07-14,-1672.50,281107.50,306660.00,25552.50
2020-07-15,-12693.75,268413.75,306660.00,38246.25
2020-07-16,-1706.25,266707.50,306660.00,39952.50
2020-07-20,202.50,266910.00,306660.00,39750.00
2020-07-21,1848.75,268758.75,306660.00,37901.25
2020-07-22,3795.00,272553.75,306660.00,34106.25
2020-07-23,4151.25,276705.00,306660.00,29955.00
2020-07-27,1455.00,278160.00,306660.00,28500.00
2020-07-28,1432.50,279592.50,306660.00,27067.50
2020-07-29,1413.75,281006.25,306660.00,25653.75
2020-07-30,367.50,281373.75,306660.00,25286.25
2020-08-03,1691.25,283065.00,306660.00,23595.00
2020-08-04,1725.00,284790.00,306660.00,21870.00
2020-08-05,-2118.75,282671.25,306660.00,23988.75
2020-08-06,2962.50,285633.75,306660.00,21026.25
2020-08-10,1668.75,287302.50,306660.00,19357.50
2020-08-11,2283.75,289586.25,306660.00,17073.75
2020-08-12,1507.50,291093.75,306660.00,15566.25
2020-08-13,6472.50,297566.25,306660.00,9093.75
2020-08-17,1860.00,299426.25,306660.00,7233.75
2020-08-18,-1001.25,298425.00,306660.00,8235.00
2020-08-19,2471.25,300896.25,306660.00,5763.75
2020-08-20,1792.50,302688.75,306660.00,3971.25
2020-08-24,727.50,303416.25,306660.00,3243.75
2020-08-25,1496.25,304912.50,306660.00,1747.50
2020-08-26,1162.50,306075.00,306660.00,585.00
2020-08-27,5452.50,311527.50,311527.50,0.00
2020-08-31,-10530.00,300997.50,311527.50,10530.00
2020-09-01,3461.25,304458.75,311527.50,7068.75
2020-09-02,3536.25,307995.00,311527.50,3532.50
2020-09-03,5212.50,313207.50,313207.50,0.00
2020-09-07,3675.00,316882.50,316882.50,0.00
2020-09-08,-622.50,316260.00,316882.50,622.50
2020-09-09,5092.50,321352.50,321352.50,0.00
2020-09-10,-1961.25,319391.25,321352.50,1961.25
2020-09-14,-3956.25,315435.00,321352.50,5917.50
2020-09-15,1852.50,317287.50,321352.50,4065.00
2020-09-16,427.50,317715.00,321352.50,3637.50
2020-09-17,641.25,318356.25,321352.50,2996.25
2020-09-21,-2872.50,315483.75,321352.50,5868.75
2020-09-22,5257.50,320741.25,321352.50,611.25
2020-09-23,206.25,320947.50,321352.50,405.00
2020-09-24,-14722.50,306225.00,321352.50,15127.50
2020-09-28,1957.50,308182.50,321352.50,13170.00
2020-09-29,2115.00,310297.50,321352.50,11055.00
2020-09-30,2265.00,312562.50,321352.50,8790.00
2020-10-01,-4410.00,308152.50,321352.50,13200.00
2020-10-06,-1597.50,306555.00,321352.50,14797.50
2020-10-07,543.75,307098.75,321352.50,14253.75
2020-10-08,1072.50,308171.25,321352.50,13181.25
2020-10-12,581.25,308752.50,321352.50,12600.00
2020-10-13,2928.75,311681.25,321352.50,9671.25
2020-10-14,-3922.50,307758.75,321352.50,13593.75
2020-10-15,-13698.75,294060.00,321352.50,27292.50
2020-10-19,3742.50,297802.50,321352.50,23550.00
