entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2020-01-01,2020-01-02,CE,12200,2020-01-01T15:20:00+05:30,20.70,2020-01-02T15:20:00+05:30,83.75,INITIAL_ENTRY,FINAL_EXIT,-63.05,-4728.75
2020-01-01,2020-01-02,PE,12200,2020-01-01T15:20:00+05:30,32.05,2020-01-02T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,31.95,2396.25
2020-01-03,2020-01-09,CE,12250,2020-01-03T15:20:00+05:30,49.00,2020-01-06T10:20:00+05:30,15.00,INITIAL_ENTRY,ROLL_OUT,34.00,2550.00
2020-01-03,2020-01-09,PE,12250,2020-01-03T15:20:00+05:30,73.70,2020-01-06T15:20:00+05:30,243.95,INITIAL_ENTRY,FINAL_EXIT,-170.25,-12768.75
2020-01-03,2020-01-09,CE,12200,2020-01-06T09:20:00+05:30,33.95,2020-01-06T15:20:00+05:30,11.05,ADD_2,FINAL_EXIT,22.90,1717.50
2020-01-03,2020-01-09,CE,12150,2020-01-06T10:20:00+05:30,42.35,2020-01-06T15:20:00+05:30,18.75,ADD_3,FINAL_EXIT,23.60,1770.00
2020-01-03,2020-01-09,CE,12100,2020-01-06T10:20:00+05:30,65.20,2020-01-06T15:20:00+05:30,31.50,ROLL_IN,FINAL_EXIT,33.70,2527.50
2020-01-06,2020-01-09,PE,12000,2020-01-06T15:20:00+05:30,61.20,2020-01-07T11:20:00+05:30,31.25,INITIAL_ENTRY,UNWIND,29.95,2246.25
2020-01-06,2020-01-09,CE,12000,2020-01-06T15:20:00+05:30,73.00,2020-01-07T15:20:00+05:30,98.75,INITIAL_ENTRY,FINAL_EXIT,-25.75,-1931.25
2020-01-06,2020-01-09,PE,12100,2020-01-07T10:20:00+05:30,36.85,2020-01-07T15:20:00+05:30,61.50,ADD_2,FINAL_EXIT,-24.65,-1848.75
2020-01-07,2020-01-09,CE,12050,2020-01-07T15:20:00+05:30,62.95,2020-01-08T10:20:00+05:30,37.75,INITIAL_ENTRY,UNWIND,25.20,1890.00
2020-01-07,2020-01-09,PE,12050,2020-01-07T15:20:00+05:30,37.80,2020-01-08T15:20:00+05:30,61.10,INITIAL_ENTRY,FINAL_EXIT,-23.30,-1747.50
2020-01-07,2020-01-09,CE,12000,2020-01-08T09:20:00+05:30,34.45,2020-01-08T15:20:00+05:30,56.85,ADD_2,FINAL_EXIT,-22.40,-1680.00
2020-01-07,2020-01-09,CE,12050,2020-01-08T11:20:00+05:30,23.05,2020-01-08T15:20:00+05:30,31.00,ADD_2,FINAL_EXIT,-7.95,-596.25
2020-01-08,2020-01-09,CE,12050,2020-01-08T15:20:00+05:30,31.00,2020-01-09T15:20:00+05:30,165.75,INITIAL_ENTRY,FINAL_EXIT,-134.75,-10106.25
2020-01-08,2020-01-09,PE,12050,2020-01-08T15:20:00+05:30,61.10,2020-01-09T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,61.00,4575.00
2020-01-08,2020-01-09,PE,12150,2020-01-09T09:20:00+05:30,23.60,2020-01-09T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,23.55,1766.25
2020-01-10,2020-01-16,CE,12250,2020-01-10T15:20:00+05:30,73.30,2020-01-13T15:20:00+05:30,106.05,INITIAL_ENTRY,FINAL_EXIT,-32.75,-2456.25
2020-01-10,2020-01-16,PE,12250,2020-01-10T15:20:00+05:30,69.85,2020-01-13T15:20:00+05:30,29.40,INITIAL_ENTRY,FINAL_EXIT,40.45,3033.75
2020-01-10,2020-01-16,PE,12200,2020-01-13T09:20:00+05:30,25.90,2020-01-13T15:20:00+05:30,19.35,ADD_2,FINAL_EXIT,6.55,491.25
2020-01-13,2020-01-16,CE,12400,2020-01-14T09:20:00+05:30,18.50,2020-01-14T12:20:00+05:30,21.35,ADD_2,UNWIND,-2.85,-213.75
2020-01-13,2020-01-16,CE,12350,2020-01-13T15:20:00+05:30,46.90,2020-01-14T15:20:00+05:30,48.20,INITIAL_ENTRY,FINAL_EXIT,-1.30,-97.50
2020-01-13,2020-01-16,PE,12350,2020-01-13T15:20:00+05:30,70.25,2020-01-14T15:20:00+05:30,43.50,INITIAL_ENTRY,FINAL_EXIT,26.75,2006.25
2020-01-14,2020-01-16,CE,12350,2020-01-14T15:20:00+05:30,48.20,2020-01-15T15:20:00+05:30,33.60,INITIAL_ENTRY,FINAL_EXIT,14.60,1095.00
2020-01-14,2020-01-16,PE,12350,2020-01-14T15:20:00+05:30,43.50,2020-01-15T15:20:00+05:30,31.00,INITIAL_ENTRY,FINAL_EXIT,12.50,937.50
2020-01-15,2020-01-16,CE,12350,2020-01-15T15:20:00+05:30,33.60,2020-01-16T15:20:00+05:30,6.00,INITIAL_ENTRY,FINAL_EXIT,27.60,2070.00
2020-01-15,2020-01-16,PE,12350,2020-01-15T15:20:00+05:30,31.00,2020-01-16T15:20:00+05:30,0.15,INITIAL_ENTRY,FINAL_EXIT,30.85,2313.75
2020-01-17,2020-01-23,CE,12350,2020-01-17T15:20:00+05:30,65.55,2020-01-20T15:20:00+05:30,22.95,INITIAL_ENTRY,FINAL_EXIT,42.60,3195.00
2020-01-17,2020-01-23,PE,12350,2020-01-17T15:20:00+05:30,59.55,2020-01-20T15:20:00+05:30,122.00,INITIAL_ENTRY,FINAL_EXIT,-62.45,-4683.75
2020-01-17,2020-01-23,CE,12400,2020-01-20T11:20:00+05:30,21.90,2020-01-20T15:20:00+05:30,13.70,ADD_2,FINAL_EXIT,8.20,615.00
2020-01-20,2020-01-23,CE,12250,2020-01-20T15:20:00+05:30,56.50,2020-01-21T15:20:00+05:30,21.40,INITIAL_ENTRY,FINAL_EXIT,35.10,2632.50
2020-01-20,2020-01-23,PE,12250,2020-01-20T15:20:00+05:30,55.85,2020-01-21T15:20:00+05:30,87.80,INITIAL_ENTRY,FINAL_EXIT,-31.95,-2396.25
2020-01-20,2020-01-23,CE,12300,2020-01-21T10:20:00+05:30,17.70,2020-01-21T15:20:00+05:30,12.40,ADD_2,FINAL_EXIT,5.30,397.50
2020-01-21,2020-01-23,CE,12150,2020-01-21T15:20:00+05:30,65.50,2020-01-22T15:20:00+05:30,20.00,INITIAL_ENTRY,FINAL_EXIT,45.50,3412.50
2020-01-21,2020-01-23,PE,12150,2020-01-21T15:20:00+05:30,31.70,2020-01-22T15:20:00+05:30,57.10,INITIAL_ENTRY,FINAL_EXIT,-25.40,-1905.00
2020-01-22,2020-01-23,PE,12100,2020-01-22T15:20:00+05:30,27.85,2020-01-23T11:20:00+05:30,10.05,INITIAL_ENTRY,UNWIND,17.80,1335.00
2020-01-22,2020-01-23,CE,12100,2020-01-22T15:20:00+05:30,40.50,2020-01-23T15:20:00+05:30,79.65,INITIAL_ENTRY,FINAL_EXIT,-39.15,-2936.25
2020-01-22,2020-01-23,PE,12150,2020-01-23T10:20:00+05:30,15.55,2020-01-23T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,15.50,1162.50
2020-01-24,2020-01-30,CE,12250,2020-01-24T15:20:00+05:30,73.55,2020-01-27T15:20:00+05:30,18.30,INITIAL_ENTRY,FINAL_EXIT,55.25,4143.75
2020-01-24,2020-01-30,PE,12250,2020-01-24T15:20:00+05:30,52.95,2020-01-27T15:20:00+05:30,144.00,INITIAL_ENTRY,FINAL_EXIT,-91.05,-6828.75
2020-01-24,2020-01-30,CE,12300,2020-01-27T10:20:00+05:30,23.35,2020-01-27T15:20:00+05:30,10.20,ADD_2,FINAL_EXIT,13.15,986.25
2020-01-27,2020-01-30,PE,12050,2020-01-28T12:20:00+05:30,22.00,2020-01-28T14:20:00+05:30,47.85,ADD_2,UNWIND,-25.85,-1938.75
2020-01-27,2020-01-30,CE,12100,2020-01-27T15:20:00+05:30,76.75,2020-01-28T15:20:00+05:30,42.35,INITIAL_ENTRY,FINAL_EXIT,34.40,2580.00
2020-01-27,2020-01-30,PE,12100,2020-01-27T15:20:00+05:30,53.15,2020-01-28T15:20:00+05:30,64.25,INITIAL_ENTRY,FINAL_EXIT,-11.10,-832.50
2020-01-28,2020-01-30,CE,12050,2020-01-28T15:20:00+05:30,68.15,2020-01-29T15:20:00+05:30,84.00,INITIAL_ENTRY,FINAL_EXIT,-15.85,-1188.75
2020-01-28,2020-01-30,PE,12050,2020-01-28T15:20:00+05:30,39.80,2020-01-29T15:20:00+05:30,9.90,INITIAL_ENTRY,FINAL_EXIT,29.90,2242.50
2020-01-28,2020-01-30,PE,12000,2020-01-29T09:15:00+05:30,18.45,2020-01-29T15:20:00+05:30,4.40,ADD_2,FINAL_EXIT,14.05,1053.75
2020-01-28,2020-01-30,PE,12100,2020-01-29T10:20:00+05:30,28.20,2020-01-29T15:20:00+05:30,23.80,ADD_3,FINAL_EXIT,4.40,330.00
2020-01-29,2020-01-30,CE,12150,2020-01-29T15:20:00+05:30,22.05,2020-01-30T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,22.00,1650.00
2020-01-29,2020-01-30,PE,12150,2020-01-29T15:20:00+05:30,47.75,2020-01-30T15:20:00+05:30,112.80,INITIAL_ENTRY,FINAL_EXIT,-65.05,-4878.75
2020-01-29,2020-01-30,CE,12100,2020-01-30T09:20:00+05:30,20.90,2020-01-30T15:20:00+05:30,0.10,ADD_2,FINAL_EXIT,20.80,1560.00
2020-01-31,2020-02-06,CE,11950,2020-01-31T15:20:00+05:30,158.85,2020-02-01T15:20:00+05:30,16.35,INITIAL_ENTRY,FINAL_EXIT,142.50,10687.50
2020-01-31,2020-02-06,PE,11950,2020-01-31T15:20:00+05:30,136.05,2020-02-01T15:20:00+05:30,342.95,INITIAL_ENTRY,FINAL_EXIT,-206.90,-15517.50
2020-01-31,2020-02-06,CE,12050,2020-02-01T13:20:00+05:30,53.20,2020-02-01T15:20:00+05:30,9.70,ADD_2,FINAL_EXIT,43.50,3262.50
2020-01-31,2020-02-06,CE,11900,2020-02-01T14:20:00+05:30,61.95,2020-02-01T15:20:00+05:30,21.85,ADD_3,FINAL_EXIT,40.10,3007.50
2020-02-01,2020-02-06,CE,11650,2020-02-01T15:20:00+05:30,88.75,2020-02-03T15:20:00+05:30,90.65,INITIAL_ENTRY,FINAL_EXIT,-1.90,-142.50
2020-02-01,2020-02-06,PE,11650,2020-02-01T15:20:00+05:30,111.45,2020-02-03T15:20:00+05:30,55.75,INITIAL_ENTRY,FINAL_EXIT,55.70,4177.50
2020-02-03,2020-02-06,CE,11700,2020-02-03T15:20:00+05:30,63.20,2020-02-04T15:20:00+05:30,254.00,INITIAL_ENTRY,FINAL_EXIT,-190.80,-14310.00
2020-02-03,2020-02-06,PE,11700,2020-02-03T15:20:00+05:30,78.00,2020-02-04T15:20:00+05:30,4.90,INITIAL_ENTRY,FINAL_EXIT,73.10,5482.50
2020-02-03,2020-02-06,PE,11650,2020-02-04T09:20:00+05:30,21.85,2020-02-04T15:20:00+05:30,3.95,ADD_2,FINAL_EXIT,17.90,1342.50
2020-02-03,2020-02-06,PE,11850,2020-02-04T11:20:00+05:30,40.85,2020-02-04T15:20:00+05:30,16.50,ADD_3,FINAL_EXIT,24.35,1826.25
2020-02-04,2020-02-06,CE,12050,2020-02-05T09:20:00+05:30,18.40,2020-02-05T10:20:00+05:30,23.45,ADD_2,UNWIND,-5.05,-378.75
2020-02-04,2020-02-06,CE,12000,2020-02-04T15:20:00+05:30,31.20,2020-02-05T15:20:00+05:30,89.85,INITIAL_ENTRY,FINAL_EXIT,-58.65,-4398.75
2020-02-04,2020-02-06,PE,12000,2020-02-04T15:20:00+05:30,82.05,2020-02-05T15:20:00+05:30,9.00,INITIAL_ENTRY,FINAL_EXIT,73.05,5478.75
2020-02-05,2020-02-06,CE,12100,2020-02-05T15:20:00+05:30,28.05,2020-02-06T15:20:00+05:30,38.90,INITIAL_ENTRY,FINAL_EXIT,-10.85,-813.75
2020-02-05,2020-02-06,PE,12100,2020-02-05T15:20:00+05:30,46.30,2020-02-06T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,46.25,3468.75
2020-02-05,2020-02-06,PE,12150,2020-02-06T13:20:00+05:30,11.40,2020-02-06T15:20:00+05:30,11.10,ADD_2,FINAL_EXIT,0.30,22.50
2020-02-07,2020-02-13,CE,12100,2020-02-07T15:20:00+05:30,60.30,2020-02-10T15:20:00+05:30,30.00,INITIAL_ENTRY,FINAL_EXIT,30.30,2272.50
2020-02-07,2020-02-13,PE,12100,2020-02-07T15:20:00+05:30,77.20,2020-02-10T15:20:00+05:30,98.15,INITIAL_ENTRY,FINAL_EXIT,-20.95,-1571.25
2020-02-07,2020-02-13,CE,12150,2020-02-10T09:20:00+05:30,26.80,2020-02-10T15:20:00+05:30,17.60,ADD_2,FINAL_EXIT,9.20,690.00
2020-02-10,2020-02-13,CE,12050,2020-02-10T15:20:00+05:30,49.50,2020-02-11T15:20:00+05:30,78.60,INITIAL_ENTRY,FINAL_EXIT,-29.10,-2182.50
2020-02-10,2020-02-13,PE,12050,2020-02-10T15:20:00+05:30,68.25,2020-02-11T15:20:00+05:30,23.35,INITIAL_ENTRY,FINAL_EXIT,44.90,3367.50
2020-02-10,2020-02-13,PE,12100,2020-02-11T10:20:00+05:30,27.80,2020-02-11T15:20:00+05:30,42.55,ADD_2,FINAL_EXIT,-14.75,-1106.25
2020-02-11,2020-02-13,CE,12100,2020-02-11T15:20:00+05:30,47.85,2020-02-12T15:20:00+05:30,114.25,INITIAL_ENTRY,FINAL_EXIT,-66.40,-4980.00
2020-02-11,2020-02-13,PE,12100,2020-02-11T15:20:00+05:30,42.55,2020-02-12T15:20:00+05:30,5.10,INITIAL_ENTRY,FINAL_EXIT,37.45,2808.75
2020-02-11,2020-02-13,PE,12200,2020-02-12T10:20:00+05:30,33.60,2020-02-12T15:20:00+05:30,26.40,ADD_2,FINAL_EXIT,7.20,540.00
2020-02-12,2020-02-13,CE,12200,2020-02-12T15:20:00+05:30,35.60,2020-02-13T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,35.50,2662.50
2020-02-12,2020-02-13,PE,12200,2020-02-12T15:20:00+05:30,26.40,2020-02-13T15:20:00+05:30,23.65,INITIAL_ENTRY,FINAL_EXIT,2.75,206.25
2020-02-14,2020-02-20,PE,12000,2020-02-17T09:20:00+05:30,19.15,2020-02-17T10:20:00+05:30,30.95,ADD_2,UNWIND,-11.80,-885.00
2020-02-14,2020-02-20,CE,12100,2020-02-14T15:20:00+05:30,81.50,2020-02-17T15:20:00+05:30,47.55,INITIAL_ENTRY,FINAL_EXIT,33.95,2546.25
2020-02-14,2020-02-20,PE,12100,2020-02-14T15:20:00+05:30,58.95,2020-02-17T15:20:00+05:30,75.95,INITIAL_ENTRY,FINAL_EXIT,-17.00,-1275.00
2020-02-17,2020-02-20,CE,12050,2020-02-17T15:20:00+05:30,70.85,2020-02-18T15:20:00+05:30,31.70,INITIAL_ENTRY,FINAL_EXIT,39.15,2936.25
2020-02-17,2020-02-20,PE,12050,2020-02-17T15:20:00+05:30,49.30,2020-02-18T15:20:00+05:30,70.65,INITIAL_ENTRY,FINAL_EXIT,-21.35,-1601.25
2020-02-17,2020-02-20,CE,12100,2020-02-18T09:20:00+05:30,20.25,2020-02-18T15:20:00+05:30,18.85,ADD_2,FINAL_EXIT,1.40,105.00
2020-02-17,2020-02-20,CE,12000,2020-02-18T11:20:00+05:30,31.50,2020-02-18T15:20:00+05:30,53.70,ADD_3,FINAL_EXIT,-22.20,-1665.00
2020-02-18,2020-02-20,CE,12000,2020-02-18T15:20:00+05:30,53.70,2020-02-19T15:20:00+05:30,132.85,INITIAL_ENTRY,FINAL_EXIT,-79.15,-5936.25
2020-02-18,2020-02-20,PE,12000,2020-02-18T15:20:00+05:30,43.20,2020-02-19T15:20:00+05:30,3.80,INITIAL_ENTRY,FINAL_EXIT,39.40,2955.00
2020-02-18,2020-02-20,PE,12050,2020-02-19T09:15:00+05:30,21.05,2020-02-19T15:20:00+05:30,7.35,ADD_2,FINAL_EXIT,13.70,1027.50
2020-02-18,2020-02-20,PE,11950,2020-02-19T09:15:00+05:30,20.00,2020-02-19T15:20:00+05:30,2.35,ADD_3,FINAL_EXIT,17.65,1323.75
2020-02-19,2020-02-20,CE,12150,2020-02-19T15:20:00+05:30,23.20,2020-02-20T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,23.15,1736.25
2020-02-19,2020-02-20,PE,12150,2020-02-19T15:20:00+05:30,43.35,2020-02-20T15:20:00+05:30,66.40,INITIAL_ENTRY,FINAL_EXIT,-23.05,-1728.75
2020-02-24,2020-02-27,PE,11750,2020-02-25T10:20:00+05:30,31.30,2020-02-25T14:20:00+05:30,50.00,ADD_2,UNWIND,-18.70,-1402.50
