entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2020-01-10,2020-01-16,PE,12150,2020-01-10T11:40:00+05:30,29.40,2020-01-10T13:32:00+05:30,32.70,ADD_2,UNWIND,-3.30,-247.50
2020-01-10,2020-01-16,CE,12250,2020-01-10T09:20:00+05:30,75.35,2020-01-16T15:20:00+05:30,106.45,INITIAL_ENTRY,FINAL_EXIT,-31.10,-2332.50
2020-01-10,2020-01-16,PE,12250,2020-01-10T09:20:00+05:30,72.30,2020-01-16T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,72.25,5418.75
2020-01-10,2020-01-16,PE,12200,2020-01-13T09:16:00+05:30,28.95,2020-01-16T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,28.90,2167.50
2020-01-31,2020-02-06,CE,12150,2020-02-01T09:16:00+05:30,61.35,2020-02-01T10:12:00+05:30,79.70,ADD_2,UNWIND,-18.35,-1376.25
2020-01-31,2020-02-06,CE,12200,2020-02-01T12:06:00+05:30,49.30,2020-02-05T14:07:00+05:30,4.25,ADD_2,UNWIND,45.05,3378.75
2020-01-31,2020-02-06,CE,12050,2020-01-31T09:20:00+05:30,155.15,2020-02-06T15:20:00+05:30,89.00,INITIAL_ENTRY,FINAL_EXIT,66.15,4961.25
2020-01-31,2020-02-06,PE,12050,2020-01-31T09:20:00+05:30,145.30,2020-02-06T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,145.20,10890.00
2020-01-31,2020-02-06,PE,12000,2020-02-05T14:29:00+05:30,14.50,2020-02-06T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,14.45,1083.75
2020-02-14,2020-02-20,CE,12250,2020-02-14T09:20:00+05:30,62.65,2020-02-20T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,62.60,4695.00
2020-02-14,2020-02-20,PE,12250,2020-02-14T09:20:00+05:30,71.20,2020-02-20T15:20:00+05:30,166.70,INITIAL_ENTRY,FINAL_EXIT,-95.50,-7162.50
2020-02-14,2020-02-20,CE,12300,2020-02-14T10:45:00+05:30,27.50,2020-02-20T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,27.45,2058.75
2020-02-28,2020-03-05,CE,11500,2020-02-28T12:21:00+05:30,49.00,2020-02-28T12:50:00+05:30,56.65,ADD_2,UNWIND,-7.65,-573.75
2020-02-28,2020-03-05,CE,11450,2020-02-28T14:18:00+05:30,59.35,2020-03-02T09:22:00+05:30,75.10,ADD_2,UNWIND,-15.75,-1181.25
2020-02-28,2020-03-05,CE,11450,2020-03-02T14:58:00+05:30,47.45,2020-03-03T09:23:00+05:30,48.35,ADD_2,UNWIND,-0.90,-67.50
2020-02-28,2020-03-05,CE,11450,2020-03-03T09:34:00+05:30,40.20,2020-03-03T14:42:00+05:30,41.80,ADD_2,UNWIND,-1.60,-120.00
2020-02-28,2020-03-05,CE,11400,2020-03-03T15:01:00+05:30,45.30,2020-03-03T15:15:00+05:30,53.60,ADD_2,UNWIND,-8.30,-622.50
2020-02-28,2020-03-05,CE,11400,2020-03-04T09:22:00+05:30,36.55,2020-03-05T10:50:00+05:30,10.75,ADD_2,UNWIND,25.80,1935.00
2020-02-28,2020-03-05,PE,11300,2020-03-05T12:19:00+05:30,8.00,2020-03-05T12:27:00+05:30,9.50,ADD_2,UNWIND,-1.50,-112.50
2020-02-28,2020-03-05,CE,11350,2020-02-28T09:20:00+05:30,167.60,2020-03-05T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,167.55,12566.25
2020-02-28,2020-03-05,PE,11350,2020-02-28T09:20:00+05:30,147.90,2020-03-05T15:20:00+05:30,79.20,INITIAL_ENTRY,FINAL_EXIT,68.70,5152.50
