date,net_pnl,equity,peak,drawdown
2020-01-16,6746.25,306746.25,306746.25,0.00
2020-02-06,9206.25,315952.50,315952.50,0.00
2020-02-20,-1623.75,314328.75,315952.50,1623.75
2020-03-05,9795.00,324123.75,324123.75,0.00
2020-03-12,-41246.25,282877.50,324123.75,41246.25
2020-03-26,26418.75,309296.25,324123.75,14827.50
2020-04-01,17261.25,326557.50,326557.50,0.00
2020-04-09,-3937.50,322620.00,326557.50,3937.50
2020-04-16,14231.25,336851.25,336851.25,0.00
2020-04-23,18900.00,355751.25,355751.25,0.00
2020-04-30,-8662.50,347088.75,355751.25,8662.50
2020-05-07,18881.25,365970.00,365970.00,0.00
2020-05-14,-3795.00,362175.00,365970.00,3795.00
2020-05-21,16233.75,378408.75,378408.75,0.00
2020-05-28,-6315.00,372093.75,378408.75,6315.00
2020-06-11,-1721.25,370372.50,378408.75,8036.25
2020-06-18,-6285.00,364087.50,378408.75,14321.25
2020-06-25,15191.25,379278.75,379278.75,0.00
2020-07-09,10983.75,390262.50,390262.50,0.00
2020-07-16,3821.25,394083.75,394083.75,0.00
2020-07-23,-2981.25,391102.50,394083.75,2981.25
2020-08-06,4676.25,395778.75,395778.75,0.00
2020-08-20,5190.00,400968.75,400968.75,0.00
2020-08-27,8951.25,409920.00,409920.00,0.00
2020-09-03,-8610.00,401310.00,409920.00,8610.00
2020-09-10,1957.50,403267.50,409920.00,6652.50
2020-09-17,8358.75,411626.25,411626.25,0.00
2020-09-24,-13740.00,397886.25,411626.25,13740.00
2020-10-01,-7.50,397878.75,411626.25,13747.50
2020-10-15,-142.50,397736.25,411626.25,13890.00
2020-10-22,2827.50,400563.75,411626.25,11062.50
2020-10-29,7372.50,407936.25,411626.25,3690.00
2020-11-05,8625.00,416561.25,416561.25,0.00
2020-11-12,4481.25,421042.50,421042.50,0.00
2020-11-19,5261.25,426303.75,426303.75,0.00
2020-11-26,2921.25,429225.00,429225.00,0.00
2020-12-03,8328.75,437553.75,437553.75,0.00
2020-12-10,6030.00,443583.75,443583.75,0.00
2020-12-17,11715.00,455298.75,455298.75,0.00
2020-12-24,-5111.25,450187.50,455298.75,5111.25
2020-12-31,9487.50,459675.00,459675.00,0.00
2021-01-07,3491.25,463166.25,463166.25,0.00
2021-01-14,4777.50,467943.75,467943.75,0.00
2021-01-21,17733.75,485677.50,485677.50,0.00
2021-01-28,-9735.00,475942.50,485677.50,9735.00
2021-02-04,-20741.25,455201.25,485677.50,30476.25
2021-02-18,7177.50,462378.75,485677.50,23298.75
2021-02-25,318.75,462697.50,485677.50,22980.00
2021-03-04,7027.50,469725.00,485677.50,15952.50
2021-03-10,22980.00,492705.00,492705.00,0.00
2021-03-18,-393.75,492311.25,492705.00,393.75
2021-03-25,15435.00,507746.25,507746.25,0.00
2021-04-01,12513.75,520260.00,520260.00,0.00
2021-04-08,10038.75,530298.75,530298.75,0.00
2021-04-15,22608.75,552907.50,552907.50,0.00
2021-04-22,4957.50,557865.00,557865.00,0.00
2021-04-29,13800.00,571665.00,571665.00,0.00
2021-05-06,5096.25,576761.25,576761.25,0.00
2021-05-12,15750.00,592511.25,592511.25,0.00
2021-05-20,18866.25,611377.50,611377.50,0.00
2021-05-27,7462.50,618840.00,618840.00,0.00
2021-06-03,6348.75,625188.75,625188.75,0.00
2021-06-10,8396.25,633585.00,633585.00,0.00
2021-06-17,3363.75,636948.75,636948.75,0.00
2021-06-24,-2216.25,634732.50,636948.75,2216.25
2021-07-08,6082.50,640815.00,640815.00,0.00
2021-07-22,8167.50,648982.50,648982.50,0.00
2021-07-29,6333.75,655316.25,655316.25,0.00
2021-08-05,-10665.00,644651.25,655316.25,10665.00
2021-08-12,6240.00,650891.25,655316.25,4425.00
2021-08-18,8422.50,659313.75,659313.75,0.00
2021-08-26,9787.50,669101.25,669101.25,0.00
2021-09-02,-7605.00,661496.25,669101.25,7605.00
2021-09-09,8208.75,669705.00,669705.00,0.00
2021-09-16,-1500.00,668205.00,669705.00,1500.00
2021-09-23,-6435.00,661770.00,669705.00,7935.00
2021-09-30,11497.50,673267.50,673267.50,0.00
