entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked
2020-01-01,2020-01-02,2020-01-02,12200,75,NO,balance_check_failed,"CE=39.40 PE=29.85 within 75.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-03,2020-01-09,2020-01-09,12250,75,NO,balance_check_failed,"CE=55.00 PE=69.85 within 78.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-10,2020-01-16,2020-01-16,12250,75,YES,,,7,5,4,14,5,89.95,6746.25,420.00,6326.25,1,714
2020-01-17,2020-01-23,2020-01-23,12350,75,NO,balance_check_failed,"CE=59.25 PE=74.50 within 79.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-24,2020-01-30,2020-01-30,12150,75,NO,balance_check_failed,"CE=85.45 PE=63.90 within 74.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-31,2020-02-06,2020-02-06,12050,75,YES,,,13,11,10,26,8,123.20,9240.00,780.00,8460.00,870,900
2020-02-07,2020-02-13,2020-02-13,12150,75,NO,balance_check_failed,"CE=53.65 PE=107.95 within 49.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-02-14,2020-02-20,2020-02-20,12250,75,YES,,,10,8,8,20,6,-111.30,-8347.50,600.00,-8947.50,407,550
2020-02-24,2020-02-27,2020-02-27,11950,75,NO,balance_check_failed,"CE=58.15 PE=86.20 within 67.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-02-28,2020-03-05,2020-03-05,11350,75,YES,,,19,17,17,38,6,78.50,5887.50,1140.00,4747.50,23,219
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,10,8,6,20,8,-378.05,-28353.75,600.00,-28953.75,280,396
2020-03-13,2020-03-19,2020-03-19,8750,75,NO,missing_entry_bar,No exact 09:20 bar on both ATM legs.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-03-20,2020-03-26,2020-03-26,8350,75,YES,,,24,22,21,48,8,335.25,25143.75,1440.00,23703.75,1178,152
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,11,9,8,22,7,451.90,33892.50,660.00,33232.50,1257,364
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,15,13,12,30,10,8.00,600.00,900.00,-300.00,894,393
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,17,15,15,34,7,190.25,14268.75,1020.00,13248.75,0,67
2020-04-17,2020-04-23,2020-04-23,9250,75,YES,,,11,9,6,22,6,277.10,20782.50,660.00,20122.50,205,337
2020-04-24,2020-04-30,2020-04-30,9200,75,YES,,,13,11,4,26,9,41.95,3146.25,780.00,2366.25,176,449
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,16,14,13,32,8,143.35,10751.25,960.00,9791.25,264,344
2020-05-08,2020-05-14,2020-05-14,9350,75,YES,,,14,12,11,28,7,-4.95,-371.25,840.00,-1211.25,349,306
2020-05-15,2020-05-21,2020-05-21,9100,75,YES,,,14,12,12,28,5,239.50,17962.50,840.00,17122.50,11,370
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,15,13,6,30,9,64.35,4826.25,900.00,3926.25,221,427
2020-05-29,2020-06-04,2020-06-04,9450,75,NO,balance_check_failed,"CE=109.95 PE=156.30 within 70.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-06-05,2020-06-11,2020-06-11,10100,75,YES,,,16,14,12,32,5,1.20,90.00,960.00,-870.00,0,372
2020-06-12,2020-06-18,2020-06-18,9650,75,YES,,,16,14,14,32,6,-102.40,-7680.00,960.00,-8640.00,712,270
2020-06-19,2020-06-25,2020-06-25,10150,75,YES,,,12,10,10,24,8,117.00,8775.00,720.00,8055.00,225,221
2020-06-26,2020-07-02,2020-07-02,10350,75,NO,balance_check_failed,"CE=130.60 PE=165.75 within 78.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-07-03,2020-07-09,2020-07-09,10600,75,YES,,,11,9,8,22,6,139.45,10458.75,660.00,9798.75,0,336
2020-07-10,2020-07-16,2020-07-16,10800,75,YES,,,14,12,12,28,7,47.75,3581.25,840.00,2741.25,0,268
2020-07-17,2020-07-23,2020-07-23,10800,75,YES,,,9,7,7,18,8,35.70,2677.50,540.00,2137.50,73,513
2020-07-24,2020-07-30,2020-07-30,11150,75,NO,balance_check_failed,"CE=102.80 PE=133.75 within 76.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-07-31,2020-08-06,2020-08-06,11050,75,YES,,,13,11,10,26,7,156.80,11760.00,780.00,10980.00,0,205
2020-08-07,2020-08-13,2020-08-13,11200,75,NO,balance_check_failed,"CE=96.50 PE=130.75 within 73.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
