entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-02,2020-01-02,12200,75,NO,balance_check_failed,"Best of 1 strikes near ATM 12200 was 12200 at 75.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-03,2020-01-09,2020-01-09,12250,75,NO,balance_check_failed,"Best of 1 strikes near ATM 12250 was 12250 at 78.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-10,2020-01-16,2020-01-16,12250,75,YES,,,7,4,3,14,4,95.55,7166.25,420.00,6746.25,0,345,1,4,0,0.96
2020-01-17,2020-01-23,2020-01-23,12350,75,NO,balance_check_failed,"Best of 1 strikes near ATM 12350 was 12350 at 79.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-24,2020-01-30,2020-01-30,12150,75,NO,balance_check_failed,"Best of 1 strikes near ATM 12150 was 12150 at 74.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-31,2020-02-06,2020-02-06,12050,75,YES,,,10,6,5,20,4,130.75,9806.25,600.00,9206.25,361,246,2,421,0,0.94
2020-02-07,2020-02-13,2020-02-13,12150,75,NO,balance_check_failed,"Best of 1 strikes near ATM 12150 was 12150 at 49.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-14,2020-02-20,2020-02-20,12250,75,YES,,,10,7,7,20,4,-13.65,-1023.75,600.00,-1623.75,346,268,1,375,0,0.88
2020-02-24,2020-02-27,2020-02-27,11950,75,NO,balance_check_failed,"Best of 1 strikes near ATM 11950 was 11950 at 67.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-28,2020-03-05,2020-03-05,11350,75,YES,,,13,8,8,26,4,151.20,11340.00,780.00,10560.00,22,0,3,4,0,0.88
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,9,3,2,18,4,-542.75,-40706.25,540.00,-41246.25,64,158,4,2,0,0.93
2020-03-13,2020-03-19,2020-03-19,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-20,2020-03-26,2020-03-26,8350,75,YES,,,18,13,11,36,4,366.65,27498.75,1080.00,26418.75,1049,0,3,0,0,0.94
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,11,6,6,22,4,238.95,17921.25,660.00,17261.25,848,5,3,6,0,0.88
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,9,4,2,18,4,-45.30,-3397.50,540.00,-3937.50,517,5,3,486,0,0.87
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,12,8,7,24,4,364.80,27360.00,720.00,26640.00,0,0,2,0,0,0.81
2020-04-17,2020-04-23,2020-04-23,9250,75,YES,,,8,4,3,16,4,195.65,14673.75,480.00,14193.75,205,1,2,0,0,0.85
2020-04-24,2020-04-30,2020-04-30,9200,75,YES,,,11,6,4,22,4,-106.70,-8002.50,660.00,-8662.50,2,2,3,256,0,0.83
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,14,10,9,28,4,209.85,15738.75,840.00,14898.75,97,0,2,45,0,0.81
2020-05-08,2020-05-14,2020-05-14,9350,75,YES,,,12,7,7,24,4,-41.00,-3075.00,720.00,-3795.00,208,0,3,4,0,0.90
2020-05-15,2020-05-21,2020-05-21,9100,75,YES,,,13,10,9,26,4,268.45,20133.75,780.00,19353.75,0,1,1,0,0,0.91
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,13,8,6,26,4,-73.80,-5535.00,780.00,-6315.00,0,7,3,105,0,1.00
2020-05-29,2020-06-04,2020-06-04,9450,75,NO,balance_check_failed,"Best of 1 strikes near ATM 9450 was 9450 at 70.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-06-05,2020-06-11,2020-06-11,10100,75,YES,,,15,11,11,30,4,-58.95,-4421.25,900.00,-5321.25,23,0,2,0,0,0.88
2020-06-12,2020-06-18,2020-06-18,9650,75,YES,,,13,9,9,26,4,-73.40,-5505.00,780.00,-6285.00,510,51,2,0,0,0.88
2020-06-19,2020-06-25,2020-06-25,10150,75,YES,,,8,5,5,16,4,208.95,15671.25,480.00,15191.25,224,19,1,343,0,0.86
2020-06-26,2020-07-02,2020-07-02,10350,75,NO,balance_check_failed,"Best of 1 strikes near ATM 10350 was 10350 at 78.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-03,2020-07-09,2020-07-09,10600,75,YES,,,10,6,6,20,4,116.20,8715.00,600.00,8115.00,0,58,2,0,0,0.84
2020-07-10,2020-07-16,2020-07-16,10800,75,YES,,,12,7,6,24,4,40.95,3071.25,720.00,2351.25,0,7,3,4,0,0.87
2020-07-17,2020-07-23,2020-07-23,10800,75,YES,,,6,3,1,12,4,-34.95,-2621.25,360.00,-2981.25,40,0,1,750,0,0.80
2020-07-24,2020-07-30,2020-07-30,11150,75,NO,balance_check_failed,"Best of 1 strikes near ATM 11150 was 11150 at 76.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-31,2020-08-06,2020-08-06,11050,75,YES,,,16,12,11,32,4,75.15,5636.25,960.00,4676.25,26,22,2,148,0,0.89
2020-08-07,2020-08-13,2020-08-13,11200,75,NO,balance_check_failed,"Best of 1 strikes near ATM 11200 was 11200 at 73.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-08-14,2020-08-20,2020-08-20,11350,75,YES,,,12,8,6,24,4,122.35,9176.25,720.00,8456.25,6,0,2,391,0,0.94
2020-08-21,2020-08-27,2020-08-27,11400,75,YES,,,9,6,4,18,4,126.55,9491.25,540.00,8951.25,0,53,1,9,0,0.90
