date,net_pnl,equity,peak,drawdown
2020-01-16,6746.25,306746.25,306746.25,0.00
2020-02-06,9206.25,315952.50,315952.50,0.00
2020-02-20,-1623.75,314328.75,315952.50,1623.75
2020-03-05,10560.00,324888.75,324888.75,0.00
2020-03-12,-41246.25,283642.50,324888.75,41246.25
2020-03-26,26418.75,310061.25,324888.75,14827.50
2020-04-01,17261.25,327322.50,327322.50,0.00
2020-04-09,-3937.50,323385.00,327322.50,3937.50
2020-04-16,26640.00,350025.00,350025.00,0.00
2020-04-23,14193.75,364218.75,364218.75,0.00
2020-04-30,-8662.50,355556.25,364218.75,8662.50
2020-05-07,14898.75,370455.00,370455.00,0.00
2020-05-14,-3795.00,366660.00,370455.00,3795.00
2020-05-21,19353.75,386013.75,386013.75,0.00
2020-05-28,-6315.00,379698.75,386013.75,6315.00
2020-06-11,-5321.25,374377.50,386013.75,11636.25
2020-06-18,-6285.00,368092.50,386013.75,17921.25
2020-06-25,15191.25,383283.75,386013.75,2730.00
2020-07-09,8115.00,391398.75,391398.75,0.00
2020-07-16,2351.25,393750.00,393750.00,0.00
2020-07-23,-2981.25,390768.75,393750.00,2981.25
2020-08-06,4676.25,395445.00,395445.00,0.00
2020-08-20,8456.25,403901.25,403901.25,0.00
2020-08-27,8951.25,412852.50,412852.50,0.00
2020-09-03,-8610.00,404242.50,412852.50,8610.00
2020-09-10,1957.50,406200.00,412852.50,6652.50
2020-09-17,10680.00,416880.00,416880.00,0.00
2020-09-24,-13740.00,403140.00,416880.00,13740.00
2020-10-01,-7.50,403132.50,416880.00,13747.50
2020-10-15,-25931.25,377201.25,416880.00,39678.75
2020-10-22,8861.25,386062.50,416880.00,30817.50
2020-10-29,7372.50,393435.00,416880.00,23445.00
2020-11-05,8625.00,402060.00,416880.00,14820.00
2020-11-12,4481.25,406541.25,416880.00,10338.75
2020-11-19,3502.50,410043.75,416880.00,6836.25
2020-11-26,1387.50,411431.25,416880.00,5448.75
2020-12-03,12993.75,424425.00,424425.00,0.00
2020-12-10,6030.00,430455.00,430455.00,0.00
2020-12-17,7320.00,437775.00,437775.00,0.00
2020-12-24,-5111.25,432663.75,437775.00,5111.25
2020-12-31,9487.50,442151.25,442151.25,0.00
2021-01-07,6431.25,448582.50,448582.50,0.00
2021-01-14,4777.50,453360.00,453360.00,0.00
2021-01-21,17733.75,471093.75,471093.75,0.00
2021-01-28,-9735.00,461358.75,471093.75,9735.00
2021-02-04,-20741.25,440617.50,471093.75,30476.25
2021-02-18,7177.50,447795.00,471093.75,23298.75
2021-02-25,318.75,448113.75,471093.75,22980.00
2021-03-04,7027.50,455141.25,471093.75,15952.50
2021-03-10,22980.00,478121.25,478121.25,0.00
2021-03-18,-393.75,477727.50,478121.25,393.75
2021-03-25,6675.00,484402.50,484402.50,0.00
2021-04-01,12513.75,496916.25,496916.25,0.00
2021-04-08,10038.75,506955.00,506955.00,0.00
2021-04-15,22608.75,529563.75,529563.75,0.00
2021-04-22,2711.25,532275.00,532275.00,0.00
2021-04-29,13800.00,546075.00,546075.00,0.00
2021-05-06,5096.25,551171.25,551171.25,0.00
2021-05-12,11171.25,562342.50,562342.50,0.00
2021-05-20,18866.25,581208.75,581208.75,0.00
2021-05-27,7462.50,588671.25,588671.25,0.00
2021-06-03,3630.00,592301.25,592301.25,0.00
2021-06-10,7057.50,599358.75,599358.75,0.00
2021-06-17,5092.50,604451.25,604451.25,0.00
2021-06-24,-2216.25,602235.00,604451.25,2216.25
2021-07-08,3183.75,605418.75,605418.75,0.00
2021-07-22,8167.50,613586.25,613586.25,0.00
2021-07-29,8257.50,621843.75,621843.75,0.00
2021-08-05,-10665.00,611178.75,621843.75,10665.00
2021-08-12,3720.00,614898.75,621843.75,6945.00
2021-08-18,8422.50,623321.25,623321.25,0.00
2021-08-26,9787.50,633108.75,633108.75,0.00
2021-09-02,-7605.00,625503.75,633108.75,7605.00
2021-09-09,9337.50,634841.25,634841.25,0.00
2021-09-16,-1500.00,633341.25,634841.25,1500.00
2021-09-23,-10946.25,622395.00,634841.25,12446.25
2021-09-30,11497.50,633892.50,634841.25,948.75
