entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-01,2020-01-02,12200,75,YES,,,2,0,0,4,2,16.50,1237.50,120.00,1117.50,0,0,0,0,0,0.76
2020-01-03,2020-01-08,2020-01-09,12250,75,YES,,,8,5,3,16,4,-94.05,-7053.75,480.00,-7533.75,8,19,1,24,0,0.79
2020-01-10,2020-01-15,2020-01-16,12250,75,YES,,,5,3,3,10,4,45.40,3405.00,300.00,3105.00,0,25,0,3,0,0.96
2020-01-17,2020-01-22,2020-01-23,12350,75,YES,,,4,2,0,8,4,-54.15,-4061.25,240.00,-4301.25,4,3,0,50,0,0.80
2020-01-24,2020-01-29,2020-01-30,12150,75,YES,,,7,4,4,14,4,-32.45,-2433.75,420.00,-2853.75,0,21,1,4,0,0.75
2020-01-31,2020-02-05,2020-02-06,12050,75,YES,,,7,4,3,14,4,148.10,11107.50,420.00,10687.50,18,8,1,33,0,0.94
2020-02-07,2020-02-12,2020-02-13,12150,75,YES,,,7,5,4,14,4,14.55,1091.25,420.00,671.25,0,27,0,10,0,0.50
2020-02-14,2020-02-19,2020-02-20,12250,75,YES,,,8,4,4,16,4,13.05,978.75,480.00,498.75,25,12,2,28,0,0.88
2020-02-24,2020-02-26,2020-02-27,11950,75,YES,,,6,3,1,12,4,3.30,247.50,360.00,-112.50,1,3,1,25,0,0.67
2020-02-28,2020-03-04,2020-03-05,11350,75,YES,,,9,6,6,18,4,14.50,1087.50,540.00,547.50,4,0,1,0,0,0.88
2020-03-06,2020-03-11,2020-03-12,10900,75,YES,,,8,2,1,16,4,133.25,9993.75,480.00,9513.75,2,8,4,4,0,0.93
2020-03-13,2020-03-18,2020-03-19,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-20,2020-03-25,2020-03-26,8350,75,YES,,,9,6,4,18,4,197.15,14786.25,540.00,14246.25,74,4,1,0,0,0.94
2020-03-27,2020-03-31,2020-04-01,8950,75,YES,,,8,4,4,16,4,364.05,27303.75,480.00,26823.75,63,0,2,0,0,0.88
2020-04-03,2020-04-08,2020-04-09,8150,75,YES,,,7,2,0,14,4,204.80,15360.00,420.00,14940.00,42,0,3,34,0,0.87
2020-04-13,2020-04-15,2020-04-16,9100,75,YES,,,8,5,3,16,4,117.95,8846.25,480.00,8366.25,0,0,1,0,0,0.81
2020-04-17,2020-04-22,2020-04-23,9250,75,YES,,,7,4,3,14,4,103.45,7758.75,420.00,7338.75,13,1,1,0,0,0.85
2020-04-24,2020-04-29,2020-04-30,9200,75,YES,,,5,3,1,10,4,73.40,5505.00,300.00,5205.00,0,2,0,27,0,0.83
2020-05-04,2020-05-06,2020-05-07,9450,75,YES,,,9,6,5,18,4,68.05,5103.75,540.00,4563.75,9,0,1,2,0,0.81
2020-05-08,2020-05-13,2020-05-14,9350,75,YES,,,10,6,6,20,4,-232.95,-17471.25,600.00,-18071.25,8,1,2,2,0,0.90
2020-05-15,2020-05-20,2020-05-21,9100,75,YES,,,7,4,3,14,4,148.05,11103.75,420.00,10683.75,1,0,1,0,0,0.91
2020-05-22,2020-05-27,2020-05-28,9050,75,YES,,,11,7,5,22,4,32.95,2471.25,660.00,1811.25,0,0,2,8,0,1.00
2020-05-29,2020-06-03,2020-06-04,9450,75,YES,,,7,2,0,14,4,61.40,4605.00,420.00,4185.00,44,0,3,36,0,0.70
2020-06-05,2020-06-10,2020-06-11,10100,75,YES,,,10,8,8,20,4,8.35,626.25,600.00,26.25,0,3,0,0,0,0.88
2020-06-12,2020-06-17,2020-06-18,9650,75,YES,,,11,8,8,22,4,-49.45,-3708.75,660.00,-4368.75,38,3,1,0,0,0.88
2020-06-19,2020-06-24,2020-06-25,10150,75,YES,,,7,4,3,14,4,171.15,12836.25,420.00,12416.25,13,0,1,26,0,0.86
2020-06-26,2020-07-01,2020-07-02,10350,75,YES,,,6,4,3,12,4,156.45,11733.75,360.00,11373.75,0,2,0,0,0,0.79
2020-07-03,2020-07-08,2020-07-09,10600,75,YES,,,8,5,5,16,4,74.15,5561.25,480.00,5081.25,0,7,1,0,0,0.84
2020-07-10,2020-07-15,2020-07-16,10800,75,YES,,,9,5,5,18,4,0.60,45.00,540.00,-495.00,0,7,2,1,0,0.87
2020-07-17,2020-07-22,2020-07-23,10800,75,YES,,,5,2,0,10,4,46.25,3468.75,300.00,3168.75,2,1,1,50,0,0.80
2020-07-24,2020-07-29,2020-07-30,11150,75,YES,,,6,3,3,12,4,104.20,7815.00,360.00,7455.00,0,3,1,10,0,0.77
2020-07-31,2020-08-05,2020-08-06,11050,75,YES,,,6,4,4,12,4,66.20,4965.00,360.00,4605.00,0,2,0,8,0,0.89
2020-08-07,2020-08-12,2020-08-13,11200,75,YES,,,8,5,4,16,4,9.10,682.50,480.00,202.50,0,8,1,0,0,0.74
2020-08-14,2020-08-19,2020-08-20,11350,75,YES,,,7,5,3,14,4,71.90,5392.50,420.00,4972.50,0,2,0,19,0,0.94
2020-08-21,2020-08-26,2020-08-27,11400,75,YES,,,8,5,3,16,4,40.90,3067.50,480.00,2587.50,0,3,1,0,0,0.90
2020-08-28,2020-09-02,2020-09-03,11600,75,YES,,,10,6,6,20,4,-51.60,-3870.00,600.00,-4470.00,13,1,2,9,0,0.88
2020-09-04,2020-09-09,2020-09-10,11350,75,YES,,,7,5,5,14,4,95.30,7147.50,420.00,6727.50,0,10,0,0,0,0.93
2020-09-11,2020-09-16,2020-09-17,11450,75,YES,,,7,3,1,14,4,76.50,5737.50,420.00,5317.50,0,2,2,5,0,0.97
2020-09-18,2020-09-23,2020-09-24,11550,75,YES,,,5,2,0,10,4,-89.05,-6678.75,300.00,-6978.75,9,0,1,55,0,0.89
2020-09-25,2020-09-30,2020-10-01,10900,75,YES,,,7,2,0,14,4,160.70,12052.50,420.00,11632.50,5,0,3,55,0,0.96
2020-10-05,2020-10-07,2020-10-08,11550,75,YES,,,7,3,1,14,4,57.05,4278.75,420.00,3858.75,0,2,2,17,0,0.68
2020-10-09,2020-10-14,2020-10-15,11850,75,YES,,,7,5,3,14,4,38.25,2868.75,420.00,2448.75,0,6,0,0,0,0.89
2020-10-16,2020-10-21,2020-10-22,11750,75,YES,,,10,7,5,20,4,76.70,5752.50,600.00,5152.50,1,4,1,16,0,0.88
2020-10-23,2020-10-28,2020-10-29,11950,75,YES,,,8,4,2,16,4,79.70,5977.50,480.00,5497.50,0,0,2,7,0,0.88
2020-10-30,2020-11-04,2020-11-05,11700,75,YES,,,9,6,4,18,4,145.50,10912.50,540.00,10372.50,0,0,1,1,0,0.85
2020-11-06,2020-11-11,2020-11-12,12150,75,YES,,,7,2,0,14,4,-100.25,-7518.75,420.00,-7938.75,32,0,3,52,0,0.93
2020-11-13,2020-11-18,2020-11-19,12650,75,YES,,,6,2,0,12,4,79.60,5970.00,360.00,5610.00,77,1,2,26,0,0.90
2020-11-20,2020-11-25,2020-11-26,12850,75,YES,,,12,7,6,24,4,-34.70,-2602.50,720.00,-3322.50,0,0,3,5,0,0.89
2020-11-27,2020-12-02,2020-12-03,13000,75,YES,,,6,4,2,12,4,95.85,7188.75,360.00,6828.75,0,2,0,0,0,0.85
2020-12-04,2020-12-09,2020-12-10,13200,75,YES,,,8,4,2,16,4,13.90,1042.50,480.00,562.50,0,5,2,24,0,0.84
