entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-02,2020-01-02,12200,75,YES,,,2,0,0,4,2,-14.60,-1095.00,120.00,-1215.00,0,0,0,0,0,0.76
2020-01-03,2020-01-09,2020-01-09,12250,75,YES,,,5,3,1,10,4,-134.50,-10087.50,300.00,-10387.50,5,5,0,20,0,0.79
2020-01-10,2020-01-16,2020-01-16,12250,75,YES,,,3,1,0,6,3,68.80,5160.00,180.00,4980.00,0,12,0,0,0,0.96
2020-01-17,2020-01-23,2020-01-23,12350,75,YES,,,4,2,0,8,4,22.70,1702.50,240.00,1462.50,4,0,0,26,0,0.80
2020-01-24,2020-01-30,2020-01-30,12150,75,YES,,,5,3,3,10,4,-33.50,-2512.50,300.00,-2812.50,0,1,0,0,0,0.75
2020-01-31,2020-02-06,2020-02-06,12050,75,YES,,,5,3,2,10,4,63.45,4758.75,300.00,4458.75,10,3,0,16,0,0.94
2020-02-07,2020-02-13,2020-02-13,12150,75,YES,,,6,4,3,12,4,68.20,5115.00,360.00,4755.00,0,11,0,0,0,0.50
2020-02-14,2020-02-20,2020-02-20,12250,75,YES,,,4,2,0,8,4,52.05,3903.75,240.00,3663.75,14,8,0,32,0,0.88
2020-02-24,2020-02-27,2020-02-27,11950,75,YES,,,5,2,0,10,4,-41.80,-3135.00,300.00,-3435.00,0,0,1,12,0,0.67
2020-02-28,2020-03-05,2020-03-05,11350,75,YES,,,4,2,2,8,3,59.35,4451.25,240.00,4211.25,1,1,0,0,0,0.88
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,4,2,0,8,4,-797.10,-59782.50,240.00,-60022.50,0,1,0,18,0,0.93
2020-03-13,2020-03-19,2020-03-19,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-20,2020-03-26,2020-03-26,8350,75,YES,,,6,3,2,12,4,498.20,37365.00,360.00,37005.00,49,0,1,1,0,0.94
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,5,2,2,10,4,479.15,35936.25,300.00,35636.25,30,0,1,2,0,0.88
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,4,2,0,8,4,-298.15,-22361.25,240.00,-22601.25,30,0,0,21,0,0.87
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,4,2,1,8,3,359.75,26981.25,240.00,26741.25,0,0,0,0,0,0.81
2020-04-17,2020-04-23,2020-04-23,9250,75,YES,,,4,2,2,8,4,171.80,12885.00,240.00,12645.00,9,1,0,1,0,0.85
2020-04-24,2020-04-30,2020-04-30,9200,75,YES,,,4,2,0,8,4,-242.30,-18172.50,240.00,-18412.50,0,0,0,13,0,0.83
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,6,4,2,12,4,208.90,15667.50,360.00,15307.50,6,0,0,1,0,0.81
2020-05-08,2020-05-14,2020-05-14,9350,75,YES,,,6,4,4,12,4,-72.25,-5418.75,360.00,-5778.75,3,0,0,3,0,0.90
2020-05-15,2020-05-21,2020-05-21,9100,75,YES,,,5,3,3,10,4,248.80,18660.00,300.00,18360.00,0,0,0,0,0,0.91
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,5,3,1,10,4,-93.35,-7001.25,300.00,-7301.25,0,1,0,3,0,1.00
