date,net_pnl,equity,peak,drawdown
2020-01-02,-1215.00,298785.00,300000.00,1215.00
2020-01-09,-10387.50,288397.50,300000.00,11602.50
2020-01-16,4980.00,293377.50,300000.00,6622.50
2020-01-23,1462.50,294840.00,300000.00,5160.00
2020-01-30,-2666.25,292173.75,300000.00,7826.25
2020-02-06,6941.25,299115.00,300000.00,885.00
2020-02-13,3918.75,303033.75,303033.75,0.00
2020-02-20,3588.75,306622.50,306622.50,0.00
2020-02-27,-3435.00,303187.50,306622.50,3435.00
2020-03-05,-791.25,302396.25,306622.50,4226.25
2020-03-12,-51468.75,250927.50,306622.50,55695.00
2020-03-26,30753.75,281681.25,306622.50,24941.25
2020-04-01,38876.25,320557.50,320557.50,0.00
2020-04-09,-14535.00,306022.50,320557.50,14535.00
2020-04-16,22406.25,328428.75,328428.75,0.00
2020-04-23,15993.75,344422.50,344422.50,0.00
2020-04-30,-18532.50,325890.00,344422.50,18532.50
2020-05-07,12926.25,338816.25,344422.50,5606.25
2020-05-14,-15645.00,323171.25,344422.50,21251.25
2020-05-21,20831.25,344002.50,344422.50,420.00
2020-05-28,-7301.25,336701.25,344422.50,7721.25
2020-06-04,-3258.75,333442.50,344422.50,10980.00
2020-06-11,-4125.00,329317.50,344422.50,15105.00
2020-06-18,-6633.75,322683.75,344422.50,21738.75
2020-06-25,22080.00,344763.75,344763.75,0.00
2020-07-02,8741.25,353505.00,353505.00,0.00
2020-07-09,7800.00,361305.00,361305.00,0.00
2020-07-16,14452.50,375757.50,375757.50,0.00
2020-07-23,-1155.00,374602.50,375757.50,1155.00
2020-07-30,9045.00,383647.50,383647.50,0.00
2020-08-06,7406.25,391053.75,391053.75,0.00
2020-08-13,4822.50,395876.25,395876.25,0.00
2020-08-20,9570.00,405446.25,405446.25,0.00
2020-08-27,6033.75,411480.00,411480.00,0.00
2020-09-03,1965.00,413445.00,413445.00,0.00
2020-09-10,408.75,413853.75,413853.75,0.00
2020-09-17,11685.00,425538.75,425538.75,0.00
2020-09-24,-35013.75,390525.00,425538.75,35013.75
2020-10-01,-12911.25,377613.75,425538.75,47925.00
2020-10-08,-1623.75,375990.00,425538.75,49548.75
2020-10-15,-13548.75,362441.25,425538.75,63097.50
2020-10-22,10657.50,373098.75,425538.75,52440.00
2020-10-29,4863.75,377962.50,425538.75,47576.25
2020-11-05,3341.25,381303.75,425538.75,44235.00
2020-11-12,-13177.50,368126.25,425538.75,57412.50
2020-11-19,9390.00,377516.25,425538.75,48022.50
2020-11-26,4972.50,382488.75,425538.75,43050.00
2020-12-03,11073.75,393562.50,425538.75,31976.25
2020-12-10,5343.75,398906.25,425538.75,26632.50
2020-12-17,4496.25,403402.50,425538.75,22136.25
2020-12-24,18787.50,422190.00,425538.75,3348.75
2020-12-31,9772.50,431962.50,431962.50,0.00
2021-01-07,12881.25,444843.75,444843.75,0.00
2021-01-14,123.75,444967.50,444967.50,0.00
2021-01-21,7856.25,452823.75,452823.75,0.00
2021-01-28,-28398.75,424425.00,452823.75,28398.75
2021-02-04,-29726.25,394698.75,452823.75,58125.00
2021-02-11,10173.75,404872.50,452823.75,47951.25
2021-02-18,8287.50,413160.00,452823.75,39663.75
2021-02-25,-13106.25,400053.75,452823.75,52770.00
2021-03-04,8178.75,408232.50,452823.75,44591.25
2021-03-10,17613.75,425846.25,452823.75,26977.50
2021-03-18,-13473.75,412372.50,452823.75,40451.25
2021-03-25,17688.75,430061.25,452823.75,22762.50
2021-04-01,5433.75,435495.00,452823.75,17328.75
2021-04-08,10230.00,445725.00,452823.75,7098.75
2021-04-15,15003.75,460728.75,460728.75,0.00
2021-04-22,2925.00,463653.75,463653.75,0.00
2021-04-29,-2606.25,461047.50,463653.75,2606.25
2021-05-06,8625.00,469672.50,469672.50,0.00
2021-05-12,14100.00,483772.50,483772.50,0.00
2021-05-20,12761.25,496533.75,496533.75,0.00
2021-05-27,7485.00,504018.75,504018.75,0.00
2021-06-03,-495.00,503523.75,504018.75,495.00
2021-06-10,7781.25,511305.00,511305.00,0.00
2021-06-17,5283.75,516588.75,516588.75,0.00
2021-06-24,1031.25,517620.00,517620.00,0.00
2021-07-01,9802.50,527422.50,527422.50,0.00
2021-07-08,10758.75,538181.25,538181.25,0.00
2021-07-15,502.50,538683.75,538683.75,0.00
2021-07-22,8741.25,547425.00,547425.00,0.00
2021-07-29,4230.00,551655.00,551655.00,0.00
2021-08-05,-18618.75,533036.25,551655.00,18618.75
2021-08-12,5385.00,538421.25,551655.00,13233.75
2021-08-18,6022.50,544443.75,551655.00,7211.25
2021-08-26,7162.50,551606.25,551655.00,48.75
2021-09-02,-18131.25,533475.00,551655.00,18180.00
2021-09-09,10383.75,543858.75,551655.00,7796.25
2021-09-16,-2253.75,541605.00,551655.00,10050.00
2021-09-23,-6810.00,534795.00,551655.00,16860.00
2021-09-30,1736.25,536531.25,551655.00,15123.75
2021-10-07,8915.00,545446.25,551655.00,6208.75
2021-10-14,-7140.00,538306.25,551655.00,13348.75
2021-10-21,-3887.50,534418.75,551655.00,17236.25
2021-10-28,-8695.00,525723.75,551655.00,25931.25
2021-11-03,15535.00,541258.75,551655.00,10396.25
2021-11-18,-2817.50,538441.25,551655.00,13213.75
2021-11-25,7592.50,546033.75,551655.00,5621.25
2021-12-02,1652.50,547686.25,551655.00,3968.75
2021-12-09,11732.50,559418.75,559418.75,0.00
2021-12-16,6687.50,566106.25,566106.25,0.00
2021-12-23,14035.00,580141.25,580141.25,0.00
2021-12-30,9567.50,589708.75,589708.75,0.00
2022-01-06,-3370.00,586338.75,589708.75,3370.00
2022-01-13,-112.50,586226.25,589708.75,3482.50
2022-01-20,-3672.50,582553.75,589708.75,7155.00
2022-01-27,570.00,583123.75,589708.75,6585.00
2022-02-03,13287.50,596411.25,596411.25,0.00
2022-02-10,7320.00,603731.25,603731.25,0.00
2022-02-17,-5700.00,598031.25,603731.25,5700.00
2022-02-24,-25155.00,572876.25,603731.25,30855.00
2022-03-03,23125.00,596001.25,603731.25,7730.00
2022-03-10,6987.50,602988.75,603731.25,742.50
2022-03-17,-5915.00,597073.75,603731.25,6657.50
2022-03-24,11132.50,608206.25,608206.25,0.00
2022-03-31,8800.00,617006.25,617006.25,0.00
2022-04-07,16285.00,633291.25,633291.25,0.00
2022-04-13,6182.50,639473.75,639473.75,0.00
2022-04-21,-1105.00,638368.75,639473.75,1105.00
2022-04-28,-122.50,638246.25,639473.75,1227.50
2022-05-05,-7887.50,630358.75,639473.75,9115.00
2022-05-12,-7287.50,623071.25,639473.75,16402.50
2022-05-19,-2180.00,620891.25,639473.75,18582.50
2022-05-26,11610.00,632501.25,639473.75,6972.50
2022-06-02,7912.50,640413.75,640413.75,0.00
2022-06-09,7625.00,648038.75,648038.75,0.00
2022-06-16,-23867.50,624171.25,648038.75,23867.50
2022-06-23,9345.00,633516.25,648038.75,14522.50
2022-06-30,12710.00,646226.25,648038.75,1812.50
2022-07-07,-495.00,645731.25,648038.75,2307.50
2022-07-14,6052.50,651783.75,651783.75,0.00
2022-07-21,-12430.00,639353.75,651783.75,12430.00
2022-07-28,-4497.50,634856.25,651783.75,16927.50
2022-08-04,8337.50,643193.75,651783.75,8590.00
2022-08-11,7087.50,650281.25,651783.75,1502.50
2022-08-18,1810.00,652091.25,652091.25,0.00
2022-08-25,-3145.00,648946.25,652091.25,3145.00
2022-09-01,8590.00,657536.25,657536.25,0.00
2022-09-08,5835.00,663371.25,663371.25,0.00
2022-09-15,4965.00,668336.25,668336.25,0.00
2022-09-22,4932.50,673268.75,673268.75,0.00
2022-09-29,-11317.50,661951.25,673268.75,11317.50
2022-10-06,-415.00,661536.25,673268.75,11732.50
2022-10-13,3255.00,664791.25,673268.75,8477.50
2022-10-20,8185.00,672976.25,673268.75,292.50
2022-10-27,3067.50,676043.75,676043.75,0.00
2022-11-03,6237.50,682281.25,682281.25,0.00
2022-11-10,6745.00,689026.25,689026.25,0.00
2022-11-17,9985.00,699011.25,699011.25,0.00
2022-11-24,150.00,699161.25,699161.25,0.00
2022-12-01,-4062.50,695098.75,699161.25,4062.50
2022-12-08,6757.50,701856.25,701856.25,0.00
2022-12-15,-9022.50,692833.75,701856.25,9022.50
2022-12-22,-2295.00,690538.75,701856.25,11317.50
2022-12-29,9062.50,699601.25,701856.25,2255.00
2023-01-05,2825.00,702426.25,702426.25,0.00
2023-01-12,-797.50,701628.75,702426.25,797.50
2023-01-19,3992.50,705621.25,705621.25,0.00
2023-01-25,-3590.00,702031.25,705621.25,3590.00
2023-02-02,-1245.00,700786.25,705621.25,4835.00
2023-02-09,9130.00,709916.25,709916.25,0.00
2023-02-16,3405.00,713321.25,713321.25,0.00
2023-02-23,-9047.50,704273.75,713321.25,9047.50
2023-03-02,4525.00,708798.75,713321.25,4522.50
2023-03-09,5717.50,714516.25,714516.25,0.00
2023-03-16,360.00,714876.25,714876.25,0.00
2023-03-23,11290.00,726166.25,726166.25,0.00
2023-03-29,6275.00,732441.25,732441.25,0.00
2023-04-06,-2410.00,730031.25,732441.25,2410.00
2023-04-13,1537.50,731568.75,732441.25,872.50
2023-04-20,6162.50,737731.25,737731.25,0.00
2023-04-27,1322.50,739053.75,739053.75,0.00
2023-05-04,-3822.50,735231.25,739053.75,3822.50
2023-05-11,3892.50,739123.75,739123.75,0.00
2023-05-18,2412.50,741536.25,741536.25,0.00
2023-05-25,4015.00,745551.25,745551.25,0.00
2023-06-01,7050.00,752601.25,752601.25,0.00
2023-06-08,7157.50,759758.75,759758.75,0.00
2023-06-15,6712.50,766471.25,766471.25,0.00
2023-06-22,3807.50,770278.75,770278.75,0.00
2023-07-06,-9492.50,760786.25,770278.75,9492.50
2023-07-13,8210.00,768996.25,770278.75,1282.50
2023-07-20,-11450.00,757546.25,770278.75,12732.50
2023-07-27,5110.00,762656.25,770278.75,7622.50
2023-08-03,-1925.00,760731.25,770278.75,9547.50
2023-08-10,7655.00,768386.25,770278.75,1892.50
2023-08-17,1740.00,770126.25,770278.75,152.50
2023-08-24,9427.50,779553.75,779553.75,0.00
2023-08-31,10495.00,790048.75,790048.75,0.00
2023-09-07,-7225.00,782823.75,790048.75,7225.00
2023-09-14,-5130.00,777693.75,790048.75,12355.00
2023-09-21,-3535.00,774158.75,790048.75,15890.00
2023-09-28,-4405.00,769753.75,790048.75,20295.00
2023-10-05,7135.00,776888.75,790048.75,13160.00
2023-10-12,2352.50,779241.25,790048.75,10807.50
2023-10-19,-3040.00,776201.25,790048.75,13847.50
2023-10-26,-20802.50,755398.75,790048.75,34650.00
2023-11-02,3112.50,758511.25,790048.75,31537.50
2023-11-09,6917.50,765428.75,790048.75,24620.00
2023-11-16,-8687.50,756741.25,790048.75,33307.50
2023-11-23,8325.00,765066.25,790048.75,24982.50
2023-11-30,-5012.50,760053.75,790048.75,29995.00
2023-12-07,-15795.00,744258.75,790048.75,45790.00
2023-12-14,-7162.50,737096.25,790048.75,52952.50
2023-12-21,737.50,737833.75,790048.75,52215.00
2023-12-28,-6982.50,730851.25,790048.75,59197.50
2024-01-04,8495.00,739346.25,790048.75,50702.50
2024-01-11,3352.50,742698.75,790048.75,47350.00
2024-01-18,-4710.00,737988.75,790048.75,52060.00
2024-01-25,6277.50,744266.25,790048.75,45782.50
2024-02-01,13077.50,757343.75,790048.75,32705.00
2024-02-08,1607.50,758951.25,790048.75,31097.50
2024-02-15,11395.00,770346.25,790048.75,19702.50
2024-02-22,5580.00,775926.25,790048.75,14122.50
2024-02-29,8042.50,783968.75,790048.75,6080.00
2024-03-07,3210.00,787178.75,790048.75,2870.00
2024-03-14,-1915.00,785263.75,790048.75,4785.00
2024-03-21,11830.00,797093.75,797093.75,0.00
2024-03-28,1732.50,798826.25,798826.25,0.00
2024-04-04,7585.00,806411.25,806411.25,0.00
2024-04-10,6310.00,812721.25,812721.25,0.00
2024-04-18,-6487.50,806233.75,812721.25,6487.50
2024-04-25,-11682.50,794551.25,812721.25,18170.00
2024-05-02,4525.00,799076.25,812721.25,13645.00
2024-05-09,-6972.50,792103.75,812721.25,20617.50
2024-05-16,2273.75,794377.50,812721.25,18343.75
2024-05-23,-3733.75,790643.75,812721.25,22077.50
2024-05-30,-2697.50,787946.25,812721.25,24775.00
2024-06-06,-13767.50,774178.75,812721.25,38542.50
2024-06-13,5038.75,779217.50,812721.25,33503.75
2024-06-20,673.75,779891.25,812721.25,32830.00
2024-06-27,-4080.00,775811.25,812721.25,36910.00
2024-07-04,4945.00,780756.25,812721.25,31965.00
2024-07-11,3021.25,783777.50,812721.25,28943.75
2024-07-18,-2761.25,781016.25,812721.25,31705.00
2024-07-25,7278.75,788295.00,812721.25,24426.25
2024-08-01,-3511.25,784783.75,812721.25,27937.50
2024-08-08,-6508.75,778275.00,812721.25,34446.25
2024-08-14,4518.75,782793.75,812721.25,29927.50
2024-08-22,1881.25,784675.00,812721.25,28046.25
2024-08-29,501.25,785176.25,812721.25,27545.00
2024-09-05,4878.75,790055.00,812721.25,22666.25
2024-09-12,-5426.25,784628.75,812721.25,28092.50
2024-09-19,4630.00,789258.75,812721.25,23462.50
2024-09-26,-6093.75,783165.00,812721.25,29556.25
