date,net_pnl,equity,peak,drawdown
2020-01-01,1117.50,301117.50,301117.50,0.00
2020-01-08,-7451.25,293666.25,301117.50,7451.25
2020-01-15,4177.50,297843.75,301117.50,3273.75
2020-01-22,-4335.00,293508.75,301117.50,7608.75
2020-01-29,3645.00,297153.75,301117.50,3963.75
2020-02-05,9753.75,306907.50,306907.50,0.00
2020-02-12,-26.25,306881.25,306907.50,26.25
2020-02-19,4136.25,311017.50,311017.50,0.00
2020-02-26,2077.50,313095.00,313095.00,0.00
2020-03-04,-1237.50,311857.50,313095.00,1237.50
2020-03-11,15041.25,326898.75,326898.75,0.00
2020-03-25,2433.75,329332.50,329332.50,0.00
2020-03-31,48165.00,377497.50,377497.50,0.00
2020-04-08,2343.75,379841.25,379841.25,0.00
2020-04-15,8373.75,388215.00,388215.00,0.00
2020-04-22,7320.00,395535.00,395535.00,0.00
2020-04-29,3375.00,398910.00,398910.00,0.00
2020-05-06,9510.00,408420.00,408420.00,0.00
2020-05-13,-19657.50,388762.50,408420.00,19657.50
2020-05-20,8715.00,397477.50,408420.00,10942.50
2020-05-27,817.50,398295.00,408420.00,10125.00
2020-06-03,-363.75,397931.25,408420.00,10488.75
2020-06-10,4788.75,402720.00,408420.00,5700.00
2020-06-17,-13462.50,389257.50,408420.00,19162.50
2020-06-24,4447.50,393705.00,408420.00,14715.00
2020-07-01,12206.25,405911.25,408420.00,2508.75
2020-07-08,6746.25,412657.50,412657.50,0.00
2020-07-15,-4578.75,408078.75,412657.50,4578.75
2020-07-22,3120.00,411198.75,412657.50,1458.75
2020-07-29,5025.00,416223.75,416223.75,0.00
2020-08-05,5006.25,421230.00,421230.00,0.00
2020-08-12,1867.50,423097.50,423097.50,0.00
2020-08-19,2677.50,425775.00,425775.00,0.00
2020-08-26,1357.50,427132.50,427132.50,0.00
2020-09-02,-3360.00,423772.50,427132.50,3360.00
2020-09-09,4698.75,428471.25,428471.25,0.00
2020-09-16,5141.25,433612.50,433612.50,0.00
2020-09-23,-2801.25,430811.25,433612.50,2801.25
2020-09-30,2681.25,433492.50,433612.50,120.00
2020-10-07,-592.50,432900.00,433612.50,712.50
2020-10-14,5411.25,438311.25,438311.25,0.00
2020-10-21,-487.50,437823.75,438311.25,487.50
2020-10-28,1027.50,438851.25,438851.25,0.00
2020-11-04,7837.50,446688.75,446688.75,0.00
2020-11-11,-12187.50,434501.25,446688.75,12187.50
2020-11-18,5613.75,440115.00,446688.75,6573.75
2020-11-25,-3967.50,436147.50,446688.75,10541.25
2020-12-02,6603.75,442751.25,446688.75,3937.50
2020-12-09,198.75,442950.00,446688.75,3738.75
2020-12-16,4680.00,447630.00,447630.00,0.00
2020-12-23,9461.25,457091.25,457091.25,0.00
2020-12-30,5130.00,462221.25,462221.25,0.00
2021-01-06,3296.25,465517.50,465517.50,0.00
2021-01-13,3885.00,469402.50,469402.50,0.00
2021-01-20,6000.00,475402.50,475402.50,0.00
2021-01-27,-11122.50,464280.00,475402.50,11122.50
2021-02-03,-25331.25,438948.75,475402.50,36453.75
2021-02-10,5685.00,444633.75,475402.50,30768.75
2021-02-17,5231.25,449865.00,475402.50,25537.50
2021-02-24,8703.75,458568.75,475402.50,16833.75
2021-03-03,-41.25,458527.50,475402.50,16875.00
2021-03-09,17910.00,476437.50,476437.50,0.00
2021-03-17,-8441.25,467996.25,476437.50,8441.25
2021-03-24,12840.00,480836.25,480836.25,0.00
2021-03-31,14167.50,495003.75,495003.75,0.00
2021-04-07,5793.75,500797.50,500797.50,0.00
2021-04-13,2970.00,503767.50,503767.50,0.00
2021-04-20,-5523.75,498243.75,503767.50,5523.75
2021-04-28,7226.25,505470.00,505470.00,0.00
2021-05-05,7237.50,512707.50,512707.50,0.00
2021-05-11,9840.00,522547.50,522547.50,0.00
2021-05-19,1203.75,523751.25,523751.25,0.00
2021-05-26,11827.50,535578.75,535578.75,0.00
2021-06-02,7121.25,542700.00,542700.00,0.00
2021-06-09,8497.50,551197.50,551197.50,0.00
2021-06-16,4350.00,555547.50,555547.50,0.00
2021-06-23,-5302.50,550245.00,555547.50,5302.50
2021-06-30,7961.25,558206.25,558206.25,0.00
2021-07-07,5238.75,563445.00,563445.00,0.00
2021-07-14,3645.00,567090.00,567090.00,0.00
2021-07-20,-5752.50,561337.50,567090.00,5752.50
2021-07-28,-108.75,561228.75,567090.00,5861.25
2021-08-04,-12232.50,548996.25,567090.00,18093.75
2021-08-11,5643.75,554640.00,567090.00,12450.00
2021-08-17,2062.50,556702.50,567090.00,10387.50
2021-08-25,6052.50,562755.00,567090.00,4335.00
2021-09-01,-6922.50,555832.50,567090.00,11257.50
2021-09-08,6078.75,561911.25,567090.00,5178.75
2021-09-15,4335.00,566246.25,567090.00,843.75
2021-09-22,-4560.00,561686.25,567090.00,5403.75
2021-09-29,7462.50,569148.75,569148.75,0.00
2021-10-06,5745.00,574893.75,574893.75,0.00
2021-10-13,-865.00,574028.75,574893.75,865.00
2021-10-20,-905.00,573123.75,574893.75,1770.00
2021-10-27,4195.00,577318.75,577318.75,0.00
2021-11-02,10135.00,587453.75,587453.75,0.00
2021-11-17,1290.00,588743.75,588743.75,0.00
2021-11-24,-140.00,588603.75,588743.75,140.00
2021-12-01,-640.00,587963.75,588743.75,780.00
2021-12-08,9232.50,597196.25,597196.25,0.00
2021-12-15,-1622.50,595573.75,597196.25,1622.50
2021-12-22,7542.50,603116.25,603116.25,0.00
2021-12-29,7517.50,610633.75,610633.75,0.00
2022-01-05,-10380.00,600253.75,610633.75,10380.00
2022-01-12,7570.00,607823.75,610633.75,2810.00
2022-01-19,-4325.00,603498.75,610633.75,7135.00
2022-01-25,7105.00,610603.75,610633.75,30.00
2022-02-02,-50.00,610553.75,610633.75,80.00
2022-02-09,1175.00,611728.75,611728.75,0.00
2022-02-16,-10985.00,600743.75,611728.75,10985.00
2022-02-23,5960.00,606703.75,611728.75,5025.00
2022-03-02,10392.50,617096.25,617096.25,0.00
2022-03-09,4745.00,621841.25,621841.25,0.00
2022-03-16,4440.00,626281.25,626281.25,0.00
2022-03-23,3362.50,629643.75,629643.75,0.00
2022-03-30,5547.50,635191.25,635191.25,0.00
2022-04-06,8007.50,643198.75,643198.75,0.00
2022-04-12,4852.50,648051.25,648051.25,0.00
2022-04-20,4717.50,652768.75,652768.75,0.00
2022-04-27,-1137.50,651631.25,652768.75,1137.50
2022-05-04,-1907.50,649723.75,652768.75,3045.00
2022-05-11,5847.50,655571.25,655571.25,0.00
2022-05-18,7580.00,663151.25,663151.25,0.00
2022-05-25,6135.00,669286.25,669286.25,0.00
2022-06-01,4882.50,674168.75,674168.75,0.00
2022-06-08,8470.00,682638.75,682638.75,0.00
2022-06-15,-7310.00,675328.75,682638.75,7310.00
2022-06-22,8787.50,684116.25,684116.25,0.00
2022-06-29,4860.00,688976.25,688976.25,0.00
2022-07-06,-842.50,688133.75,688976.25,842.50
2022-07-13,3962.50,692096.25,692096.25,0.00
2022-07-20,-4675.00,687421.25,692096.25,4675.00
2022-07-27,212.50,687633.75,692096.25,4462.50
2022-08-03,-245.00,687388.75,692096.25,4707.50
2022-08-10,8452.50,695841.25,695841.25,0.00
2022-08-17,2655.00,698496.25,698496.25,0.00
2022-08-24,5755.00,704251.25,704251.25,0.00
2022-08-30,-3315.00,700936.25,704251.25,3315.00
2022-09-07,5350.00,706286.25,706286.25,0.00
2022-09-14,-10440.00,695846.25,706286.25,10440.00
2022-09-21,730.00,696576.25,706286.25,9710.00
2022-09-28,767.50,697343.75,706286.25,8942.50
2022-10-04,2380.00,699723.75,706286.25,6562.50
2022-10-12,-5470.00,694253.75,706286.25,12032.50
2022-10-19,7320.00,701573.75,706286.25,4712.50
2022-10-25,695.00,702268.75,706286.25,4017.50
2022-11-02,2595.00,704863.75,706286.25,1422.50
2022-11-09,4085.00,708948.75,708948.75,0.00
2022-11-16,2572.50,711521.25,711521.25,0.00
2022-11-23,3657.50,715178.75,715178.75,0.00
2022-11-30,-2712.50,712466.25,715178.75,2712.50
2022-12-07,2095.00,714561.25,715178.75,617.50
2022-12-14,-585.00,713976.25,715178.75,1202.50
2022-12-21,-962.50,713013.75,715178.75,2165.00
2022-12-28,6527.50,719541.25,719541.25,0.00
2023-01-04,1827.50,721368.75,721368.75,0.00
2023-01-11,-2597.50,718771.25,721368.75,2597.50
2023-01-18,4007.50,722778.75,722778.75,0.00
2023-01-24,4760.00,727538.75,727538.75,0.00
2023-02-01,-2577.50,724961.25,727538.75,2577.50
2023-02-08,3297.50,728258.75,728258.75,0.00
2023-02-15,2275.00,730533.75,730533.75,0.00
2023-02-22,-5575.00,724958.75,730533.75,5575.00
2023-03-01,4592.50,729551.25,730533.75,982.50
2023-03-08,-2512.50,727038.75,730533.75,3495.00
2023-03-15,-2470.00,724568.75,730533.75,5965.00
2023-03-22,1212.50,725781.25,730533.75,4752.50
2023-03-28,4522.50,730303.75,730533.75,230.00
2023-04-05,-2017.50,728286.25,730533.75,2247.50
2023-04-12,1880.00,730166.25,730533.75,367.50
2023-04-19,3977.50,734143.75,734143.75,0.00
2023-04-26,2890.00,737033.75,737033.75,0.00
2023-05-03,695.00,737728.75,737728.75,0.00
2023-05-10,-620.00,737108.75,737728.75,620.00
2023-05-17,-95.00,737013.75,737728.75,715.00
2023-05-24,4325.00,741338.75,741338.75,0.00
2023-05-31,1965.00,743303.75,743303.75,0.00
2023-06-07,1302.50,744606.25,744606.25,0.00
2023-06-14,3140.00,747746.25,747746.25,0.00
2023-06-21,387.50,748133.75,748133.75,0.00
2023-07-05,-2582.50,745551.25,748133.75,2582.50
2023-07-12,4002.50,749553.75,749553.75,0.00
2023-07-19,-3617.50,745936.25,749553.75,3617.50
2023-07-26,2817.50,748753.75,749553.75,800.00
2023-08-02,785.00,749538.75,749553.75,15.00
