date,net_pnl,equity,peak,drawdown
2020-01-16,6746.25,306746.25,306746.25,0.00
2020-02-06,9206.25,315952.50,315952.50,0.00
2020-02-13,6288.75,322241.25,322241.25,0.00
2020-02-20,-1623.75,320617.50,322241.25,1623.75
2020-03-05,10560.00,331177.50,331177.50,0.00
2020-03-12,-41246.25,289931.25,331177.50,41246.25
2020-03-19,-57851.25,232080.00,331177.50,99097.50
2020-03-26,26418.75,258498.75,331177.50,72678.75
2020-04-01,17261.25,275760.00,331177.50,55417.50
2020-04-09,-3937.50,271822.50,331177.50,59355.00
2020-04-16,26640.00,298462.50,331177.50,32715.00
2020-04-23,14193.75,312656.25,331177.50,18521.25
2020-04-30,-8662.50,303993.75,331177.50,27183.75
2020-05-07,14898.75,318892.50,331177.50,12285.00
2020-05-14,-3795.00,315097.50,331177.50,16080.00
2020-05-21,19353.75,334451.25,334451.25,0.00
2020-05-28,-6315.00,328136.25,334451.25,6315.00
2020-06-04,16267.50,344403.75,344403.75,0.00
2020-06-11,-5321.25,339082.50,344403.75,5321.25
2020-06-18,-6285.00,332797.50,344403.75,11606.25
2020-06-25,15191.25,347988.75,347988.75,0.00
2020-07-02,6675.00,354663.75,354663.75,0.00
2020-07-09,8115.00,362778.75,362778.75,0.00
2020-07-16,2351.25,365130.00,365130.00,0.00
2020-07-23,-2981.25,362148.75,365130.00,2981.25
2020-07-30,7957.50,370106.25,370106.25,0.00
2020-08-06,4676.25,374782.50,374782.50,0.00
2020-08-13,11835.00,386617.50,386617.50,0.00
2020-08-20,8456.25,395073.75,395073.75,0.00
2020-08-27,8951.25,404025.00,404025.00,0.00
2020-09-03,-8610.00,395415.00,404025.00,8610.00
2020-09-10,1957.50,397372.50,404025.00,6652.50
2020-09-17,10680.00,408052.50,408052.50,0.00
2020-09-24,-13740.00,394312.50,408052.50,13740.00
2020-10-01,-7.50,394305.00,408052.50,13747.50
2020-10-08,-1725.00,392580.00,408052.50,15472.50
2020-10-15,-25931.25,366648.75,408052.50,41403.75
2020-10-22,8861.25,375510.00,408052.50,32542.50
2020-10-29,7372.50,382882.50,408052.50,25170.00
2020-11-05,8625.00,391507.50,408052.50,16545.00
2020-11-12,4481.25,395988.75,408052.50,12063.75
2020-11-19,3502.50,399491.25,408052.50,8561.25
2020-11-26,1387.50,400878.75,408052.50,7173.75
2020-12-03,12993.75,413872.50,413872.50,0.00
2020-12-10,6030.00,419902.50,419902.50,0.00
2020-12-17,7320.00,427222.50,427222.50,0.00
2020-12-24,-5111.25,422111.25,427222.50,5111.25
2020-12-31,9487.50,431598.75,431598.75,0.00
2021-01-07,6431.25,438030.00,438030.00,0.00
2021-01-14,4777.50,442807.50,442807.50,0.00
2021-01-21,17733.75,460541.25,460541.25,0.00
2021-01-28,-9735.00,450806.25,460541.25,9735.00
2021-02-04,-20741.25,430065.00,460541.25,30476.25
2021-02-11,15041.25,445106.25,460541.25,15435.00
2021-02-18,7177.50,452283.75,460541.25,8257.50
2021-02-25,318.75,452602.50,460541.25,7938.75
2021-03-04,7027.50,459630.00,460541.25,911.25
2021-03-10,22980.00,482610.00,482610.00,0.00
2021-03-18,-393.75,482216.25,482610.00,393.75
2021-03-25,6675.00,488891.25,488891.25,0.00
2021-04-01,12513.75,501405.00,501405.00,0.00
2021-04-08,10038.75,511443.75,511443.75,0.00
2021-04-15,22608.75,534052.50,534052.50,0.00
2021-04-22,2711.25,536763.75,536763.75,0.00
2021-04-29,13800.00,550563.75,550563.75,0.00
2021-05-06,5096.25,555660.00,555660.00,0.00
2021-05-12,11171.25,566831.25,566831.25,0.00
2021-05-20,18866.25,585697.50,585697.50,0.00
2021-05-27,7462.50,593160.00,593160.00,0.00
2021-06-03,3630.00,596790.00,596790.00,0.00
2021-06-10,7057.50,603847.50,603847.50,0.00
2021-06-17,5092.50,608940.00,608940.00,0.00
2021-06-24,-2216.25,606723.75,608940.00,2216.25
2021-07-01,8628.75,615352.50,615352.50,0.00
2021-07-08,3183.75,618536.25,618536.25,0.00
2021-07-15,3678.75,622215.00,622215.00,0.00
2021-07-22,8167.50,630382.50,630382.50,0.00
