entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-02,2020-01-02,12200,75,YES,,,3,1,0,6,3,-1.95,-146.25,180.00,-326.25,0,360,0,0,0,0.76
2020-01-06,2020-01-09,2020-01-09,12150,75,YES,,,13,10,10,26,4,-144.35,-10826.25,780.00,-11606.25,40,429,1,0,0,0.85
2020-01-13,2020-01-16,2020-01-16,12350,75,YES,,,6,4,4,12,3,111.00,8325.00,360.00,7965.00,0,481,0,0,0,0.72
2020-01-20,2020-01-23,2020-01-23,12400,75,YES,,,7,3,1,14,4,55.45,4158.75,420.00,3738.75,157,47,2,1059,0,0.71
2020-01-27,2020-01-30,2020-01-30,12150,75,YES,,,10,8,8,20,4,7.05,528.75,600.00,-71.25,0,408,0,0,-50,0.72
2020-02-03,2020-02-06,2020-02-06,11650,75,YES,,,9,4,2,18,4,-89.65,-6723.75,540.00,-7263.75,658,9,3,983,-50,0.76
2020-02-10,2020-02-13,2020-02-13,12050,75,YES,,,6,4,2,12,4,59.00,4425.00,360.00,4065.00,18,319,0,738,0,0.98
2020-02-17,2020-02-20,2020-02-20,12150,75,YES,,,9,6,6,18,4,18.65,1398.75,540.00,858.75,20,530,1,358,0,0.98
2020-02-24,2020-02-27,2020-02-27,11900,75,YES,,,11,8,6,22,4,-19.65,-1473.75,660.00,-2133.75,7,70,1,687,-50,0.75
2020-03-02,2020-03-05,2020-03-05,11250,75,YES,,,19,16,16,38,4,32.00,2400.00,1140.00,1260.00,12,36,1,201,-100,0.78
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,9,3,2,18,4,-542.75,-40706.25,540.00,-41246.25,279,523,4,2,0,0.93
2020-03-16,2020-03-19,2020-03-19,9500,75,YES,,,13,8,6,26,4,149.10,11182.50,780.00,10402.50,227,0,3,672,0,0.88
2020-03-23,2020-03-26,2020-03-26,8150,75,YES,,,12,6,4,24,4,646.30,48472.50,720.00,47752.50,894,0,4,345,0,0.98
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,11,6,6,22,4,238.95,17921.25,660.00,17261.25,1203,368,3,6,0,0.88
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,9,4,2,18,4,-45.30,-3397.50,540.00,-3937.50,940,5,3,851,0,0.87
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,16,12,12,32,4,202.55,15191.25,960.00,14231.25,0,10,2,25,0,0.81
2020-04-20,2020-04-23,2020-04-23,9300,75,YES,,,9,4,3,18,4,180.30,13522.50,540.00,12982.50,170,343,3,0,0,0.86
2020-04-27,2020-04-30,2020-04-30,9300,75,YES,,,7,2,0,14,4,-72.15,-5411.25,420.00,-5831.25,29,0,3,447,0,0.87
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,15,11,9,30,4,263.75,19781.25,900.00,18881.25,262,0,2,407,0,0.81
2020-05-11,2020-05-14,2020-05-14,9350,75,YES,,,11,6,6,22,4,-115.85,-8688.75,660.00,-9348.75,500,324,3,4,-50,0.89
2020-05-18,2020-05-21,2020-05-21,9100,75,YES,,,13,10,10,26,4,165.60,12420.00,780.00,11640.00,11,365,1,0,0,0.95
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,13,8,6,26,4,-73.80,-5535.00,780.00,-6315.00,122,7,3,470,0,1.00
2020-06-01,2020-06-04,2020-06-04,9750,75,YES,,,11,7,5,22,4,147.95,11096.25,660.00,10436.25,375,0,2,740,-50,0.98
2020-06-08,2020-06-11,2020-06-11,10300,75,YES,,,14,9,8,28,4,-34.50,-2587.50,840.00,-3427.50,5,365,3,16,0,0.95
2020-06-15,2020-06-18,2020-06-18,9900,75,YES,,,17,15,13,34,4,-24.80,-1860.00,1020.00,-2880.00,0,74,0,154,0,0.89
2020-06-22,2020-06-25,2020-06-25,10300,75,YES,,,12,7,5,24,4,197.30,14797.50,720.00,14077.50,0,0,3,296,0,0.88
2020-06-29,2020-07-02,2020-07-02,10250,75,YES,,,9,5,3,18,4,100.65,7548.75,540.00,7008.75,65,39,2,382,-50,0.88
2020-07-06,2020-07-09,2020-07-09,10700,75,YES,,,12,9,9,24,4,97.80,7335.00,720.00,6615.00,1,143,1,1,0,0.82
2020-07-13,2020-07-16,2020-07-16,10850,75,YES,,,9,4,4,18,4,11.65,873.75,540.00,333.75,24,419,3,1,0,0.93
2020-07-20,2020-07-23,2020-07-23,10950,75,YES,,,10,5,4,20,4,51.85,3888.75,600.00,3288.75,116,362,3,1,-50,0.96
2020-07-27,2020-07-30,2020-07-30,11200,75,YES,,,15,11,11,30,4,-9.35,-701.25,900.00,-1601.25,0,145,2,2,0,0.82
2020-08-03,2020-08-06,2020-08-06,11000,75,YES,,,13,8,7,26,4,82.55,6191.25,780.00,5411.25,0,350,3,125,0,0.88
2020-08-10,2020-08-13,2020-08-13,11300,75,YES,,,6,4,4,12,3,134.45,10083.75,360.00,9723.75,0,185,0,0,0,0.83
2020-08-17,2020-08-20,2020-08-20,11250,75,YES,,,8,3,3,16,4,65.00,4875.00,480.00,4395.00,8,113,3,83,50,0.79
2020-08-24,2020-08-27,2020-08-27,11450,75,YES,,,8,5,3,16,4,115.50,8662.50,480.00,8182.50,0,32,1,384,0,0.75
2020-08-31,2020-09-03,2020-09-03,11750,75,YES,,,15,7,7,30,4,-134.10,-10057.50,900.00,-10957.50,471,10,6,10,-50,0.84
2020-09-07,2020-09-10,2020-09-10,11350,75,YES,,,8,5,5,16,4,-10.80,-810.00,480.00,-1290.00,0,502,1,0,0,0.94
2020-09-14,2020-09-17,2020-09-17,11550,75,YES,,,6,4,4,12,4,118.50,8887.50,360.00,8527.50,0,288,0,0,0,0.78
2020-09-21,2020-09-24,2020-09-24,11500,75,YES,,,7,2,0,14,4,-286.60,-21495.00,420.00,-21915.00,17,0,3,1107,0,0.95
2020-09-28,2020-10-01,2020-10-01,11100,75,YES,,,13,10,9,26,4,-102.40,-7680.00,780.00,-8460.00,9,573,1,18,0,0.97
