date,net_pnl,equity,peak,drawdown
2020-01-02,-326.25,299673.75,300000.00,326.25
2020-01-09,-11606.25,288067.50,300000.00,11932.50
2020-01-16,7965.00,296032.50,300000.00,3967.50
2020-01-23,3738.75,299771.25,300000.00,228.75
2020-01-30,-71.25,299700.00,300000.00,300.00
2020-02-06,-7263.75,292436.25,300000.00,7563.75
2020-02-13,4065.00,296501.25,300000.00,3498.75
2020-02-20,858.75,297360.00,300000.00,2640.00
2020-02-27,-2133.75,295226.25,300000.00,4773.75
2020-03-05,1260.00,296486.25,300000.00,3513.75
2020-03-12,-41246.25,255240.00,300000.00,44760.00
2020-03-19,10402.50,265642.50,300000.00,34357.50
2020-03-26,47752.50,313395.00,313395.00,0.00
2020-04-01,17261.25,330656.25,330656.25,0.00
2020-04-09,-3937.50,326718.75,330656.25,3937.50
2020-04-16,14231.25,340950.00,340950.00,0.00
2020-04-23,12982.50,353932.50,353932.50,0.00
2020-04-30,-5831.25,348101.25,353932.50,5831.25
2020-05-07,18881.25,366982.50,366982.50,0.00
2020-05-14,-9348.75,357633.75,366982.50,9348.75
2020-05-21,11640.00,369273.75,369273.75,0.00
2020-05-28,-6315.00,362958.75,369273.75,6315.00
2020-06-04,10436.25,373395.00,373395.00,0.00
2020-06-11,-3427.50,369967.50,373395.00,3427.50
2020-06-18,-2880.00,367087.50,373395.00,6307.50
2020-06-25,14077.50,381165.00,381165.00,0.00
2020-07-02,7008.75,388173.75,388173.75,0.00
2020-07-09,6615.00,394788.75,394788.75,0.00
2020-07-16,333.75,395122.50,395122.50,0.00
2020-07-23,3288.75,398411.25,398411.25,0.00
2020-07-30,-1601.25,396810.00,398411.25,1601.25
2020-08-06,5411.25,402221.25,402221.25,0.00
2020-08-13,9723.75,411945.00,411945.00,0.00
2020-08-20,4395.00,416340.00,416340.00,0.00
2020-08-27,8182.50,424522.50,424522.50,0.00
2020-09-03,-10957.50,413565.00,424522.50,10957.50
2020-09-10,-1290.00,412275.00,424522.50,12247.50
2020-09-17,8527.50,420802.50,424522.50,3720.00
2020-09-24,-21915.00,398887.50,424522.50,25635.00
2020-10-01,-8460.00,390427.50,424522.50,34095.00
2020-10-08,-1725.00,388702.50,424522.50,35820.00
