entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-27,2020-01-30,2020-01-30,12150,75,YES,,,10,8,8,20,4,7.05,528.75,600.00,-71.25,0,408,0,0,-50,0.72
2020-02-24,2020-02-27,2020-02-27,11900,75,YES,,,11,8,6,22,4,-19.65,-1473.75,660.00,-2133.75,7,70,1,687,-50,0.75
2020-03-23,2020-03-26,2020-03-26,8150,75,YES,,,12,6,4,24,4,646.30,48472.50,720.00,47752.50,894,0,4,345,0,0.98
2020-04-27,2020-04-30,2020-04-30,9300,75,YES,,,7,2,0,14,4,-72.15,-5411.25,420.00,-5831.25,29,0,3,447,0,0.87
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,13,8,6,26,4,-73.80,-5535.00,780.00,-6315.00,122,7,3,470,0,1.00
2020-06-22,2020-06-25,2020-06-25,10300,75,YES,,,12,7,5,24,4,197.30,14797.50,720.00,14077.50,0,0,3,296,0,0.88
2020-07-27,2020-07-30,2020-07-30,11200,75,YES,,,15,11,11,30,4,-9.35,-701.25,900.00,-1601.25,0,145,2,2,0,0.82
2020-08-24,2020-08-27,2020-08-27,11450,75,YES,,,8,5,3,16,4,115.50,8662.50,480.00,8182.50,0,32,1,384,0,0.75
2020-09-21,2020-09-24,2020-09-24,11500,75,YES,,,7,2,0,14,4,-286.60,-21495.00,420.00,-21915.00,17,0,3,1107,0,0.95
2020-10-26,2020-10-29,2020-10-29,11900,75,YES,,,11,7,5,22,4,98.90,7417.50,660.00,6757.50,1,0,2,412,0,0.85
2020-11-23,2020-11-26,2020-11-26,12950,75,YES,,,11,7,5,22,4,145.00,10875.00,660.00,10215.00,0,1,2,448,0,0.85
2020-12-28,2020-12-31,2020-12-31,13850,75,YES,,,11,7,5,22,4,135.30,10147.50,660.00,9487.50,0,53,2,372,0,0.99
2021-01-22,2021-01-28,2021-01-28,14600,75,YES,,,11,5,3,22,4,-121.00,-9075.00,660.00,-9735.00,92,2,4,749,0,0.88
2021-02-22,2021-02-25,2021-02-25,14950,75,YES,,,17,13,13,34,4,-170.65,-12798.75,1020.00,-13818.75,470,365,2,0,0,0.95
2021-03-22,2021-03-25,2021-03-25,14700,75,YES,,,11,7,5,22,4,2.30,172.50,660.00,-487.50,144,18,2,403,50,0.95
2021-04-26,2021-04-29,2021-04-29,14450,75,YES,,,6,2,0,12,4,51.50,3862.50,360.00,3502.50,116,0,2,739,0,0.93
2021-05-24,2021-05-27,2021-05-27,15250,75,YES,,,11,9,9,22,4,114.00,8550.00,660.00,7890.00,0,118,0,184,0,0.89
2021-06-21,2021-06-24,2021-06-24,15550,75,YES,,,11,5,4,22,4,124.15,9311.25,660.00,8651.25,83,215,4,384,0,0.89
2021-07-26,2021-07-29,2021-07-29,15800,75,YES,,,16,10,9,32,4,45.65,3423.75,960.00,2463.75,8,412,4,25,-50,0.83
2021-08-23,2021-08-26,2021-08-26,16550,75,YES,,,9,5,4,18,4,115.40,8655.00,540.00,8115.00,0,352,2,214,0,0.99
2021-09-27,2021-09-30,2021-09-30,17900,75,YES,,,15,9,9,30,4,42.10,3157.50,900.00,2257.50,0,183,4,1,0,0.81
2021-10-25,2021-10-28,2021-10-28,18150,50,YES,,,13,9,7,26,4,-39.05,-1952.50,780.00,-2732.50,0,44,2,344,50,0.87
2021-11-22,2021-11-25,2021-11-25,17700,50,YES,,,14,7,7,28,4,14.90,745.00,840.00,-95.00,48,64,5,3,0,0.96
2021-12-27,2021-12-30,2021-12-30,16850,50,YES,,,7,4,2,14,4,112.10,5605.00,420.00,5185.00,400,25,1,1115,0,0.81
2022-01-21,2022-01-27,2022-01-27,17550,50,YES,,,19,14,14,38,4,-213.20,-10660.00,1140.00,-11800.00,36,220,3,6,0,0.86
2022-02-21,2022-02-24,2022-02-24,17150,50,YES,,,17,13,11,34,4,-250.70,-12535.00,1020.00,-13555.00,6,6,2,342,0,0.90
2022-03-28,2022-03-31,2022-03-31,17150,50,YES,,,9,6,4,18,4,162.60,8130.00,540.00,7590.00,62,15,1,745,0,0.83
2022-04-25,2022-04-28,2022-04-28,16950,50,YES,,,10,7,6,20,4,17.30,865.00,600.00,265.00,2,343,1,24,0,0.96
2022-05-23,2022-05-26,2022-05-26,16250,50,YES,,,17,13,13,34,4,158.90,7945.00,1020.00,6925.00,0,257,2,5,0,0.90
2022-06-27,2022-06-30,2022-06-30,15850,50,YES,,,14,11,11,28,4,138.35,6917.50,840.00,6077.50,6,13,1,0,0,0.87
2022-07-25,2022-07-28,2022-07-28,16700,50,YES,,,14,9,7,28,4,-15.00,-750.00,840.00,-1590.00,13,39,3,375,0,0.89
2022-08-22,2022-08-25,2022-08-25,17650,50,YES,,,16,11,11,32,4,-42.65,-2132.50,960.00,-3092.50,0,0,3,343,0,0.84
2022-09-26,2022-09-29,2022-09-29,17100,50,YES,,,12,8,7,24,4,158.15,7907.50,720.00,7187.50,0,196,2,2,0,0.98
2022-10-21,2022-10-27,2022-10-27,17600,50,YES,,,8,5,5,16,4,71.15,3557.50,480.00,3077.50,750,30,1,0,-50,0.88
2022-11-21,2022-11-24,2022-11-24,18250,50,YES,,,6,4,3,12,4,-25.75,-1287.50,360.00,-1647.50,0,457,0,0,50,0.92
2022-12-26,2022-12-29,2022-12-29,17900,50,YES,,,13,10,10,26,4,-35.25,-1762.50,780.00,-2542.50,0,153,1,293,50,0.94
2023-01-20,2023-01-25,2023-01-25,18100,50,YES,,,10,8,6,20,4,9.50,475.00,600.00,-125.00,0,57,0,338,0,0.91
2023-02-20,2023-02-23,2023-02-23,17950,50,YES,,,11,7,5,22,4,-138.00,-6900.00,660.00,-7560.00,4,0,2,737,0,0.86
2023-03-24,2023-03-29,2023-03-29,17100,50,YES,,,12,8,8,24,4,121.55,6077.50,720.00,5357.50,0,85,2,0,0,0.93
2023-04-24,2023-04-27,2023-04-27,17700,50,YES,,,11,9,8,22,4,-37.10,-1855.00,660.00,-2515.00,0,603,0,0,50,0.94
2023-05-22,2023-05-25,2023-05-25,18200,50,YES,,,15,10,10,30,4,-11.20,-560.00,900.00,-1460.00,0,198,3,112,0,0.79
2023-07-24,2023-07-27,2023-07-27,19750,50,YES,,,13,11,9,26,4,52.85,2642.50,780.00,1862.50,0,116,0,107,50,0.91
2023-08-28,2023-08-31,2023-08-31,19250,50,YES,,,10,7,7,20,4,59.85,2992.50,600.00,2392.50,0,284,1,320,-50,0.75
2023-09-25,2023-09-28,2023-09-28,19700,50,YES,,,13,10,9,26,4,25.30,1265.00,780.00,485.00,0,273,1,60,50,0.77
2023-10-20,2023-10-26,2023-10-26,19550,50,YES,,,9,2,0,18,4,-211.30,-10565.00,540.00,-11105.00,39,0,5,678,0,0.86
2023-11-24,2023-11-30,2023-11-30,19850,50,YES,,,4,2,0,8,4,-50.40,-2520.00,240.00,-2760.00,0,34,0,740,50,0.86
2023-12-22,2023-12-28,2023-12-28,21350,50,YES,,,9,5,3,18,4,22.55,1127.50,540.00,587.50,8,5,2,513,50,0.89
2024-01-20,2024-01-25,2024-01-25,21750,50,YES,,,13,5,4,26,4,146.70,7335.00,780.00,6555.00,48,351,6,248,50,0.98
2024-02-26,2024-02-29,2024-02-29,22200,50,YES,,,13,9,7,26,4,197.40,9870.00,780.00,9090.00,0,22,2,293,50,0.99
2024-03-22,2024-03-28,2024-03-28,22050,50,YES,,,10,6,4,20,4,98.05,4902.50,600.00,4302.50,0,21,2,360,100,0.88
2024-04-22,2024-04-25,2024-04-25,22250,50,YES,,,15,11,10,30,4,3.95,197.50,900.00,-702.50,0,188,2,130,0,0.88
2024-05-27,2024-05-30,2024-05-30,23050,25,YES,,,12,7,5,24,4,-9.60,-240.00,720.00,-960.00,5,0,3,373,50,0.91
2024-06-24,2024-06-27,2024-06-27,23400,25,YES,,,9,3,1,18,4,-73.70,-1842.50,540.00,-2382.50,0,1,4,687,0,0.88
2024-07-22,2024-07-25,2024-07-25,24400,25,YES,,,16,12,12,32,4,-47.45,-1186.25,960.00,-2146.25,0,124,2,5,0,0.99
2024-08-26,2024-08-29,2024-08-29,24900,25,YES,,,13,9,9,26,4,-13.20,-330.00,780.00,-1110.00,0,47,2,458,0,0.97
