date,net_pnl,equity,peak,drawdown
2020-01-30,-71.25,299928.75,300000.00,71.25
2020-02-27,-2133.75,297795.00,300000.00,2205.00
2020-03-26,47752.50,345547.50,345547.50,0.00
2020-04-30,-5831.25,339716.25,345547.50,5831.25
2020-05-28,-6315.00,333401.25,345547.50,12146.25
2020-06-25,14077.50,347478.75,347478.75,0.00
2020-07-30,-1601.25,345877.50,347478.75,1601.25
2020-08-27,8182.50,354060.00,354060.00,0.00
2020-09-24,-21915.00,332145.00,354060.00,21915.00
2020-10-29,6757.50,338902.50,354060.00,15157.50
2020-11-26,10215.00,349117.50,354060.00,4942.50
2020-12-31,9487.50,358605.00,358605.00,0.00
2021-01-28,-9735.00,348870.00,358605.00,9735.00
2021-02-25,-13818.75,335051.25,358605.00,23553.75
2021-03-25,-487.50,334563.75,358605.00,24041.25
2021-04-29,3502.50,338066.25,358605.00,20538.75
2021-05-27,7890.00,345956.25,358605.00,12648.75
2021-06-24,8651.25,354607.50,358605.00,3997.50
2021-07-29,2463.75,357071.25,358605.00,1533.75
2021-08-26,8115.00,365186.25,365186.25,0.00
2021-09-30,2257.50,367443.75,367443.75,0.00
2021-10-28,-2732.50,364711.25,367443.75,2732.50
2021-11-25,-95.00,364616.25,367443.75,2827.50
2021-12-30,5185.00,369801.25,369801.25,0.00
2022-01-27,-11800.00,358001.25,369801.25,11800.00
2022-02-24,-13555.00,344446.25,369801.25,25355.00
2022-03-31,7590.00,352036.25,369801.25,17765.00
2022-04-28,265.00,352301.25,369801.25,17500.00
2022-05-26,6925.00,359226.25,369801.25,10575.00
2022-06-30,6077.50,365303.75,369801.25,4497.50
2022-07-28,-1590.00,363713.75,369801.25,6087.50
2022-08-25,-3092.50,360621.25,369801.25,9180.00
2022-09-29,7187.50,367808.75,369801.25,1992.50
2022-10-27,3077.50,370886.25,370886.25,0.00
2022-11-24,-1647.50,369238.75,370886.25,1647.50
2022-12-29,-2542.50,366696.25,370886.25,4190.00
2023-01-25,-125.00,366571.25,370886.25,4315.00
2023-02-23,-7560.00,359011.25,370886.25,11875.00
2023-03-29,5357.50,364368.75,370886.25,6517.50
2023-04-27,-2515.00,361853.75,370886.25,9032.50
2023-05-25,-1460.00,360393.75,370886.25,10492.50
2023-07-27,1862.50,362256.25,370886.25,8630.00
2023-08-31,2392.50,364648.75,370886.25,6237.50
2023-09-28,485.00,365133.75,370886.25,5752.50
2023-10-26,-11105.00,354028.75,370886.25,16857.50
2023-11-30,-2760.00,351268.75,370886.25,19617.50
2023-12-28,587.50,351856.25,370886.25,19030.00
2024-01-25,6555.00,358411.25,370886.25,12475.00
2024-02-29,9090.00,367501.25,370886.25,3385.00
2024-03-28,4302.50,371803.75,371803.75,0.00
2024-04-25,-702.50,371101.25,371803.75,702.50
2024-05-30,-960.00,370141.25,371803.75,1662.50
2024-06-27,-2382.50,367758.75,371803.75,4045.00
2024-07-25,-2146.25,365612.50,371803.75,6191.25
2024-08-29,-1110.00,364502.50,371803.75,7301.25
2024-09-26,1502.50,366005.00,371803.75,5798.75
2024-10-31,-411.25,365593.75,371803.75,6210.00
2024-11-28,12502.50,378096.25,378096.25,0.00
2024-12-26,17973.75,396070.00,396070.00,0.00
2025-01-30,11388.75,407458.75,407458.75,0.00
2025-02-27,23355.75,430814.50,430814.50,0.00
2025-03-27,-2223.75,428590.75,430814.50,2223.75
2025-04-30,20434.50,449025.25,449025.25,0.00
2025-05-29,18757.50,467782.75,467782.75,0.00
2025-06-26,-13668.75,454114.00,467782.75,13668.75
2025-07-31,-7365.00,446749.00,467782.75,21033.75
2025-08-28,-13803.75,432945.25,467782.75,34837.50
2025-09-30,9735.00,442680.25,467782.75,25102.50
2025-10-28,-2426.25,440254.00,467782.75,27528.75
2025-11-25,2171.25,442425.25,467782.75,25357.50
2025-12-30,5962.50,448387.75,467782.75,19395.00
2026-01-27,-15462.25,432925.50,467782.75,34857.25
2026-02-24,-4681.75,428243.75,467782.75,39539.00
2026-03-24,-1476.60,426767.15,467782.75,41015.60
2026-04-28,9798.25,436565.40,467782.75,31217.35
2026-05-26,21332.25,457897.65,467782.75,9885.10
