entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2020-01-27,2020-01-30,PE,12050,2020-01-27T09:38:00+05:30,20.85,2020-01-27T13:15:00+05:30,24.10,ADD_2,UNWIND,-3.25,-243.75
2020-01-27,2020-01-30,CE,12200,2020-01-28T09:20:00+05:30,24.20,2020-01-28T09:26:00+05:30,31.30,ADD_2,UNWIND,-7.10,-532.50
2020-01-27,2020-01-30,CE,12200,2020-01-28T10:31:00+05:30,24.35,2020-01-28T10:39:00+05:30,28.25,ADD_2,UNWIND,-3.90,-292.50
2020-01-27,2020-01-30,CE,12200,2020-01-28T13:56:00+05:30,21.50,2020-01-29T09:15:00+05:30,18.25,ADD_2,UNWIND,3.25,243.75
2020-01-27,2020-01-30,CE,12150,2020-01-27T09:20:00+05:30,80.25,2020-01-29T09:16:00+05:30,30.20,INITIAL_ENTRY,UNWIND,50.05,3753.75
2020-01-27,2020-01-30,PE,12100,2020-01-29T10:35:00+05:30,20.90,2020-01-29T12:32:00+05:30,25.15,ADD_2,UNWIND,-4.25,-318.75
2020-01-27,2020-01-30,PE,12100,2020-01-29T12:45:00+05:30,20.35,2020-01-29T13:32:00+05:30,24.55,ADD_2,UNWIND,-4.20,-315.00
2020-01-27,2020-01-30,PE,12100,2020-01-29T13:52:00+05:30,17.70,2020-01-29T14:40:00+05:30,21.60,ADD_2,UNWIND,-3.90,-292.50
2020-01-27,2020-01-30,PE,12150,2020-01-27T09:20:00+05:30,57.45,2020-01-30T15:20:00+05:30,112.80,INITIAL_ENTRY,FINAL_EXIT,-55.35,-4151.25
2020-01-27,2020-01-30,CE,12100,2020-01-28T14:50:00+05:30,35.80,2020-01-30T15:20:00+05:30,0.10,ADD_3,FINAL_EXIT,35.70,2677.50
2020-02-24,2020-02-27,PE,11800,2020-02-24T11:55:00+05:30,19.75,2020-02-24T13:26:00+05:30,27.35,ADD_2,UNWIND,-7.60,-570.00
2020-02-24,2020-02-27,CE,12000,2020-02-24T15:04:00+05:30,29.35,2020-02-25T09:15:00+05:30,30.30,ADD_2,UNWIND,-0.95,-71.25
2020-02-24,2020-02-27,CE,11950,2020-02-25T09:17:00+05:30,31.40,2020-02-25T09:22:00+05:30,39.00,ADD_2,UNWIND,-7.60,-570.00
2020-02-24,2020-02-27,CE,12000,2020-02-25T09:34:00+05:30,22.05,2020-02-25T10:03:00+05:30,22.75,ADD_2,UNWIND,-0.70,-52.50
2020-02-24,2020-02-27,CE,11950,2020-02-25T09:54:00+05:30,28.55,2020-02-25T10:05:00+05:30,36.75,ADD_3,UNWIND,-8.20,-615.00
2020-02-24,2020-02-27,CE,11950,2020-02-25T10:38:00+05:30,31.00,2020-02-25T12:08:00+05:30,34.60,ADD_2,UNWIND,-3.60,-270.00
2020-02-24,2020-02-27,CE,11950,2020-02-25T12:54:00+05:30,29.20,2020-02-26T09:22:00+05:30,5.00,ADD_2,ROLL_OUT,24.20,1815.00
2020-02-24,2020-02-27,CE,11900,2020-02-24T09:20:00+05:30,83.75,2020-02-27T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,83.65,6273.75
2020-02-24,2020-02-27,PE,11900,2020-02-24T09:20:00+05:30,62.70,2020-02-27T15:20:00+05:30,266.20,INITIAL_ENTRY,FINAL_EXIT,-203.50,-15262.50
2020-02-24,2020-02-27,CE,11800,2020-02-26T09:15:00+05:30,46.70,2020-02-27T15:20:00+05:30,0.10,ADD_3,FINAL_EXIT,46.60,3495.00
