date,net_pnl,equity,peak,drawdown
2025-01-30,35990.25,335990.25,335990.25,0.00
2025-02-27,25216.50,361206.75,361206.75,0.00
2025-03-27,-6488.25,354718.50,361206.75,6488.25
2025-04-30,-55987.50,298731.00,361206.75,62475.75
2025-05-29,23901.75,322632.75,361206.75,38574.00
2025-06-26,14246.25,336879.00,361206.75,24327.75
2025-07-31,42476.25,379355.25,379355.25,0.00
2025-08-28,13500.00,392855.25,392855.25,0.00
2025-09-30,35148.75,428004.00,428004.00,0.00
2025-10-28,-11895.00,416109.00,428004.00,11895.00
2025-11-25,14850.00,430959.00,430959.00,0.00
2025-12-30,30351.75,461310.75,461310.75,0.00
2026-01-27,923.00,462233.75,462233.75,0.00
2026-02-24,-4333.50,457900.25,462233.75,4333.50
2026-04-28,45454.50,503354.75,503354.75,0.00
2026-05-26,21718.75,525073.50,525073.50,0.00
