date,net_pnl,equity,peak,drawdown
2020-01-02,-1215.00,298785.00,300000.00,1215.00
2020-01-09,-16488.75,282296.25,300000.00,17703.75
2020-01-16,5070.00,287366.25,300000.00,12633.75
2020-01-23,1428.75,288795.00,300000.00,11205.00
2020-01-30,-300.00,288495.00,300000.00,11505.00
2020-02-06,7125.00,295620.00,300000.00,4380.00
2020-02-13,3656.25,299276.25,300000.00,723.75
2020-02-20,3678.75,302955.00,302955.00,0.00
2020-02-27,-243.75,302711.25,302955.00,243.75
2020-03-05,3191.25,305902.50,305902.50,0.00
2020-03-12,-45101.25,260801.25,305902.50,45101.25
2020-03-26,20872.50,281673.75,305902.50,24228.75
2020-04-01,51045.00,332718.75,332718.75,0.00
2020-04-09,-22908.75,309810.00,332718.75,22908.75
2020-04-16,19192.50,329002.50,332718.75,3716.25
2020-04-23,7792.50,336795.00,336795.00,0.00
2020-04-30,-19095.00,317700.00,336795.00,19095.00
2020-05-07,17163.75,334863.75,336795.00,1931.25
2020-05-14,-13608.75,321255.00,336795.00,15540.00
2020-05-21,16215.00,337470.00,337470.00,0.00
2020-05-28,-10301.25,327168.75,337470.00,10301.25
2020-06-04,5501.25,332670.00,337470.00,4800.00
2020-06-11,307.50,332977.50,337470.00,4492.50
2020-06-18,-16380.00,316597.50,337470.00,20872.50
2020-06-25,7177.50,323775.00,337470.00,13695.00
2020-07-02,11302.50,335077.50,337470.00,2392.50
2020-07-09,8640.00,343717.50,343717.50,0.00
2020-07-16,1226.25,344943.75,344943.75,0.00
2020-07-23,-1226.25,343717.50,344943.75,1226.25
2020-07-30,4968.75,348686.25,348686.25,0.00
2020-08-06,8040.00,356726.25,356726.25,0.00
2020-08-13,8096.25,364822.50,364822.50,0.00
2020-08-20,3408.75,368231.25,368231.25,0.00
2020-08-27,6225.00,374456.25,374456.25,0.00
2020-09-03,-1263.75,373192.50,374456.25,1263.75
2020-09-10,990.00,374182.50,374456.25,273.75
2020-09-17,13151.25,387333.75,387333.75,0.00
2020-09-24,-28462.50,358871.25,387333.75,28462.50
2020-10-01,-8610.00,350261.25,387333.75,37072.50
2020-10-08,-3517.50,346743.75,387333.75,40590.00
2020-10-15,183.75,346927.50,387333.75,40406.25
2020-10-22,6783.75,353711.25,387333.75,33622.50
2020-10-29,986.25,354697.50,387333.75,32636.25
2020-11-05,-708.75,353988.75,387333.75,33345.00
2020-11-12,-6120.00,347868.75,387333.75,39465.00
2020-11-19,13320.00,361188.75,387333.75,26145.00
2020-11-26,-86.25,361102.50,387333.75,26231.25
2020-12-03,13305.00,374407.50,387333.75,12926.25
2020-12-10,5516.25,379923.75,387333.75,7410.00
2020-12-17,5152.50,385076.25,387333.75,2257.50
2020-12-24,16721.25,401797.50,401797.50,0.00
2020-12-31,9393.75,411191.25,411191.25,0.00
2021-01-07,9663.75,420855.00,420855.00,0.00
2021-01-14,4147.50,425002.50,425002.50,0.00
2021-01-21,11835.00,436837.50,436837.50,0.00
2021-01-28,-22878.75,413958.75,436837.50,22878.75
2021-02-04,-28661.25,385297.50,436837.50,51540.00
2021-02-11,10680.00,395977.50,436837.50,40860.00
2021-02-18,7080.00,403057.50,436837.50,33780.00
2021-02-25,-933.75,402123.75,436837.50,34713.75
2021-03-04,15810.00,417933.75,436837.50,18903.75
2021-03-10,19323.75,437257.50,437257.50,0.00
2021-03-18,-20212.50,417045.00,437257.50,20212.50
2021-03-25,9813.75,426858.75,437257.50,10398.75
2021-04-01,5433.75,432292.50,437257.50,4965.00
2021-04-08,16282.50,448575.00,448575.00,0.00
2021-04-15,8880.00,457455.00,457455.00,0.00
2021-04-22,1860.00,459315.00,459315.00,0.00
2021-04-29,7098.75,466413.75,466413.75,0.00
2021-05-06,11362.50,477776.25,477776.25,0.00
2021-05-12,7972.50,485748.75,485748.75,0.00
2021-05-20,12502.50,498251.25,498251.25,0.00
2021-05-27,14820.00,513071.25,513071.25,0.00
2021-06-03,7110.00,520181.25,520181.25,0.00
2021-06-10,13293.75,533475.00,533475.00,0.00
2021-06-17,5490.00,538965.00,538965.00,0.00
2021-06-24,-1965.00,537000.00,538965.00,1965.00
2021-07-01,10995.00,547995.00,547995.00,0.00
2021-07-08,11216.25,559211.25,559211.25,0.00
2021-07-15,4050.00,563261.25,563261.25,0.00
2021-07-22,8175.00,571436.25,571436.25,0.00
2021-07-29,2246.25,573682.50,573682.50,0.00
2021-08-05,-14831.25,558851.25,573682.50,14831.25
2021-08-12,6911.25,565762.50,573682.50,7920.00
2021-08-18,8565.00,574327.50,574327.50,0.00
2021-08-26,7256.25,581583.75,581583.75,0.00
2021-09-02,-18277.50,563306.25,581583.75,18277.50
2021-09-09,10128.75,573435.00,581583.75,8148.75
2021-09-16,221.25,573656.25,581583.75,7927.50
2021-09-23,-7038.75,566617.50,581583.75,14966.25
2021-09-30,5696.25,572313.75,581583.75,9270.00
2021-10-07,5620.00,577933.75,581583.75,3650.00
2021-10-14,-7715.00,570218.75,581583.75,11365.00
2021-10-21,-367.50,569851.25,581583.75,11732.50
2021-10-28,-2502.50,567348.75,581583.75,14235.00
2021-11-03,15850.00,583198.75,583198.75,0.00
2021-11-18,-450.00,582748.75,583198.75,450.00
2021-11-25,2795.00,585543.75,585543.75,0.00
2021-12-02,-3587.50,581956.25,585543.75,3587.50
2021-12-09,12757.50,594713.75,594713.75,0.00
2021-12-16,-1447.50,593266.25,594713.75,1447.50
2021-12-23,7852.50,601118.75,601118.75,0.00
2021-12-30,12795.00,613913.75,613913.75,0.00
2022-01-06,-1015.00,612898.75,613913.75,1015.00
2022-01-13,8445.00,621343.75,621343.75,0.00
2022-01-20,-12087.50,609256.25,621343.75,12087.50
2022-01-27,10780.00,620036.25,621343.75,1307.50
2022-02-03,11792.50,631828.75,631828.75,0.00
2022-02-10,-270.00,631558.75,631828.75,270.00
2022-02-17,-5080.00,626478.75,631828.75,5350.00
2022-02-24,-22090.00,604388.75,631828.75,27440.00
2022-03-03,23527.50,627916.25,631828.75,3912.50
2022-03-10,3852.50,631768.75,631828.75,60.00
2022-03-17,-387.50,631381.25,631828.75,447.50
2022-03-24,10665.00,642046.25,642046.25,0.00
2022-03-31,9915.00,651961.25,651961.25,0.00
2022-04-07,13812.50,665773.75,665773.75,0.00
2022-04-13,7537.50,673311.25,673311.25,0.00
2022-04-21,-1172.50,672138.75,673311.25,1172.50
2022-04-28,252.50,672391.25,673311.25,920.00
2022-05-05,770.00,673161.25,673311.25,150.00
2022-05-12,1920.00,675081.25,675081.25,0.00
2022-05-19,-1267.50,673813.75,675081.25,1267.50
2022-05-26,12582.50,686396.25,686396.25,0.00
2022-06-02,8777.50,695173.75,695173.75,0.00
2022-06-09,14007.50,709181.25,709181.25,0.00
2022-06-16,-23867.50,685313.75,709181.25,23867.50
2022-06-23,11607.50,696921.25,709181.25,12260.00
2022-06-30,11170.00,708091.25,709181.25,1090.00
2022-07-07,-640.00,707451.25,709181.25,1730.00
2022-07-14,7747.50,715198.75,715198.75,0.00
2022-07-21,-8837.50,706361.25,715198.75,8837.50
2022-07-28,-3055.00,703306.25,715198.75,11892.50
2022-08-04,4617.50,707923.75,715198.75,7275.00
2022-08-11,8635.00,716558.75,716558.75,0.00
2022-08-18,5765.00,722323.75,722323.75,0.00
2022-08-25,2442.50,724766.25,724766.25,0.00
2022-09-01,3435.00,728201.25,728201.25,0.00
2022-09-08,6885.00,735086.25,735086.25,0.00
2022-09-15,-7205.00,727881.25,735086.25,7205.00
2022-09-22,13697.50,741578.75,741578.75,0.00
2022-09-29,-160.00,741418.75,741578.75,160.00
2022-10-06,2417.50,743836.25,743836.25,0.00
2022-10-13,-2435.00,741401.25,743836.25,2435.00
2022-10-20,9985.00,751386.25,751386.25,0.00
2022-10-27,4542.50,755928.75,755928.75,0.00
2022-11-03,4787.50,760716.25,760716.25,0.00
2022-11-10,4097.50,764813.75,764813.75,0.00
2022-11-17,7155.00,771968.75,771968.75,0.00
2022-11-24,-467.50,771501.25,771968.75,467.50
2022-12-01,-4582.50,766918.75,771968.75,5050.00
2022-12-08,8122.50,775041.25,775041.25,0.00
2022-12-15,-1480.00,773561.25,775041.25,1480.00
2022-12-22,-1125.00,772436.25,775041.25,2605.00
2022-12-29,3765.00,776201.25,776201.25,0.00
2023-01-05,3635.00,779836.25,779836.25,0.00
2023-01-12,-1410.00,778426.25,779836.25,1410.00
2023-01-19,8625.00,787051.25,787051.25,0.00
2023-01-25,1182.50,788233.75,788233.75,0.00
2023-02-02,5552.50,793786.25,793786.25,0.00
2023-02-09,7687.50,801473.75,801473.75,0.00
2023-02-16,3492.50,804966.25,804966.25,0.00
2023-02-23,-7275.00,797691.25,804966.25,7275.00
2023-03-02,4212.50,801903.75,804966.25,3062.50
2023-03-09,6250.00,808153.75,808153.75,0.00
2023-03-16,617.50,808771.25,808771.25,0.00
2023-03-23,10610.00,819381.25,819381.25,0.00
2023-03-29,11087.50,830468.75,830468.75,0.00
2023-04-06,-3507.50,826961.25,830468.75,3507.50
2023-04-13,3482.50,830443.75,830468.75,25.00
2023-04-20,6542.50,836986.25,836986.25,0.00
2023-04-27,-467.50,836518.75,836986.25,467.50
2023-05-04,-2102.50,834416.25,836986.25,2570.00
2023-05-11,2952.50,837368.75,837368.75,0.00
2023-05-18,-787.50,836581.25,837368.75,787.50
2023-05-25,4307.50,840888.75,840888.75,0.00
2023-06-01,6650.00,847538.75,847538.75,0.00
2023-06-08,6992.50,854531.25,854531.25,0.00
2023-06-15,8802.50,863333.75,863333.75,0.00
2023-06-22,2795.00,866128.75,866128.75,0.00
2023-07-06,-6877.50,859251.25,866128.75,6877.50
2023-07-13,1765.00,861016.25,866128.75,5112.50
2023-07-20,-9977.50,851038.75,866128.75,15090.00
2023-07-27,4647.50,855686.25,866128.75,10442.50
2023-08-03,-1805.00,853881.25,866128.75,12247.50
2023-08-10,2782.50,856663.75,866128.75,9465.00
2023-08-17,2457.50,859121.25,866128.75,7007.50
2023-08-24,10105.00,869226.25,869226.25,0.00
2023-08-31,9820.00,879046.25,879046.25,0.00
2023-09-07,-7392.50,871653.75,879046.25,7392.50
2023-09-14,-5592.50,866061.25,879046.25,12985.00
2023-09-21,-6562.50,859498.75,879046.25,19547.50
2023-09-28,-3560.00,855938.75,879046.25,23107.50
2023-10-05,6480.00,862418.75,879046.25,16627.50
2023-10-12,-97.50,862321.25,879046.25,16725.00
2023-10-19,-1357.50,860963.75,879046.25,18082.50
2023-10-26,-20802.50,840161.25,879046.25,38885.00
2023-11-02,5927.50,846088.75,879046.25,32957.50
2023-11-09,4332.50,850421.25,879046.25,28625.00
2023-11-16,-6270.00,844151.25,879046.25,34895.00
2023-11-23,8032.50,852183.75,879046.25,26862.50
2023-11-30,-5692.50,846491.25,879046.25,32555.00
2023-12-07,-16042.50,830448.75,879046.25,48597.50
2023-12-14,-2475.00,827973.75,879046.25,51072.50
2023-12-21,-165.00,827808.75,879046.25,51237.50
2023-12-28,-2150.00,825658.75,879046.25,53387.50
2024-01-04,11865.00,837523.75,879046.25,41522.50
2024-01-11,2515.00,840038.75,879046.25,39007.50
2024-01-18,5315.00,845353.75,879046.25,33692.50
2024-01-25,2685.00,848038.75,879046.25,31007.50
2024-02-01,15370.00,863408.75,879046.25,15637.50
2024-02-08,-3772.50,859636.25,879046.25,19410.00
2024-02-15,8672.50,868308.75,879046.25,10737.50
2024-02-22,4417.50,872726.25,879046.25,6320.00
2024-02-29,7237.50,879963.75,879963.75,0.00
2024-03-07,3100.00,883063.75,883063.75,0.00
2024-03-14,2705.00,885768.75,885768.75,0.00
2024-03-21,5995.00,891763.75,891763.75,0.00
2024-03-28,2127.50,893891.25,893891.25,0.00
2024-04-04,8597.50,902488.75,902488.75,0.00
2024-04-10,7885.00,910373.75,910373.75,0.00
2024-04-18,-2740.00,907633.75,910373.75,2740.00
2024-04-25,-7627.50,900006.25,910373.75,10367.50
2024-05-02,4985.00,904991.25,910373.75,5382.50
2024-05-09,-6616.25,898375.00,910373.75,11998.75
2024-05-16,-1203.75,897171.25,910373.75,13202.50
2024-05-23,-2937.50,894233.75,910373.75,16140.00
2024-05-30,2175.00,896408.75,910373.75,13965.00
2024-06-06,-3718.75,892690.00,910373.75,17683.75
2024-06-13,11205.00,903895.00,910373.75,6478.75
2024-06-20,2795.00,906690.00,910373.75,3683.75
2024-06-27,-4590.00,902100.00,910373.75,8273.75
2024-07-04,4547.50,906647.50,910373.75,3726.25
2024-07-11,2272.50,908920.00,910373.75,1453.75
2024-07-18,-1815.00,907105.00,910373.75,3268.75
2024-07-25,4910.00,912015.00,912015.00,0.00
2024-08-01,-3235.00,908780.00,912015.00,3235.00
2024-08-08,-6522.50,902257.50,912015.00,9757.50
2024-08-14,5010.00,907267.50,912015.00,4747.50
2024-08-22,231.25,907498.75,912015.00,4516.25
2024-08-29,2162.50,909661.25,912015.00,2353.75
2024-09-05,3157.50,912818.75,912818.75,0.00
2024-09-12,-6351.25,906467.50,912818.75,6351.25
2024-09-19,4053.75,910521.25,912818.75,2297.50
2024-09-26,-4102.50,906418.75,912818.75,6400.00
2024-10-03,-12496.25,893922.50,912818.75,18896.25
2024-10-10,-2971.25,890951.25,912818.75,21867.50
2024-10-17,-2001.25,888950.00,912818.75,23868.75
2024-10-24,2463.75,891413.75,912818.75,21405.00
2024-10-31,521.25,891935.00,912818.75,20883.75
2024-11-14,-5558.75,886376.25,912818.75,26442.50
2024-11-21,-5218.75,881157.50,912818.75,31661.25
2024-11-28,1938.75,883096.25,912818.75,29722.50
2024-12-05,-17520.00,865576.25,912818.75,47242.50
2024-12-12,26775.00,892351.25,912818.75,20467.50
2024-12-19,-21900.00,870451.25,912818.75,42367.50
2024-12-26,21806.25,892257.50,912818.75,20561.25
2025-01-02,-6965.25,885292.25,912818.75,27526.50
2025-01-09,-14550.00,870742.25,912818.75,42076.50
2025-01-16,19473.75,890216.00,912818.75,22602.75
2025-01-23,16668.75,906884.75,912818.75,5934.00
2025-01-30,12881.25,919766.00,919766.00,0.00
2025-02-06,50617.50,970383.50,970383.50,0.00
2025-02-13,-4792.50,965591.00,970383.50,4792.50
2025-02-20,14324.25,979915.25,979915.25,0.00
2025-02-27,15851.25,995766.50,995766.50,0.00
2025-03-06,-5577.00,990189.50,995766.50,5577.00
2025-03-13,7203.75,997393.25,997393.25,0.00
2025-03-20,-15927.00,981466.25,997393.25,15927.00
2025-03-27,7008.75,988475.00,997393.25,8918.25
2025-04-03,4822.50,993297.50,997393.25,4095.75
2025-04-09,-20157.00,973140.50,997393.25,24252.75
2025-04-17,-33085.50,940055.00,997393.25,57338.25
2025-04-24,11803.50,951858.50,997393.25,45534.75
2025-04-30,14655.00,966513.50,997393.25,30879.75
2025-05-08,21757.50,988271.00,997393.25,9122.25
2025-05-15,-4902.00,983369.00,997393.25,14024.25
2025-05-22,7762.50,991131.50,997393.25,6261.75
2025-05-29,7578.75,998710.25,998710.25,0.00
2025-06-05,23370.00,1022080.25,1022080.25,0.00
2025-06-12,28260.00,1050340.25,1050340.25,0.00
2025-06-19,12637.50,1062977.75,1062977.75,0.00
2025-06-26,-18108.75,1044869.00,1062977.75,18108.75
2025-07-03,14081.25,1058950.25,1062977.75,4027.50
2025-07-10,18652.50,1077602.75,1077602.75,0.00
2025-07-17,6708.75,1084311.50,1084311.50,0.00
2025-07-24,6836.25,1091147.75,1091147.75,0.00
2025-07-31,11313.75,1102461.50,1102461.50,0.00
2025-08-07,17801.25,1120262.75,1120262.75,0.00
2025-08-14,18127.50,1138390.25,1138390.25,0.00
2025-08-21,15056.25,1153446.50,1153446.50,0.00
2025-08-28,-12322.50,1141124.00,1153446.50,12322.50
2025-09-02,13207.50,1154331.50,1154331.50,0.00
2025-09-09,12345.00,1166676.50,1166676.50,0.00
2025-09-16,2137.50,1168814.00,1168814.00,0.00
2025-09-23,746.25,1169560.25,1169560.25,0.00
2025-09-30,-5576.25,1163984.00,1169560.25,5576.25
2025-10-07,-7590.00,1156394.00,1169560.25,13166.25
2025-10-14,3810.00,1160204.00,1169560.25,9356.25
2025-10-20,-18600.00,1141604.00,1169560.25,27956.25
2025-10-28,-10278.75,1131325.25,1169560.25,38235.00
2025-11-04,8092.50,1139417.75,1169560.25,30142.50
2025-11-11,7612.50,1147030.25,1169560.25,22530.00
2025-11-18,17171.25,1164201.50,1169560.25,5358.75
2025-11-25,28552.50,1192754.00,1192754.00,0.00
2025-12-02,18116.25,1210870.25,1210870.25,0.00
2025-12-09,3926.25,1214796.50,1214796.50,0.00
2025-12-16,11422.50,1226219.00,1226219.00,0.00
2025-12-23,555.00,1226774.00,1226774.00,0.00
2025-12-30,2625.75,1229399.75,1229399.75,0.00
2026-01-06,12387.35,1241787.10,1241787.10,0.00
2026-01-13,417.40,1242204.50,1242204.50,0.00
2026-01-20,-12996.40,1229208.10,1242204.50,12996.40
2026-01-27,5222.00,1234430.10,1242204.50,7774.40
2026-02-03,-104823.00,1129607.10,1242204.50,112597.40
2026-02-10,11754.75,1141361.85,1242204.50,100842.65
2026-02-17,3507.25,1144869.10,1242204.50,97335.40
2026-02-24,3464.00,1148333.10,1242204.50,93871.40
2026-03-02,-16163.00,1132170.10,1242204.50,110034.40
2026-03-10,11153.25,1143323.35,1242204.50,98881.15
2026-03-17,38921.25,1182244.60,1242204.50,59959.90
2026-04-28,38678.00,1220922.60,1242204.50,21281.90
2026-05-05,-7425.50,1213497.10,1242204.50,28707.40
2026-05-12,-120.00,1213377.10,1242204.50,28827.40
2026-05-19,13821.50,1227198.60,1242204.50,15005.90
2026-05-26,19062.25,1246260.85,1246260.85,0.00
2026-06-02,822.75,1247083.60,1247083.60,0.00
2026-06-09,-433.50,1246650.10,1247083.60,433.50
2026-06-16,-11323.50,1235326.60,1247083.60,11757.00
