date,net_pnl,equity,peak,drawdown
2020-01-16,6746.25,306746.25,306746.25,0.00
2020-02-06,9206.25,315952.50,315952.50,0.00
2020-02-13,6288.75,322241.25,322241.25,0.00
2020-02-20,-1623.75,320617.50,322241.25,1623.75
2020-03-05,9795.00,330412.50,330412.50,0.00
2020-03-12,-41246.25,289166.25,330412.50,41246.25
2020-03-19,-57851.25,231315.00,330412.50,99097.50
2020-03-26,26418.75,257733.75,330412.50,72678.75
2020-04-01,17261.25,274995.00,330412.50,55417.50
2020-04-09,-3937.50,271057.50,330412.50,59355.00
2020-04-16,14231.25,285288.75,330412.50,45123.75
2020-04-23,18900.00,304188.75,330412.50,26223.75
2020-04-30,-8662.50,295526.25,330412.50,34886.25
2020-05-07,18881.25,314407.50,330412.50,16005.00
2020-05-14,-3795.00,310612.50,330412.50,19800.00
2020-05-21,16233.75,326846.25,330412.50,3566.25
2020-05-28,-6315.00,320531.25,330412.50,9881.25
2020-06-04,16267.50,336798.75,336798.75,0.00
2020-06-11,-1721.25,335077.50,336798.75,1721.25
2020-06-18,-6285.00,328792.50,336798.75,8006.25
2020-06-25,15191.25,343983.75,343983.75,0.00
2020-07-02,9817.50,353801.25,353801.25,0.00
2020-07-09,10983.75,364785.00,364785.00,0.00
2020-07-16,3821.25,368606.25,368606.25,0.00
2020-07-23,-2981.25,365625.00,368606.25,2981.25
2020-07-30,6866.25,372491.25,372491.25,0.00
2020-08-06,4676.25,377167.50,377167.50,0.00
2020-08-13,10578.75,387746.25,387746.25,0.00
2020-08-20,5190.00,392936.25,392936.25,0.00
2020-08-27,8951.25,401887.50,401887.50,0.00
2020-09-03,-8610.00,393277.50,401887.50,8610.00
2020-09-10,1957.50,395235.00,401887.50,6652.50
2020-09-17,8358.75,403593.75,403593.75,0.00
2020-09-24,-13740.00,389853.75,403593.75,13740.00
2020-10-01,-7.50,389846.25,403593.75,13747.50
2020-10-08,-1725.00,388121.25,403593.75,15472.50
2020-10-15,-142.50,387978.75,403593.75,15615.00
2020-10-22,2827.50,390806.25,403593.75,12787.50
2020-10-29,7372.50,398178.75,403593.75,5415.00
2020-11-05,8625.00,406803.75,406803.75,0.00
2020-11-12,4481.25,411285.00,411285.00,0.00
2020-11-19,5261.25,416546.25,416546.25,0.00
2020-11-26,2921.25,419467.50,419467.50,0.00
2020-12-03,8328.75,427796.25,427796.25,0.00
2020-12-10,6030.00,433826.25,433826.25,0.00
2020-12-17,11715.00,445541.25,445541.25,0.00
2020-12-24,-5111.25,440430.00,445541.25,5111.25
2020-12-31,9487.50,449917.50,449917.50,0.00
2021-01-07,3491.25,453408.75,453408.75,0.00
2021-01-14,4777.50,458186.25,458186.25,0.00
2021-01-21,17733.75,475920.00,475920.00,0.00
2021-01-28,-9735.00,466185.00,475920.00,9735.00
2021-02-04,-20741.25,445443.75,475920.00,30476.25
2021-02-11,8520.00,453963.75,475920.00,21956.25
2021-02-18,7177.50,461141.25,475920.00,14778.75
2021-02-25,318.75,461460.00,475920.00,14460.00
2021-03-04,7027.50,468487.50,475920.00,7432.50
2021-03-10,22980.00,491467.50,491467.50,0.00
2021-03-18,-393.75,491073.75,491467.50,393.75
2021-03-25,15435.00,506508.75,506508.75,0.00
2021-04-01,12513.75,519022.50,519022.50,0.00
2021-04-08,10038.75,529061.25,529061.25,0.00
2021-04-15,22608.75,551670.00,551670.00,0.00
2021-04-22,4957.50,556627.50,556627.50,0.00
2021-04-29,13800.00,570427.50,570427.50,0.00
2021-05-06,5096.25,575523.75,575523.75,0.00
2021-05-12,15750.00,591273.75,591273.75,0.00
2021-05-20,18866.25,610140.00,610140.00,0.00
2021-05-27,7462.50,617602.50,617602.50,0.00
2021-06-03,6348.75,623951.25,623951.25,0.00
2021-06-10,8396.25,632347.50,632347.50,0.00
2021-06-17,3363.75,635711.25,635711.25,0.00
2021-06-24,-2216.25,633495.00,635711.25,2216.25
2021-07-01,8628.75,642123.75,642123.75,0.00
2021-07-08,6082.50,648206.25,648206.25,0.00
2021-07-15,3678.75,651885.00,651885.00,0.00
2021-07-22,8167.50,660052.50,660052.50,0.00
