date,net_pnl,equity,peak,drawdown
2020-01-02,-326.25,299673.75,300000.00,326.25
2020-01-09,-13402.50,286271.25,300000.00,13728.75
2020-01-16,6746.25,293017.50,300000.00,6982.50
2020-01-23,6056.25,299073.75,300000.00,926.25
2020-01-30,-1237.50,297836.25,300000.00,2163.75
2020-02-06,9206.25,307042.50,307042.50,0.00
2020-02-13,6288.75,313331.25,313331.25,0.00
2020-02-20,-1623.75,311707.50,313331.25,1623.75
2020-02-27,-2133.75,309573.75,313331.25,3757.50
2020-03-05,9795.00,319368.75,319368.75,0.00
2020-03-12,-41246.25,278122.50,319368.75,41246.25
2020-03-19,-57851.25,220271.25,319368.75,99097.50
2020-03-26,26418.75,246690.00,319368.75,72678.75
2020-04-01,17261.25,263951.25,319368.75,55417.50
2020-04-09,-3937.50,260013.75,319368.75,59355.00
2020-04-16,14231.25,274245.00,319368.75,45123.75
2020-04-23,18900.00,293145.00,319368.75,26223.75
2020-04-30,-8662.50,284482.50,319368.75,34886.25
2020-05-07,18881.25,303363.75,319368.75,16005.00
2020-05-14,-3795.00,299568.75,319368.75,19800.00
2020-05-21,16233.75,315802.50,319368.75,3566.25
2020-05-28,-6315.00,309487.50,319368.75,9881.25
2020-06-04,16267.50,325755.00,325755.00,0.00
2020-06-11,-1721.25,324033.75,325755.00,1721.25
2020-06-18,-6285.00,317748.75,325755.00,8006.25
2020-06-25,15191.25,332940.00,332940.00,0.00
2020-07-02,9817.50,342757.50,342757.50,0.00
2020-07-09,10983.75,353741.25,353741.25,0.00
2020-07-16,3821.25,357562.50,357562.50,0.00
2020-07-23,-2981.25,354581.25,357562.50,2981.25
2020-07-30,6866.25,361447.50,361447.50,0.00
2020-08-06,4676.25,366123.75,366123.75,0.00
2020-08-13,10578.75,376702.50,376702.50,0.00
2020-08-20,5190.00,381892.50,381892.50,0.00
2020-08-27,8951.25,390843.75,390843.75,0.00
2020-09-03,-8610.00,382233.75,390843.75,8610.00
2020-09-10,1957.50,384191.25,390843.75,6652.50
2020-09-17,8358.75,392550.00,392550.00,0.00
2020-09-24,-13740.00,378810.00,392550.00,13740.00
2020-10-01,-7.50,378802.50,392550.00,13747.50
2020-10-08,-1725.00,377077.50,392550.00,15472.50
2020-10-15,-142.50,376935.00,392550.00,15615.00
2020-10-22,2827.50,379762.50,392550.00,12787.50
2020-10-29,7372.50,387135.00,392550.00,5415.00
2020-11-05,8625.00,395760.00,395760.00,0.00
2020-11-12,4481.25,400241.25,400241.25,0.00
2020-11-19,5261.25,405502.50,405502.50,0.00
2020-11-26,2921.25,408423.75,408423.75,0.00
2020-12-03,8328.75,416752.50,416752.50,0.00
2020-12-10,6030.00,422782.50,422782.50,0.00
2020-12-17,11715.00,434497.50,434497.50,0.00
2020-12-24,-5111.25,429386.25,434497.50,5111.25
2020-12-31,9487.50,438873.75,438873.75,0.00
2021-01-07,3491.25,442365.00,442365.00,0.00
2021-01-14,4777.50,447142.50,447142.50,0.00
2021-01-21,17733.75,464876.25,464876.25,0.00
2021-01-28,-9735.00,455141.25,464876.25,9735.00
2021-02-04,-20741.25,434400.00,464876.25,30476.25
2021-02-11,8520.00,442920.00,464876.25,21956.25
2021-02-18,7177.50,450097.50,464876.25,14778.75
2021-02-25,318.75,450416.25,464876.25,14460.00
2021-03-04,7027.50,457443.75,464876.25,7432.50
2021-03-10,22980.00,480423.75,480423.75,0.00
2021-03-18,-393.75,480030.00,480423.75,393.75
2021-03-25,15435.00,495465.00,495465.00,0.00
2021-04-01,12513.75,507978.75,507978.75,0.00
2021-04-08,10038.75,518017.50,518017.50,0.00
2021-04-15,22608.75,540626.25,540626.25,0.00
2021-04-22,4957.50,545583.75,545583.75,0.00
2021-04-29,13800.00,559383.75,559383.75,0.00
2021-05-06,5096.25,564480.00,564480.00,0.00
2021-05-12,15750.00,580230.00,580230.00,0.00
2021-05-20,18866.25,599096.25,599096.25,0.00
2021-05-27,7462.50,606558.75,606558.75,0.00
2021-06-03,6348.75,612907.50,612907.50,0.00
2021-06-10,8396.25,621303.75,621303.75,0.00
2021-06-17,3363.75,624667.50,624667.50,0.00
2021-06-24,-2216.25,622451.25,624667.50,2216.25
2021-07-01,8628.75,631080.00,631080.00,0.00
2021-07-08,6082.50,637162.50,637162.50,0.00
2021-07-15,3678.75,640841.25,640841.25,0.00
2021-07-22,8167.50,649008.75,649008.75,0.00
2021-07-29,6333.75,655342.50,655342.50,0.00
2021-08-05,-10665.00,644677.50,655342.50,10665.00
2021-08-12,6240.00,650917.50,655342.50,4425.00
2021-08-18,8422.50,659340.00,659340.00,0.00
2021-08-26,9787.50,669127.50,669127.50,0.00
2021-09-02,-7605.00,661522.50,669127.50,7605.00
2021-09-09,8208.75,669731.25,669731.25,0.00
2021-09-16,-1500.00,668231.25,669731.25,1500.00
2021-09-23,-6435.00,661796.25,669731.25,7935.00
2021-09-30,11497.50,673293.75,673293.75,0.00
2021-10-07,10150.00,683443.75,683443.75,0.00
2021-10-14,-5810.00,677633.75,683443.75,5810.00
2021-10-21,2340.00,679973.75,683443.75,3470.00
2021-10-28,-2842.50,677131.25,683443.75,6312.50
2021-11-03,6867.50,683998.75,683998.75,0.00
2021-11-18,-1497.50,682501.25,683998.75,1497.50
2021-11-25,-95.00,682406.25,683998.75,1592.50
2021-12-02,-2102.50,680303.75,683998.75,3695.00
2021-12-09,10945.00,691248.75,691248.75,0.00
2021-12-16,-3825.00,687423.75,691248.75,3825.00
2021-12-23,1287.50,688711.25,691248.75,2537.50
2021-12-30,10272.50,698983.75,698983.75,0.00
2022-01-06,7575.00,706558.75,706558.75,0.00
2022-01-13,3860.00,710418.75,710418.75,0.00
2022-01-20,-805.00,709613.75,710418.75,805.00
2022-01-27,-11800.00,697813.75,710418.75,12605.00
2022-02-03,22517.50,720331.25,720331.25,0.00
2022-02-10,805.00,721136.25,721136.25,0.00
2022-02-17,-5557.50,715578.75,721136.25,5557.50
2022-02-24,-16197.50,699381.25,721136.25,21755.00
2022-03-03,15212.50,714593.75,721136.25,6542.50
