date,net_pnl,equity,peak,drawdown
2020-01-06,-2778.75,297221.25,300000.00,2778.75
2020-01-08,971.25,298192.50,300000.00,1807.50
2020-01-10,-90.00,298102.50,300000.00,1897.50
2020-01-14,60.00,298162.50,300000.00,1837.50
2020-01-21,551.25,298713.75,300000.00,1286.25
2020-01-28,-483.75,298230.00,300000.00,1770.00
2020-01-31,-570.00,297660.00,300000.00,2340.00
2020-02-01,1001.25,298661.25,300000.00,1338.75
2020-02-10,15.00,298676.25,300000.00,1323.75
2020-02-14,-2456.25,296220.00,300000.00,3780.00
2020-02-17,-555.00,295665.00,300000.00,4335.00
2020-02-18,1267.50,296932.50,300000.00,3067.50
2020-02-25,1710.00,298642.50,300000.00,1357.50
2020-02-26,993.75,299636.25,300000.00,363.75
2020-02-28,-1601.25,298035.00,300000.00,1965.00
2020-03-03,1301.25,299336.25,300000.00,663.75
2020-03-06,4560.00,303896.25,303896.25,0.00
2020-03-11,3862.50,307758.75,307758.75,0.00
2020-03-16,-3731.25,304027.50,307758.75,3731.25
2020-03-17,8190.00,312217.50,312217.50,0.00
2020-03-20,-480.00,311737.50,312217.50,480.00
2020-03-23,3622.50,315360.00,315360.00,0.00
2020-03-24,-1841.25,313518.75,315360.00,1841.25
2020-03-25,7972.50,321491.25,321491.25,0.00
2020-03-27,3288.75,324780.00,324780.00,0.00
2020-03-30,12315.00,337095.00,337095.00,0.00
2020-04-03,7515.00,344610.00,344610.00,0.00
2020-04-07,-15738.75,328871.25,344610.00,15738.75
2020-04-08,1635.00,330506.25,344610.00,14103.75
2020-04-13,2377.50,332883.75,344610.00,11726.25
2020-04-15,2400.00,335283.75,344610.00,9326.25
2020-04-17,423.75,335707.50,344610.00,8902.50
2020-04-20,2103.75,337811.25,344610.00,6798.75
2020-04-21,480.00,338291.25,344610.00,6318.75
2020-04-24,652.50,338943.75,344610.00,5666.25
2020-04-27,1545.00,340488.75,344610.00,4121.25
2020-04-29,-877.50,339611.25,344610.00,4998.75
2020-05-04,-1657.50,337953.75,344610.00,6656.25
2020-05-06,1893.75,339847.50,344610.00,4762.50
2020-05-08,420.00,340267.50,344610.00,4342.50
2020-05-13,131.25,340398.75,344610.00,4211.25
2020-05-15,221.25,340620.00,344610.00,3990.00
2020-05-18,-5122.50,335497.50,344610.00,9112.50
2020-05-19,2587.50,338085.00,344610.00,6525.00
2020-05-20,2463.75,340548.75,344610.00,4061.25
2020-05-22,1833.75,342382.50,344610.00,2227.50
2020-05-26,-540.00,341842.50,344610.00,2767.50
2020-06-05,2313.75,344156.25,344610.00,453.75
2020-06-08,-450.00,343706.25,344610.00,903.75
2020-06-10,277.50,343983.75,344610.00,626.25
2020-06-12,-2895.00,341088.75,344610.00,3521.25
2020-06-15,-221.25,340867.50,344610.00,3742.50
2020-06-16,-2943.75,337923.75,344610.00,6686.25
2020-06-17,4031.25,341955.00,344610.00,2655.00
2020-06-19,1432.50,343387.50,344610.00,1222.50
2020-06-22,3078.75,346466.25,346466.25,0.00
2020-06-24,-6033.75,340432.50,346466.25,6033.75
2020-07-03,1890.00,342322.50,346466.25,4143.75
2020-07-06,-191.25,342131.25,346466.25,4335.00
2020-07-07,525.00,342656.25,346466.25,3810.00
2020-07-10,1125.00,343781.25,346466.25,2685.00
2020-07-13,108.75,343890.00,346466.25,2576.25
2020-07-17,-562.50,343327.50,346466.25,3138.75
2020-07-27,618.75,343946.25,346466.25,2520.00
2020-07-31,1758.75,345705.00,346466.25,761.25
2020-08-03,746.25,346451.25,346466.25,15.00
2020-08-04,217.50,346668.75,346668.75,0.00
2020-08-10,1286.25,347955.00,347955.00,0.00
2020-08-11,753.75,348708.75,348708.75,0.00
2020-08-12,1091.25,349800.00,349800.00,0.00
2020-08-14,-2748.75,347051.25,349800.00,2748.75
2020-08-18,-738.75,346312.50,349800.00,3487.50
2020-08-19,1042.50,347355.00,349800.00,2445.00
2020-08-21,1346.25,348701.25,349800.00,1098.75
2020-08-25,562.50,349263.75,349800.00,536.25
2020-08-26,435.00,349698.75,349800.00,101.25
2020-08-28,-521.25,349177.50,349800.00,622.50
2020-09-02,768.75,349946.25,349946.25,0.00
2020-09-04,1462.50,351408.75,351408.75,0.00
2020-09-07,1575.00,352983.75,352983.75,0.00
2020-09-08,-326.25,352657.50,352983.75,326.25
2020-09-09,1661.25,354318.75,354318.75,0.00
2020-09-11,855.00,355173.75,355173.75,0.00
2020-09-18,907.50,356081.25,356081.25,0.00
2020-09-21,-7260.00,348821.25,356081.25,7260.00
2020-09-23,-101.25,348720.00,356081.25,7361.25
2020-09-25,603.75,349323.75,356081.25,6757.50
2020-09-28,693.75,350017.50,356081.25,6063.75
2020-10-07,-105.00,349912.50,356081.25,6168.75
2020-10-09,840.00,350752.50,356081.25,5328.75
2020-10-12,-483.75,350268.75,356081.25,5812.50
2020-10-13,1158.75,351427.50,356081.25,4653.75
2020-10-14,-435.00,350992.50,356081.25,5088.75
2020-10-16,1590.00,352582.50,356081.25,3498.75
2020-10-19,866.25,353448.75,356081.25,2632.50
2020-10-23,1627.50,355076.25,356081.25,1005.00
2020-10-26,-315.00,354761.25,356081.25,1320.00
2020-10-30,2681.25,357442.50,357442.50,0.00
2020-11-02,1316.25,358758.75,358758.75,0.00
2020-11-03,-468.75,358290.00,358758.75,468.75
2020-11-04,4590.00,362880.00,362880.00,0.00
2020-11-06,-1691.25,361188.75,362880.00,1691.25
2020-11-09,656.25,361845.00,362880.00,1035.00
2020-11-10,-1773.75,360071.25,362880.00,2808.75
2020-11-11,1897.50,361968.75,362880.00,911.25
2020-11-13,-52.50,361916.25,362880.00,963.75
2020-11-18,1068.75,362985.00,362985.00,0.00
2020-11-20,-18.75,362966.25,362985.00,18.75
2020-11-23,-393.75,362572.50,362985.00,412.50
2020-11-24,491.25,363063.75,363063.75,0.00
2020-11-27,1665.00,364728.75,364728.75,0.00
2020-12-02,2846.25,367575.00,367575.00,0.00
2020-12-04,1477.50,369052.50,369052.50,0.00
2020-12-09,735.00,369787.50,369787.50,0.00
2020-12-11,281.25,370068.75,370068.75,0.00
2020-12-14,318.75,370387.50,370387.50,0.00
2020-12-15,1691.25,372078.75,372078.75,0.00
2020-12-16,1687.50,373766.25,373766.25,0.00
2020-12-18,1642.50,375408.75,375408.75,0.00
2020-12-21,-16301.25,359107.50,375408.75,16301.25
2020-12-22,3007.50,362115.00,375408.75,13293.75
2020-12-28,1185.00,363300.00,375408.75,12108.75
2020-12-29,198.75,363498.75,375408.75,11910.00
2021-01-01,2478.75,365977.50,375408.75,9431.25
2021-01-04,7.50,365985.00,375408.75,9423.75
2021-01-05,-813.75,365171.25,375408.75,10237.50
2021-01-08,-1552.50,363618.75,375408.75,11790.00
2021-01-11,-322.50,363296.25,375408.75,12112.50
2021-01-12,142.50,363438.75,375408.75,11970.00
2021-01-15,-1106.25,362332.50,375408.75,13076.25
2021-01-18,735.00,363067.50,375408.75,12341.25
2021-01-19,1466.25,364533.75,375408.75,10875.00
2021-01-20,2523.75,367057.50,375408.75,8351.25
2021-01-22,-1447.50,365610.00,375408.75,9798.75
2021-01-25,-273.75,365336.25,375408.75,10072.50
2021-01-29,-5647.50,359688.75,375408.75,15720.00
2021-02-01,-9307.50,350381.25,375408.75,25027.50
2021-02-02,1807.50,352188.75,375408.75,23220.00
2021-02-03,660.00,352848.75,375408.75,22560.00
2021-02-09,127.50,352976.25,375408.75,22432.50
2021-02-10,2647.50,355623.75,375408.75,19785.00
2021-02-12,1537.50,357161.25,375408.75,18247.50
2021-02-16,1406.25,358567.50,375408.75,16841.25
2021-02-19,1515.00,360082.50,375408.75,15326.25
2021-02-22,-4563.75,355518.75,375408.75,19890.00
2021-02-23,438.75,355957.50,375408.75,19451.25
2021-02-24,-483.75,355473.75,375408.75,19935.00
2021-02-26,-6078.75,349395.00,375408.75,26013.75
2021-03-01,3468.75,352863.75,375408.75,22545.00
2021-03-02,1500.00,354363.75,375408.75,21045.00
2021-03-03,-5407.50,348956.25,375408.75,26452.50
2021-03-05,4368.75,353325.00,375408.75,22083.75
2021-03-08,2801.25,356126.25,375408.75,19282.50
2021-03-09,3982.50,360108.75,375408.75,15300.00
2021-03-12,-3813.75,356295.00,375408.75,19113.75
2021-03-15,3041.25,359336.25,375408.75,16072.50
2021-03-16,-41.25,359295.00,375408.75,16113.75
2021-03-17,101.25,359396.25,375408.75,16012.50
2021-03-19,-476.25,358920.00,375408.75,16488.75
2021-03-23,3307.50,362227.50,375408.75,13181.25
2021-03-26,4196.25,366423.75,375408.75,8985.00
2021-03-30,-2715.00,363708.75,375408.75,11700.00
2021-03-31,1950.00,365658.75,375408.75,9750.00
2021-04-05,3817.50,369476.25,375408.75,5932.50
2021-04-06,2430.00,371906.25,375408.75,3502.50
2021-04-07,4537.50,376443.75,376443.75,0.00
2021-04-09,4207.50,380651.25,380651.25,0.00
2021-04-12,-873.75,379777.50,380651.25,873.75
2021-04-13,-1200.00,378577.50,380651.25,2073.75
2021-04-16,952.50,379530.00,380651.25,1121.25
2021-04-19,1053.75,380583.75,380651.25,67.50
2021-04-20,-1972.50,378611.25,380651.25,2040.00
2021-04-23,761.25,379372.50,380651.25,1278.75
2021-04-26,1342.50,380715.00,380715.00,0.00
2021-04-27,386.25,381101.25,381101.25,0.00
2021-04-30,750.00,381851.25,381851.25,0.00
2021-05-03,-543.75,381307.50,381851.25,543.75
2021-05-04,-1927.50,379380.00,381851.25,2471.25
2021-05-07,810.00,380190.00,381851.25,1661.25
2021-05-11,-86.25,380103.75,381851.25,1747.50
2021-05-14,1638.75,381742.50,381851.25,108.75
2021-05-17,-2576.25,379166.25,381851.25,2685.00
2021-05-18,352.50,379518.75,381851.25,2332.50
2021-05-21,-2456.25,377062.50,381851.25,4788.75
2021-05-24,1567.50,378630.00,381851.25,3221.25
2021-05-26,-581.25,378048.75,381851.25,3802.50
2021-05-28,1612.50,379661.25,381851.25,2190.00
2021-06-01,1155.00,380816.25,381851.25,1035.00
2021-06-02,1875.00,382691.25,382691.25,0.00
2021-06-04,2051.25,384742.50,384742.50,0.00
2021-06-07,183.75,384926.25,384926.25,0.00
2021-06-08,1256.25,386182.50,386182.50,0.00
2021-06-09,-457.50,385725.00,386182.50,457.50
2021-06-11,1563.75,387288.75,387288.75,0.00
2021-06-14,-262.50,387026.25,387288.75,262.50
2021-06-15,858.75,387885.00,387885.00,0.00
2021-06-18,945.00,388830.00,388830.00,0.00
2021-06-21,-1361.25,387468.75,388830.00,1361.25
2021-06-29,2148.75,389617.50,389617.50,0.00
2021-06-30,-82.50,389535.00,389617.50,82.50
2021-07-02,1860.00,391395.00,391395.00,0.00
2021-07-05,577.50,391972.50,391972.50,0.00
2021-07-06,-108.75,391863.75,391972.50,108.75
2021-07-12,-30.00,391833.75,391972.50,138.75
2021-07-16,337.50,392171.25,392171.25,0.00
2021-07-19,273.75,392445.00,392445.00,0.00
2021-07-20,180.00,392625.00,392625.00,0.00
2021-07-23,296.25,392921.25,392921.25,0.00
2021-07-27,-1593.75,391327.50,392921.25,1593.75
