date,net_pnl,equity,peak,drawdown
2020-01-06,-1710.00,298290.00,300000.00,1710.00
2020-01-08,-487.50,297802.50,300000.00,2197.50
2020-01-10,-90.00,297712.50,300000.00,2287.50
2020-01-14,60.00,297772.50,300000.00,2227.50
2020-01-21,551.25,298323.75,300000.00,1676.25
2020-01-28,-956.25,297367.50,300000.00,2632.50
2020-01-31,-570.00,296797.50,300000.00,3202.50
2020-02-01,5415.00,302212.50,302212.50,0.00
2020-02-10,15.00,302227.50,302227.50,0.00
2020-02-14,-4305.00,297922.50,302227.50,4305.00
2020-02-17,-555.00,297367.50,302227.50,4860.00
2020-02-18,1267.50,298635.00,302227.50,3592.50
2020-02-25,1710.00,300345.00,302227.50,1882.50
2020-02-26,-318.75,300026.25,302227.50,2201.25
2020-02-28,-2201.25,297825.00,302227.50,4402.50
2020-03-03,-435.00,297390.00,302227.50,4837.50
2020-03-06,4560.00,301950.00,302227.50,277.50
2020-03-11,3862.50,305812.50,305812.50,0.00
2020-03-16,-5827.50,299985.00,305812.50,5827.50
2020-03-17,8190.00,308175.00,308175.00,0.00
2020-03-20,-2051.25,306123.75,308175.00,2051.25
2020-03-23,3847.50,309971.25,309971.25,0.00
2020-03-24,-4038.75,305932.50,309971.25,4038.75
2020-03-25,9911.25,315843.75,315843.75,0.00
2020-03-27,363.75,316207.50,316207.50,0.00
2020-03-30,12315.00,328522.50,328522.50,0.00
2020-04-03,7515.00,336037.50,336037.50,0.00
2020-04-07,-8415.00,327622.50,336037.50,8415.00
2020-04-08,-8062.50,319560.00,336037.50,16477.50
2020-04-13,2377.50,321937.50,336037.50,14100.00
2020-04-15,3588.75,325526.25,336037.50,10511.25
2020-04-17,423.75,325950.00,336037.50,10087.50
2020-04-20,2103.75,328053.75,336037.50,7983.75
2020-04-21,-1158.75,326895.00,336037.50,9142.50
2020-04-24,652.50,327547.50,336037.50,8490.00
2020-04-27,1545.00,329092.50,336037.50,6945.00
2020-04-29,1087.50,330180.00,336037.50,5857.50
2020-05-04,-1980.00,328200.00,336037.50,7837.50
2020-05-06,-1496.25,326703.75,336037.50,9333.75
