entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2020-01-06,2020-01-09,CE,12200,2020-01-06T09:29:00+05:30,27.55,2020-01-06T12:51:00+05:30,13.55,ADD_2,ROLL_OUT,14.00,1050.00
2020-01-06,2020-01-09,CE,12150,2020-01-06T09:20:00+05:30,56.45,2020-01-06T15:20:00+05:30,18.75,INITIAL_ENTRY,FINAL_EXIT,37.70,2827.50
2020-01-06,2020-01-09,PE,12150,2020-01-06T09:20:00+05:30,66.70,2020-01-06T15:20:00+05:30,155.55,INITIAL_ENTRY,FINAL_EXIT,-88.85,-6663.75
2020-01-06,2020-01-09,CE,12100,2020-01-06T11:46:00+05:30,42.30,2020-01-06T15:20:00+05:30,31.50,ADD_3,FINAL_EXIT,10.80,810.00
2020-01-06,2020-01-09,CE,12050,2020-01-06T12:51:00+05:30,55.95,2020-01-06T15:20:00+05:30,48.40,ROLL_IN,FINAL_EXIT,7.55,566.25
2020-01-08,2020-01-09,PE,11850,2020-01-08T09:43:00+05:30,21.50,2020-01-08T09:49:00+05:30,21.65,ADD_2,UNWIND,-0.15,-11.25
2020-01-08,2020-01-09,PE,11900,2020-01-08T09:46:00+05:30,25.70,2020-01-08T10:05:00+05:30,34.80,ADD_3,UNWIND,-9.10,-682.50
2020-01-08,2020-01-09,PE,11850,2020-01-08T10:10:00+05:30,21.50,2020-01-08T11:07:00+05:30,21.75,ADD_2,UNWIND,-0.25,-18.75
2020-01-08,2020-01-09,PE,11850,2020-01-08T12:37:00+05:30,17.10,2020-01-08T13:11:00+05:30,17.10,ADD_2,UNWIND,0.00,0.00
2020-01-08,2020-01-09,CE,11950,2020-01-08T09:20:00+05:30,60.70,2020-01-08T15:20:00+05:30,94.10,INITIAL_ENTRY,FINAL_EXIT,-33.40,-2505.00
2020-01-08,2020-01-09,PE,11950,2020-01-08T09:20:00+05:30,70.60,2020-01-08T15:20:00+05:30,24.65,INITIAL_ENTRY,FINAL_EXIT,45.95,3446.25
2020-01-08,2020-01-09,PE,11900,2020-01-08T12:50:00+05:30,21.75,2020-01-08T15:20:00+05:30,17.90,ADD_3,FINAL_EXIT,3.85,288.75
2020-01-08,2020-01-09,PE,12000,2020-01-08T14:56:00+05:30,30.70,2020-01-08T15:20:00+05:30,37.70,ADD_3,FINAL_EXIT,-7.00,-525.00
2020-01-10,2020-01-16,PE,12150,2020-01-10T11:40:00+05:30,29.40,2020-01-10T13:32:00+05:30,32.70,ADD_2,UNWIND,-3.30,-247.50
2020-01-10,2020-01-16,CE,12250,2020-01-10T09:20:00+05:30,75.35,2020-01-10T15:20:00+05:30,73.30,INITIAL_ENTRY,FINAL_EXIT,2.05,153.75
2020-01-10,2020-01-16,PE,12250,2020-01-10T09:20:00+05:30,72.30,2020-01-10T15:20:00+05:30,69.85,INITIAL_ENTRY,FINAL_EXIT,2.45,183.75
2020-01-14,2020-01-16,CE,12300,2020-01-14T09:20:00+05:30,57.50,2020-01-14T15:20:00+05:30,80.00,INITIAL_ENTRY,FINAL_EXIT,-22.50,-1687.50
2020-01-14,2020-01-16,PE,12300,2020-01-14T09:20:00+05:30,50.40,2020-01-14T15:20:00+05:30,25.25,INITIAL_ENTRY,FINAL_EXIT,25.15,1886.25
2020-01-14,2020-01-16,PE,12250,2020-01-14T14:28:00+05:30,15.95,2020-01-14T15:20:00+05:30,15.40,ADD_2,FINAL_EXIT,0.55,41.25
2020-01-21,2020-01-23,CE,12250,2020-01-21T14:24:00+05:30,20.05,2020-01-21T14:34:00+05:30,23.15,ADD_2,UNWIND,-3.10,-232.50
2020-01-21,2020-01-23,CE,12200,2020-01-21T09:20:00+05:30,48.60,2020-01-21T15:20:00+05:30,39.10,INITIAL_ENTRY,FINAL_EXIT,9.50,712.50
2020-01-21,2020-01-23,PE,12200,2020-01-21T09:20:00+05:30,58.40,2020-01-21T15:20:00+05:30,55.05,INITIAL_ENTRY,FINAL_EXIT,3.35,251.25
2020-01-28,2020-01-30,PE,12000,2020-01-28T09:31:00+05:30,18.30,2020-01-28T10:02:00+05:30,17.15,ADD_2,UNWIND,1.15,86.25
2020-01-28,2020-01-30,PE,12050,2020-01-28T09:50:00+05:30,21.05,2020-01-28T10:11:00+05:30,30.70,ADD_3,UNWIND,-9.65,-723.75
2020-01-28,2020-01-30,PE,12050,2020-01-28T12:10:00+05:30,22.15,2020-01-28T12:40:00+05:30,28.05,ADD_2,UNWIND,-5.90,-442.50
2020-01-28,2020-01-30,PE,12050,2020-01-28T13:10:00+05:30,22.65,2020-01-28T13:31:00+05:30,28.30,ADD_2,UNWIND,-5.65,-423.75
2020-01-28,2020-01-30,CE,12150,2020-01-28T14:32:00+05:30,23.05,2020-01-28T15:13:00+05:30,26.40,ADD_2,UNWIND,-3.35,-251.25
2020-01-28,2020-01-30,CE,12100,2020-01-28T09:20:00+05:30,65.40,2020-01-28T15:20:00+05:30,42.35,INITIAL_ENTRY,FINAL_EXIT,23.05,1728.75
2020-01-28,2020-01-30,PE,12100,2020-01-28T09:20:00+05:30,57.45,2020-01-28T15:20:00+05:30,64.25,INITIAL_ENTRY,FINAL_EXIT,-6.80,-510.00
2020-01-31,2020-02-06,CE,12050,2020-01-31T09:20:00+05:30,155.15,2020-01-31T15:20:00+05:30,114.75,INITIAL_ENTRY,FINAL_EXIT,40.40,3030.00
2020-01-31,2020-02-06,PE,12050,2020-01-31T09:20:00+05:30,145.30,2020-01-31T15:20:00+05:30,191.70,INITIAL_ENTRY,FINAL_EXIT,-46.40,-3480.00
2020-02-01,2020-02-06,CE,12050,2020-02-01T13:28:00+05:30,43.40,2020-02-01T13:58:00+05:30,36.50,ADD_2,UNWIND,6.90,517.50
2020-02-01,2020-02-06,CE,11950,2020-02-01T13:44:00+05:30,51.70,2020-02-01T14:56:00+05:30,27.10,ADD_3,ROLL_OUT,24.60,1845.00
2020-02-01,2020-02-06,CE,11900,2020-02-01T09:20:00+05:30,155.00,2020-02-01T15:10:00+05:30,27.75,INITIAL_ENTRY,ROLL_OUT,127.25,9543.75
2020-02-01,2020-02-06,PE,11900,2020-02-01T09:20:00+05:30,145.00,2020-02-01T15:20:00+05:30,296.10,INITIAL_ENTRY,FINAL_EXIT,-151.10,-11332.50
2020-02-01,2020-02-06,CE,11850,2020-02-01T14:45:00+05:30,57.30,2020-02-01T15:20:00+05:30,29.55,ADD_3,FINAL_EXIT,27.75,2081.25
2020-02-01,2020-02-06,CE,11750,2020-02-01T14:56:00+05:30,81.00,2020-02-01T15:20:00+05:30,52.40,ROLL_IN,FINAL_EXIT,28.60,2145.00
2020-02-01,2020-02-06,CE,11700,2020-02-01T15:10:00+05:30,82.30,2020-02-01T15:20:00+05:30,68.50,ROLL_IN,FINAL_EXIT,13.80,1035.00
2020-02-10,2020-02-13,CE,12100,2020-02-10T10:16:00+05:30,27.50,2020-02-10T12:09:00+05:30,31.00,ADD_2,UNWIND,-3.50,-262.50
2020-02-10,2020-02-13,CE,12100,2020-02-10T12:36:00+05:30,26.20,2020-02-10T15:07:00+05:30,29.35,ADD_2,UNWIND,-3.15,-236.25
2020-02-10,2020-02-13,CE,12050,2020-02-10T09:20:00+05:30,64.55,2020-02-10T15:20:00+05:30,49.50,INITIAL_ENTRY,FINAL_EXIT,15.05,1128.75
2020-02-10,2020-02-13,PE,12050,2020-02-10T09:20:00+05:30,63.25,2020-02-10T15:20:00+05:30,68.25,INITIAL_ENTRY,FINAL_EXIT,-5.00,-375.00
2020-02-14,2020-02-20,CE,12300,2020-02-14T10:45:00+05:30,27.50,2020-02-14T11:10:00+05:30,15.00,ADD_2,ROLL_OUT,12.50,937.50
2020-02-14,2020-02-20,CE,12250,2020-02-14T09:20:00+05:30,62.65,2020-02-14T11:28:00+05:30,28.80,INITIAL_ENTRY,UNWIND,33.85,2538.75
2020-02-14,2020-02-20,CE,12200,2020-02-14T10:56:00+05:30,38.60,2020-02-14T11:31:00+05:30,56.00,ADD_3,UNWIND,-17.40,-1305.00
2020-02-14,2020-02-20,PE,12250,2020-02-14T09:20:00+05:30,71.20,2020-02-14T15:20:00+05:30,151.80,INITIAL_ENTRY,FINAL_EXIT,-80.60,-6045.00
2020-02-14,2020-02-20,CE,12150,2020-02-14T11:10:00+05:30,55.95,2020-02-14T15:20:00+05:30,57.00,ROLL_IN,FINAL_EXIT,-1.05,-78.75
2020-02-14,2020-02-20,CE,12250,2020-02-14T13:35:00+05:30,28.75,2020-02-14T15:20:00+05:30,24.75,ADD_2,FINAL_EXIT,4.00,300.00
2020-02-14,2020-02-20,CE,12200,2020-02-14T14:43:00+05:30,35.65,2020-02-14T15:20:00+05:30,38.75,ADD_3,FINAL_EXIT,-3.10,-232.50
2020-02-17,2020-02-20,CE,12200,2020-02-17T09:24:00+05:30,28.65,2020-02-17T09:40:00+05:30,34.00,ADD_2,UNWIND,-5.35,-401.25
2020-02-17,2020-02-20,CE,12150,2020-02-17T09:20:00+05:30,64.90,2020-02-17T15:20:00+05:30,30.20,INITIAL_ENTRY,FINAL_EXIT,34.70,2602.50
2020-02-17,2020-02-20,PE,12150,2020-02-17T09:20:00+05:30,66.55,2020-02-17T15:20:00+05:30,108.35,INITIAL_ENTRY,FINAL_EXIT,-41.80,-3135.00
2020-02-17,2020-02-20,CE,12200,2020-02-17T09:51:00+05:30,27.25,2020-02-17T15:20:00+05:30,19.00,ADD_2,FINAL_EXIT,8.25,618.75
2020-02-18,2020-02-20,CE,12050,2020-02-18T10:24:00+05:30,22.70,2020-02-18T15:06:00+05:30,20.65,ADD_2,UNWIND,2.05,153.75
2020-02-18,2020-02-20,CE,12000,2020-02-18T09:20:00+05:30,52.15,2020-02-18T15:20:00+05:30,53.70,INITIAL_ENTRY,FINAL_EXIT,-1.55,-116.25
2020-02-18,2020-02-20,PE,12000,2020-02-18T09:20:00+05:30,62.00,2020-02-18T15:20:00+05:30,43.20,INITIAL_ENTRY,FINAL_EXIT,18.80,1410.00
2020-02-25,2020-02-27,CE,11900,2020-02-25T14:12:00+05:30,28.95,2020-02-25T14:27:00+05:30,33.40,ADD_2,UNWIND,-4.45,-333.75
2020-02-25,2020-02-27,CE,11850,2020-02-25T09:20:00+05:30,74.85,2020-02-25T15:20:00+05:30,50.70,INITIAL_ENTRY,FINAL_EXIT,24.15,1811.25
2020-02-25,2020-02-27,PE,11850,2020-02-25T09:20:00+05:30,86.40,2020-02-25T15:20:00+05:30,80.90,INITIAL_ENTRY,FINAL_EXIT,5.50,412.50
2020-02-26,2020-02-27,CE,11800,2020-02-26T10:53:00+05:30,19.30,2020-02-26T12:18:00+05:30,22.55,ADD_2,UNWIND,-3.25,-243.75
2020-02-26,2020-02-27,PE,11700,2020-02-26T13:46:00+05:30,18.30,2020-02-26T13:48:00+05:30,21.35,ADD_2,UNWIND,-3.05,-228.75
2020-02-26,2020-02-27,CE,11800,2020-02-26T14:15:00+05:30,15.15,2020-02-26T15:11:00+05:30,11.55,ADD_2,UNWIND,3.60,270.00
2020-02-26,2020-02-27,CE,11750,2020-02-26T09:20:00+05:30,53.85,2020-02-26T15:12:00+05:30,25.95,INITIAL_ENTRY,UNWIND,27.90,2092.50
2020-02-26,2020-02-27,PE,11750,2020-02-26T09:20:00+05:30,61.50,2020-02-26T15:20:00+05:30,72.15,INITIAL_ENTRY,FINAL_EXIT,-10.65,-798.75
2020-02-26,2020-02-27,CE,11700,2020-02-26T14:38:00+05:30,32.05,2020-02-26T15:20:00+05:30,46.05,ADD_3,FINAL_EXIT,-14.00,-1050.00
2020-02-28,2020-03-05,CE,11500,2020-02-28T12:21:00+05:30,49.00,2020-02-28T12:50:00+05:30,56.65,ADD_2,UNWIND,-7.65,-573.75
2020-02-28,2020-03-05,CE,11350,2020-02-28T09:20:00+05:30,167.60,2020-02-28T15:20:00+05:30,93.05,INITIAL_ENTRY,FINAL_EXIT,74.55,5591.25
2020-02-28,2020-03-05,PE,11350,2020-02-28T09:20:00+05:30,147.90,2020-02-28T15:20:00+05:30,237.10,INITIAL_ENTRY,FINAL_EXIT,-89.20,-6690.00
2020-02-28,2020-03-05,CE,11450,2020-02-28T14:18:00+05:30,59.35,2020-02-28T15:20:00+05:30,55.20,ADD_2,FINAL_EXIT,4.15,311.25
2020-02-28,2020-03-05,CE,11400,2020-02-28T15:01:00+05:30,64.10,2020-02-28T15:20:00+05:30,71.30,ADD_3,FINAL_EXIT,-7.20,-540.00
2020-03-03,2020-03-05,CE,11400,2020-03-03T10:19:00+05:30,45.25,2020-03-03T11:00:00+05:30,46.15,ADD_2,UNWIND,-0.90,-67.50
2020-03-03,2020-03-05,CE,11350,2020-03-03T10:51:00+05:30,53.05,2020-03-03T12:44:00+05:30,71.90,ADD_3,UNWIND,-18.85,-1413.75
2020-03-03,2020-03-05,CE,11400,2020-03-03T13:01:00+05:30,43.45,2020-03-03T13:48:00+05:30,54.70,ADD_2,UNWIND,-11.25,-843.75
2020-03-03,2020-03-05,CE,11300,2020-03-03T09:20:00+05:30,108.25,2020-03-03T15:20:00+05:30,113.90,INITIAL_ENTRY,FINAL_EXIT,-5.65,-423.75
2020-03-03,2020-03-05,PE,11300,2020-03-03T09:20:00+05:30,125.10,2020-03-03T15:20:00+05:30,90.25,INITIAL_ENTRY,FINAL_EXIT,34.85,2613.75
2020-03-06,2020-03-12,CE,10900,2020-03-06T09:20:00+05:30,180.00,2020-03-06T15:20:00+05:30,178.95,INITIAL_ENTRY,FINAL_EXIT,1.05,78.75
2020-03-06,2020-03-12,PE,10900,2020-03-06T09:20:00+05:30,194.45,2020-03-06T15:20:00+05:30,133.10,INITIAL_ENTRY,FINAL_EXIT,61.35,4601.25
2020-03-11,2020-03-12,CE,10550,2020-03-11T10:40:00+05:30,39.80,2020-03-11T10:57:00+05:30,48.95,ADD_2,UNWIND,-9.15,-686.25
2020-03-11,2020-03-12,PE,10300,2020-03-11T14:28:00+05:30,31.00,2020-03-11T14:36:00+05:30,36.25,ADD_2,UNWIND,-5.25,-393.75
2020-03-11,2020-03-12,CE,10450,2020-03-11T09:20:00+05:30,127.25,2020-03-11T15:20:00+05:30,88.95,INITIAL_ENTRY,FINAL_EXIT,38.30,2872.50
2020-03-11,2020-03-12,PE,10450,2020-03-11T09:20:00+05:30,113.25,2020-03-11T15:20:00+05:30,82.45,INITIAL_ENTRY,FINAL_EXIT,30.80,2310.00
2020-03-16,2020-03-19,CE,9850,2020-03-16T14:03:00+05:30,124.00,2020-03-16T14:50:00+05:30,122.00,ADD_2,UNWIND,2.00,150.00
2020-03-16,2020-03-19,CE,9500,2020-03-16T09:20:00+05:30,330.10,2020-03-16T15:20:00+05:30,206.00,INITIAL_ENTRY,FINAL_EXIT,124.10,9307.50
2020-03-16,2020-03-19,PE,9500,2020-03-16T09:20:00+05:30,376.00,2020-03-16T15:20:00+05:30,565.00,INITIAL_ENTRY,FINAL_EXIT,-189.00,-14175.00
2020-03-16,2020-03-19,CE,9650,2020-03-16T14:22:00+05:30,144.40,2020-03-16T15:20:00+05:30,156.00,ADD_3,FINAL_EXIT,-11.60,-870.00
2020-03-17,2020-03-19,PE,8600,2020-03-17T10:27:00+05:30,119.90,2020-03-17T11:02:00+05:30,142.45,ADD_2,UNWIND,-22.55,-1691.25
2020-03-17,2020-03-19,PE,8600,2020-03-17T13:27:00+05:30,104.00,2020-03-17T13:40:00+05:30,121.80,ADD_2,UNWIND,-17.80,-1335.00
2020-03-17,2020-03-19,CE,9100,2020-03-17T09:20:00+05:30,346.60,2020-03-17T15:20:00+05:30,193.55,INITIAL_ENTRY,FINAL_EXIT,153.05,11478.75
2020-03-17,2020-03-19,PE,9100,2020-03-17T09:20:00+05:30,368.05,2020-03-17T15:20:00+05:30,363.45,INITIAL_ENTRY,FINAL_EXIT,4.60,345.00
2020-03-17,2020-03-19,CE,9350,2020-03-17T15:10:00+05:30,97.10,2020-03-17T15:20:00+05:30,101.20,ADD_2,FINAL_EXIT,-4.10,-307.50
2020-03-20,2020-03-26,PE,7700,2020-03-20T12:56:00+05:30,144.30,2020-03-20T13:54:00+05:30,135.65,ADD_2,UNWIND,8.65,648.75
