entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked
2020-01-01,2020-01-01,2020-01-02,12200,75,NO,balance_check_failed,"CE=39.40 PE=29.85 within 75.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-02,2020-01-02,2020-01-09,12200,75,NO,missing_entry_bar,No exact 09:20 bar on both ATM legs.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-03,2020-01-03,2020-01-09,12250,75,NO,balance_check_failed,"CE=55.00 PE=69.85 within 78.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-06,2020-01-06,2020-01-09,12150,75,YES,,,5,3,0,10,5,-24.15,-1811.25,300.00,-2111.25,0,41
2020-01-07,2020-01-07,2020-01-09,12100,75,NO,balance_check_failed,"CE=63.35 PE=43.10 within 68.0%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-08,2020-01-08,2020-01-09,11950,75,YES,,,8,6,4,16,4,-0.10,-7.50,480.00,-487.50,0,7
2020-01-09,2020-01-09,2020-01-16,12150,75,NO,missing_entry_bar,No exact 09:20 bar on both ATM legs.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-10,2020-01-10,2020-01-16,12250,75,YES,,,3,1,1,6,3,1.20,90.00,180.00,-90.00,0,0
2020-01-13,2020-01-13,2020-01-16,12350,75,NO,balance_check_failed,"CE=54.00 PE=75.35 within 71.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2020-01-14,2020-01-14,2020-01-16,12300,75,YES,,,3,1,0,6,3,3.20,240.00,180.00,60.00,0,36
2020-01-15,2020-01-15,2020-01-16,12300,75,NO,balance_check_failed,"CE=47.00 PE=33.50 within 71.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
