date,net_pnl,equity,peak,drawdown
2020-01-06,-2111.25,297888.75,300000.00,2111.25
2020-01-08,-487.50,297401.25,300000.00,2598.75
2020-01-10,-90.00,297311.25,300000.00,2688.75
2020-01-14,60.00,297371.25,300000.00,2628.75
2020-01-21,551.25,297922.50,300000.00,2077.50
2020-01-28,-956.25,296966.25,300000.00,3033.75
2020-01-31,-570.00,296396.25,300000.00,3603.75
2020-02-01,5887.50,302283.75,302283.75,0.00
2020-02-10,15.00,302298.75,302298.75,0.00
2020-02-14,-4245.00,298053.75,302298.75,4245.00
2020-02-17,-555.00,297498.75,302298.75,4800.00
2020-02-18,1267.50,298766.25,302298.75,3532.50
2020-02-25,1710.00,300476.25,302298.75,1822.50
2020-02-26,-318.75,300157.50,302298.75,2141.25
2020-02-28,-2201.25,297956.25,302298.75,4342.50
2020-03-03,-435.00,297521.25,302298.75,4777.50
2020-03-06,4560.00,302081.25,302298.75,217.50
2020-03-11,3862.50,305943.75,305943.75,0.00
2020-03-16,-5827.50,300116.25,305943.75,5827.50
2020-03-17,8190.00,308306.25,308306.25,0.00
2020-03-20,-2051.25,306255.00,308306.25,2051.25
2020-03-23,4147.50,310402.50,310402.50,0.00
2020-03-24,-4038.75,306363.75,310402.50,4038.75
2020-03-25,9176.25,315540.00,315540.00,0.00
2020-03-27,363.75,315903.75,315903.75,0.00
2020-03-30,12315.00,328218.75,328218.75,0.00
2020-04-03,7515.00,335733.75,335733.75,0.00
2020-04-07,-9532.50,326201.25,335733.75,9532.50
2020-04-08,-5253.75,320947.50,335733.75,14786.25
2020-04-13,2377.50,323325.00,335733.75,12408.75
2020-04-15,4871.25,328196.25,335733.75,7537.50
2020-04-17,423.75,328620.00,335733.75,7113.75
2020-04-20,2103.75,330723.75,335733.75,5010.00
2020-04-21,-1158.75,329565.00,335733.75,6168.75
2020-04-24,652.50,330217.50,335733.75,5516.25
2020-04-27,1545.00,331762.50,335733.75,3971.25
2020-04-29,157.50,331920.00,335733.75,3813.75
2020-05-04,-1980.00,329940.00,335733.75,5793.75
2020-05-06,-2351.25,327588.75,335733.75,8145.00
2020-05-08,420.00,328008.75,335733.75,7725.00
2020-05-13,131.25,328140.00,335733.75,7593.75
2020-05-15,221.25,328361.25,335733.75,7372.50
2020-05-18,-2220.00,326141.25,335733.75,9592.50
2020-05-19,2587.50,328728.75,335733.75,7005.00
2020-05-20,2895.00,331623.75,335733.75,4110.00
2020-05-22,1833.75,333457.50,335733.75,2276.25
2020-05-26,-656.25,332801.25,335733.75,2932.50
2020-06-05,2313.75,335115.00,335733.75,618.75
2020-06-08,-1136.25,333978.75,335733.75,1755.00
2020-06-10,277.50,334256.25,335733.75,1477.50
2020-06-12,371.25,334627.50,335733.75,1106.25
2020-06-15,-802.50,333825.00,335733.75,1908.75
2020-06-16,-8647.50,325177.50,335733.75,10556.25
2020-06-17,1155.00,326332.50,335733.75,9401.25
2020-06-19,1432.50,327765.00,335733.75,7968.75
2020-06-22,3078.75,330843.75,335733.75,4890.00
2020-06-24,-3285.00,327558.75,335733.75,8175.00
2020-07-03,1890.00,329448.75,335733.75,6285.00
2020-07-06,-191.25,329257.50,335733.75,6476.25
2020-07-07,525.00,329782.50,335733.75,5951.25
2020-07-10,1125.00,330907.50,335733.75,4826.25
2020-07-13,108.75,331016.25,335733.75,4717.50
2020-07-17,-562.50,330453.75,335733.75,5280.00
2020-07-27,-652.50,329801.25,335733.75,5932.50
2020-07-31,1758.75,331560.00,335733.75,4173.75
2020-08-03,746.25,332306.25,335733.75,3427.50
2020-08-04,1942.50,334248.75,335733.75,1485.00
2020-08-10,1286.25,335535.00,335733.75,198.75
2020-08-11,753.75,336288.75,336288.75,0.00
2020-08-12,1091.25,337380.00,337380.00,0.00
2020-08-14,-1541.25,335838.75,337380.00,1541.25
2020-08-18,-592.50,335246.25,337380.00,2133.75
2020-08-19,1042.50,336288.75,337380.00,1091.25
2020-08-21,1346.25,337635.00,337635.00,0.00
2020-08-25,562.50,338197.50,338197.50,0.00
2020-08-26,435.00,338632.50,338632.50,0.00
2020-08-28,-521.25,338111.25,338632.50,521.25
2020-09-02,1878.75,339990.00,339990.00,0.00
2020-09-04,1462.50,341452.50,341452.50,0.00
2020-09-07,1575.00,343027.50,343027.50,0.00
2020-09-08,-326.25,342701.25,343027.50,326.25
2020-09-09,1661.25,344362.50,344362.50,0.00
2020-09-11,855.00,345217.50,345217.50,0.00
2020-09-18,907.50,346125.00,346125.00,0.00
2020-09-21,-2576.25,343548.75,346125.00,2576.25
2020-09-23,-3588.75,339960.00,346125.00,6165.00
2020-09-25,1061.25,341021.25,346125.00,5103.75
2020-09-28,45.00,341066.25,346125.00,5058.75
2020-10-07,-0.00,341066.25,346125.00,5058.75
2020-10-09,840.00,341906.25,346125.00,4218.75
2020-10-12,-1923.75,339982.50,346125.00,6142.50
2020-10-13,1158.75,341141.25,346125.00,4983.75
2020-10-14,-506.25,340635.00,346125.00,5490.00
2020-10-16,1590.00,342225.00,346125.00,3900.00
2020-10-19,866.25,343091.25,346125.00,3033.75
2020-10-23,1627.50,344718.75,346125.00,1406.25
2020-10-26,-705.00,344013.75,346125.00,2111.25
2020-10-30,2681.25,346695.00,346695.00,0.00
2020-11-02,1316.25,348011.25,348011.25,0.00
2020-11-03,-468.75,347542.50,348011.25,468.75
2020-11-04,3573.75,351116.25,351116.25,0.00
2020-11-06,-1691.25,349425.00,351116.25,1691.25
2020-11-09,656.25,350081.25,351116.25,1035.00
2020-11-10,-3266.25,346815.00,351116.25,4301.25
2020-11-11,-517.50,346297.50,351116.25,4818.75
2020-11-13,-52.50,346245.00,351116.25,4871.25
2020-11-18,1068.75,347313.75,351116.25,3802.50
2020-11-20,-18.75,347295.00,351116.25,3821.25
2020-11-23,-1830.00,345465.00,351116.25,5651.25
2020-11-24,491.25,345956.25,351116.25,5160.00
2020-11-27,1665.00,347621.25,351116.25,3495.00
2020-12-02,2846.25,350467.50,351116.25,648.75
2020-12-04,1477.50,351945.00,351945.00,0.00
2020-12-09,735.00,352680.00,352680.00,0.00
2020-12-11,-918.75,351761.25,352680.00,918.75
2020-12-14,-1267.50,350493.75,352680.00,2186.25
2020-12-15,1593.75,352087.50,352680.00,592.50
2020-12-16,1687.50,353775.00,353775.00,0.00
2020-12-18,1642.50,355417.50,355417.50,0.00
2020-12-21,-19192.50,336225.00,355417.50,19192.50
2020-12-22,-2130.00,334095.00,355417.50,21322.50
2020-12-28,1185.00,335280.00,355417.50,20137.50
