entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-01,2020-01-30,12200,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12200 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-02,2020-01-02,2020-01-30,12200,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12200 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-03,2020-01-03,2020-01-30,12250,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12250 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-06,2020-01-06,2020-01-30,12150,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12150 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-07,2020-01-07,2020-01-30,12100,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12100 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-08,2020-01-08,2020-01-30,11950,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 11950 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-09,2020-01-09,2020-01-30,12150,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12150 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-10,2020-01-10,2020-01-30,12250,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12250 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-13,2020-01-13,2020-01-30,12350,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12350 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-14,2020-01-14,2020-01-30,12300,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12300 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-15,2020-01-15,2020-01-30,12300,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12300 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-16,2020-01-16,2020-01-30,12350,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12350 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
