date,net_pnl,equity,peak,drawdown
2020-01-28,-956.25,299043.75,300000.00,956.25
2020-02-25,1710.00,300753.75,300753.75,0.00
2020-02-26,-318.75,300435.00,300753.75,318.75
2020-03-20,-2051.25,298383.75,300753.75,2370.00
2020-03-23,3847.50,302231.25,302231.25,0.00
2020-03-24,-4038.75,298192.50,302231.25,4038.75
2020-03-25,9911.25,308103.75,308103.75,0.00
2020-04-24,652.50,308756.25,308756.25,0.00
2020-04-27,1545.00,310301.25,310301.25,0.00
2020-04-28,1597.50,311898.75,311898.75,0.00
2020-04-29,1087.50,312986.25,312986.25,0.00
2020-05-22,1833.75,314820.00,314820.00,0.00
2020-05-26,-1177.50,313642.50,314820.00,1177.50
2020-06-19,1432.50,315075.00,315075.00,0.00
2020-06-22,3078.75,318153.75,318153.75,0.00
2020-06-23,1496.25,319650.00,319650.00,0.00
2020-06-24,-2546.25,317103.75,319650.00,2546.25
2020-07-24,78.75,317182.50,319650.00,2467.50
2020-07-27,-652.50,316530.00,319650.00,3120.00
2020-08-21,1346.25,317876.25,319650.00,1773.75
2020-08-25,562.50,318438.75,319650.00,1211.25
2020-08-26,435.00,318873.75,319650.00,776.25
2020-09-18,907.50,319781.25,319781.25,0.00
2020-09-21,-2838.75,316942.50,319781.25,2838.75
2020-09-23,-2745.00,314197.50,319781.25,5583.75
2020-10-23,1627.50,315825.00,319781.25,3956.25
2020-10-26,-1001.25,314823.75,319781.25,4957.50
2020-10-28,-1473.75,313350.00,319781.25,6431.25
2020-11-20,-18.75,313331.25,319781.25,6450.00
2020-11-23,-1830.00,311501.25,319781.25,8280.00
2020-11-24,491.25,311992.50,319781.25,7788.75
2020-12-28,1185.00,313177.50,319781.25,6603.75
2020-12-29,198.75,313376.25,319781.25,6405.00
2021-01-22,360.00,313736.25,319781.25,6045.00
2021-01-25,1586.25,315322.50,319781.25,4458.75
2021-02-19,1515.00,316837.50,319781.25,2943.75
2021-02-22,-1800.00,315037.50,319781.25,4743.75
2021-02-23,-675.00,314362.50,319781.25,5418.75
2021-02-24,-483.75,313878.75,319781.25,5902.50
2021-03-19,1507.50,315386.25,319781.25,4395.00
2021-03-22,4027.50,319413.75,319781.25,367.50
2021-03-23,3307.50,322721.25,322721.25,0.00
2021-03-24,911.25,323632.50,323632.50,0.00
2021-04-23,761.25,324393.75,324393.75,0.00
2021-04-26,1342.50,325736.25,325736.25,0.00
2021-04-27,386.25,326122.50,326122.50,0.00
2021-05-21,-1331.25,324791.25,326122.50,1331.25
2021-05-24,1567.50,326358.75,326358.75,0.00
2021-05-26,682.50,327041.25,327041.25,0.00
2021-06-18,-450.00,326591.25,327041.25,450.00
2021-06-21,1338.75,327930.00,327930.00,0.00
2021-07-23,296.25,328226.25,328226.25,0.00
2021-07-26,-1293.75,326932.50,328226.25,1293.75
2021-07-27,-1593.75,325338.75,328226.25,2887.50
2021-08-20,1406.25,326745.00,328226.25,1481.25
2021-08-23,-1665.00,325080.00,328226.25,3146.25
2021-08-25,-288.75,324791.25,328226.25,3435.00
2021-09-24,1582.50,326373.75,328226.25,1852.50
2021-09-27,461.25,326835.00,328226.25,1391.25
2021-09-28,-2175.00,324660.00,328226.25,3566.25
2021-09-29,697.50,325357.50,328226.25,2868.75
2021-10-22,-317.50,325040.00,328226.25,3186.25
2021-10-25,1500.00,326540.00,328226.25,1686.25
2021-10-26,815.00,327355.00,328226.25,871.25
2021-10-27,1770.00,329125.00,329125.00,0.00
2021-11-22,-827.50,328297.50,329125.00,827.50
2021-11-23,-3027.50,325270.00,329125.00,3855.00
2021-11-24,-107.50,325162.50,329125.00,3962.50
2021-12-24,1040.00,326202.50,329125.00,2922.50
2021-12-27,-1782.50,324420.00,329125.00,4705.00
2021-12-28,1245.00,325665.00,329125.00,3460.00
2021-12-29,1767.50,327432.50,329125.00,1692.50
2022-01-21,95.00,327527.50,329125.00,1597.50
2022-01-24,-7352.50,320175.00,329125.00,8950.00
2022-01-25,2200.00,322375.00,329125.00,6750.00
2022-02-18,2662.50,325037.50,329125.00,4087.50
2022-02-21,710.00,325747.50,329125.00,3377.50
2022-02-22,925.00,326672.50,329125.00,2452.50
2022-02-23,475.00,327147.50,329125.00,1977.50
2022-03-25,1295.00,328442.50,329125.00,682.50
2022-03-28,907.50,329350.00,329350.00,0.00
2022-03-29,1477.50,330827.50,330827.50,0.00
2022-03-30,-92.50,330735.00,330827.50,92.50
2022-04-22,315.00,331050.00,331050.00,0.00
2022-04-25,530.00,331580.00,331580.00,0.00
2022-04-26,657.50,332237.50,332237.50,0.00
2022-04-27,-662.50,331575.00,332237.50,662.50
2022-05-20,-2192.50,329382.50,332237.50,2855.00
2022-05-23,1695.00,331077.50,332237.50,1160.00
2022-05-24,237.50,331315.00,332237.50,922.50
2022-05-25,-345.00,330970.00,332237.50,1267.50
2022-06-24,1667.50,332637.50,332637.50,0.00
2022-06-27,1592.50,334230.00,334230.00,0.00
2022-06-28,215.00,334445.00,334445.00,0.00
2022-06-29,-1382.50,333062.50,334445.00,1382.50
2022-07-22,-545.00,332517.50,334445.00,1927.50
2022-07-25,40.00,332557.50,334445.00,1887.50
2022-07-26,837.50,333395.00,334445.00,1050.00
2022-07-27,-3662.50,329732.50,334445.00,4712.50
2022-08-19,-2055.00,327677.50,334445.00,6767.50
2022-08-22,-440.00,327237.50,334445.00,7207.50
2022-08-23,-1197.50,326040.00,334445.00,8405.00
2022-09-23,-2212.50,323827.50,334445.00,10617.50
2022-09-26,1697.50,325525.00,334445.00,8920.00
2022-09-27,-1355.00,324170.00,334445.00,10275.00
2022-09-28,-290.00,323880.00,334445.00,10565.00
2022-10-21,465.00,324345.00,334445.00,10100.00
2022-10-25,-182.50,324162.50,334445.00,10282.50
2022-11-18,-30.00,324132.50,334445.00,10312.50
2022-11-21,410.00,324542.50,334445.00,9902.50
2022-11-22,365.00,324907.50,334445.00,9537.50
2022-12-23,705.00,325612.50,334445.00,8832.50
2022-12-26,-1520.00,324092.50,334445.00,10352.50
2022-12-27,275.00,324367.50,334445.00,10077.50
2022-12-28,907.50,325275.00,334445.00,9170.00
2023-01-20,460.00,325735.00,334445.00,8710.00
2023-01-24,-100.00,325635.00,334445.00,8810.00
2023-02-17,-42.50,325592.50,334445.00,8852.50
2023-02-20,-847.50,324745.00,334445.00,9700.00
2023-02-22,-415.00,324330.00,334445.00,10115.00
2023-03-24,-982.50,323347.50,334445.00,11097.50
2023-03-27,405.00,323752.50,334445.00,10692.50
2023-04-21,760.00,324512.50,334445.00,9932.50
2023-04-24,-525.00,323987.50,334445.00,10457.50
2023-04-25,-60.00,323927.50,334445.00,10517.50
2023-04-26,-392.50,323535.00,334445.00,10910.00
2023-05-19,-325.00,323210.00,334445.00,11235.00
2023-05-24,40.00,323250.00,334445.00,11195.00
2023-06-23,650.00,323900.00,334445.00,10545.00
2023-06-26,1045.00,324945.00,334445.00,9500.00
2023-06-27,1200.00,326145.00,334445.00,8300.00
2023-07-21,-787.50,325357.50,334445.00,9087.50
2023-07-24,695.00,326052.50,334445.00,8392.50
2023-07-25,847.50,326900.00,334445.00,7545.00
2023-08-25,270.00,327170.00,334445.00,7275.00
2023-08-29,972.50,328142.50,334445.00,6302.50
2023-08-30,-410.00,327732.50,334445.00,6712.50
2023-09-22,-262.50,327470.00,334445.00,6975.00
2023-09-26,782.50,328252.50,334445.00,6192.50
2023-10-20,337.50,328590.00,334445.00,5855.00
2023-10-23,-1242.50,327347.50,334445.00,7097.50
2023-11-24,637.50,327985.00,334445.00,6460.00
2023-11-28,-405.00,327580.00,334445.00,6865.00
2023-11-29,-1925.00,325655.00,334445.00,8790.00
2023-12-22,-537.50,325117.50,334445.00,9327.50
2023-12-26,-777.50,324340.00,334445.00,10105.00
2023-12-27,-1660.00,322680.00,334445.00,11765.00
2024-01-19,907.50,323587.50,334445.00,10857.50
2024-01-20,-1307.50,322280.00,334445.00,12165.00
2024-01-23,-3387.50,318892.50,334445.00,15552.50
