entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2020-01-28,2020-01-30,PE,12000,2020-01-28T09:31:00+05:30,18.30,2020-01-28T10:02:00+05:30,17.15,ADD_2,UNWIND,1.15,86.25
2020-01-28,2020-01-30,PE,12050,2020-01-28T09:50:00+05:30,21.05,2020-01-28T10:11:00+05:30,30.70,ADD_3,UNWIND,-9.65,-723.75
2020-01-28,2020-01-30,PE,12050,2020-01-28T12:10:00+05:30,22.15,2020-01-28T12:40:00+05:30,28.05,ADD_2,UNWIND,-5.90,-442.50
2020-01-28,2020-01-30,PE,12050,2020-01-28T13:10:00+05:30,22.65,2020-01-28T13:31:00+05:30,28.30,ADD_2,UNWIND,-5.65,-423.75
2020-01-28,2020-01-30,CE,12150,2020-01-28T14:32:00+05:30,23.05,2020-01-28T15:13:00+05:30,26.40,ADD_2,UNWIND,-3.35,-251.25
2020-01-28,2020-01-30,CE,12100,2020-01-28T09:20:00+05:30,65.40,2020-01-28T15:20:00+05:30,42.35,INITIAL_ENTRY,FINAL_EXIT,23.05,1728.75
2020-01-28,2020-01-30,PE,12100,2020-01-28T09:20:00+05:30,57.45,2020-01-28T15:20:00+05:30,64.25,INITIAL_ENTRY,FINAL_EXIT,-6.80,-510.00
2020-02-25,2020-02-27,CE,11900,2020-02-25T14:12:00+05:30,28.95,2020-02-25T14:27:00+05:30,33.40,ADD_2,UNWIND,-4.45,-333.75
2020-02-25,2020-02-27,CE,11850,2020-02-25T09:20:00+05:30,74.85,2020-02-25T15:20:00+05:30,50.70,INITIAL_ENTRY,FINAL_EXIT,24.15,1811.25
2020-02-25,2020-02-27,PE,11850,2020-02-25T09:20:00+05:30,86.40,2020-02-25T15:20:00+05:30,80.90,INITIAL_ENTRY,FINAL_EXIT,5.50,412.50
2020-02-26,2020-02-27,CE,11800,2020-02-26T10:53:00+05:30,19.30,2020-02-26T12:18:00+05:30,22.55,ADD_2,UNWIND,-3.25,-243.75
2020-02-26,2020-02-27,PE,11700,2020-02-26T13:46:00+05:30,18.30,2020-02-26T13:48:00+05:30,21.35,ADD_2,UNWIND,-3.05,-228.75
2020-02-26,2020-02-27,CE,11800,2020-02-26T14:15:00+05:30,15.15,2020-02-26T15:11:00+05:30,11.55,ADD_2,UNWIND,3.60,270.00
2020-02-26,2020-02-27,CE,11750,2020-02-26T09:20:00+05:30,53.85,2020-02-26T15:12:00+05:30,25.95,INITIAL_ENTRY,UNWIND,27.90,2092.50
2020-02-26,2020-02-27,PE,11750,2020-02-26T09:20:00+05:30,61.50,2020-02-26T15:20:00+05:30,72.15,INITIAL_ENTRY,FINAL_EXIT,-10.65,-798.75
2020-02-26,2020-02-27,CE,11700,2020-02-26T14:38:00+05:30,32.05,2020-02-26T15:20:00+05:30,46.05,ADD_3,FINAL_EXIT,-14.00,-1050.00
2020-03-20,2020-03-26,PE,7700,2020-03-20T12:56:00+05:30,144.30,2020-03-20T13:54:00+05:30,135.65,ADD_2,UNWIND,8.65,648.75
2020-03-20,2020-03-26,PE,8100,2020-03-20T13:45:00+05:30,182.20,2020-03-20T14:01:00+05:30,240.30,ADD_3,UNWIND,-58.10,-4357.50
2020-03-20,2020-03-26,CE,8350,2020-03-20T09:20:00+05:30,413.40,2020-03-20T15:20:00+05:30,634.70,INITIAL_ENTRY,FINAL_EXIT,-221.30,-16597.50
2020-03-20,2020-03-26,PE,8350,2020-03-20T09:20:00+05:30,440.80,2020-03-20T15:20:00+05:30,225.35,INITIAL_ENTRY,FINAL_EXIT,215.45,16158.75
2020-03-20,2020-03-26,PE,7750,2020-03-20T14:48:00+05:30,148.00,2020-03-20T15:20:00+05:30,116.05,ADD_2,FINAL_EXIT,31.95,2396.25
2020-03-23,2020-03-26,CE,8550,2020-03-23T09:39:00+05:30,125.05,2020-03-23T14:56:00+05:30,70.35,ADD_2,ROLL_OUT,54.70,4102.50
2020-03-23,2020-03-26,CE,8150,2020-03-23T09:20:00+05:30,374.00,2020-03-23T15:20:00+05:30,128.30,INITIAL_ENTRY,FINAL_EXIT,245.70,18427.50
2020-03-23,2020-03-26,PE,8150,2020-03-23T09:20:00+05:30,379.95,2020-03-23T15:20:00+05:30,703.00,INITIAL_ENTRY,FINAL_EXIT,-323.05,-24228.75
2020-03-23,2020-03-26,CE,8400,2020-03-23T10:58:00+05:30,143.15,2020-03-23T15:20:00+05:30,85.70,ADD_3,FINAL_EXIT,57.45,4308.75
2020-03-23,2020-03-26,CE,7800,2020-03-23T14:56:00+05:30,271.05,2020-03-23T15:20:00+05:30,250.55,ROLL_IN,FINAL_EXIT,20.50,1537.50
2020-03-24,2020-03-26,CE,8400,2020-03-24T09:31:00+05:30,105.00,2020-03-24T10:54:00+05:30,100.50,ADD_2,UNWIND,4.50,337.50
2020-03-24,2020-03-26,CE,8150,2020-03-24T09:51:00+05:30,146.25,2020-03-24T11:47:00+05:30,171.10,ADD_3,UNWIND,-24.85,-1863.75
2020-03-24,2020-03-26,CE,8350,2020-03-24T11:56:00+05:30,103.00,2020-03-24T12:40:00+05:30,122.90,ADD_2,UNWIND,-19.90,-1492.50
2020-03-24,2020-03-26,CE,8200,2020-03-24T14:59:00+05:30,100.80,2020-03-24T15:13:00+05:30,141.15,ADD_2,UNWIND,-40.35,-3026.25
2020-03-24,2020-03-26,CE,8000,2020-03-24T09:20:00+05:30,291.85,2020-03-24T15:20:00+05:30,231.45,INITIAL_ENTRY,FINAL_EXIT,60.40,4530.00
2020-03-24,2020-03-26,PE,8000,2020-03-24T09:20:00+05:30,330.60,2020-03-24T15:20:00+05:30,359.45,INITIAL_ENTRY,FINAL_EXIT,-28.85,-2163.75
2020-03-25,2020-03-26,CE,8200,2020-03-25T09:49:00+05:30,91.30,2020-03-25T10:38:00+05:30,106.95,ADD_2,UNWIND,-15.65,-1173.75
2020-03-25,2020-03-26,CE,8200,2020-03-25T10:49:00+05:30,82.95,2020-03-25T11:29:00+05:30,96.40,ADD_2,UNWIND,-13.45,-1008.75
2020-03-25,2020-03-26,PE,7600,2020-03-25T12:53:00+05:30,83.50,2020-03-25T13:20:00+05:30,42.05,ADD_2,ROLL_OUT,41.45,3108.75
2020-03-25,2020-03-26,PE,7850,2020-03-25T13:16:00+05:30,93.65,2020-03-25T13:32:00+05:30,101.40,ADD_3,UNWIND,-7.75,-581.25
2020-03-25,2020-03-26,CE,7950,2020-03-25T09:20:00+05:30,298.30,2020-03-25T15:20:00+05:30,460.00,INITIAL_ENTRY,FINAL_EXIT,-161.70,-12127.50
2020-03-25,2020-03-26,PE,7950,2020-03-25T09:20:00+05:30,323.20,2020-03-25T15:20:00+05:30,68.15,INITIAL_ENTRY,FINAL_EXIT,255.05,19128.75
2020-03-25,2020-03-26,PE,8200,2020-03-25T13:20:00+05:30,157.90,2020-03-25T15:20:00+05:30,132.25,ROLL_IN,FINAL_EXIT,25.65,1923.75
2020-03-25,2020-03-26,PE,8150,2020-03-25T14:26:00+05:30,128.65,2020-03-25T15:20:00+05:30,113.70,ADD_3,FINAL_EXIT,14.95,1121.25
2020-04-24,2020-04-30,CE,9200,2020-04-24T09:20:00+05:30,145.00,2020-04-24T15:20:00+05:30,124.70,INITIAL_ENTRY,FINAL_EXIT,20.30,1522.50
2020-04-24,2020-04-30,PE,9200,2020-04-24T09:20:00+05:30,174.50,2020-04-24T15:20:00+05:30,184.50,INITIAL_ENTRY,FINAL_EXIT,-10.00,-750.00
2020-04-27,2020-04-30,CE,9300,2020-04-27T09:20:00+05:30,126.00,2020-04-27T15:20:00+05:30,120.15,INITIAL_ENTRY,FINAL_EXIT,5.85,438.75
