date,net_pnl,equity,peak,drawdown
2025-01-15,23748.75,323748.75,323748.75,0.00
2025-01-22,1833.75,325582.50,325582.50,0.00
2025-02-05,28402.50,353985.00,353985.00,0.00
2025-02-12,13054.50,367039.50,367039.50,0.00
2025-02-19,1168.50,368208.00,368208.00,0.00
2025-02-25,25402.50,393610.50,393610.50,0.00
2025-03-12,2579.25,396189.75,396189.75,0.00
2025-04-08,-11124.75,385065.00,396189.75,11124.75
2025-04-16,8815.50,393880.50,396189.75,2309.25
2025-04-23,8740.50,402621.00,402621.00,0.00
2025-04-29,13995.75,416616.75,416616.75,0.00
2025-05-07,20272.50,436889.25,436889.25,0.00
2025-05-14,-7543.50,429345.75,436889.25,7543.50
2025-05-21,2607.00,431952.75,436889.25,4936.50
2025-05-28,8509.50,440462.25,440462.25,0.00
2025-06-04,23047.50,463509.75,463509.75,0.00
2025-06-18,3776.25,467286.00,467286.00,0.00
2025-06-25,2298.75,469584.75,469584.75,0.00
2025-07-02,11126.25,480711.00,480711.00,0.00
2025-07-09,12168.75,492879.75,492879.75,0.00
2025-08-13,228.75,493108.50,493108.50,0.00
2025-08-26,2823.75,495932.25,495932.25,0.00
2025-09-08,-11778.75,484153.50,495932.25,11778.75
2026-01-12,5940.15,490093.65,495932.25,5838.60
2026-02-09,-7170.00,482923.65,495932.25,13008.60
2026-02-16,6431.25,489354.90,495932.25,6577.35
2026-02-23,1505.00,490859.90,495932.25,5072.35
2026-02-27,5372.50,496232.40,496232.40,0.00
2026-03-16,20241.25,516473.65,516473.65,0.00
2026-03-23,-19921.00,496552.65,516473.65,19921.00
2026-04-27,70215.75,566768.40,566768.40,0.00
2026-05-04,2583.25,569351.65,569351.65,0.00
2026-05-11,-120.00,569231.65,569351.65,120.00
2026-05-25,16193.00,585424.65,585424.65,0.00
2026-06-01,-468.50,584956.15,585424.65,468.50
