entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2025-01-08,2025-01-16,CE,23900,2025-01-09T11:00:00+05:30,61.30,2025-01-09T12:18:00+05:30,75.90,ADD_2,UNWIND,-14.60,-1095.00
2025-01-08,2025-01-16,CE,23900,2025-01-09T12:59:00+05:30,61.60,2025-01-10T09:52:00+05:30,35.50,ADD_2,ROLL_OUT,26.10,1957.50
2025-01-08,2025-01-16,CE,23800,2025-01-10T09:34:00+05:30,67.25,2025-01-10T11:01:00+05:30,66.59,ADD_3,UNWIND,0.66,49.50
2025-01-08,2025-01-16,CE,23700,2025-01-08T15:20:00+05:30,206.45,2025-01-10T11:05:00+05:30,110.10,INITIAL_ENTRY,UNWIND,96.35,7226.25
2025-01-08,2025-01-16,CE,23800,2025-01-10T12:10:00+05:30,60.10,2025-01-10T12:19:00+05:30,78.40,ADD_2,UNWIND,-18.30,-1372.50
2025-01-08,2025-01-16,CE,23800,2025-01-10T12:35:00+05:30,60.40,2025-01-13T10:34:00+05:30,23.35,ADD_2,ROLL_OUT,37.05,2778.75
2025-01-08,2025-01-16,CE,23700,2025-01-10T14:13:00+05:30,72.84,2025-01-13T10:43:00+05:30,28.70,ADD_3,ROLL_OUT,44.14,3310.50
2025-01-08,2025-01-16,CE,23600,2025-01-10T09:52:00+05:30,114.60,2025-01-13T11:28:00+05:30,33.85,ROLL_IN,ROLL_OUT,80.75,6056.25
2025-01-08,2025-01-16,CE,23400,2025-01-13T10:43:00+05:30,109.90,2025-01-13T12:20:00+05:30,65.84,ROLL_IN,ROLL_OUT,44.06,3304.50
2025-01-08,2025-01-16,PE,23700,2025-01-08T15:20:00+05:30,182.95,2025-01-15T15:20:00+05:30,488.45,INITIAL_ENTRY,FINAL_EXIT,-305.50,-22912.50
2025-01-08,2025-01-16,CE,23350,2025-01-13T10:34:00+05:30,160.44,2025-01-15T15:20:00+05:30,14.15,ROLL_IN,FINAL_EXIT,146.29,10971.75
2025-01-08,2025-01-16,CE,23300,2025-01-13T11:28:00+05:30,125.80,2025-01-15T15:20:00+05:30,21.85,ROLL_IN,FINAL_EXIT,103.95,7796.25
2025-01-08,2025-01-16,CE,23200,2025-01-13T12:20:00+05:30,148.65,2025-01-15T15:20:00+05:30,62.55,ROLL_IN,FINAL_EXIT,86.10,6457.50
2025-01-15,2025-01-23,PE,23000,2025-01-16T09:15:00+05:30,67.75,2025-01-17T09:16:00+05:30,90.50,ADD_2,UNWIND,-22.75,-1706.25
2025-01-15,2025-01-23,PE,23050,2025-01-20T11:18:00+05:30,59.80,2025-01-21T09:15:00+05:30,32.00,ADD_2,ROLL_OUT,27.80,2085.00
2025-01-15,2025-01-23,PE,23150,2025-01-20T11:33:00+05:30,67.25,2025-01-21T09:32:00+05:30,63.70,ADD_3,UNWIND,3.55,266.25
2025-01-15,2025-01-23,PE,23200,2025-01-15T15:20:00+05:30,168.20,2025-01-21T09:47:00+05:30,92.00,INITIAL_ENTRY,UNWIND,76.20,5715.00
2025-01-15,2025-01-23,PE,23200,2025-01-21T11:53:00+05:30,69.70,2025-01-21T12:09:00+05:30,104.20,ADD_2,UNWIND,-34.50,-2587.50
2025-01-15,2025-01-23,CE,23400,2025-01-21T12:25:00+05:30,65.00,2025-01-21T12:57:00+05:30,80.09,ADD_2,UNWIND,-15.09,-1131.75
2025-01-15,2025-01-23,CE,23350,2025-01-21T13:21:00+05:30,68.00,2025-01-21T13:25:00+05:30,86.35,ADD_2,UNWIND,-18.35,-1376.25
2025-01-15,2025-01-23,CE,23350,2025-01-21T14:34:00+05:30,65.20,2025-01-21T15:06:00+05:30,33.50,ADD_2,ROLL_OUT,31.70,2377.50
2025-01-15,2025-01-23,CE,23250,2025-01-21T14:40:00+05:30,81.90,2025-01-22T09:19:00+05:30,57.80,ADD_3,UNWIND,24.10,1807.50
2025-01-15,2025-01-23,CE,23200,2025-01-15T15:20:00+05:30,192.85,2025-01-22T10:26:00+05:30,66.34,INITIAL_ENTRY,UNWIND,126.51,9488.25
2025-01-15,2025-01-23,CE,23150,2025-01-22T10:40:00+05:30,67.15,2025-01-22T10:48:00+05:30,83.90,ADD_2,UNWIND,-16.75,-1256.25
2025-01-15,2025-01-23,CE,23150,2025-01-22T10:57:00+05:30,67.70,2025-01-22T14:26:00+05:30,56.75,ADD_2,UNWIND,10.95,821.25
2025-01-15,2025-01-23,CE,23100,2025-01-22T11:34:00+05:30,69.59,2025-01-22T14:40:00+05:30,96.30,ADD_3,UNWIND,-26.71,-2003.25
2025-01-15,2025-01-23,CE,23150,2025-01-22T14:49:00+05:30,55.35,2025-01-22T14:58:00+05:30,76.00,ADD_2,UNWIND,-20.65,-1548.75
2025-01-15,2025-01-23,PE,23350,2025-01-21T09:15:00+05:30,100.00,2025-01-22T15:20:00+05:30,202.05,ROLL_IN,FINAL_EXIT,-102.05,-7653.75
2025-01-15,2025-01-23,CE,23050,2025-01-21T15:06:00+05:30,129.44,2025-01-22T15:20:00+05:30,136.15,ROLL_IN,FINAL_EXIT,-6.71,-503.25
2025-01-29,2025-02-06,PE,22750,2025-01-30T15:28:00+05:30,103.85,2025-01-31T14:44:00+05:30,50.50,ADD_2,ROLL_OUT,53.35,4001.25
2025-01-29,2025-02-06,PE,23000,2025-01-31T10:44:00+05:30,126.05,2025-02-01T10:42:00+05:30,56.45,ADD_3,ROLL_OUT,69.60,5220.00
2025-01-29,2025-02-06,PE,23150,2025-01-29T15:20:00+05:30,317.14,2025-02-01T11:52:00+05:30,117.95,INITIAL_ENTRY,UNWIND,199.19,14939.25
2025-01-29,2025-02-06,PE,23400,2025-01-31T14:44:00+05:30,187.70,2025-02-01T11:52:00+05:30,196.70,ROLL_IN,UNWIND,-9.00,-675.00
2025-01-29,2025-02-06,PE,23350,2025-02-01T12:13:00+05:30,125.55,2025-02-01T12:35:00+05:30,139.44,ADD_2,UNWIND,-13.89,-1041.75
2025-01-29,2025-02-06,PE,23350,2025-02-01T13:43:00+05:30,104.20,2025-02-01T14:33:00+05:30,97.00,ADD_2,UNWIND,7.20,540.00
2025-01-29,2025-02-06,PE,23450,2025-02-01T14:23:00+05:30,104.15,2025-02-03T09:15:00+05:30,137.50,ADD_3,UNWIND,-33.35,-2501.25
2025-01-29,2025-02-06,PE,23450,2025-02-04T09:15:00+05:30,89.85,2025-02-04T10:29:00+05:30,114.30,ADD_2,UNWIND,-24.45,-1833.75
2025-01-29,2025-02-06,PE,23500,2025-02-04T09:21:00+05:30,93.30,2025-02-04T10:39:00+05:30,180.60,ADD_3,UNWIND,-87.30,-6547.50
2025-01-29,2025-02-06,PE,23350,2025-02-04T10:47:00+05:30,96.00,2025-02-04T13:10:00+05:30,49.75,ADD_2,ROLL_OUT,46.25,3468.75
2025-01-29,2025-02-06,CE,23150,2025-01-29T15:20:00+05:30,370.35,2025-02-05T15:20:00+05:30,539.75,INITIAL_ENTRY,FINAL_EXIT,-169.40,-12705.00
2025-01-29,2025-02-06,PE,23550,2025-02-01T10:42:00+05:30,189.60,2025-02-05T15:20:00+05:30,21.90,ROLL_IN,FINAL_EXIT,167.70,12577.50
2025-01-29,2025-02-06,PE,23500,2025-02-04T11:22:00+05:30,105.35,2025-02-05T15:20:00+05:30,15.20,ADD_3,FINAL_EXIT,90.15,6761.25
2025-01-29,2025-02-06,PE,23600,2025-02-04T13:10:00+05:30,127.05,2025-02-05T15:20:00+05:30,33.20,ROLL_IN,FINAL_EXIT,93.85,7038.75
2025-02-05,2025-02-13,CE,23850,2025-02-07T10:19:00+05:30,63.15,2025-02-07T10:57:00+05:30,75.25,ADD_2,UNWIND,-12.10,-907.50
2025-02-05,2025-02-13,CE,23850,2025-02-07T12:15:00+05:30,59.20,2025-02-07T15:11:00+05:30,52.55,ADD_2,UNWIND,6.65,498.75
2025-02-05,2025-02-13,CE,23750,2025-02-07T14:09:00+05:30,64.84,2025-02-10T10:09:00+05:30,42.45,ADD_3,ROLL_OUT,22.39,1679.25
2025-02-05,2025-02-13,CE,23700,2025-02-05T15:20:00+05:30,208.65,2025-02-10T12:00:00+05:30,39.04,INITIAL_ENTRY,ROLL_OUT,169.61,12720.75
2025-02-05,2025-02-13,CE,23650,2025-02-10T09:28:00+05:30,82.40,2025-02-10T14:41:00+05:30,59.30,ADD_3,UNWIND,23.10,1732.50
2025-02-05,2025-02-13,CE,23500,2025-02-10T10:09:00+05:30,116.45,2025-02-11T10:07:00+05:30,50.75,ROLL_IN,ROLL_OUT,65.70,4927.50
2025-02-05,2025-02-13,CE,23450,2025-02-11T09:25:00+05:30,95.00,2025-02-11T12:00:00+05:30,49.25,ADD_3,ROLL_OUT,45.75,3431.25
2025-02-05,2025-02-13,PE,23700,2025-02-05T15:20:00+05:30,179.60,2025-02-12T15:20:00+05:30,652.75,INITIAL_ENTRY,FINAL_EXIT,-473.15,-35486.25
2025-02-05,2025-02-13,CE,23400,2025-02-10T12:00:00+05:30,132.50,2025-02-12T15:20:00+05:30,8.40,ROLL_IN,FINAL_EXIT,124.10,9307.50
2025-02-05,2025-02-13,CE,23300,2025-02-11T10:07:00+05:30,126.30,2025-02-12T15:20:00+05:30,16.89,ROLL_IN,FINAL_EXIT,109.41,8205.75
2025-02-05,2025-02-13,CE,23250,2025-02-11T12:00:00+05:30,125.90,2025-02-12T15:20:00+05:30,24.50,ROLL_IN,FINAL_EXIT,101.40,7605.00
2025-02-12,2025-02-20,PE,22800,2025-02-13T09:53:00+05:30,65.00,2025-02-13T13:15:00+05:30,56.20,ADD_2,UNWIND,8.80,660.00
2025-02-12,2025-02-20,PE,22950,2025-02-13T11:45:00+05:30,75.84,2025-02-13T13:35:00+05:30,104.85,ADD_3,UNWIND,-29.01,-2175.75
2025-02-12,2025-02-20,CE,23250,2025-02-14T10:49:00+05:30,59.60,2025-02-14T14:31:00+05:30,54.15,ADD_2,UNWIND,5.45,408.75
2025-02-12,2025-02-20,CE,23150,2025-02-14T12:23:00+05:30,67.59,2025-02-14T14:38:00+05:30,90.60,ADD_3,UNWIND,-23.01,-1725.75
2025-02-12,2025-02-20,CE,23150,2025-02-17T09:15:00+05:30,63.35,2025-02-17T09:21:00+05:30,76.30,ADD_2,UNWIND,-12.95,-971.25
2025-02-12,2025-02-20,CE,23050,2025-02-12T15:20:00+05:30,219.25,2025-02-17T09:22:00+05:30,115.20,INITIAL_ENTRY,UNWIND,104.05,7803.75
2025-02-12,2025-02-20,CE,23150,2025-02-17T09:23:00+05:30,69.20,2025-02-17T10:22:00+05:30,63.60,ADD_2,UNWIND,5.60,420.00
2025-02-12,2025-02-20,CE,23050,2025-02-17T09:42:00+05:30,78.00,2025-02-17T10:37:00+05:30,109.15,ADD_3,UNWIND,-31.15,-2336.25
2025-02-12,2025-02-20,CE,23150,2025-02-17T11:06:00+05:30,61.85,2025-02-17T13:35:00+05:30,82.25,ADD_2,UNWIND,-20.40,-1530.00
2025-02-12,2025-02-20,CE,23150,2025-02-18T09:25:00+05:30,61.75,2025-02-18T09:52:00+05:30,68.55,ADD_2,UNWIND,-6.80,-510.00
2025-02-12,2025-02-20,CE,23150,2025-02-18T10:10:00+05:30,53.35,2025-02-18T11:46:00+05:30,47.95,ADD_2,UNWIND,5.40,405.00
2025-02-12,2025-02-20,CE,23050,2025-02-18T10:22:00+05:30,62.95,2025-02-18T13:45:00+05:30,83.05,ADD_3,UNWIND,-20.10,-1507.50
2025-02-12,2025-02-20,CE,23150,2025-02-18T13:48:00+05:30,43.90,2025-02-18T14:53:00+05:30,51.40,ADD_2,UNWIND,-7.50,-562.50
2025-02-12,2025-02-20,CE,23150,2025-02-18T15:16:00+05:30,40.79,2025-02-19T09:24:00+05:30,19.64,ADD_2,ROLL_OUT,21.15,1586.25
2025-02-12,2025-02-20,CE,23050,2025-02-19T09:15:00+05:30,51.55,2025-02-19T09:35:00+05:30,43.65,ADD_3,UNWIND,7.90,592.50
2025-02-12,2025-02-20,CE,23000,2025-02-17T09:16:00+05:30,89.15,2025-02-19T09:45:00+05:30,66.50,ADD_3,UNWIND,22.65,1698.75
2025-02-12,2025-02-20,PE,22900,2025-02-19T10:21:00+05:30,50.15,2025-02-19T10:50:00+05:30,57.70,ADD_2,UNWIND,-7.55,-566.25
2025-02-12,2025-02-20,CE,23000,2025-02-19T14:20:00+05:30,50.05,2025-02-19T14:51:00+05:30,54.15,ADD_2,UNWIND,-4.10,-307.50
2025-02-12,2025-02-20,PE,23050,2025-02-12T15:20:00+05:30,176.45,2025-02-19T15:20:00+05:30,151.65,INITIAL_ENTRY,FINAL_EXIT,24.80,1860.00
2025-02-12,2025-02-20,CE,22900,2025-02-19T09:24:00+05:30,89.40,2025-02-19T15:20:00+05:30,101.05,ROLL_IN,FINAL_EXIT,-11.65,-873.75
2025-02-19,2025-02-27,CE,23100,2025-02-21T10:13:00+05:30,62.00,2025-02-21T14:44:00+05:30,43.90,ADD_2,UNWIND,18.10,1357.50
2025-02-19,2025-02-27,CE,23000,2025-02-21T13:40:00+05:30,62.20,2025-02-24T09:17:00+05:30,31.30,ADD_3,ROLL_OUT,30.90,2317.50
2025-02-19,2025-02-27,CE,22950,2025-02-19T15:20:00+05:30,197.15,2025-02-24T09:39:00+05:30,27.00,INITIAL_ENTRY,ROLL_OUT,170.15,12761.25
2025-02-19,2025-02-27,CE,22850,2025-02-24T09:15:00+05:30,78.15,2025-02-24T13:25:00+05:30,27.10,ADD_3,ROLL_OUT,51.05,3828.75
2025-02-19,2025-02-27,CE,22700,2025-02-24T09:17:00+05:30,125.30,2025-02-25T09:19:00+05:30,39.20,ROLL_IN,ROLL_OUT,86.10,6457.50
2025-02-19,2025-02-27,PE,22950,2025-02-19T15:20:00+05:30,182.35,2025-02-25T15:20:00+05:30,369.25,INITIAL_ENTRY,FINAL_EXIT,-186.90,-14017.50
2025-02-19,2025-02-27,CE,22650,2025-02-24T09:39:00+05:30,115.30,2025-02-25T15:20:00+05:30,26.60,ROLL_IN,FINAL_EXIT,88.70,6652.50
2025-02-19,2025-02-27,CE,22600,2025-02-24T13:25:00+05:30,110.00,2025-02-25T15:20:00+05:30,49.20,ROLL_IN,FINAL_EXIT,60.80,4560.00
2025-02-19,2025-02-27,CE,22550,2025-02-25T09:19:00+05:30,108.00,2025-02-25T15:20:00+05:30,81.00,ROLL_IN,FINAL_EXIT,27.00,2025.00
