entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-08,2020-01-09,12200,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12200 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-08,2020-01-15,2020-01-16,12050,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12050 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-15,2020-01-22,2020-01-23,12350,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12350 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-22,2020-01-29,2020-01-30,12100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-29,2020-02-05,2020-02-06,12150,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12150 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-05,2020-02-12,2020-02-13,12100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-12,2020-02-19,2020-02-20,12200,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12200 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-19,2020-02-26,2020-02-27,12150,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12150 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-26,2020-03-04,2020-03-05,11700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-04,2020-03-11,2020-03-12,11250,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11250 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-11,2020-03-18,2020-03-19,10450,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10450 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-18,2020-03-25,2020-03-26,8450,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8450 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-25,2020-03-31,2020-04-01,8300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-31,2020-04-08,2020-04-09,8600,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8600 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-04-08,2020-04-15,2020-04-16,8750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8750 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-04-15,2020-04-22,2020-04-23,8950,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 8950 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-04-22,2020-04-29,2020-04-30,9200,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9200 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-04-29,2020-05-06,2020-05-07,9550,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9550 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-05-06,2020-05-13,2020-05-14,9250,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9250 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-05-13,2020-05-20,2020-05-21,9400,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9400 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-05-20,2020-05-27,2020-05-28,9100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-05-27,2020-06-03,2020-06-04,9300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-06-03,2020-06-10,2020-06-11,10050,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10050 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-06-10,2020-06-17,2020-06-18,10150,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10150 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-06-17,2020-06-24,2020-06-25,9900,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 9900 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-06-24,2020-07-01,2020-07-02,10300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-01,2020-07-08,2020-07-09,10400,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10400 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-08,2020-07-15,2020-07-16,10700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-15,2020-07-22,2020-07-23,10600,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 10600 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-22,2020-07-29,2020-07-30,11150,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11150 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-29,2020-08-05,2020-08-06,11200,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11200 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-08-05,2020-08-12,2020-08-13,11100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-08-12,2020-08-19,2020-08-20,11300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-08-19,2020-08-26,2020-08-27,11400,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11400 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-08-26,2020-09-02,2020-09-03,11550,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11550 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-09-02,2020-09-09,2020-09-10,11550,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11550 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-09-09,2020-09-16,2020-09-17,11300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-09-16,2020-09-23,2020-09-24,11600,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11600 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-09-23,2020-09-30,2020-10-01,11150,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11150 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-09-30,2020-10-07,2020-10-08,11250,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11250 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-10-07,2020-10-14,2020-10-15,11750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11750 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-10-14,2020-10-21,2020-10-22,12000,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12000 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-10-21,2020-10-28,2020-10-29,11950,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11950 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-10-28,2020-11-04,2020-11-05,11750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11750 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-11-04,2020-11-11,2020-11-12,11900,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 11900 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-11-11,2020-11-18,2020-11-19,12750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12750 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-11-18,2020-11-25,2020-11-26,12950,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12950 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-11-25,2020-12-02,2020-12-03,12850,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 12850 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-12-02,2020-12-09,2020-12-10,13100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 13100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-12-09,2020-12-16,2020-12-17,13550,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 13550 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-12-16,2020-12-23,2020-12-24,13700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 13700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-12-23,2020-12-30,2020-12-31,13600,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 13600 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-12-30,2021-01-06,2021-01-07,14000,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14000 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-01-06,2021-01-13,2021-01-14,14150,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14150 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-01-13,2021-01-20,2021-01-21,14550,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14550 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-01-20,2021-01-27,2021-01-28,14650,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14650 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-01-27,2021-02-03,2021-02-04,13950,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 13950 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-02-03,2021-02-10,2021-02-11,14800,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14800 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-02-10,2021-02-17,2021-02-18,15100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-02-17,2021-02-24,2021-02-25,15200,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15200 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-02-24,2021-03-03,2021-03-04,14850,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14850 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-03-03,2021-03-09,2021-03-10,15250,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15250 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-03-09,2021-03-17,2021-03-18,15100,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15100 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-03-17,2021-03-24,2021-03-25,14700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-03-24,2021-03-31,2021-04-01,14550,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14550 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-03-31,2021-04-07,2021-04-08,14700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-04-07,2021-04-13,2021-04-15,14800,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14800 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-04-13,2021-04-20,2021-04-22,14500,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14500 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-04-20,2021-04-28,2021-04-29,14300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-04-28,2021-05-05,2021-05-06,14850,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14850 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-05-05,2021-05-11,2021-05-12,14600,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14600 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-05-11,2021-05-19,2021-05-20,14850,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 14850 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-05-19,2021-05-26,2021-05-27,15000,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15000 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-05-26,2021-06-02,2021-06-03,15300,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15300 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-06-02,2021-06-09,2021-06-10,15600,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15600 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-06-09,2021-06-16,2021-06-17,15650,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15650 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-06-16,2021-06-23,2021-06-24,15750,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15750 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-06-23,2021-06-30,2021-07-01,15700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-06-30,2021-07-07,2021-07-08,15700,75,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 15700 at 15:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
