date,net_pnl,equity,peak,drawdown
2025-01-01,-4106.25,295893.75,300000.00,4106.25
2025-01-08,21409.50,317303.25,317303.25,0.00
2025-01-15,-204.00,317099.25,317303.25,204.00
2025-01-22,9483.75,326583.00,326583.00,0.00
2025-01-29,-2558.25,324024.75,326583.00,2558.25
2025-02-05,43311.75,367336.50,367336.50,0.00
2025-02-12,-2505.00,364831.50,367336.50,2505.00
2025-02-19,4488.75,369320.25,369320.25,0.00
2025-02-25,10020.75,379341.00,379341.00,0.00
2025-03-05,10319.25,389660.25,389660.25,0.00
2025-03-12,7468.50,397128.75,397128.75,0.00
2025-03-19,-9229.50,387899.25,397128.75,9229.50
2025-03-26,-13036.50,374862.75,397128.75,22266.00
2025-04-02,4072.50,378935.25,397128.75,18193.50
2025-04-08,-24952.50,353982.75,397128.75,43146.00
2025-04-16,1105.50,355088.25,397128.75,42040.50
2025-04-23,-12132.00,342956.25,397128.75,54172.50
2025-04-29,12210.00,355166.25,397128.75,41962.50
2025-05-07,18949.50,374115.75,397128.75,23013.00
2025-05-14,-9937.50,364178.25,397128.75,32950.50
2025-05-21,13059.75,377238.00,397128.75,19890.75
2025-05-28,-2647.50,374590.50,397128.75,22538.25
2025-06-04,24907.50,399498.00,399498.00,0.00
2025-06-11,13935.00,413433.00,413433.00,0.00
2025-06-18,-12735.00,400698.00,413433.00,12735.00
2025-06-25,326.25,401024.25,413433.00,12408.75
2025-07-02,6521.25,407545.50,413433.00,5887.50
2025-07-09,14523.75,422069.25,422069.25,0.00
2025-07-16,757.50,422826.75,422826.75,0.00
2025-07-23,10852.50,433679.25,433679.25,0.00
2025-07-30,10136.25,443815.50,443815.50,0.00
2025-08-06,2160.00,445975.50,445975.50,0.00
2025-08-13,5265.00,451240.50,451240.50,0.00
2025-08-20,-468.75,450771.75,451240.50,468.75
2025-08-26,-3311.25,447460.50,451240.50,3780.00
2025-09-01,3172.50,450633.00,451240.50,607.50
2025-09-08,-5932.50,444700.50,451240.50,6540.00
2025-09-15,2752.50,447453.00,451240.50,3787.50
2025-09-22,14347.50,461800.50,461800.50,0.00
2025-09-29,903.75,462704.25,462704.25,0.00
2025-10-06,-6536.25,456168.00,462704.25,6536.25
2025-10-13,1065.00,457233.00,462704.25,5471.25
2025-10-17,-9052.50,448180.50,462704.25,14523.75
2025-10-27,9375.00,457555.50,462704.25,5148.75
2025-11-03,13068.75,470624.25,470624.25,0.00
2025-11-10,14096.25,484720.50,484720.50,0.00
2025-11-17,-5126.25,479594.25,484720.50,5126.25
2025-11-24,9086.25,488680.50,488680.50,0.00
2025-12-01,16008.75,504689.25,504689.25,0.00
2025-12-08,5902.50,510591.75,510591.75,0.00
2025-12-15,10113.75,520705.50,520705.50,0.00
2025-12-22,-603.75,520101.75,520705.50,603.75
2025-12-29,6708.75,526810.50,526810.50,0.00
2026-01-05,3416.25,530226.75,530226.75,0.00
2026-01-12,-3650.75,526576.00,530226.75,3650.75
2026-01-19,2957.85,529533.85,530226.75,692.90
2026-01-23,-13090.00,516443.85,530226.75,13782.90
2026-02-02,4530.25,520974.10,530226.75,9252.65
2026-02-09,-3571.25,517402.85,530226.75,12823.90
2026-02-16,11036.00,528438.85,530226.75,1787.90
2026-02-23,-103.00,528335.85,530226.75,1890.90
2026-02-27,1704.00,530039.85,530226.75,186.90
2026-03-09,-24274.75,505765.10,530226.75,24461.65
2026-03-16,18852.25,524617.35,530226.75,5609.40
2026-03-23,-20423.50,504193.85,530226.75,26032.90
2026-04-27,44293.50,548487.35,548487.35,0.00
2026-05-04,923.75,549411.10,549411.10,0.00
2026-05-11,-120.00,549291.10,549411.10,120.00
2026-05-18,1730.00,551021.10,551021.10,0.00
2026-05-25,16918.75,567939.85,567939.85,0.00
2026-06-01,4563.75,572503.60,572503.60,0.00
2026-06-08,-3953.00,568550.60,572503.60,3953.00
2026-06-15,-4700.25,563850.35,572503.60,8653.25
