date,net_pnl,equity,peak,drawdown
2025-01-01,-4248.75,295751.25,300000.00,4248.75
2025-01-08,11493.75,307245.00,307245.00,0.00
2025-01-15,23748.75,330993.75,330993.75,0.00
2025-01-22,1833.75,332827.50,332827.50,0.00
2025-01-29,-1851.75,330975.75,332827.50,1851.75
2025-02-05,28402.50,359378.25,359378.25,0.00
2025-02-12,13054.50,372432.75,372432.75,0.00
2025-02-19,1168.50,373601.25,373601.25,0.00
2025-02-25,25402.50,399003.75,399003.75,0.00
2025-03-05,2291.25,401295.00,401295.00,0.00
2025-03-12,2579.25,403874.25,403874.25,0.00
2025-03-19,2589.00,406463.25,406463.25,0.00
2025-03-26,8122.50,414585.75,414585.75,0.00
2025-04-02,4158.00,418743.75,418743.75,0.00
2025-04-08,-11124.75,407619.00,418743.75,11124.75
2025-04-16,8815.50,416434.50,418743.75,2309.25
2025-04-23,8740.50,425175.00,425175.00,0.00
2025-04-29,13995.75,439170.75,439170.75,0.00
2025-05-07,20272.50,459443.25,459443.25,0.00
2025-05-14,-7543.50,451899.75,459443.25,7543.50
2025-05-21,2607.00,454506.75,459443.25,4936.50
2025-05-28,8509.50,463016.25,463016.25,0.00
2025-06-04,23047.50,486063.75,486063.75,0.00
2025-06-11,20475.00,506538.75,506538.75,0.00
2025-06-18,3776.25,510315.00,510315.00,0.00
2025-06-25,2298.75,512613.75,512613.75,0.00
2025-07-02,11126.25,523740.00,523740.00,0.00
2025-07-09,12168.75,535908.75,535908.75,0.00
2025-07-16,17580.00,553488.75,553488.75,0.00
2025-07-23,6615.00,560103.75,560103.75,0.00
2025-07-30,3153.75,563257.50,563257.50,0.00
2025-08-06,990.00,564247.50,564247.50,0.00
2025-08-13,228.75,564476.25,564476.25,0.00
2025-08-20,5906.25,570382.50,570382.50,0.00
2025-08-26,2823.75,573206.25,573206.25,0.00
2025-09-01,-363.75,572842.50,573206.25,363.75
2025-09-08,-11778.75,561063.75,573206.25,12142.50
2025-09-15,13376.25,574440.00,574440.00,0.00
2025-09-22,9352.50,583792.50,583792.50,0.00
2025-09-29,8955.00,592747.50,592747.50,0.00
2025-10-06,-367.50,592380.00,592747.50,367.50
2025-10-13,735.00,593115.00,593115.00,0.00
2025-10-17,-5553.75,587561.25,593115.00,5553.75
2025-10-27,-3536.25,584025.00,593115.00,9090.00
2025-11-03,3945.00,587970.00,593115.00,5145.00
2025-11-10,10421.25,598391.25,598391.25,0.00
2025-11-17,-123.75,598267.50,598391.25,123.75
2025-11-24,7728.75,605996.25,605996.25,0.00
2025-12-01,6292.50,612288.75,612288.75,0.00
2025-12-08,6892.50,619181.25,619181.25,0.00
2025-12-15,-3468.75,615712.50,619181.25,3468.75
2025-12-22,-690.00,615022.50,619181.25,4158.75
2025-12-29,6690.00,621712.50,621712.50,0.00
2026-01-05,9240.75,630953.25,630953.25,0.00
2026-01-12,5940.15,636893.40,636893.40,0.00
2026-01-19,1684.20,638577.60,638577.60,0.00
2026-01-23,-11113.00,627464.60,638577.60,11113.00
2026-02-02,5675.50,633140.10,638577.60,5437.50
2026-02-09,-7170.00,625970.10,638577.60,12607.50
2026-02-16,6431.25,632401.35,638577.60,6176.25
2026-02-23,1505.00,633906.35,638577.60,4671.25
2026-02-27,5372.50,639278.85,639278.85,0.00
2026-03-09,-25597.25,613681.60,639278.85,25597.25
2026-03-16,20241.25,633922.85,639278.85,5356.00
2026-03-23,-19921.00,614001.85,639278.85,25277.00
2026-04-27,70215.75,684217.60,684217.60,0.00
2026-05-04,2583.25,686800.85,686800.85,0.00
2026-05-11,-120.00,686680.85,686800.85,120.00
2026-05-18,2322.25,689003.10,689003.10,0.00
2026-05-25,16193.00,705196.10,705196.10,0.00
2026-06-01,-468.50,704727.60,705196.10,468.50
2026-06-08,428.25,705155.85,705196.10,40.25
2026-06-15,677.50,705833.35,705833.35,0.00
