date,net_pnl,equity,peak,drawdown,drawdown_pct
2020-01-16,39796.94,1039796.94,1039796.94,0.00,0.00
2020-01-23,10710.68,1050507.62,1050507.62,0.00,0.00
2020-01-30,-31267.16,1019240.47,1050507.62,31267.16,2.98
2020-02-06,57709.24,1076949.70,1076949.70,0.00,0.00
2020-02-13,22219.28,1099168.99,1099168.99,0.00,0.00
2020-02-20,-48949.00,1050219.99,1099168.99,48949.00,4.45
2020-03-05,32521.16,1082741.15,1099168.99,16427.84,1.49
2020-03-12,-201504.94,881236.21,1099168.99,217932.78,19.83
2020-03-26,260213.79,1141450.00,1141450.00,0.00,0.00
2020-04-01,275042.83,1416492.83,1416492.83,0.00,0.00
2020-04-09,187140.05,1603632.87,1603632.87,0.00,0.00
2020-04-16,89639.53,1693272.41,1693272.41,0.00,0.00
2020-04-23,127703.85,1820976.25,1820976.25,0.00,0.00
2020-04-30,-21822.45,1799153.81,1820976.25,21822.45,1.20
2020-05-07,102922.02,1902075.83,1902075.83,0.00,0.00
2020-05-14,-9508.55,1892567.27,1902075.83,9508.55,0.50
2020-05-21,151111.93,2043679.20,2043679.20,0.00,0.00
2020-05-28,-22431.45,2021247.75,2043679.20,22431.45,1.10
2020-06-04,148709.22,2169956.96,2169956.96,0.00,0.00
2020-06-11,18192.76,2188149.72,2188149.72,0.00,0.00
2020-06-18,-61818.27,2126331.45,2188149.72,61818.27,2.83
2020-06-25,61237.39,2187568.84,2188149.72,580.88,0.03
2020-07-02,71047.40,2258616.24,2258616.24,0.00,0.00
2020-07-09,75430.95,2334047.20,2334047.20,0.00,0.00
2020-07-16,36705.06,2370752.26,2370752.26,0.00,0.00
2020-07-23,9726.76,2380479.02,2380479.02,0.00,0.00
2020-07-30,59430.16,2439909.18,2439909.18,0.00,0.00
2020-08-06,43720.06,2483629.24,2483629.24,0.00,0.00
2020-08-13,60122.73,2543751.96,2543751.96,0.00,0.00
2020-08-20,46047.41,2589799.37,2589799.37,0.00,0.00
