entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,target_hit_exits,premium_sl_exits,sma_cross_exits,day_close_exits,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,stop_out_count,sl_capped,remarks
2019-01-01,SKIPPED,insufficient_spot_history,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,2019-01-01T09:15:00+05:30 has 1 bars; needs 25; 2019-01-01T09:30:00+05:30 has 2 bars; needs 25; 2019-01-01T09:45:00+05:30 has 3 bars; needs 25; 2019-01-01T10:00:00+05:30 has 4 bars; needs 25; 2019-01-01T10:15:00+05:30 has 5 bars; needs 25; 2019-01-01T10:30:00+05:30 has 6 bars; needs 25; 2019-01-01T10:45:00+05:30 has 7 bars; needs 25; 2019-01-01T11:00:00+05:30 has 8 bars; needs 25; 2019-01-01T11:15:00+05:30 has 9 bars; needs 25; 2019-01-01T11:30:00+05:30 has 10 bars; needs 25; 2019-01-01T11:45:00+05:30 has 11 bars; needs 25; 2019-01-01T12:00:00+05:30 has 12 bars; needs 25; 2019-01-01T12:15:00+05:30 has 13 bars; needs 25; 2019-01-01T12:30:00+05:30 has 14 bars; needs 25; 2019-01-01T12:45:00+05:30 has 15 bars; needs 25; 2019-01-01T13:00:00+05:30 has 16 bars; needs 25; 2019-01-01T13:15:00+05:30 has 17 bars; needs 25
2019-01-02,SKIPPED,gap_too_small;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 25.60 < min 50 pts; close=10868.2 sma=10842.60; Gap 9.26 < min 50 pts; close=10852.2 sma=10842.94; Gap 26.79 < min 50 pts; close=10871.7 sma=10844.91; Gap 20.08 < min 50 pts; close=10866.6 sma=10846.52; Gap 35.91 < min 50 pts; close=10884.5 sma=10848.59; Gap 25.04 < min 50 pts; close=10875.4 sma=10850.36; Gap 24.60 < min 50 pts; close=10876.8 sma=10852.20; Gap 18.78 < min 50 pts; close=10872.3 sma=10853.52; Gap 19.88 < min 50 pts; close=10875.2 sma=10855.32; Gap 19.20 < min 50 pts; close=10876.2 sma=10857.00; Gap 14.42 < min 50 pts; close=10873.0 sma=10858.58; Gap 12.78 < min 50 pts; close=10872.8 sma=10860.02; Gap 20.10 < min 50 pts; close=10840.3 sma=10860.40; Gap 49.05 < min 50 pts; close=10810.8 sma=10859.85; Gap 47.66 < min 50 pts; close=10811.8 sma=10859.46; Missing option file: NIFTY_10800_CE_02_JAN_20.csv; Missing option file: NIFTY_10800_CE_02_JAN_20.csv
2019-01-03,SKIPPED,gap_too_small;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Missing option file: NIFTY_10750_CE_02_JAN_20.csv; Gap 19.31 < min 50 pts; close=10804.5 sma=10823.81; Gap 30.06 < min 50 pts; close=10790.5 sma=10820.56; Gap 11.66 < min 50 pts; close=10806.5 sma=10818.16; Gap 15.26 < min 50 pts; close=10799.5 sma=10814.76; Gap 43.23 < min 50 pts; close=10767.2 sma=10810.43; Gap 47.49 < min 50 pts; close=10758.2 sma=10805.69; Gap 47.92 < min 50 pts; close=10753.0 sma=10800.92; Missing option file: NIFTY_10750_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Gap 39.58 < min 50 pts; close=10720.5 sma=10760.08; Gap 40.83 < min 50 pts; close=10716.0 sma=10756.83
2019-01-04,SKIPPED,gap_too_small;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 18.94 < min 50 pts; close=10704.7 sma=10723.64; Missing option file: NIFTY_10650_CE_02_JAN_20.csv; Gap 44.27 < min 50 pts; close=10669.0 sma=10713.27; Gap 42.32 < min 50 pts; close=10665.3 sma=10707.62; Missing option file: NIFTY_10650_CE_02_JAN_20.csv; Missing option file: NIFTY_10650_CE_02_JAN_20.csv; Gap 36.51 < min 50 pts; close=10655.5 sma=10692.01; Gap 15.23 < min 50 pts; close=10673.6 sma=10688.83; Gap 7.27 < min 50 pts; close=10679.1 sma=10686.37; Gap 9.07 < min 50 pts; close=10694.4 sma=10685.33; Gap 2.44 < min 50 pts; close=10686.3 sma=10683.86; Gap 7.88 < min 50 pts; close=10690.7 sma=10682.82; Gap 18.66 < min 50 pts; close=10701.2 sma=10682.54; Gap 40.73 < min 50 pts; close=10723.8 sma=10683.07; Gap 32.96 < min 50 pts; close=10716.5 sma=10683.54; Gap 46.85 < min 50 pts; close=10730.8 sma=10683.95; Gap 39.92 < min 50 pts; close=10724.2 sma=10684.28
2019-01-07,SKIPPED,gap_too_small;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Missing option file: NIFTY_10800_PE_02_JAN_20.csv; Gap 37.58 < min 50 pts; close=10788.1 sma=10750.52; Gap 45.89 < min 50 pts; close=10801.0 sma=10755.11; Gap 40.80 < min 50 pts; close=10800.3 sma=10759.50; Gap 33.96 < min 50 pts; close=10797.3 sma=10763.34; Gap 35.24 < min 50 pts; close=10801.7 sma=10766.46; Gap 33.08 < min 50 pts; close=10803.0 sma=10769.92; Gap 32.21 < min 50 pts; close=10805.1 sma=10772.89; Gap 29.46 < min 50 pts; close=10805.6 sma=10776.14
2019-01-08,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 42.04 < min 50 pts; close=10756.4 sma=10798.44; Gap 43.18 < min 50 pts; close=10753.6 sma=10796.78; Gap 29.99 < min 50 pts; close=10765.1 sma=10795.09; Gap 5.32 < min 50 pts; close=10788.7 sma=10794.02; Gap 0.78 < min 50 pts; close=10792.0 sma=10792.78; Gap 6.57 < min 50 pts; close=10784.6 sma=10791.17; Gap 26.09 < min 50 pts; close=10763.0 sma=10789.09; Gap 24.06 < min 50 pts; close=10762.9 sma=10786.96; Gap 16.40 < min 50 pts; close=10768.8 sma=10785.20; Gap 26.76 < min 50 pts; close=10757.2 sma=10783.96; Gap 32.11 < min 50 pts; close=10749.8 sma=10781.91; Gap 17.42 < min 50 pts; close=10763.0 sma=10780.42; Gap 13.17 < min 50 pts; close=10766.0 sma=10779.17; Gap 12.70 < min 50 pts; close=10765.0 sma=10777.70; Gap 7.82 < min 50 pts; close=10768.5 sma=10776.32; Gap 10.68 < min 50 pts; close=10764.0 sma=10774.68; Gap 8.44 < min 50 pts; close=10764.6 sma=10773.04
2019-01-09,SKIPPED,gap_too_small;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Missing option file: NIFTY_10850_PE_02_JAN_20.csv; Missing option file: NIFTY_10850_PE_02_JAN_20.csv; Missing option file: NIFTY_10850_PE_02_JAN_20.csv; Missing option file: NIFTY_10850_PE_02_JAN_20.csv; Missing option file: NIFTY_10850_PE_02_JAN_20.csv; Missing option file: NIFTY_10850_PE_02_JAN_20.csv; Gap 40.14 < min 50 pts; close=10839.6 sma=10799.46; Gap 40.14 < min 50 pts; close=10842.8 sma=10802.66; Gap 32.38 < min 50 pts; close=10837.8 sma=10805.42; Gap 26.76 < min 50 pts; close=10835.3 sma=10808.54; Gap 27.85 < min 50 pts; close=10840.0 sma=10812.15; Gap 19.49 < min 50 pts; close=10834.5 sma=10815.01; Gap 4.65 < min 50 pts; close=10821.9 sma=10817.25; Gap 19.27 < min 50 pts; close=10839.5 sma=10820.23; Gap 23.25 < min 50 pts; close=10846.6 sma=10823.35; Gap 22.92 < min 50 pts; close=10849.7 sma=10826.78; Gap 25.37 < min 50 pts; close=10855.8 sma=10830.43
2019-01-10,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 1.75 < min 50 pts; close=10840.2 sma=10838.45; Gap 0.42 < min 50 pts; close=10838.0 sma=10837.58; Gap 4.44 < min 50 pts; close=10841.2 sma=10836.76; Gap 4.89 < min 50 pts; close=10841.0 sma=10836.11; Gap 12.43 < min 50 pts; close=10848.1 sma=10835.67; Gap 8.62 < min 50 pts; close=10844.0 sma=10835.38; Gap 7.30 < min 50 pts; close=10842.8 sma=10835.50; Gap 3.17 < min 50 pts; close=10831.9 sma=10835.07; Gap 3.51 < min 50 pts; close=10831.3 sma=10834.81; Gap 2.87 < min 50 pts; close=10831.8 sma=10834.67; Gap 9.36 < min 50 pts; close=10824.7 sma=10834.06; Gap 11.46 < min 50 pts; close=10822.1 sma=10833.56; Gap 17.52 < min 50 pts; close=10815.8 sma=10833.32; Gap 7.54 < min 50 pts; close=10825.2 sma=10832.74; Gap 11.49 < min 50 pts; close=10820.2 sma=10831.69; Gap 2.24 < min 50 pts; close=10828.6 sma=10830.84; Gap 9.12 < min 50 pts; close=10820.3 sma=10829.42
2019-01-11,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 0.58 < min 50 pts; close=10828.5 sma=10827.92; Gap 13.54 < min 50 pts; close=10841.6 sma=10828.06; Gap 7.38 < min 50 pts; close=10835.2 sma=10827.82; Gap 3.33 < min 50 pts; close=10823.8 sma=10827.13; Gap 9.18 < min 50 pts; close=10816.7 sma=10825.88; Gap 19.03 < min 50 pts; close=10805.3 sma=10824.33; Gap 8.98 < min 50 pts; close=10814.2 sma=10823.18; Gap 14.42 < min 50 pts; close=10807.8 sma=10822.22; Gap 15.50 < min 50 pts; close=10805.7 sma=10821.20; Gap 35.38 < min 50 pts; close=10783.9 sma=10819.28; Gap 42.00 < min 50 pts; close=10775.3 sma=10817.30; Gap 39.75 < min 50 pts; close=10775.7 sma=10815.45; Gap 39.10 < min 50 pts; close=10774.7 sma=10813.80; Gap 43.13 < min 50 pts; close=10768.4 sma=10811.53; Gap 43.17 < min 50 pts; close=10766.2 sma=10809.37; Gap 36.55 < min 50 pts; close=10770.5 sma=10807.05; Gap 37.44 < min 50 pts; close=10767.5 sma=10804.94
2019-01-14,SKIPPED,gap_too_small;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 49.04 < min 50 pts; close=10737.3 sma=10786.34; Gap 36.80 < min 50 pts; close=10745.7 sma=10782.50; Gap 49.54 < min 50 pts; close=10728.7 sma=10778.24; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Gap 37.86 < min 50 pts; close=10728.8 sma=10766.66; Gap 35.41 < min 50 pts; close=10727.8 sma=10763.21; Gap 38.93 < min 50 pts; close=10720.8 sma=10759.73; Gap 37.93 < min 50 pts; close=10718.3 sma=10756.23; Gap 40.01 < min 50 pts; close=10713.4 sma=10753.41; Missing option file: NIFTY_10700_CE_02_JAN_20.csv; Gap 48.59 < min 50 pts; close=10698.5 sma=10747.09; Gap 40.65 < min 50 pts; close=10703.6 sma=10744.25; Gap 34.50 < min 50 pts; close=10707.3 sma=10741.80; Gap 29.94 < min 50 pts; close=10709.6 sma=10739.54; Gap 31.73 < min 50 pts; close=10705.2 sma=10736.93; Gap 28.47 < min 50 pts; close=10706.0 sma=10734.47
