index,entry_date,day_of_week,expiry_date,atm_strike,chosen_strike,strike_offset,qty,ce_entry_open,pe_entry_open,sl_pct,ce_exit_ts,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_exit_ts,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,net_pnl
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,20%,2025-09-01T13:04:00+05:30,86.40,sl,-15.40,-4620.00,2025-09-01T09:21:00+05:30,81.12,sl,-14.52,-4356.00,-8976.00,-9076.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,30%,2025-09-01T13:30:00+05:30,93.60,sl,-22.60,-6780.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,5475.00,5375.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,40%,2025-09-01T13:33:00+05:30,100.80,sl,-29.80,-8940.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,3315.00,3215.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,50%,2025-09-01T14:14:00+05:30,108.00,sl,-37.00,-11100.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,1155.00,1055.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,60%,2025-09-01T14:57:00+05:30,115.20,sl,-44.20,-13260.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,-1005.00,-1105.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,70%,2025-09-01T15:20:00+05:30,114.45,day_close,-43.45,-13035.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,-780.00,-880.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,80%,2025-09-01T15:20:00+05:30,114.45,day_close,-43.45,-13035.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,-780.00,-880.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,90%,2025-09-01T15:20:00+05:30,114.45,day_close,-43.45,-13035.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,-780.00,-880.00
NIFTY,2025-09-01,Monday,2025-09-02,24500,24550,1,300,72.00,67.60,100%,2025-09-01T15:20:00+05:30,114.45,day_close,-43.45,-13035.00,2025-09-01T15:20:00+05:30,25.75,day_close,40.85,12255.00,-780.00,-880.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,20%,2025-09-03T09:26:00+05:30,288.72,sl,-49.12,-4912.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,14948.00,14848.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,30%,2025-09-03T09:28:00+05:30,312.78,sl,-73.18,-7318.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,12542.00,12442.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,40%,2025-09-03T12:11:00+05:30,336.84,sl,-97.24,-9724.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,10136.00,10036.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,50%,2025-09-03T12:11:00+05:30,360.90,sl,-121.30,-12130.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,7730.00,7630.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,60%,2025-09-03T12:21:00+05:30,384.96,sl,-145.36,-14536.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,5324.00,5224.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,70%,2025-09-03T14:10:00+05:30,409.02,sl,-169.42,-16942.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,2918.00,2818.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,80%,2025-09-03T14:31:00+05:30,433.08,sl,-193.48,-19348.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,512.00,412.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,90%,2025-09-03T15:03:00+05:30,457.14,sl,-217.54,-21754.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,-1894.00,-1994.00
SENSEX,2025-09-03,Wednesday,2025-09-04,80000,80100,1,100,240.60,246.20,100%,2025-09-03T15:03:00+05:30,481.20,sl,-241.60,-24160.00,2025-09-03T15:20:00+05:30,46.60,day_close,198.60,19860.00,-4300.00,-4400.00
SENSEX,2025-09-04,Thursday,2025-09-04,81100,81100,0,100,190.45,150.60,20%,2025-09-04T09:28:00+05:30,228.54,sl,-39.09,-3909.00,2025-09-04T09:20:00+05:30,180.72,sl,-31.12,-3112.00,-7021.00,-7121.00
