offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2020-01-02,Thursday,SKIPPED,balance_filter,2020-01-02,12216.80,12200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-01-09,Thursday,TRADED,,2020-01-09,12162.40,12150,12150,0,12150,12150,75,4,300,0.80,29.35,44.03,2020-01-09T10:40:00+05:30,44.03,sl,23.60,35.40,2020-01-09T15:20:00+05:30,0.05,day_close,473850.00,2062.50,100.00,1962.50,
0,2020-01-16,Thursday,SKIPPED,balance_filter,2020-01-16,12372.50,12350,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-01-23,Thursday,TRADED,,2020-01-23,12117.20,12100,12100,0,12100,12100,75,4,300,0.84,25.55,38.33,2020-01-23T09:22:00+05:30,38.33,sl,21.45,32.17,2020-01-23T15:20:00+05:30,0.10,day_close,471900.00,1972.50,100.00,1872.50,
0,2020-01-30,Thursday,SKIPPED,balance_filter,2020-01-30,12095.00,12100,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-06,Thursday,SKIPPED,balance_filter,2020-02-06,12128.00,12150,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-13,Thursday,SKIPPED,balance_filter,2020-02-13,12183.30,12200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-20,Thursday,TRADED,,2020-02-20,12113.00,12100,12100,0,12100,12100,75,4,300,0.95,22.95,34.42,2020-02-20T09:29:00+05:30,34.42,sl,21.70,32.55,2020-02-20T15:20:00+05:30,16.90,day_close,471900.00,-2602.50,100.00,-2702.50,
0,2020-02-27,Thursday,SKIPPED,balance_filter,2020-02-27,11633.70,11650,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-03-05,Thursday,TRADED,,2020-03-05,11311.90,11300,11300,0,11300,11300,75,4,300,0.89,50.65,75.97,2020-03-05T11:30:00+05:30,75.97,sl,44.85,67.28,2020-03-05T09:53:00+05:30,67.28,sl,440700.00,-14925.00,100.00,-15025.00,
0,2020-03-12,Thursday,TRADED,,2020-03-12,9994.25,10000,10000,0,10000,10000,75,4,300,0.95,75.80,113.70,2020-03-12T15:20:00+05:30,0.10,day_close,72.00,108.00,2020-03-12T09:24:00+05:30,108.00,sl,390000.00,11310.00,100.00,11210.00,
0,2020-03-19,Thursday,SKIPPED,balance_filter,2020-03-19,7963.75,7950,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-03-26,Thursday,TRADED,,2020-03-26,8336.40,8350,8300,-1,8300,8300,75,4,300,0.99,134.05,201.08,2020-03-26T09:27:00+05:30,201.08,sl,135.95,203.92,2020-03-26T15:20:00+05:30,0.40,day_close,323700.00,19957.50,100.00,19857.50,
