offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2020-01-02,Thursday,SKIPPED,balance_filter,2020-01-02,12216.80,12200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-01-09,Thursday,TRADED,,2020-01-09,12162.40,12150,12150,0,12150,12150,75,4,300,0.80,29.35,55.77,2020-01-09T13:07:00+05:30,55.77,sl,23.60,44.84,2020-01-09T15:20:00+05:30,0.05,day_close,473850.00,-1459.50,100.00,-1559.50,
0,2020-01-16,Thursday,SKIPPED,balance_filter,2020-01-16,12372.50,12350,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-01-23,Thursday,TRADED,,2020-01-23,12117.20,12100,12100,0,12100,12100,75,4,300,0.84,25.55,48.55,2020-01-23T09:35:00+05:30,48.55,sl,21.45,40.75,2020-01-23T15:20:00+05:30,0.10,day_close,471900.00,-1093.50,100.00,-1193.50,
0,2020-01-30,Thursday,SKIPPED,balance_filter,2020-01-30,12095.00,12100,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-06,Thursday,SKIPPED,balance_filter,2020-02-06,12128.00,12150,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-13,Thursday,SKIPPED,balance_filter,2020-02-13,12183.30,12200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-20,Thursday,TRADED,,2020-02-20,12113.00,12100,12100,0,12100,12100,75,4,300,0.95,22.95,43.60,2020-02-20T11:41:00+05:30,43.60,sl,21.70,41.23,2020-02-20T15:20:00+05:30,16.90,day_close,471900.00,-5356.50,100.00,-5456.50,
0,2020-02-27,Thursday,SKIPPED,balance_filter,2020-02-27,11633.70,11650,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-03-05,Thursday,TRADED,,2020-03-05,11311.90,11300,11300,0,11300,11300,75,4,300,0.89,50.65,96.23,2020-03-05T15:20:00+05:30,0.05,day_close,44.85,85.22,2020-03-05T15:20:00+05:30,29.75,day_close,440700.00,19110.00,100.00,19010.00,
0,2020-03-12,Thursday,TRADED,,2020-03-12,9994.25,10000,10000,0,10000,10000,75,4,300,0.95,75.80,144.02,2020-03-12T15:20:00+05:30,0.10,day_close,72.00,136.80,2020-03-12T10:42:00+05:30,136.80,sl,390000.00,2670.00,100.00,2570.00,
0,2020-03-19,Thursday,SKIPPED,balance_filter,2020-03-19,7963.75,7950,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-03-26,Thursday,TRADED,,2020-03-26,8336.40,8350,8300,-1,8300,8300,75,4,300,0.99,134.05,254.70,2020-03-26T09:30:00+05:30,254.70,sl,135.95,258.30,2020-03-26T15:20:00+05:30,0.40,day_close,323700.00,3871.50,100.00,3771.50,
0,2020-04-01,Wednesday,SKIPPED,balance_filter,2020-04-01,8508.15,8500,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-04-09,Thursday,TRADED,,2020-04-09,8969.80,8950,8950,0,8950,8950,75,4,300,0.88,82.55,156.84,2020-04-09T15:06:00+05:30,156.84,sl,93.45,177.56,2020-04-09T15:20:00+05:30,0.20,day_close,349050.00,5086.50,100.00,4986.50,
0,2020-04-16,Thursday,SKIPPED,balance_filter,2020-04-16,8830.60,8850,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-04-23,Thursday,TRADED,,2020-04-23,9219.05,9200,9200,0,9200,9200,75,4,300,0.81,49.20,93.48,2020-04-23T11:54:00+05:30,93.48,sl,60.80,115.52,2020-04-23T15:20:00+05:30,0.10,day_close,358800.00,4326.00,100.00,4226.00,
0,2020-04-30,Thursday,SKIPPED,balance_filter,2020-04-30,9749.40,9750,,,,,75,4,300,,,,,,,,,,,,,,,,
