offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2020-01-02,Thursday,TRADED,,2020-01-02,12216.80,12200,12200,0,12200,12200,75,4,300,0.41,31.20,62.40,2020-01-02T12:09:00+05:30,62.40,sl,12.65,25.30,2020-01-02T15:20:00+05:30,0.10,day_close,475800.00,-6195.00,100.00,-6295.00,
0,2020-01-09,Thursday,TRADED,,2020-01-09,12162.40,12150,12150,0,12150,12150,75,4,300,0.80,29.35,58.70,2020-01-09T13:07:00+05:30,58.70,sl,23.60,47.20,2020-01-09T15:20:00+05:30,0.05,day_close,473850.00,-2340.00,100.00,-2440.00,
0,2020-01-16,Thursday,TRADED,,2020-01-16,12372.50,12350,12350,0,12350,12350,75,4,300,0.55,29.70,59.40,2020-01-16T15:20:00+05:30,6.00,day_close,16.30,32.60,2020-01-16T11:13:00+05:30,32.60,sl,481650.00,1620.00,100.00,1520.00,
0,2020-01-23,Thursday,TRADED,,2020-01-23,12117.20,12100,12100,0,12100,12100,75,4,300,0.84,25.55,51.10,2020-01-23T09:35:00+05:30,51.10,sl,21.45,42.90,2020-01-23T15:20:00+05:30,0.10,day_close,471900.00,-1860.00,100.00,-1960.00,
0,2020-01-30,Thursday,TRADED,,2020-01-30,12095.00,12100,12100,0,12100,12100,75,4,300,0.57,20.90,41.80,2020-01-30T15:20:00+05:30,0.10,day_close,36.40,72.80,2020-01-30T12:38:00+05:30,72.80,sl,471900.00,-5280.00,100.00,-5380.00,
0,2020-02-06,Thursday,TRADED,,2020-02-06,12128.00,12150,12100,-1,12100,12100,75,4,300,0.52,40.80,81.60,2020-02-06T15:20:00+05:30,38.90,day_close,21.40,42.80,2020-02-06T15:20:00+05:30,0.05,day_close,471900.00,6375.00,100.00,6275.00,
0,2020-02-13,Thursday,TRADED,,2020-02-13,12183.30,12200,12200,0,12200,12200,75,4,300,0.38,15.40,30.80,2020-02-13T15:20:00+05:30,0.10,day_close,40.50,81.00,2020-02-13T15:20:00+05:30,23.65,day_close,475800.00,9045.00,100.00,8945.00,
0,2020-02-20,Thursday,TRADED,,2020-02-20,12113.00,12100,12100,0,12100,12100,75,4,300,0.95,22.95,45.90,2020-02-20T11:49:00+05:30,45.90,sl,21.70,43.40,2020-02-20T15:20:00+05:30,16.90,day_close,471900.00,-6045.00,100.00,-6145.00,
0,2020-02-27,Thursday,TRADED,,2020-02-27,11633.70,11650,11650,0,11650,11650,75,4,300,0.77,26.70,53.40,2020-02-27T15:20:00+05:30,0.10,day_close,34.60,69.20,2020-02-27T10:00:00+05:30,69.20,sl,454350.00,-3000.00,100.00,-3100.00,
0,2020-03-05,Thursday,TRADED,,2020-03-05,11311.90,11300,11300,0,11300,11300,75,4,300,0.89,50.65,101.30,2020-03-05T15:20:00+05:30,0.05,day_close,44.85,89.70,2020-03-05T15:20:00+05:30,29.75,day_close,440700.00,19110.00,100.00,19010.00,
0,2020-03-12,Thursday,TRADED,,2020-03-12,9994.25,10000,10000,0,10000,10000,75,4,300,0.95,75.80,151.60,2020-03-12T15:20:00+05:30,0.10,day_close,72.00,144.00,2020-03-12T10:43:00+05:30,144.00,sl,390000.00,510.00,100.00,410.00,
0,2020-03-19,Thursday,TRADED,,2020-03-19,7963.75,7950,7950,0,7950,7950,75,4,300,0.79,132.50,265.00,2020-03-19T11:06:00+05:30,265.00,sl,104.70,209.40,2020-03-19T15:20:00+05:30,0.05,day_close,310050.00,-8955.00,100.00,-9055.00,
0,2020-03-26,Thursday,TRADED,,2020-03-26,8336.40,8350,8300,-1,8300,8300,75,4,300,0.99,134.05,268.10,2020-03-26T09:30:00+05:30,268.10,sl,135.95,271.90,2020-03-26T15:20:00+05:30,0.40,day_close,323700.00,-150.00,100.00,-250.00,
0,2020-04-01,Wednesday,TRADED,,2020-04-01,8508.15,8500,8450,-1,8450,8450,75,4,300,0.75,100.05,200.10,2020-04-01T15:20:00+05:30,0.10,day_close,75.15,150.30,2020-04-01T10:40:00+05:30,150.30,sl,329550.00,6840.00,100.00,6740.00,
0,2020-04-09,Thursday,TRADED,,2020-04-09,8969.80,8950,8950,0,8950,8950,75,4,300,0.88,82.55,165.10,2020-04-09T15:12:00+05:30,165.10,sl,93.45,186.90,2020-04-09T15:20:00+05:30,0.20,day_close,349050.00,2610.00,100.00,2510.00,
0,2020-04-16,Thursday,TRADED,,2020-04-16,8830.60,8850,8850,0,8850,8850,75,4,300,0.75,62.85,125.70,2020-04-16T09:40:00+05:30,125.70,sl,83.30,166.60,2020-04-16T15:20:00+05:30,0.05,day_close,345150.00,5520.00,100.00,5420.00,
0,2020-04-23,Thursday,TRADED,,2020-04-23,9219.05,9200,9200,0,9200,9200,75,4,300,0.81,49.20,98.40,2020-04-23T12:00:00+05:30,98.40,sl,60.80,121.60,2020-04-23T15:20:00+05:30,0.10,day_close,358800.00,2850.00,100.00,2750.00,
0,2020-04-30,Thursday,TRADED,,2020-04-30,9749.40,9750,9700,-1,9700,9700,75,4,300,0.67,51.15,102.30,2020-04-30T09:34:00+05:30,102.30,sl,34.50,69.00,2020-04-30T15:20:00+05:30,0.10,day_close,378300.00,-5625.00,100.00,-5725.00,
0,2020-05-07,Thursday,TRADED,,2020-05-07,9211.00,9200,9200,0,9200,9200,75,4,300,0.84,52.85,105.70,2020-05-07T15:20:00+05:30,0.65,day_close,62.90,125.80,2020-05-07T15:20:00+05:30,4.25,day_close,358800.00,32655.00,100.00,32555.00,
0,2020-05-14,Thursday,TRADED,,2020-05-14,9237.85,9250,9250,0,9250,9250,75,4,300,0.79,42.75,85.50,2020-05-14T15:20:00+05:30,0.10,day_close,54.40,108.80,2020-05-14T14:14:00+05:30,108.80,sl,360750.00,-4125.00,100.00,-4225.00,
0,2020-05-21,Thursday,TRADED,,2020-05-21,9100.80,9100,9100,0,9100,9100,75,4,300,0.99,37.05,74.10,2020-05-21T13:36:00+05:30,74.35,gap_sl,36.60,73.20,2020-05-21T15:20:00+05:30,0.20,day_close,354900.00,-870.00,100.00,-970.00,
0,2020-05-28,Thursday,TRADED,,2020-05-28,9386.15,9400,9350,-1,9350,9350,75,4,300,0.56,49.85,99.70,2020-05-28T11:10:00+05:30,99.70,sl,27.80,55.60,2020-05-28T15:20:00+05:30,0.10,day_close,364650.00,-7245.00,100.00,-7345.00,
0,2020-06-04,Thursday,TRADED,,2020-06-04,10109.00,10100,10100,0,10100,10100,75,4,300,0.97,42.85,85.70,2020-06-04T15:20:00+05:30,0.05,day_close,44.40,88.80,2020-06-04T09:35:00+05:30,88.80,sl,393900.00,-1080.00,100.00,-1180.00,
0,2020-06-11,Thursday,TRADED,,2020-06-11,10059.90,10050,10050,0,10050,10050,75,4,300,0.99,47.10,94.20,2020-06-11T15:20:00+05:30,0.05,day_close,47.75,95.50,2020-06-11T14:09:00+05:30,95.50,sl,391950.00,-810.00,100.00,-910.00,
0,2020-06-18,Thursday,TRADED,,2020-06-18,9867.05,9850,9850,0,9850,9850,75,4,300,0.81,41.45,82.90,2020-06-18T11:55:00+05:30,82.90,sl,51.00,102.00,2020-06-18T15:20:00+05:30,0.05,day_close,384150.00,2250.00,100.00,2150.00,
0,2020-06-25,Thursday,TRADED,,2020-06-25,10220.80,10200,10200,0,10200,10200,75,4,300,0.97,52.10,104.20,2020-06-25T10:29:00+05:30,104.20,sl,53.45,106.90,2020-06-25T15:20:00+05:30,0.10,day_close,397800.00,-225.00,100.00,-325.00,
0,2020-07-02,Thursday,TRADED,,2020-07-02,10512.60,10500,10500,0,10500,10500,75,4,300,0.97,41.55,83.10,2020-07-02T13:46:00+05:30,83.10,sl,42.85,85.70,2020-07-02T15:20:00+05:30,0.15,day_close,409500.00,-255.00,100.00,-355.00,
0,2020-07-09,Thursday,TRADED,,2020-07-09,10754.20,10750,10750,0,10750,10750,75,4,300,0.69,33.95,67.90,2020-07-09T14:50:00+05:30,67.90,sl,49.35,98.70,2020-07-09T15:20:00+05:30,0.05,day_close,419250.00,4005.00,100.00,3905.00,
0,2020-07-16,Thursday,TRADED,,2020-07-16,10624.00,10600,10600,0,10600,10600,75,4,300,0.91,47.45,94.90,2020-07-16T14:49:00+05:30,94.90,sl,43.15,86.30,2020-07-16T15:20:00+05:30,0.10,day_close,413400.00,-1920.00,100.00,-2020.00,
0,2020-07-23,Thursday,TRADED,,2020-07-23,11163.80,11150,11150,0,11150,11150,75,4,300,0.89,32.45,64.90,2020-07-23T11:38:00+05:30,64.90,sl,36.30,72.60,2020-07-23T15:20:00+05:30,0.10,day_close,434850.00,525.00,100.00,425.00,
0,2020-07-30,Thursday,TRADED,,2020-07-30,11268.50,11250,11250,0,11250,11250,75,4,300,0.74,37.20,74.40,2020-07-30T15:20:00+05:30,0.10,day_close,27.45,54.90,2020-07-30T12:58:00+05:30,54.90,sl,438750.00,2295.00,100.00,2195.00,
0,2020-08-06,Thursday,TRADED,,2020-08-06,11161.70,11150,11150,0,11150,11150,75,4,300,0.89,41.70,83.40,2020-08-06T12:26:00+05:30,83.40,sl,46.60,93.20,2020-08-06T15:20:00+05:30,0.10,day_close,434850.00,840.00,100.00,740.00,
0,2020-08-13,Thursday,TRADED,,2020-08-13,11352.50,11350,11350,0,11350,11350,75,4,300,0.92,34.10,68.20,2020-08-13T15:20:00+05:30,0.10,day_close,31.50,63.00,2020-08-13T11:41:00+05:30,63.00,sl,442650.00,150.00,100.00,50.00,
0,2020-08-20,Thursday,TRADED,,2020-08-20,11321.80,11300,11300,0,11300,11300,75,4,300,0.76,38.00,76.00,2020-08-20T15:20:00+05:30,12.70,day_close,29.00,58.00,2020-08-20T15:20:00+05:30,0.15,day_close,440700.00,15645.00,100.00,15545.00,
0,2020-08-27,Thursday,TRADED,,2020-08-27,11600.30,11600,11600,0,11600,11600,75,4,300,0.62,23.40,46.80,2020-08-27T15:20:00+05:30,0.05,day_close,37.45,74.90,2020-08-27T15:20:00+05:30,43.30,day_close,452400.00,4650.00,100.00,4550.00,
0,2020-09-03,Thursday,TRADED,,2020-09-03,11562.50,11550,11550,0,11550,11550,75,4,300,0.65,39.70,79.40,2020-09-03T15:20:00+05:30,0.10,day_close,25.65,51.30,2020-09-03T11:35:00+05:30,51.30,sl,450450.00,3585.00,100.00,3485.00,
