entry_date,status,skip_reason,expiry_date,previous_trading_day,previous_close_timestamp,previous_close,gap_timestamp,gap_open,gap_points,gap_percent,entry_timestamp,spot_entry_open,exit_timestamp,atm_strike,option_side,contract_file,option_entry_open,option_exit_open,raw_points_pnl,raw_gross_pnl,slippage_points,slippage_loss,brokerage,net_pnl,remarks
2025-01-01,SKIPPED,no_previous_close,,,,,2025-01-01T09:15:00+05:30,,,,2025-01-01T09:16:00+05:30,,2025-01-01T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,No previous trading day close exists in the dataset.
2025-01-02,SKIPPED,gap_below_threshold,,2025-01-01,2025-01-01T15:29:00+05:30,23758.7,2025-01-02T09:15:00+05:30,23783.0,24.30,0.10,2025-01-02T09:16:00+05:30,23785.65,2025-01-02T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 24.30 is below 100.00 points.
2025-01-03,SKIPPED,gap_below_threshold,,2025-01-02,2025-01-02T15:29:00+05:30,24167.95,2025-01-03T09:15:00+05:30,24196.4,28.45,0.12,2025-01-03T09:16:00+05:30,24150.75,2025-01-03T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 28.45 is below 100.00 points.
2025-01-06,SKIPPED,gap_below_threshold,,2025-01-03,2025-01-03T15:29:00+05:30,23990.15,2025-01-06T09:15:00+05:30,24045.8,55.65,0.23,2025-01-06T09:16:00+05:30,24040.45,2025-01-06T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 55.65 is below 100.00 points.
2025-01-07,SKIPPED,gap_below_threshold,,2025-01-06,2025-01-06T15:29:00+05:30,23629.6,2025-01-07T09:15:00+05:30,23679.9,50.30,0.21,2025-01-07T09:16:00+05:30,23756.75,2025-01-07T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 50.30 is below 100.00 points.
2025-01-08,SKIPPED,gap_below_threshold,,2025-01-07,2025-01-07T15:29:00+05:30,23694.6,2025-01-08T09:15:00+05:30,23746.65,52.05,0.22,2025-01-08T09:16:00+05:30,23708.1,2025-01-08T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 52.05 is below 100.00 points.
2025-01-09,SKIPPED,gap_below_threshold,,2025-01-08,2025-01-08T15:29:00+05:30,23675.2,2025-01-09T09:15:00+05:30,23674.75,-0.45,-0.00,2025-01-09T09:16:00+05:30,23642.75,2025-01-09T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 0.45 is below 100.00 points.
2025-01-10,SKIPPED,gap_below_threshold,,2025-01-09,2025-01-09T15:29:00+05:30,23557.2,2025-01-10T09:15:00+05:30,23551.9,-5.30,-0.02,2025-01-10T09:16:00+05:30,23571.85,2025-01-10T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 5.30 is below 100.00 points.
2025-01-13,TRADED,,2025-01-16,2025-01-10,2025-01-10T15:29:00+05:30,23437.35,2025-01-13T09:15:00+05:30,23195.4,-241.95,-1.03,2025-01-13T09:16:00+05:30,23220.45,2025-01-13T09:25:00+05:30,23200,PE,NIFTY_23200_PE_16_JAN_25.csv,144.19,146.4,2.21,574.60,2.00,520.00,50.00,4.60,
2025-01-14,SKIPPED,gap_below_threshold,,2025-01-13,2025-01-13T15:29:00+05:30,23088.7,2025-01-14T09:15:00+05:30,23165.9,77.20,0.33,2025-01-14T09:16:00+05:30,23201.1,2025-01-14T09:25:00+05:30,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,Absolute gap 77.20 is below 100.00 points.
