entry_date,status,expiry_date,previous_trading_day,previous_close,gap_timestamp,gap_open,gap_points,entry_timestamp,spot_entry_open,exit_timestamp,atm_strike,option_side,contract_file,option_entry_open,option_exit_open,raw_points_pnl,raw_gross_pnl,slippage_points,slippage_loss,brokerage,net_pnl,remarks
2025-01-13,TRADED,2025-01-16,2025-01-10,23437.35,2025-01-13T09:15:00+05:30,23195.4,-241.95,2025-01-13T09:16:00+05:30,23220.45,2025-01-13T09:25:00+05:30,23200,PE,NIFTY_23200_PE_16_JAN_25.csv,144.19,146.4,2.21,574.60,2.00,520.00,50.00,4.60,
2025-01-16,TRADED,2025-01-16,2025-01-15,23228.1,2025-01-16T09:15:00+05:30,23377.25,149.15,2025-01-16T09:16:00+05:30,23334.65,2025-01-16T09:25:00+05:30,23350,CE,NIFTY_23350_CE_16_JAN_25.csv,34.29,24.95,-9.34,-2428.40,2.00,520.00,50.00,-2998.40,
2025-01-27,TRADED,2025-01-30,2025-01-24,23090.35,2025-01-27T09:15:00+05:30,22940.15,-150.20,2025-01-27T09:16:00+05:30,22943.05,2025-01-27T09:25:00+05:30,22950,PE,NIFTY_22950_PE_30_JAN_25.csv,166.25,163.75,-2.50,-650.00,2.00,520.00,50.00,-1220.00,
2025-01-28,TRADED,2025-01-30,2025-01-27,22816.85,2025-01-28T09:15:00+05:30,22960.45,143.60,2025-01-28T09:16:00+05:30,22938.5,2025-01-28T09:25:00+05:30,22950,CE,NIFTY_22950_CE_30_JAN_25.csv,138.65,148.94,10.29,2675.40,2.00,520.00,50.00,2105.40,
2025-02-03,TRADED,2025-02-06,2025-02-01,23495.3,2025-02-03T09:15:00+05:30,23319.35,-175.95,2025-02-03T09:16:00+05:30,23272.25,2025-02-03T09:25:00+05:30,23250,PE,NIFTY_23250_PE_06_FEB_25.csv,114.7,119.45,4.75,1235.00,2.00,520.00,50.00,665.00,
2025-02-04,TRADED,2025-02-06,2025-02-03,23359.7,2025-02-04T09:15:00+05:30,23509.9,150.20,2025-02-04T09:16:00+05:30,23493.75,2025-02-04T09:25:00+05:30,23500,CE,NIFTY_23500_CE_06_FEB_25.csv,94.05,118.35,24.30,6318.00,2.00,520.00,50.00,5748.00,
2025-02-24,TRADED,2025-02-27,2025-02-21,22764.35,2025-02-24T09:15:00+05:30,22609.35,-155.00,2025-02-24T09:16:00+05:30,22667.05,2025-02-24T09:25:00+05:30,22650,PE,NIFTY_22650_PE_27_FEB_25.csv,111.35,128.35,17.00,4420.00,2.00,520.00,50.00,3850.00,
2025-03-04,TRADED,2025-03-06,2025-03-03,22143.15,2025-03-04T09:15:00+05:30,21974.45,-168.70,2025-03-04T09:16:00+05:30,21986.85,2025-03-04T09:25:00+05:30,22000,PE,NIFTY_22000_PE_06_MAR_25.csv,104.4,88.95,-15.45,-4017.00,2.00,520.00,50.00,-4587.00,
2025-03-06,TRADED,2025-03-06,2025-03-05,22346.65,2025-03-06T09:15:00+05:30,22476.35,129.70,2025-03-06T09:16:00+05:30,22452.3,2025-03-06T09:25:00+05:30,22450,CE,NIFTY_22450_CE_06_MAR_25.csv,49.7,24.8,-24.90,-6474.00,2.00,520.00,50.00,-7044.00,
2025-03-18,TRADED,2025-03-20,2025-03-17,22515.25,2025-03-18T09:15:00+05:30,22662.25,147.00,2025-03-18T09:16:00+05:30,22614.75,2025-03-18T09:25:00+05:30,22600,CE,NIFTY_22600_CE_20_MAR_25.csv,124.55,162.3,37.75,9815.00,2.00,520.00,50.00,9245.00,
2025-03-20,TRADED,2025-03-20,2025-03-19,22911.8,2025-03-20T09:15:00+05:30,23036.6,124.80,2025-03-20T09:16:00+05:30,23007.3,2025-03-20T09:25:00+05:30,23000,CE,NIFTY_23000_CE_20_MAR_25.csv,61.1,94.0,32.90,8554.00,2.00,520.00,50.00,7984.00,
