entry_date,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,initial_ce_entry_open,initial_pe_entry_open,entry_credit_points,entry_credit_rupees,adjustments,first_add_count,rebalance_count,reversal_exit_count,orders_executed,exit_timestamp,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-02,2025-01-01T09:30:00+05:30,23640.75,23650,116.95,114.35,231.30,30069.00,1,1,0,0,6,2025-01-01T12:22:00+05:30,-11986.00,150.00,-12136.00,No OTM PE contract satisfied the value band 158.60-207.40 at 2025-01-01T12:22:00+05:30 while also having exact final exit timestamp 2025-01-01T15:20:00+05:30.
2025-01-02,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-02,2025-01-02T09:30:00+05:30,23760.3,23750,120.35,108.5,228.85,29750.50,1,1,0,0,6,2025-01-02T09:56:00+05:30,928.20,150.00,778.20,No OTM PE contract satisfied the value band 111.64-145.99 at 2025-01-02T09:56:00+05:30 while also having exact final exit timestamp 2025-01-02T15:20:00+05:30.
2025-01-06,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-09,2025-01-06T09:30:00+05:30,24035.65,24050,132.55,177.65,310.20,40326.00,3,2,0,1,8,2025-01-06T10:43:00+05:30,-6552.00,200.00,-6752.00,No OTM CE contract satisfied the value band 172.97-226.19 at 2025-01-06T10:43:00+05:30 while also having exact final exit timestamp 2025-01-06T15:20:00+05:30.
2025-01-08,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-09,2025-01-08T09:30:00+05:30,23637.8,23650,86.25,106.6,192.85,25070.50,1,1,0,0,6,2025-01-08T10:44:00+05:30,-650.00,150.00,-800.00,No OTM CE contract satisfied the value band 97.34-127.29 at 2025-01-08T10:44:00+05:30 while also having exact final exit timestamp 2025-01-08T15:20:00+05:30.
2025-01-09,EXCEPTION_EXIT,no_valid_first_add_candidate,2025-01-09,2025-01-09T09:30:00+05:30,23613.7,23600,44.0,43.35,87.35,11355.50,2,1,0,1,6,2025-01-09T10:48:00+05:30,-4607.20,150.00,-4757.20,No OTM CE contract satisfied the value band 18.22-27.33 at 2025-01-09T10:48:00+05:30 while also having exact final exit timestamp 2025-01-09T15:20:00+05:30.
2025-01-13,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-16,2025-01-13T09:30:00+05:30,23255.95,23250,173.9,155.6,329.50,42835.00,3,2,0,1,8,2025-01-13T14:36:00+05:30,977.60,200.00,777.60,No OTM CE contract satisfied the value band 149.70-195.75 at 2025-01-13T14:36:00+05:30 while also having exact final exit timestamp 2025-01-13T15:20:00+05:30.
2025-01-15,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-16,2025-01-15T09:30:00+05:30,23207.5,23200,87.8,69.2,157.00,20410.00,1,1,0,0,6,2025-01-15T10:47:00+05:30,-1735.50,150.00,-1885.50,No OTM PE contract satisfied the value band 83.95-109.78 at 2025-01-15T10:47:00+05:30 while also having exact final exit timestamp 2025-01-15T15:20:00+05:30.
2025-01-16,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-16,2025-01-16T09:30:00+05:30,23348.4,23350,29.15,44.4,73.55,9561.50,1,1,0,0,6,2025-01-16T09:44:00+05:30,-1617.20,150.00,-1767.20,No OTM CE contract satisfied the value band 39.55-51.72 at 2025-01-16T09:44:00+05:30 while also having exact final exit timestamp 2025-01-16T15:20:00+05:30.
2025-01-20,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-23,2025-01-20T09:30:00+05:30,23208.9,23200,186.05,160.94,346.99,45108.70,1,1,0,0,6,2025-01-20T11:33:00+05:30,2267.20,150.00,2117.20,No OTM PE contract satisfied the value band 166.20-217.34 at 2025-01-20T11:33:00+05:30 while also having exact final exit timestamp 2025-01-20T15:20:00+05:30.
2025-01-21,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-23,2025-01-21T09:30:00+05:30,23414.6,23400,140.6,126.2,266.80,34684.00,1,1,0,0,6,2025-01-21T10:22:00+05:30,-13175.50,150.00,-13325.50,No OTM CE contract satisfied the value band 192.40-251.60 at 2025-01-21T10:22:00+05:30 while also having exact final exit timestamp 2025-01-21T15:20:00+05:30.
2025-01-22,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-23,2025-01-22T09:30:00+05:30,23083.0,23100,116.75,100.35,217.10,28223.00,1,1,0,0,6,2025-01-22T13:41:00+05:30,6344.00,150.00,6194.00,No OTM CE contract satisfied the value band 84.24-110.16 at 2025-01-22T13:41:00+05:30 while also having exact final exit timestamp 2025-01-22T15:20:00+05:30.
2025-01-23,EXCEPTION_EXIT,no_valid_first_add_candidate,2025-01-23,2025-01-23T09:30:00+05:30,23105.55,23100,54.35,34.6,88.95,11563.50,0,0,0,0,4,2025-01-23T09:36:00+05:30,-4667.00,100.00,-4767.00,No OTM PE contract satisfied the value band 18.77-28.15 at 2025-01-23T09:36:00+05:30 while also having exact final exit timestamp 2025-01-23T15:20:00+05:30.
2025-01-28,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-30,2025-01-28T09:30:00+05:30,22908.8,22900,167.55,140.44,307.99,40038.70,1,1,0,0,6,2025-01-28T12:55:00+05:30,752.70,150.00,602.70,No OTM PE contract satisfied the value band 157.75-206.29 at 2025-01-28T12:55:00+05:30 while also having exact final exit timestamp 2025-01-28T15:20:00+05:30.
2025-01-30,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-01-30,2025-01-30T09:30:00+05:30,23169.0,23150,123.7,122.9,246.60,32058.00,1,1,0,0,6,2025-01-30T10:11:00+05:30,408.20,150.00,258.20,No OTM PE contract satisfied the value band 123.76-161.84 at 2025-01-30T10:11:00+05:30 while also having exact final exit timestamp 2025-01-30T15:20:00+05:30.
2025-02-04,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-06,2025-02-04T09:30:00+05:30,23514.1,23500,121.15,102.55,223.70,29081.00,1,1,0,0,6,2025-02-04T13:35:00+05:30,-11191.70,150.00,-11341.70,No OTM PE contract satisfied the value band 156.10-204.13 at 2025-02-04T13:35:00+05:30 while also having exact final exit timestamp 2025-02-04T15:20:00+05:30.
2025-02-06,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-06,2025-02-06T09:30:00+05:30,23699.05,23700,60.4,78.3,138.70,18031.00,1,1,0,0,6,2025-02-06T09:56:00+05:30,1267.50,150.00,1117.50,No OTM CE contract satisfied the value band 70.20-91.80 at 2025-02-06T09:56:00+05:30 while also having exact final exit timestamp 2025-02-06T15:20:00+05:30.
2025-02-11,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-13,2025-02-11T09:30:00+05:30,23314.7,23300,158.69,122.65,281.34,36574.20,1,1,0,0,6,2025-02-11T13:05:00+05:30,-1093.30,150.00,-1243.30,No OTM CE contract satisfied the value band 145.89-190.78 at 2025-02-11T13:05:00+05:30 while also having exact final exit timestamp 2025-02-11T15:20:00+05:30.
2025-02-12,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-13,2025-02-12T09:30:00+05:30,22978.85,23000,107.25,99.6,206.85,26890.50,1,1,0,0,6,2025-02-12T09:58:00+05:30,-2880.80,150.00,-3030.80,No OTM CE contract satisfied the value band 113.69-148.66 at 2025-02-12T09:58:00+05:30 while also having exact final exit timestamp 2025-02-12T15:20:00+05:30.
2025-02-13,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-13,2025-02-13T09:30:00+05:30,23024.9,23000,97.1,72.0,169.10,21983.00,1,1,0,0,6,2025-02-13T09:33:00+05:30,-1844.70,150.00,-1994.70,No OTM PE contract satisfied the value band 92.66-121.17 at 2025-02-13T09:33:00+05:30 while also having exact final exit timestamp 2025-02-13T15:20:00+05:30.
2025-02-14,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-20,2025-02-14T09:30:00+05:30,23027.2,23050,190.05,171.25,361.30,46969.00,1,1,0,0,6,2025-02-14T12:23:00+05:30,-2684.50,150.00,-2834.50,No OTM CE contract satisfied the value band 190.29-248.84 at 2025-02-14T12:23:00+05:30 while also having exact final exit timestamp 2025-02-14T15:20:00+05:30.
2025-02-19,EXCEPTION_EXIT,no_valid_rebalance_candidate,2025-02-20,2025-02-19T09:30:00+05:30,22852.2,22850,113.5,97.1,210.60,27378.00,1,1,0,0,6,2025-02-19T09:50:00+05:30,-3854.50,150.00,-4004.50,No OTM PE contract satisfied the value band 119.44-156.19 at 2025-02-19T09:50:00+05:30 while also having exact final exit timestamp 2025-02-19T15:20:00+05:30.
