entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,ce_contract_file,ce_entry_timestamp,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_brokerage,ce_net_pnl,pe_contract_file,pe_entry_timestamp,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_brokerage,pe_net_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,Wednesday,TRADED,,2025-01-02,current_week,2025-01-01T09:20:00+05:30,23673.1,23650,NIFTY_23650_CE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,129.69,259.38,2025-01-01T14:02:00+05:30,259.38,sl,-130.69,-9801.75,50.00,-9851.75,NIFTY_23650_PE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,108.25,216.50,2025-01-01T15:20:00+05:30,69.00,day_close,38.25,2868.75,50.00,2818.75,-6933.00,100.00,-7033.00,
2025-01-02,Thursday,TRADED,,2025-01-09,next_week,2025-01-02T09:20:00+05:30,23788.2,23800,NIFTY_23800_CE_09_JAN_25.csv,2025-01-02T09:20:00+05:30,233.8,467.60,2025-01-02T14:51:00+05:30,467.60,sl,-234.80,-17610.00,50.00,-17660.00,NIFTY_23800_PE_09_JAN_25.csv,2025-01-02T09:20:00+05:30,223.4,446.80,2025-01-02T15:20:00+05:30,62.20,day_close,160.20,12015.00,50.00,11965.00,-5595.00,100.00,-5695.00,
2025-01-03,Friday,TRADED,,2025-01-09,current_week,2025-01-03T09:20:00+05:30,24176.05,24200,NIFTY_24200_CE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,167.75,335.50,2025-01-03T15:20:00+05:30,78.84,day_close,87.91,6593.25,50.00,6543.25,NIFTY_24200_PE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,197.05,394.10,2025-01-03T15:20:00+05:30,276.25,day_close,-80.20,-6015.00,50.00,-6065.00,578.25,100.00,478.25,
2025-01-06,Monday,TRADED,,2025-01-09,current_week,2025-01-06T09:20:00+05:30,24031.8,24050,NIFTY_24050_CE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,132.85,265.70,2025-01-06T15:20:00+05:30,46.95,day_close,84.90,6367.50,50.00,6317.50,NIFTY_24050_PE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,165.9,331.80,2025-01-06T11:09:00+05:30,331.80,sl,-166.90,-12517.50,50.00,-12567.50,-6150.00,100.00,-6250.00,
2025-01-07,Tuesday,TRADED,,2025-01-09,current_week,2025-01-07T09:20:00+05:30,23754.6,23750,NIFTY_23750_CE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,163.8,327.60,2025-01-07T15:20:00+05:30,97.60,day_close,65.20,4890.00,50.00,4840.00,NIFTY_23750_PE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,166.3,332.60,2025-01-07T15:20:00+05:30,146.35,day_close,18.95,1421.25,50.00,1371.25,6311.25,100.00,6211.25,
2025-01-08,Wednesday,TRADED,,2025-01-09,current_week,2025-01-08T09:20:00+05:30,23679.5,23700,NIFTY_23700_CE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,86.75,173.50,2025-01-08T15:20:00+05:30,66.15,day_close,19.60,1470.00,50.00,1420.00,NIFTY_23700_PE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,119.7,239.40,2025-01-08T15:20:00+05:30,77.59,day_close,41.11,3083.25,50.00,3033.25,4553.25,100.00,4453.25,
2025-01-09,Thursday,TRADED,,2025-01-16,next_week,2025-01-09T09:20:00+05:30,23616.55,23600,NIFTY_23600_CE_16_JAN_25.csv,2025-01-09T09:20:00+05:30,205.6,411.20,2025-01-09T15:20:00+05:30,175.65,day_close,28.95,2171.25,50.00,2121.25,NIFTY_23600_PE_16_JAN_25.csv,2025-01-09T09:20:00+05:30,164.85,329.70,2025-01-09T15:20:00+05:30,183.90,day_close,-20.05,-1503.75,50.00,-1553.75,667.50,100.00,567.50,
2025-01-10,Friday,TRADED,,2025-01-16,current_week,2025-01-10T09:20:00+05:30,23561.2,23550,NIFTY_23550_CE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,191.2,382.40,2025-01-10T15:20:00+05:30,118.45,day_close,71.75,5381.25,50.00,5331.25,NIFTY_23550_PE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,164.55,329.10,2025-01-10T15:20:00+05:30,198.15,day_close,-34.60,-2595.00,50.00,-2645.00,2786.25,100.00,2686.25,
2025-01-13,Monday,TRADED,,2025-01-16,current_week,2025-01-13T09:20:00+05:30,23242.85,23250,NIFTY_23250_CE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,168.05,336.10,2025-01-13T15:20:00+05:30,82.70,day_close,84.35,6326.25,50.00,6276.25,NIFTY_23250_PE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,171.2,342.40,2025-01-13T15:20:00+05:30,188.15,day_close,-17.95,-1346.25,50.00,-1396.25,4980.00,100.00,4880.00,
2025-01-14,Tuesday,TRADED,,2025-01-16,current_week,2025-01-14T09:20:00+05:30,23211.35,23200,NIFTY_23200_CE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,130.8,261.60,2025-01-14T15:20:00+05:30,107.35,day_close,22.45,1683.75,50.00,1633.75,NIFTY_23200_PE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,98.7,197.40,2025-01-14T15:20:00+05:30,70.55,day_close,27.15,2036.25,50.00,1986.25,3720.00,100.00,3620.00,
