entry_date,status,skip_reason,expiry_date,spot_entry,atm,short_dist,wing_width,short_ce,long_ce,short_pe,long_pe,short_ce_entry,long_ce_entry,short_pe_entry,long_pe_entry,entry_credit,sl_trigger,lot_size,condors,units,exit_time,exit_reason,short_ce_exit,long_ce_exit,short_pe_exit,long_pe_exit,liq_cost_exit,gross_pnl,brokerage,net_pnl,cum_pnl,remarks
2020-01-02,TRADED,,2020-01-02,12216.80,12200,200,100,12400,12500,12000,11900,0.05,0.05,0.15,0.10,0.05,0.10,75,22,1650,09:21,sl,0.05,0.05,0.20,0.05,0.15,-165.00,10120.00,-10285.00,-10285.00,
2020-01-09,TRADED,,2020-01-09,12162.40,12150,200,100,12350,12450,11950,11850,0.10,0.10,0.50,0.30,0.20,0.40,75,22,1650,09:22,sl,0.15,0.05,0.55,0.20,0.45,-412.50,10120.00,-10532.50,-20817.50,
2020-01-16,TRADED,,2020-01-16,12372.50,12350,200,100,12550,12650,12150,12050,0.05,0.10,0.30,0.15,0.10,0.20,75,22,1650,09:32,sl,0.10,0.05,0.25,0.10,0.20,-165.00,10120.00,-10285.00,-31102.50,
2020-01-23,TRADED,,2020-01-23,12117.20,12100,200,100,12300,12400,11900,11800,0.40,0.10,0.30,0.15,0.45,0.90,75,22,1650,15:25,eod,0.05,0.05,0.05,0.05,0.00,742.50,10120.00,-9377.50,-40480.00,
2020-01-30,TRADED,,2020-01-30,12095.00,12100,200,100,12300,12400,11900,11800,0.20,0.10,0.30,0.15,0.25,0.50,75,22,1650,15:25,eod,0.05,0.05,0.05,0.05,0.00,412.50,10120.00,-9707.50,-50187.50,
2020-02-06,TRADED,,2020-02-06,12128.00,12150,200,100,12350,12450,11950,11850,0.10,0.05,0.85,0.30,0.60,1.20,75,22,1650,15:25,eod,0.05,0.05,0.05,0.05,0.00,990.00,10120.00,-9130.00,-59317.50,
2020-02-13,TRADED,,2020-02-13,12183.30,12200,200,100,12400,12500,12000,11900,0.05,0.10,0.45,0.20,0.20,0.40,75,22,1650,15:25,eod,0.05,0.05,0.05,0.05,0.00,330.00,10120.00,-9790.00,-69107.50,
2020-02-20,TRADED,,2020-02-20,12113.00,12100,200,100,12300,12400,11900,11800,0.10,0.10,0.25,0.10,0.15,0.30,75,22,1650,15:25,eod,0.05,0.05,0.05,0.05,0.00,247.50,10120.00,-9872.50,-78980.00,
2020-02-27,TRADED,,2020-02-27,11633.70,11650,200,100,11850,11950,11450,11350,0.45,0.25,0.40,0.30,0.30,0.60,75,23,1725,09:33,sl,0.35,0.30,0.90,0.35,0.60,-517.50,10580.00,-11097.50,-90077.50,
2020-03-05,TRADED,,2020-03-05,11311.90,11300,200,100,11500,11600,11100,11000,0.75,0.15,2.20,0.70,2.10,4.20,75,24,1800,15:25,eod,0.05,0.05,0.05,0.05,0.00,3780.00,11040.00,-7260.00,-97337.50,
2020-03-12,SKIPPED,missing_entry_candle,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,-97337.50,One or more legs missing open at 2020-03-12T09:20:00+05:30
2020-03-19,SKIPPED,missing_entry_candle,2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,-97337.50,One or more legs missing open at 2020-03-19T09:20:00+05:30
2020-03-26,TRADED,,2020-03-26,8336.40,8350,200,100,8550,8650,8150,8050,41.30,24.75,73.90,47.00,43.45,86.90,75,30,2250,15:24,sl,87.75,0.60,0.05,0.05,87.15,-98325.00,13800.00,-112125.00,-209462.50,
2020-04-01,TRADED,,2020-04-01,8508.15,8500,200,100,8700,8800,8300,8200,18.25,8.55,26.50,13.00,23.20,46.40,75,30,2250,11:53,sl,1.10,0.60,80.35,34.40,46.45,-52312.50,13800.00,-66112.50,-275575.00,
2020-04-09,TRADED,,2020-04-09,8969.80,8950,200,100,9150,9250,8750,8650,27.20,16.35,23.25,11.65,22.45,44.90,75,29,2175,15:25,eod,0.05,0.05,0.05,0.05,0.00,48828.75,13340.00,35488.75,-240086.25,
2020-04-16,TRADED,,2020-04-16,8830.60,8850,200,100,9050,9150,8650,8550,6.85,2.00,20.35,8.45,16.75,33.50,75,29,2175,15:25,eod,0.05,0.05,0.10,0.05,0.05,36322.50,13340.00,22982.50,-217103.75,
2020-04-23,TRADED,,2020-04-23,9219.05,9200,200,100,9400,9500,9000,8900,4.05,1.10,5.70,1.65,7.00,14.00,75,28,2100,15:25,eod,0.05,0.05,0.05,0.05,0.00,14700.00,12880.00,1820.00,-215283.75,
