cycle_no,period_start,period_end,expiry,status,skip_reason,capital_at_entry,spot_at_start,spot_at_end,lots,lot_size,margin_rate,margin_used,n_positions,n_intraday_adj,n_eod_adj,n_legs,net_points,gross_pnl,total_charges,net_pnl,remarks
1,2025-01-01,2025-01-01,2025-01-02,TRADED,,1000000.0,23649.55,23758.7,3,65,0.2,922332.45,1,1,0,3,-17.7,-3451.5,180.0,-3631.5,
2,2025-01-03,2025-01-08,2025-01-09,TRADED,,992973.05,24152.65,23675.2,3,65,0.2,941953.35,4,6,1,15,50.35,9818.25,820.48,8997.77,
3,2025-01-10,2025-01-15,2025-01-16,TRADED,,1010658.44,23572.05,23228.1,3,65,0.2,919309.95,4,2,2,12,60.1,11719.5,639.13,11080.37,
4,2025-01-17,2025-01-22,2025-01-23,TRADED,,1026785.07,23200.3,23161.75,3,65,0.2,904811.7,3,4,2,12,52.19,10177.05,653.35,9523.7,
5,2025-01-24,2025-01-29,2025-01-30,TRADED,,1033448.1,23236.3,23176.2,3,65,0.2,906215.7,2,3,3,10,-14.74,-2874.3,571.32,-3445.62,
6,2025-01-31,2025-02-05,2025-02-06,TRADED,,1060917.72,23285.7,23686.75,3,65,0.2,908142.3,6,7,1,20,81.11,15816.45,1077.37,14739.08,
7,2025-02-07,2025-02-12,2025-02-13,TRADED,,1077416.72,23610.4,23057.8,3,65,0.2,920805.6,3,7,2,15,19.3,3763.5,830.58,2932.92,
8,2025-02-14,2025-02-19,2025-02-20,TRADED,,1079456.55,23113.95,22914.4,3,65,0.2,901444.05,4,3,2,13,47.99,9358.05,691.49,8666.56,
9,2025-02-21,2025-02-25,2025-02-27,TRADED,,1100491.0,22885.7,22526.3,3,65,0.2,892542.3,3,4,0,10,49.1,9574.5,542.22,9032.28,
10,2025-02-28,2025-03-05,2025-03-06,TRADED,,1112719.66,22348.45,22346.65,3,65,0.2,871589.55,3,6,2,14,2.91,567.45,802.31,-234.86,
11,2025-03-07,2025-03-12,2025-03-13,TRADED,,1104103.86,22479.95,22468.5,3,65,0.2,876718.05,2,3,2,9,41.35,8063.25,511.54,7551.71,
12,2025-03-17,2025-03-19,2025-03-20,TRADED,,1118074.19,22480.3,22911.8,3,65,0.2,876731.7,2,3,1,8,-45.95,-8960.25,477.07,-9437.32,
13,2025-03-21,2025-03-26,2025-03-27,TRADED,,1108146.21,23156.2,23464.3,3,65,0.2,903091.8,3,4,3,13,-107.88,-21036.6,733.01,-21769.61,
14,2025-03-28,2025-04-02,2025-04-03,TRADED,,1101266.11,23590.95,23330.8,3,65,0.2,920047.05,3,3,1,10,40.86,7967.7,528.71,7438.99,
15,2025-04-04,2025-04-08,2025-04-09,TRADED,,1117159.02,23124.2,22547.2,3,65,0.2,901843.8,2,3,0,7,-348.4,-67938.0,408.76,-68346.76,
16,2025-04-11,2025-04-16,2025-04-17,TRADED,,1078245.78,22715.95,23433.3,3,65,0.2,885922.05,3,2,0,8,37.05,7224.75,424.58,6800.17,
17,2025-04-21,2025-04-23,2025-04-24,TRADED,,1084099.48,23983.6,24300.85,3,65,0.2,935360.4,3,3,0,9,33.01,6436.95,476.95,5960.0,
18,2025-04-25,2025-04-29,2025-04-30,TRADED,,1086040.72,24342.3,24325.45,3,65,0.2,949349.7,2,2,0,6,-26.58,-5183.1,343.2,-5526.3,
19,2025-05-02,2025-05-07,2025-05-08,TRADED,,1080049.1,24431.25,24409.3,3,65,0.2,952818.75,3,3,2,11,50.46,9839.7,591.3,9248.4,
20,2025-05-09,2025-05-14,2025-05-15,TRADED,,1087351.23,24125.25,24685.75,3,65,0.2,940884.75,7,6,0,20,-191.94,-37428.3,1066.05,-38494.35,
21,2025-05-16,2025-05-21,2025-05-22,TRADED,,1050663.84,24999.05,24800.95,3,65,0.2,974962.95,4,1,3,12,29.55,5762.25,645.13,5117.12,
22,2025-05-23,2025-05-28,2025-05-29,TRADED,,1081769.81,24650.35,24757.15,3,65,0.2,961363.65,3,1,3,10,46.01,8971.95,603.97,8367.98,
23,2025-05-30,2025-06-04,2025-06-05,TRADED,,1091680.24,24816.35,24612.0,3,65,0.2,967837.65,3,2,3,11,51.95,10130.25,624.76,9505.49,
24,2025-06-06,2025-06-11,2025-06-12,TRADED,,1101476.1,24734.0,25126.8,3,65,0.2,964626.0,3,2,1,9,51.05,9954.75,507.81,9446.94,
25,2025-06-13,2025-06-18,2025-06-19,TRADED,,1110470.84,24539.9,24798.75,3,65,0.2,957056.1,4,3,2,13,49.25,9603.75,691.1,8912.65,
26,2025-06-20,2025-06-25,2025-06-26,TRADED,,1129025.23,24864.85,25236.35,3,65,0.2,969729.15,3,3,3,12,-55.7,-10861.5,697.11,-11558.61,
27,2025-06-27,2025-07-02,2025-07-03,TRADED,,1115276.57,25616.2,25442.85,3,65,0.2,999031.8,3,1,1,8,50.55,9857.25,426.47,9430.78,
28,2025-07-04,2025-07-09,2025-07-10,TRADED,,1122607.98,25436.9,25464.65,3,65,0.2,992039.1,3,1,1,8,50.8,9906.0,423.73,9482.27,
29,2025-07-11,2025-07-16,2025-07-17,TRADED,,1133125.35,25263.05,25198.55,3,65,0.2,985258.95,2,2,2,8,37.5,7312.5,460.99,6851.51,
30,2025-07-18,2025-07-23,2025-07-24,TRADED,,1144828.42,25115.85,25209.2,3,65,0.2,979518.15,1,1,2,5,25.0,4875.0,309.98,4565.02,
31,2025-07-25,2025-07-30,2025-07-31,TRADED,,1148452.4,24954.55,24844.55,3,65,0.2,973227.45,2,2,3,9,40.55,7907.25,533.05,7374.2,
32,2025-08-01,2025-08-06,2025-08-07,TRADED,,1156649.7,24723.55,24569.6,3,65,0.2,964218.45,3,4,1,11,50.45,9837.75,592.19,9245.56,
33,2025-08-08,2025-08-13,2025-08-14,TRADED,,1166712.57,24558.75,24630.4,3,65,0.2,957791.25,2,4,2,10,38.85,7575.75,575.94,6999.81,
34,2025-08-18,2025-08-20,2025-08-21,TRADED,,1181153.77,24919.4,25047.15,3,65,0.2,971856.6,2,2,2,8,45.0,8775.0,426.32,8348.68,
35,2025-08-22,2025-08-26,2025-08-28,TRADED,,1194500.03,25052.2,24710.7,3,65,0.2,977035.8,1,1,1,4,25.9,5050.5,227.28,4823.22,
36,2025-08-29,2025-09-01,2025-09-02,SKIPPED,no_initial_entry_strikes,1199497.11,24542.1,24624.3,3,65,0.2,957141.9,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 20.42-30.65 with min OTM 306.00.
37,2025-09-03,2025-09-08,2025-09-09,TRADED,,1193619.48,24603.2,24791.2,3,65,0.2,959524.8,2,4,1,9,-6.0,-1170.0,519.88,-1689.88,
38,2025-09-10,2025-09-15,2025-09-16,TRADED,,1197676.87,24971.0,25069.7,3,65,0.2,973869.0,1,1,0,3,26.0,5070.0,161.89,4908.11,
39,2025-09-17,2025-09-22,2025-09-23,SKIPPED,no_initial_entry_strikes,1201819.25,25306.65,25200.2,3,65,0.2,986959.35,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 21.08-31.63 with min OTM 316.00.
40,2025-09-24,2025-09-29,2025-09-30,SKIPPED,no_initial_entry_strikes,1200897.56,25110.25,24677.55,3,65,0.2,979299.75,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 20.87-31.32 with min OTM 313.00.
41,2025-10-01,2025-10-06,2025-10-07,TRADED,,1203363.62,24638.1,25072.55,3,65,0.2,960885.9,1,1,1,4,25.05,4884.75,229.64,4655.11,
42,2025-10-08,2025-10-13,2025-10-14,SKIPPED,no_initial_entry_strikes,1207883.69,25104.45,25237.15,3,65,0.2,979073.55,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 20.96-31.46 with min OTM 315.00.
43,2025-10-15,2025-10-17,2025-10-20,SKIPPED,no_initial_entry_strikes,1207456.07,25220.75,25704.7,3,65,0.2,983609.25,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 21.04-31.58 with min OTM 316.00.
44,2025-10-21,2025-10-27,2025-10-28,TRADED,,1209843.54,25924.05,25974.0,3,65,0.2,1011037.95,2,3,0,7,-28.0,-5460.0,409.52,-5869.52,
45,2025-10-29,2025-11-03,2025-11-04,TRADED,,1206401.32,26009.4,25774.3,3,65,0.2,1014366.6,2,3,2,9,41.85,8160.75,490.87,7669.88,
46,2025-11-06,2025-11-10,2025-11-11,TRADED,,1214555.48,25648.4,25574.25,3,65,0.2,1000287.6,1,2,2,6,24.4,4758.0,367.11,4390.89,
47,2025-11-12,2025-11-17,2025-11-18,TRADED,,1219781.3,25818.4,26014.3,3,65,0.2,1006917.6,2,0,3,7,43.85,8550.75,384.89,8165.86,
48,2025-11-19,2025-11-24,2025-11-25,TRADED,,1236216.1,25893.5,25943.35,3,65,0.2,1009846.5,2,1,3,8,41.55,8102.25,466.48,7635.77,
