strategy,cycle_id,pos_id,leg_no,trade_date,expiry,side,sell_strike,sell_time,sell_price,buy_time,buy_price,spot_at_open,spot_at_close,tp_points,sl_price,lots,lot_size,units,gross_pnl,charges,net_pnl,open_reason,close_reason
adjust,1,1,1,2025-01-01,2025-01-02,CE,23950,2025-01-01T09:30:00+05:30,23.15,2025-01-01T15:29:00+05:30,50.3,23645.2,23758.7,25.0,0.0,3,65,195,-5294.25,57.95,-5352.2,cycle_start,cycle_end
adjust,1,1,2,2025-01-01,2025-01-02,PE,23300,2025-01-01T09:30:00+05:30,21.15,2025-01-01T14:00:00+05:30,10.1,23645.2,23801.4,25.0,0.0,3,65,195,2154.75,53.91,2100.84,cycle_start,decay_50
adjust,1,1,3,2025-01-01,2025-01-02,PE,23650,2025-01-01T14:00:00+05:30,57.4,2025-01-01T15:29:00+05:30,59.0,23801.4,23758.7,25.0,0.0,3,65,195,-312.0,68.15,-380.15,decay_50,cycle_end
expiry,1,0,1,2025-01-02,2025-01-02,CE,23850,2025-01-02T09:20:00+05:30,79.3,2025-01-02T11:09:00+05:30,162.4,23765.1,23946.2,0.0,158.6,3,65,195,-16204.5,83.15,-16287.65,expiry_entry,sl_2.00x
expiry,1,0,2,2025-01-02,2025-01-02,PE,23650,2025-01-02T09:20:00+05:30,66.5,2025-01-02T15:25:00+05:30,0.05,23765.1,24182.75,0.0,133.0,3,65,195,12957.75,65.55,12892.2,expiry_entry,scheduled_exit
adjust,2,1,1,2025-01-03,2025-01-09,CE,24650,2025-01-03T09:30:00+05:30,24.5,2025-01-03T12:29:00+05:30,12.05,24130.85,24059.1,25.0,0.0,3,65,195,2427.75,55.0,2372.75,cycle_start,decay_50
adjust,2,1,2,2025-01-03,2025-01-09,PE,23500,2025-01-03T09:30:00+05:30,26.95,2025-01-03T11:58:00+05:30,13.35,24130.85,24132.45,25.0,0.0,3,65,195,2652.0,55.79,2596.21,cycle_start,decay_50
adjust,2,1,3,2025-01-03,2025-01-09,PE,23550,2025-01-03T11:58:00+05:30,16.0,2025-01-06T09:19:00+05:30,22.3,24132.45,24034.05,25.0,0.0,3,65,195,-1228.5,53.55,-1282.05,decay_50,tp
adjust,2,1,4,2025-01-03,2025-01-09,CE,24550,2025-01-03T12:29:00+05:30,19.6,2025-01-03T15:20:00+05:30,15.55,24059.1,24004.5,25.0,0.0,3,65,195,789.75,53.95,735.8,decay_50,eod_gap
adjust,2,1,5,2025-01-03,2025-01-09,CE,24450,2025-01-03T15:20:00+05:30,25.55,2025-01-06T09:19:00+05:30,24.25,24004.5,24034.05,25.0,0.0,3,65,195,253.5,56.35,197.15,eod_gap,tp
