entry_date,status,skip_reason,expiry_date,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,exit_timestamp,atm_strike,itm_strike,itm_distance_points,sold_side,contract_name,option_entry_open,option_exit_open,exit_reason,gross_pnl,brokerage,net_pnl,remarks
2025-01-02,TRADED,,2025-01-02,2025-01-02T09:20:00+05:30,23788.2,23724.89,ABOVE_SMA,2025-01-02T09:20:00+05:30,2025-01-02T15:00:00+05:30,23800,23900,100,PE,NIFTY_23900_PE_02_JAN_25.csv,177.45,0.8,scheduled_exit,45409.00,50.00,45359.00,
2025-01-09,TRADED,,2025-01-09,2025-01-09T09:20:00+05:30,23616.55,23610.83,ABOVE_SMA,2025-01-09T09:20:00+05:30,2025-01-09T15:00:00+05:30,23600,23700,100,PE,NIFTY_23700_PE_09_JAN_25.csv,120.55,189.0,scheduled_exit,-18317.00,50.00,-18367.00,
2025-01-16,TRADED,,2025-01-16,2025-01-16T09:20:00+05:30,23335.5,23224.60,ABOVE_SMA,2025-01-16T09:20:00+05:30,2025-01-16T15:00:00+05:30,23350,23450,100,PE,NIFTY_23450_PE_16_JAN_25.csv,136.75,150.8,scheduled_exit,-4173.00,50.00,-4223.00,
2025-01-23,TRADED,,2025-01-23,2025-01-23T09:20:00+05:30,23108.1,23073.48,ABOVE_SMA,2025-01-23T09:20:00+05:30,2025-01-23T15:00:00+05:30,23100,23200,100,PE,NIFTY_23200_PE_23_JAN_25.csv,106.05,1.85,scheduled_exit,26572.00,50.00,26522.00,
2025-01-30,TRADED,,2025-01-30,2025-01-30T09:20:00+05:30,23158.2,23120.08,ABOVE_SMA,2025-01-30T09:20:00+05:30,2025-01-30T15:00:00+05:30,23150,23250,100,PE,NIFTY_23250_PE_30_JAN_25.csv,182.35,59.65,scheduled_exit,31382.00,50.00,31332.00,
2025-02-06,TRADED,,2025-02-06,2025-02-06T09:20:00+05:30,23723.7,23742.27,BELOW_SMA,2025-02-06T09:20:00+05:30,2025-02-06T15:00:00+05:30,23700,23600,100,CE,NIFTY_23600_CE_06_FEB_25.csv,125.8,2.65,scheduled_exit,31499.00,50.00,31449.00,
2025-02-13,TRADED,,2025-02-13,2025-02-13T09:20:00+05:30,23081.45,22992.84,ABOVE_SMA,2025-02-13T09:20:00+05:30,2025-02-13T15:00:00+05:30,23100,23200,100,PE,NIFTY_23200_PE_13_FEB_25.csv,144.4,144.35,scheduled_exit,-507.00,50.00,-557.00,
2025-02-20,TRADED,,2025-02-20,2025-02-20T09:20:00+05:30,22857.2,22947.38,BELOW_SMA,2025-02-20T09:20:00+05:30,2025-02-20T15:00:00+05:30,22850,22750,100,CE,NIFTY_22750_CE_20_FEB_25.csv,146.9,159.69,scheduled_exit,-3845.40,50.00,-3895.40,
2025-02-27,TRADED,,2025-02-27,2025-02-27T09:20:00+05:30,22579.4,22575.39,ABOVE_SMA,2025-02-27T09:20:00+05:30,2025-02-27T15:00:00+05:30,22600,22700,100,PE,NIFTY_22700_PE_27_FEB_25.csv,112.35,147.0,scheduled_exit,-9529.00,50.00,-9579.00,
2025-03-06,TRADED,,2025-03-06,2025-03-06T09:20:00+05:30,22433.1,22322.77,ABOVE_SMA,2025-03-06T09:20:00+05:30,2025-03-06T15:00:00+05:30,22450,22550,100,PE,NIFTY_22550_PE_06_MAR_25.csv,142.19,11.05,scheduled_exit,33576.40,50.00,33526.40,
2025-03-13,TRADED,,2025-03-13,2025-03-13T09:20:00+05:30,22485.0,22420.39,ABOVE_SMA,2025-03-13T09:20:00+05:30,2025-03-13T15:00:00+05:30,22500,22600,100,PE,NIFTY_22600_PE_13_MAR_25.csv,141.0,204.7,scheduled_exit,-17082.00,50.00,-17132.00,
2025-03-20,TRADED,,2025-03-20,2025-03-20T09:20:00+05:30,23022.3,22908.15,ABOVE_SMA,2025-03-20T09:20:00+05:30,2025-03-20T15:00:00+05:30,23000,23100,100,PE,NIFTY_23100_PE_20_MAR_25.csv,110.05,0.7,scheduled_exit,27911.00,50.00,27861.00,
2025-03-27,TRADED,,2025-03-27,2025-03-27T09:20:00+05:30,23507.8,23590.01,BELOW_SMA,2025-03-27T09:20:00+05:30,2025-03-27T15:00:00+05:30,23500,23400,100,CE,NIFTY_23400_CE_27_MAR_25.csv,152.1,202.25,scheduled_exit,-13559.00,50.00,-13609.00,
2025-04-03,TRADED,,2025-04-03,2025-04-03T09:20:00+05:30,23218.65,23277.31,BELOW_SMA,2025-04-03T09:20:00+05:30,2025-04-03T15:00:00+05:30,23200,23100,100,CE,NIFTY_23100_CE_03_APR_25.csv,132.4,149.69,scheduled_exit,-5015.40,50.00,-5065.40,
2025-04-09,TRADED,,2025-04-09,2025-04-09T09:20:00+05:30,22412.35,22511.03,BELOW_SMA,2025-04-09T09:20:00+05:30,2025-04-09T15:00:00+05:30,22400,22300,100,CE,NIFTY_22300_CE_09_APR_25.csv,185.1,99.45,scheduled_exit,21749.00,50.00,21699.00,
2025-04-17,TRADED,,2025-04-17,2025-04-17T09:20:00+05:30,23357.65,23356.10,ABOVE_SMA,2025-04-17T09:20:00+05:30,2025-04-17T15:00:00+05:30,23350,23450,100,PE,NIFTY_23450_PE_17_APR_25.csv,127.35,0.55,scheduled_exit,32448.00,50.00,32398.00,
2025-04-24,TRADED,,2025-04-24,2025-04-24T09:20:00+05:30,24272.4,24252.65,ABOVE_SMA,2025-04-24T09:20:00+05:30,2025-04-24T15:00:00+05:30,24250,24350,100,PE,NIFTY_24350_PE_24_APR_25.csv,86.85,114.3,scheduled_exit,-7657.00,50.00,-7707.00,
2025-04-30,TRADED,,2025-04-30,2025-04-30T09:20:00+05:30,24320.35,24341.90,BELOW_SMA,2025-04-30T09:20:00+05:30,2025-04-30T15:00:00+05:30,24300,24200,100,CE,NIFTY_24200_CE_30_APR_25.csv,122.7,168.1,scheduled_exit,-12324.00,50.00,-12374.00,
2025-05-08,TRADED,,2025-05-08,2025-05-08T09:20:00+05:30,24398.45,24377.48,ABOVE_SMA,2025-05-08T09:20:00+05:30,2025-05-08T15:00:00+05:30,24400,24500,100,PE,NIFTY_24500_PE_08_MAY_25.csv,125.4,222.35,scheduled_exit,-25727.00,50.00,-25777.00,
2025-05-15,TRADED,,2025-05-15,2025-05-15T09:20:00+05:30,24620.0,24668.04,BELOW_SMA,2025-05-15T09:20:00+05:30,2025-05-15T15:00:00+05:30,24600,24500,100,CE,NIFTY_24500_CE_15_MAY_25.csv,142.85,572.29,scheduled_exit,-112174.40,50.00,-112224.40,
2025-05-22,TRADED,,2025-05-22,2025-05-22T09:20:00+05:30,24644.7,24810.37,BELOW_SMA,2025-05-22T09:20:00+05:30,2025-05-22T15:00:00+05:30,24650,24550,100,CE,NIFTY_24550_CE_22_MAY_25.csv,142.85,71.0,scheduled_exit,18161.00,50.00,18111.00,
2025-05-29,TRADED,,2025-05-29,2025-05-29T09:20:00+05:30,24845.2,24777.01,ABOVE_SMA,2025-05-29T09:20:00+05:30,2025-05-29T15:00:00+05:30,24850,24950,100,PE,NIFTY_24950_PE_29_MAY_25.csv,128.44,192.0,scheduled_exit,-17045.60,50.00,-17095.60,
2025-06-05,TRADED,,2025-06-05,2025-06-05T09:20:00+05:30,24625.55,24600.23,ABOVE_SMA,2025-06-05T09:20:00+05:30,2025-06-05T15:00:00+05:30,24650,24750,100,PE,NIFTY_24750_PE_05_JUN_25.csv,155.45,11.95,scheduled_exit,36790.00,50.00,36740.00,
2025-06-12,TRADED,,2025-06-12,2025-06-12T09:20:00+05:30,25164.9,25166.57,BELOW_SMA,2025-06-12T09:20:00+05:30,2025-06-12T15:00:00+05:30,25150,25050,100,CE,NIFTY_25050_CE_12_JUN_25.csv,124.45,0.85,scheduled_exit,31616.00,50.00,31566.00,
