entry_date,status,skip_reason,expiry_date,previous_trading_day,previous_close_timestamp,previous_close,spot_entry_timestamp,spot_entry_open,gap_points,gap_percent,strategy_direction,atm_strike,ce_contract_file,ce_direction,ce_entry_open,ce_exit_close,ce_raw_points_pnl,ce_raw_gross_pnl,ce_slippage_points,ce_slippage_loss,ce_brokerage,ce_net_pnl,pe_contract_file,pe_direction,pe_entry_open,pe_exit_close,pe_raw_points_pnl,pe_raw_gross_pnl,pe_slippage_points,pe_slippage_loss,pe_brokerage,pe_net_pnl,orders_executed,raw_gross_pnl,slippage_loss,brokerage,net_pnl,remarks
2025-01-01,SKIPPED,no_previous_close,,,,,2025-01-01T09:15:00+05:30,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,No previous trading day close exists in the dataset.
2025-01-02,TRADED,,2025-01-02,2025-01-01,2025-01-01T15:29:00+05:30,23758.7,2025-01-02T09:15:00+05:30,23783.0,24.30,0.10,SHORT_STRADDLE,23800,NIFTY_23800_CE_02_JAN_25.csv,SHORT,100.0,108.3,-8.30,-2158.00,4.00,1040.00,50.00,-3248.00,NIFTY_23800_PE_02_JAN_25.csv,SHORT,105.0,110.75,-5.75,-1495.00,4.00,1040.00,50.00,-2585.00,4,-3653.00,2080.00,100.00,-5833.00,
2025-01-03,TRADED,,2025-01-09,2025-01-02,2025-01-02T15:29:00+05:30,24167.95,2025-01-03T09:15:00+05:30,24196.4,28.45,0.12,SHORT_STRADDLE,24200,NIFTY_24200_CE_09_JAN_25.csv,SHORT,176.0,159.5,16.50,4290.00,4.00,1040.00,50.00,3200.00,NIFTY_24200_PE_09_JAN_25.csv,SHORT,199.0,214.1,-15.10,-3926.00,4.00,1040.00,50.00,-5016.00,4,364.00,2080.00,100.00,-1816.00,
2025-01-06,TRADED,,2025-01-09,2025-01-03,2025-01-03T15:29:00+05:30,23990.15,2025-01-06T09:15:00+05:30,24045.8,55.65,0.23,SHORT_STRADDLE,24050,NIFTY_24050_CE_09_JAN_25.csv,SHORT,144.69,139.35,5.34,1388.40,4.00,1040.00,50.00,298.40,NIFTY_24050_PE_09_JAN_25.csv,SHORT,166.0,165.95,0.05,13.00,4.00,1040.00,50.00,-1077.00,4,1401.40,2080.00,100.00,-778.60,
2025-01-07,TRADED,,2025-01-09,2025-01-06,2025-01-06T15:29:00+05:30,23629.6,2025-01-07T09:15:00+05:30,23679.9,50.30,0.21,SHORT_STRADDLE,23700,NIFTY_23700_CE_09_JAN_25.csv,SHORT,171.1,193.15,-22.05,-5733.00,4.00,1040.00,50.00,-6823.00,NIFTY_23700_PE_09_JAN_25.csv,SHORT,207.4,149.0,58.40,15184.00,4.00,1040.00,50.00,14094.00,4,9451.00,2080.00,100.00,7271.00,
2025-01-08,TRADED,,2025-01-09,2025-01-07,2025-01-07T15:29:00+05:30,23694.6,2025-01-08T09:15:00+05:30,23746.65,52.05,0.22,SHORT_STRADDLE,23750,NIFTY_23750_CE_09_JAN_25.csv,SHORT,100.0,81.25,18.75,4875.00,4.00,1040.00,50.00,3785.00,NIFTY_23750_PE_09_JAN_25.csv,SHORT,142.65,150.8,-8.15,-2119.00,4.00,1040.00,50.00,-3209.00,4,2756.00,2080.00,100.00,576.00,
2025-01-09,TRADED,,2025-01-09,2025-01-08,2025-01-08T15:29:00+05:30,23675.2,2025-01-09T09:15:00+05:30,23674.75,-0.45,-0.00,LONG_STRADDLE,23650,NIFTY_23650_CE_09_JAN_25.csv,LONG,77.0,42.75,-34.25,-8905.00,4.00,1040.00,50.00,-9995.00,NIFTY_23650_PE_09_JAN_25.csv,LONG,49.55,63.3,13.75,3575.00,4.00,1040.00,50.00,2485.00,4,-5330.00,2080.00,100.00,-7510.00,
2025-01-10,TRADED,,2025-01-16,2025-01-09,2025-01-09T15:29:00+05:30,23557.2,2025-01-10T09:15:00+05:30,23551.9,-5.30,-0.02,LONG_STRADDLE,23550,NIFTY_23550_CE_16_JAN_25.csv,LONG,210.0,186.25,-23.75,-6175.00,4.00,1040.00,50.00,-7265.00,NIFTY_23550_PE_16_JAN_25.csv,LONG,174.95,167.45,-7.50,-1950.00,4.00,1040.00,50.00,-3040.00,4,-8125.00,2080.00,100.00,-10305.00,
2025-01-13,TRADED,,2025-01-16,2025-01-10,2025-01-10T15:29:00+05:30,23437.35,2025-01-13T09:15:00+05:30,23195.4,-241.95,-1.03,LONG_STRADDLE,23200,NIFTY_23200_CE_16_JAN_25.csv,LONG,180.0,200.15,20.15,5239.00,4.00,1040.00,50.00,4149.00,NIFTY_23200_PE_16_JAN_25.csv,LONG,115.0,139.3,24.30,6318.00,4.00,1040.00,50.00,5228.00,4,11557.00,2080.00,100.00,9377.00,
2025-01-14,TRADED,,2025-01-16,2025-01-13,2025-01-13T15:29:00+05:30,23088.7,2025-01-14T09:15:00+05:30,23165.9,77.20,0.33,SHORT_STRADDLE,23150,NIFTY_23150_CE_16_JAN_25.csv,SHORT,142.94,161.3,-18.36,-4773.60,4.00,1040.00,50.00,-5863.60,NIFTY_23150_PE_16_JAN_25.csv,SHORT,91.05,83.85,7.20,1872.00,4.00,1040.00,50.00,782.00,4,-2901.60,2080.00,100.00,-5081.60,
