cycle_no,period_start,period_end,expiry,status,skip_reason,capital_at_entry,spot_at_start,spot_at_end,lots,lot_size,margin_rate,margin_used,n_positions,n_intraday_adj,n_eod_adj,n_legs,net_points,gross_pnl,total_charges,net_pnl,remarks
1,2025-01-01,2025-01-02,2025-01-02,TRADED,,1000000.0,23649.55,24167.95,3,65,0.2,922332.45,1,2,1,5,-2.4,-468.0,325.61,-793.61,
2,2025-01-03,2025-01-09,2025-01-09,TRADED,,999206.39,24152.65,23557.2,3,65,0.2,941953.35,4,6,2,16,63.64,12409.8,879.41,11530.39,
3,2025-01-10,2025-01-16,2025-01-16,TRADED,,1010736.78,23572.05,23350.8,3,65,0.2,919309.95,4,2,2,12,60.1,11719.5,639.13,11080.37,
4,2025-01-17,2025-01-23,2025-01-23,TRADED,,1021817.15,23200.3,23216.3,3,65,0.2,904811.7,3,4,2,12,52.19,10177.05,653.35,9523.7,
5,2025-01-24,2025-01-30,2025-01-30,TRADED,,1031340.85,23236.3,23297.95,3,65,0.2,906215.7,3,4,4,14,55.41,10804.95,798.72,10006.23,
6,2025-01-31,2025-02-06,2025-02-06,TRADED,,1041347.08,23285.7,23628.05,3,65,0.2,908142.3,6,8,1,21,87.86,17132.7,1126.29,16006.41,
7,2025-02-07,2025-02-13,2025-02-13,TRADED,,1057353.49,23610.4,23019.4,3,65,0.2,920805.6,4,8,2,18,29.06,5666.7,984.17,4682.53,
8,2025-02-14,2025-02-20,2025-02-20,TRADED,,1062036.02,23113.95,22906.25,3,65,0.2,901444.05,4,4,3,15,62.49,12185.55,800.1,11385.45,
9,2025-02-21,2025-02-27,2025-02-27,TRADED,,1073421.47,22885.7,22510.85,3,65,0.2,892542.3,3,4,0,10,49.1,9574.5,542.22,9032.28,
10,2025-02-28,2025-03-06,2025-03-06,TRADED,,1082453.75,22348.45,22529.2,3,65,0.2,871589.55,3,6,2,14,10.4,2028.0,801.66,1226.34,
11,2025-03-07,2025-03-13,2025-03-13,TRADED,,1083680.09,22479.95,22383.3,3,65,0.2,876718.05,2,3,2,9,41.35,8063.25,511.54,7551.71,
12,2025-03-17,2025-03-20,2025-03-20,TRADED,,1091231.8,22480.3,23165.7,3,65,0.2,876731.7,2,4,2,10,-35.8,-6981.0,585.27,-7566.27,
13,2025-03-21,2025-03-27,2025-03-27,TRADED,,1083665.53,23156.2,23601.05,3,65,0.2,903091.8,3,5,4,15,-100.33,-19564.35,839.63,-20403.98,
14,2025-03-28,2025-04-03,2025-04-03,TRADED,,1063261.55,23590.95,23241.6,3,65,0.2,920047.05,3,4,2,12,51.32,10007.4,633.73,9373.67,
15,2025-04-04,2025-04-09,2025-04-09,TRADED,,1072635.22,23124.2,22420.4,3,65,0.2,901843.8,4,6,1,15,-297.5,-58012.5,813.25,-58825.75,
16,2025-04-11,2025-04-17,2025-04-17,TRADED,,1013809.47,22715.95,23837.75,3,65,0.2,885922.05,4,4,1,13,77.35,15083.25,679.54,14403.71,
17,2025-04-21,2025-04-24,2025-04-24,TRADED,,1028213.18,23983.6,24245.05,3,65,0.2,935360.4,3,3,1,10,50.35,9818.25,529.08,9289.17,
18,2025-04-25,2025-04-30,2025-04-30,TRADED,,1037502.35,24342.3,24246.25,3,65,0.2,949349.7,2,2,0,6,-26.58,-5183.1,343.2,-5526.3,
19,2025-05-02,2025-05-08,2025-05-08,TRADED,,1031976.05,24431.25,24154.1,3,65,0.2,952818.75,3,3,2,11,50.46,9839.7,591.3,9248.4,
20,2025-05-09,2025-05-15,2025-05-15,TRADED,,1041224.45,24125.25,25035.3,3,65,0.2,940884.75,8,7,1,24,-170.29,-33206.55,1273.28,-34479.83,
21,2025-05-16,2025-05-22,2025-05-22,TRADED,,1006744.62,24999.05,24637.0,3,65,0.2,974962.95,4,2,4,14,-1.2,-234.0,789.59,-1023.59,
22,2025-05-23,2025-05-29,2025-05-29,TRADED,,1005721.03,24650.35,24880.85,3,65,0.2,961363.65,3,2,4,12,59.27,11557.65,711.89,10845.76,
23,2025-05-30,2025-06-05,2025-06-05,TRADED,,1016566.79,24816.35,24761.1,3,65,0.2,967837.65,3,2,3,11,51.95,10130.25,624.76,9505.49,
24,2025-06-06,2025-06-12,2025-06-12,TRADED,,1026072.28,24734.0,24856.0,3,65,0.2,964626.0,3,2,1,9,51.05,9954.75,507.81,9446.94,
25,2025-06-13,2025-06-19,2025-06-19,TRADED,,1035519.22,24539.9,24744.7,3,65,0.2,957056.1,4,3,2,13,75.35,14693.25,688.83,14004.42,
26,2025-06-20,2025-06-26,2025-06-26,TRADED,,1049523.64,24864.85,25530.4,3,65,0.2,969729.15,3,2,4,12,-47.35,-9233.25,697.3,-9930.55,
27,2025-06-27,2025-07-03,2025-07-03,TRADED,,1039593.09,25616.2,25397.4,3,65,0.2,999031.8,3,1,1,8,50.55,9857.25,426.47,9430.78,
28,2025-07-04,2025-07-10,2025-07-10,TRADED,,1049023.87,25436.9,25348.15,3,65,0.2,992039.1,3,1,1,8,50.8,9906.0,423.73,9482.27,
29,2025-07-11,2025-07-17,2025-07-17,TRADED,,1058506.14,25263.05,25109.5,3,65,0.2,985258.95,2,2,2,8,37.5,7312.5,460.99,6851.51,
30,2025-07-18,2025-07-24,2025-07-24,TRADED,,1065357.65,25115.85,25051.9,3,65,0.2,979518.15,1,1,2,5,25.0,4875.0,309.98,4565.02,
31,2025-07-25,2025-07-31,2025-07-31,TRADED,,1069922.67,24954.55,24765.6,3,65,0.2,973227.45,2,2,3,9,40.55,7907.25,533.05,7374.2,
32,2025-08-01,2025-08-07,2025-08-07,TRADED,,1077296.87,24723.55,24626.65,3,65,0.2,964218.45,3,4,1,11,50.45,9837.75,592.19,9245.56,
33,2025-08-08,2025-08-14,2025-08-14,TRADED,,1086542.43,24558.75,24616.05,3,65,0.2,957791.25,2,4,2,10,38.85,7575.75,575.94,6999.81,
34,2025-08-18,2025-08-21,2025-08-21,TRADED,,1093542.24,24919.4,25076.95,3,65,0.2,971856.6,2,2,2,8,45.0,8775.0,426.32,8348.68,
35,2025-08-22,2025-08-28,2025-08-28,TRADED,,1101890.92,25052.2,24533.1,3,65,0.2,977035.8,1,1,1,4,25.9,5050.5,227.28,4823.22,
36,2025-08-29,2025-09-02,2025-09-02,SKIPPED,no_initial_entry_strikes,1106714.14,24542.1,24575.0,3,65,0.2,957141.9,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 20.42-30.65 with min OTM 306.00.
37,2025-09-03,2025-09-09,2025-09-09,TRADED,,1106714.14,24603.2,24878.8,3,65,0.2,959524.8,2,4,1,9,-6.0,-1170.0,519.88,-1689.88,
38,2025-09-10,2025-09-16,2025-09-16,TRADED,,1105024.26,24971.0,25254.45,3,65,0.2,973869.0,1,1,0,3,26.0,5070.0,161.89,4908.11,
39,2025-09-17,2025-09-23,2025-09-23,SKIPPED,no_initial_entry_strikes,1109932.37,25306.65,25185.8,3,65,0.2,986959.35,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 21.08-31.63 with min OTM 316.00.
40,2025-09-24,2025-09-30,2025-09-30,SKIPPED,no_initial_entry_strikes,1109932.37,25110.25,24633.6,3,65,0.2,979299.75,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 20.87-31.32 with min OTM 313.00.
41,2025-10-01,2025-10-07,2025-10-07,TRADED,,1109932.37,24638.1,25112.8,3,65,0.2,960885.9,1,1,1,4,25.05,4884.75,229.64,4655.11,
42,2025-10-08,2025-10-14,2025-10-14,SKIPPED,no_initial_entry_strikes,1114587.48,25104.45,25123.35,3,65,0.2,979073.55,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 20.96-31.46 with min OTM 315.00.
43,2025-10-15,2025-10-20,2025-10-20,SKIPPED,no_initial_entry_strikes,1114587.48,25220.75,25850.7,3,65,0.2,983609.25,0,0,0,0,0.0,0.0,0.0,0.0,No initial CE/PE strikes found in premium band 21.04-31.58 with min OTM 316.00.
44,2025-10-21,2025-10-28,2025-10-28,TRADED,,1114587.48,25924.05,25965.4,3,65,0.2,1011037.95,2,3,0,7,-28.0,-5460.0,409.52,-5869.52,
45,2025-10-29,2025-11-04,2025-11-04,TRADED,,1108717.96,26009.4,25586.25,3,65,0.2,1014366.6,2,3,2,9,41.85,8160.75,490.87,7669.88,
46,2025-11-06,2025-11-11,2025-11-11,TRADED,,1116387.84,25648.4,25705.55,3,65,0.2,1000287.6,1,2,2,6,24.4,4758.0,367.11,4390.89,
47,2025-11-12,2025-11-18,2025-11-18,TRADED,,1120778.73,25818.4,25894.7,3,65,0.2,1006917.6,2,0,3,7,43.85,8550.75,384.89,8165.86,
48,2025-11-19,2025-11-25,2025-11-25,TRADED,,1128944.59,25893.5,25860.3,3,65,0.2,1009846.5,2,1,3,8,41.55,8102.25,466.48,7635.77,
49,2025-11-26,2025-12-02,2025-12-02,TRADED,,1136580.36,25948.6,26057.0,3,65,0.2,1011995.4,2,1,1,6,1.1,214.5,379.82,-165.32,
50,2025-12-03,2025-12-09,2025-12-09,TRADED,,1136415.04,26008.8,25841.75,3,65,0.2,1014343.2,2,0,2,6,37.9,7390.5,323.54,7066.96,
