entry_date,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,exit_timestamp,atm_strike,ce_strike,ce_contract_file,ce_entry_timestamp,ce_entry_open,ce_stop_price,ce_target_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_brokerage,ce_net_pnl,pe_strike,pe_contract_file,pe_entry_timestamp,pe_entry_open,pe_stop_price,pe_target_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_brokerage,pe_net_pnl,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-01T09:20:00+05:30,23673.1,2025-01-01T15:20:00+05:30,23650,23950,NIFTY_23950_CE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,27.3,54.60,10.00,2025-01-01T10:50:00+05:30,54.9,gap_stop_loss,-29.60,-7696.00,50.00,-7746.00,23350,NIFTY_23350_PE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,27.75,55.50,10.00,2025-01-01T15:20:00+05:30,13.8,day_close,11.95,3107.00,50.00,3057.00,4,-4589.00,100.00,-4689.00,Stop 54.60 crossed by candle open 54.9.
2025-01-02,TRADED,,2025-01-02,2025-01-02T09:20:00+05:30,23788.2,2025-01-02T15:20:00+05:30,23800,24050,NIFTY_24050_CE_02_JAN_25.csv,2025-01-02T09:20:00+05:30,23.15,46.30,10.00,2025-01-02T10:49:00+05:30,46.30,stop_loss,-25.15,-6539.00,50.00,-6589.00,23500,NIFTY_23500_PE_02_JAN_25.csv,2025-01-02T09:20:00+05:30,26.6,53.20,10.00,2025-01-02T10:47:00+05:30,10.00,target,14.60,3796.00,50.00,3746.00,4,-2743.00,100.00,-2843.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T09:20:00+05:30,24176.05,2025-01-03T15:20:00+05:30,24200,24700,NIFTY_24700_CE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,22.35,44.70,10.00,2025-01-03T12:25:00+05:30,10.0,gap_target,10.35,2691.00,50.00,2641.00,23500,NIFTY_23500_PE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,25.4,50.80,10.00,2025-01-03T15:20:00+05:30,21.7,day_close,1.70,442.00,50.00,392.00,4,3133.00,100.00,3033.00,Target 10.00 crossed by candle open 10.0.
2025-01-06,TRADED,,2025-01-09,2025-01-06T09:20:00+05:30,24031.8,2025-01-06T15:20:00+05:30,24050,24450,NIFTY_24450_CE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,23.95,47.90,10.00,2025-01-06T14:37:00+05:30,10.00,target,11.95,3107.00,50.00,3057.00,23550,NIFTY_23550_PE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,22.6,45.20,10.00,2025-01-06T09:37:00+05:30,45.20,stop_loss,-24.60,-6396.00,50.00,-6446.00,4,-3289.00,100.00,-3389.00,
2025-01-07,TRADED,,2025-01-09,2025-01-07T09:20:00+05:30,23754.6,2025-01-07T15:20:00+05:30,23750,24250,NIFTY_24250_CE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,23.6,47.20,10.00,2025-01-07T10:09:00+05:30,10.00,target,11.60,3016.00,50.00,2966.00,23150,NIFTY_23150_PE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,24.4,48.80,10.00,2025-01-07T12:49:00+05:30,10.00,target,12.40,3224.00,50.00,3174.00,4,6240.00,100.00,6140.00,
2025-01-08,TRADED,,2025-01-09,2025-01-08T09:20:00+05:30,23679.5,2025-01-08T15:20:00+05:30,23700,23900,NIFTY_23900_CE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,27.35,54.70,10.00,2025-01-08T10:59:00+05:30,10.00,target,15.35,3991.00,50.00,3941.00,23400,NIFTY_23400_PE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,24.35,48.70,10.00,2025-01-08T14:13:00+05:30,10.00,target,12.35,3211.00,50.00,3161.00,4,7202.00,100.00,7102.00,
2025-01-09,TRADED,,2025-01-09,2025-01-09T09:20:00+05:30,23616.55,2025-01-09T15:20:00+05:30,23600,23700,NIFTY_23700_CE_09_JAN_25.csv,2025-01-09T09:20:00+05:30,24.35,48.70,10.00,2025-01-09T10:47:00+05:30,10.00,target,12.35,3211.00,50.00,3161.00,23500,NIFTY_23500_PE_09_JAN_25.csv,2025-01-09T09:20:00+05:30,22.0,44.00,10.00,2025-01-09T10:11:00+05:30,10.00,target,10.00,2600.00,50.00,2550.00,4,5811.00,100.00,5711.00,
2025-01-10,TRADED,,2025-01-16,2025-01-10T09:20:00+05:30,23561.2,2025-01-10T15:20:00+05:30,23550,24050,NIFTY_24050_CE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,26.05,52.10,10.00,2025-01-10T15:20:00+05:30,14.3,day_close,9.75,2535.00,50.00,2485.00,22950,NIFTY_22950_PE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,24.55,49.10,10.00,2025-01-10T09:49:00+05:30,49.10,stop_loss,-26.55,-6903.00,50.00,-6953.00,4,-4368.00,100.00,-4468.00,
2025-01-13,TRADED,,2025-01-16,2025-01-13T09:20:00+05:30,23242.85,2025-01-13T15:20:00+05:30,23250,23750,NIFTY_23750_CE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,24.95,49.90,10.00,2025-01-13T14:43:00+05:30,10.00,target,12.95,3367.00,50.00,3317.00,22600,NIFTY_22600_PE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,24.25,48.50,10.00,2025-01-13T15:20:00+05:30,19.85,day_close,2.40,624.00,50.00,574.00,4,3991.00,100.00,3891.00,
2025-01-14,TRADED,,2025-01-16,2025-01-14T09:20:00+05:30,23211.35,2025-01-14T15:20:00+05:30,23200,23550,NIFTY_23550_CE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,23.0,46.00,10.00,2025-01-14T14:38:00+05:30,10.00,target,11.00,2860.00,50.00,2810.00,22850,NIFTY_22850_PE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,23.4,46.80,10.00,2025-01-14T15:20:00+05:30,13.0,day_close,8.40,2184.00,50.00,2134.00,4,5044.00,100.00,4944.00,
2025-01-15,TRADED,,2025-01-16,2025-01-15T09:20:00+05:30,23225.15,2025-01-15T15:20:00+05:30,23250,23400,NIFTY_23400_CE_16_JAN_25.csv,2025-01-15T09:20:00+05:30,25.05,50.10,10.00,2025-01-15T13:19:00+05:30,10.00,target,13.05,3393.00,50.00,3343.00,23050,NIFTY_23050_PE_16_JAN_25.csv,2025-01-15T09:20:00+05:30,25.85,51.70,10.00,2025-01-15T15:20:00+05:30,17.35,day_close,6.50,1690.00,50.00,1640.00,4,5083.00,100.00,4983.00,
2025-01-16,SKIPPED,no_valid_strangle_in_premium_band,2025-01-16,2025-01-16T09:20:00+05:30,23335.5,2025-01-16T15:20:00+05:30,23350,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,No OTM CE contract satisfied the sell premium band 20.00-30.00 at 2025-01-16T09:20:00+05:30.
2025-01-17,TRADED,,2025-01-23,2025-01-17T09:20:00+05:30,23178.2,2025-01-17T15:20:00+05:30,23200,23750,NIFTY_23750_CE_23_JAN_25.csv,2025-01-17T09:20:00+05:30,23.9,47.80,10.00,2025-01-17T15:20:00+05:30,15.55,day_close,6.35,1651.00,50.00,1601.00,22550,NIFTY_22550_PE_23_JAN_25.csv,2025-01-17T09:20:00+05:30,24.35,48.70,10.00,2025-01-17T15:20:00+05:30,16.1,day_close,6.25,1625.00,50.00,1575.00,4,3276.00,100.00,3176.00,
2025-01-20,TRADED,,2025-01-23,2025-01-20T09:20:00+05:30,23226.95,2025-01-20T15:20:00+05:30,23250,23700,NIFTY_23700_CE_23_JAN_25.csv,2025-01-20T09:20:00+05:30,22.65,45.30,10.00,2025-01-20T15:20:00+05:30,29.2,day_close,-8.55,-2223.00,50.00,-2273.00,22700,NIFTY_22700_PE_23_JAN_25.csv,2025-01-20T09:20:00+05:30,25.25,50.50,10.00,2025-01-20T15:20:00+05:30,12.2,day_close,11.05,2873.00,50.00,2823.00,4,650.00,100.00,550.00,
2025-01-21,TRADED,,2025-01-23,2025-01-21T09:20:00+05:30,23395.55,2025-01-21T15:20:00+05:30,23400,23700,NIFTY_23700_CE_23_JAN_25.csv,2025-01-21T09:20:00+05:30,26.7,53.40,10.00,2025-01-21T14:37:00+05:30,10.00,target,14.70,3822.00,50.00,3772.00,23000,NIFTY_23000_PE_23_JAN_25.csv,2025-01-21T09:20:00+05:30,25.05,50.10,10.00,2025-01-21T09:57:00+05:30,50.10,stop_loss,-27.05,-7033.00,50.00,-7083.00,4,-3211.00,100.00,-3311.00,
2025-01-22,TRADED,,2025-01-23,2025-01-22T09:20:00+05:30,23108.25,2025-01-22T15:20:00+05:30,23100,23400,NIFTY_23400_CE_23_JAN_25.csv,2025-01-22T09:20:00+05:30,25.2,50.40,10.00,2025-01-22T11:18:00+05:30,10.00,target,13.20,3432.00,50.00,3382.00,22750,NIFTY_22750_PE_23_JAN_25.csv,2025-01-22T09:20:00+05:30,22.0,44.00,10.00,2025-01-22T10:48:00+05:30,10.00,target,10.00,2600.00,50.00,2550.00,4,6032.00,100.00,5932.00,
2025-01-23,TRADED,,2025-01-23,2025-01-23T09:20:00+05:30,23108.1,2025-01-23T15:20:00+05:30,23100,23200,NIFTY_23200_CE_23_JAN_25.csv,2025-01-23T09:20:00+05:30,24.1,48.20,10.00,2025-01-23T09:38:00+05:30,48.20,stop_loss,-26.10,-6786.00,50.00,-6836.00,23050,NIFTY_23050_PE_23_JAN_25.csv,2025-01-23T09:20:00+05:30,25.05,50.10,10.00,2025-01-23T09:49:00+05:30,10.00,target,13.05,3393.00,50.00,3343.00,4,-3393.00,100.00,-3493.00,
