index,entry_date,day_of_week,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,lot_size,lots,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
NIFTY,2025-09-01,Monday,TRADED,,2025-09-02,2025-09-01T09:20:00+05:30,24522.55,24500,75,4,300,NIFTY_24500_CE_02_SEP_25.csv,102.00,122.40,2025-09-01T12:39:00+05:30,122.40,sl,-21.40,-6420.00,NIFTY_24500_PE_02_SEP_25.csv,47.20,56.64,2025-09-01T09:21:00+05:30,56.64,sl,-10.44,-3132.00,-9552.00,100.00,-9652.00,
NIFTY,2025-09-02,Tuesday,TRADED,,2025-09-02,2025-09-02T09:20:00+05:30,24662.05,24650,75,4,300,NIFTY_24650_CE_02_SEP_25.csv,51.75,62.10,2025-09-02T09:40:00+05:30,62.10,sl,-11.35,-3405.00,NIFTY_24650_PE_02_SEP_25.csv,32.70,39.24,2025-09-02T09:20:00+05:30,39.24,sl,-7.54,-2262.00,-5667.00,100.00,-5767.00,
SENSEX,2025-09-03,Wednesday,TRADED,,2025-09-04,2025-09-03T09:20:00+05:30,80037.48,80000,10,10,100,SENSEX_80000_CE_04_SEP_25.csv,293.10,351.72,2025-09-03T09:26:00+05:30,351.72,sl,-59.62,-5962.00,SENSEX_80000_PE_04_SEP_25.csv,200.70,240.84,2025-09-03T15:20:00+05:30,36.50,day_close,163.20,16320.00,10358.00,100.00,10258.00,
SENSEX,2025-09-04,Thursday,TRADED,,2025-09-04,2025-09-04T09:20:00+05:30,81104.43,81100,10,10,100,SENSEX_81100_CE_04_SEP_25.csv,190.45,228.54,2025-09-04T09:28:00+05:30,228.54,sl,-39.09,-3909.00,SENSEX_81100_PE_04_SEP_25.csv,150.60,180.72,2025-09-04T09:20:00+05:30,180.72,sl,-31.12,-3112.00,-7021.00,100.00,-7121.00,
NIFTY,2025-09-05,Friday,TRADED,,2025-09-09,2025-09-05T09:20:00+05:30,24826.25,24850,75,4,300,NIFTY_24850_CE_09_SEP_25.csv,82.50,99.00,2025-09-05T15:20:00+05:30,53.25,day_close,28.25,8475.00,NIFTY_24850_PE_09_SEP_25.csv,90.30,108.36,2025-09-05T09:23:00+05:30,108.36,sl,-19.06,-5718.00,2757.00,100.00,2657.00,
NIFTY,2025-09-08,Monday,TRADED,,2025-09-09,2025-09-08T09:20:00+05:30,24788.95,24800,75,4,300,NIFTY_24800_CE_09_SEP_25.csv,69.60,83.52,2025-09-08T09:31:00+05:30,83.52,sl,-14.92,-4476.00,NIFTY_24800_PE_09_SEP_25.csv,69.25,83.10,2025-09-08T15:20:00+05:30,51.00,day_close,17.25,5175.00,699.00,100.00,599.00,
NIFTY,2025-09-09,Tuesday,TRADED,,2025-09-09,2025-09-09T09:20:00+05:30,24851.85,24850,75,4,300,NIFTY_24850_CE_09_SEP_25.csv,48.80,58.56,2025-09-09T09:21:00+05:30,58.56,sl,-10.76,-3228.00,NIFTY_24850_PE_09_SEP_25.csv,44.30,53.16,2025-09-09T10:12:00+05:30,53.16,sl,-9.86,-2958.00,-6186.00,100.00,-6286.00,
SENSEX,2025-09-10,Wednesday,TRADED,,2025-09-11,2025-09-10T09:20:00+05:30,81409.74,81400,10,10,100,SENSEX_81400_CE_11_SEP_25.csv,225.85,271.02,2025-09-10T09:34:00+05:30,271.02,sl,-46.17,-4617.00,SENSEX_81400_PE_11_SEP_25.csv,215.65,258.78,2025-09-10T15:20:00+05:30,127.20,day_close,87.45,8745.00,4128.00,100.00,4028.00,
SENSEX,2025-09-11,Thursday,TRADED,,2025-09-11,2025-09-11T09:20:00+05:30,81527.13,81500,10,10,100,SENSEX_81500_CE_11_SEP_25.csv,171.75,206.10,2025-09-11T15:20:00+05:30,51.30,day_close,119.45,11945.00,SENSEX_81500_PE_11_SEP_25.csv,133.30,159.96,2025-09-11T10:08:00+05:30,159.96,sl,-27.66,-2766.00,9179.00,100.00,9079.00,
NIFTY,2025-09-12,Friday,TRADED,,2025-09-16,2025-09-12T09:20:00+05:30,25055.35,25050,75,4,300,NIFTY_25050_CE_16_SEP_25.csv,102.20,122.64,2025-09-12T10:42:00+05:30,122.64,sl,-21.44,-6432.00,NIFTY_25050_PE_16_SEP_25.csv,66.40,79.68,2025-09-12T15:20:00+05:30,41.75,day_close,23.65,7095.00,663.00,100.00,563.00,
