run_number,seed,entry_date,day_of_week,expiry_date,atm_strike,qty,morning_choice,morning_open,morning_sl_price,morning_target_price,morning_exit_ts,morning_exit_price,morning_exit_reason,morning_points_pnl,morning_gross_pnl,morning_net_pnl,second_trade,second_choice,second_open,second_exit_ts,second_exit_price,second_exit_reason,second_points_pnl,second_gross_pnl,second_net_pnl,total_net_pnl
1,42,2020-01-01,Wednesday,2020-01-02,12200,300,CE,41.60,49.92,20.80,2020-01-01T14:15:00+05:30,20.80,target,20.80,5940.00,5890.00,False,,,,,,,,,5890.00
1,42,2020-01-02,Thursday,2020-01-02,12200,300,CE,33.55,40.26,16.77,2020-01-02T10:33:00+05:30,40.26,sl,-6.71,-2313.00,-2363.00,True,PE,2.55,2020-01-02T12:23:00+05:30,1.27,target,1.27,82.50,32.50,-2330.50
1,42,2020-01-03,Friday,2020-01-09,12250,300,PE,65.25,78.30,32.62,2020-01-03T09:45:00+05:30,78.30,sl,-13.05,-4215.00,-4265.00,True,CE,46.85,2020-01-03T15:20:00+05:30,49.00,day_close,-2.15,-945.00,-995.00,-5260.00
1,42,2020-01-06,Monday,2020-01-09,12100,300,CE,69.40,83.28,34.70,2020-01-06T13:57:00+05:30,34.70,target,34.70,10110.00,10060.00,False,,,,,,,,,10060.00
1,42,2020-01-07,Tuesday,2020-01-09,12150,300,CE,40.25,48.30,20.12,2020-01-07T09:45:00+05:30,48.30,sl,-8.05,-2715.00,-2765.00,True,PE,103.45,2020-01-07T13:06:00+05:30,124.14,sl,-20.69,-6507.00,-6557.00,-9322.00
1,42,2020-01-08,Wednesday,2020-01-09,12000,300,CE,47.45,56.94,23.73,2020-01-08T09:41:00+05:30,56.94,sl,-9.49,-3147.00,-3197.00,True,PE,73.55,2020-01-08T14:12:00+05:30,36.77,target,36.77,10732.50,10682.50,7485.50
1,42,2020-01-09,Thursday,2020-01-09,12150,300,CE,28.20,33.84,14.10,2020-01-09T10:34:00+05:30,33.84,sl,-5.64,-1992.00,-2042.00,True,PE,5.90,2020-01-09T13:01:00+05:30,2.95,target,2.95,585.00,535.00,-1507.00
1,42,2020-01-10,Friday,2020-01-16,12250,300,CE,72.35,86.82,36.17,2020-01-10T10:27:00+05:30,86.82,sl,-14.47,-4641.00,-4691.00,True,PE,56.45,2020-01-10T13:41:00+05:30,67.74,sl,-11.29,-3687.00,-3737.00,-8428.00
1,42,2020-01-13,Monday,2020-01-16,12350,300,PE,76.70,92.04,38.35,2020-01-13T14:15:00+05:30,92.04,sl,-15.34,-4902.00,-4952.00,False,,,,,,,,,-4952.00
1,42,2020-01-14,Tuesday,2020-01-16,12350,300,CE,35.25,42.30,17.62,2020-01-14T09:34:00+05:30,42.30,sl,-7.05,-2415.00,-2465.00,True,PE,64.50,2020-01-14T15:20:00+05:30,43.50,day_close,21.00,6000.00,5950.00,3485.00
