entry_date,status,skip_reason,active_expiry,spot_atm_timestamp,spot_atm_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,lot_size,num_lots,total_qty,net_entry_credit_points,gross_pnl,brokerage,net_pnl,remarks
2022-05-05,TRADED,,2022-05-05,2022-05-05T09:15:00+05:30,16854.8,16850,17100,2022-05-05T09:20:00+05:30,3.7,2022-05-05T15:20:00+05:30,0.1,16600,2022-05-05T09:20:00+05:30,7.65,2022-05-05T15:20:00+05:30,0.05,17300,2022-05-05T09:20:00+05:30,1.55,2022-05-05T15:20:00+05:30,0.1,16400,2022-05-05T09:20:00+05:30,2.3,2022-05-05T15:20:00+05:30,0.05,50,6,300,7.50,-150.00,200.00,-350.00,
2022-05-06,TRADED,,2022-05-12,2022-05-06T09:15:00+05:30,16415.6,16400,16650,2022-05-06T09:20:00+05:30,88.95,2022-05-06T15:20:00+05:30,76.6,16150,2022-05-06T09:20:00+05:30,99.55,2022-05-06T15:20:00+05:30,86.35,16850,2022-05-06T09:20:00+05:30,38.8,2022-05-06T15:20:00+05:30,29.8,15950,2022-05-06T09:20:00+05:30,58.25,2022-05-06T15:20:00+05:30,48.5,50,6,300,91.45,-360.00,200.00,-560.00,
2022-05-09,TRADED,,2022-05-12,2022-05-09T09:15:00+05:30,16227.7,16250,16500,2022-05-09T09:20:00+05:30,49.1,2022-05-09T15:20:00+05:30,61.9,16000,2022-05-09T09:20:00+05:30,96.7,2022-05-09T15:20:00+05:30,50.3,16700,2022-05-09T09:20:00+05:30,17.55,2022-05-09T15:20:00+05:30,20.35,15800,2022-05-09T09:20:00+05:30,49.95,2022-05-09T15:20:00+05:30,22.8,50,6,300,78.30,375.00,200.00,175.00,
2022-05-10,TRADED,,2022-05-12,2022-05-10T09:15:00+05:30,16248.9,16250,16500,2022-05-10T09:20:00+05:30,67.7,2022-05-10T15:20:00+05:30,30.1,16000,2022-05-10T09:20:00+05:30,37.05,2022-05-10T15:20:00+05:30,38.3,16700,2022-05-10T09:20:00+05:30,22.25,2022-05-10T15:20:00+05:30,7.45,15800,2022-05-10T09:20:00+05:30,15.7,2022-05-10T15:20:00+05:30,13.1,50,6,300,66.80,3285.00,200.00,3085.00,
2022-05-11,TRADED,,2022-05-12,2022-05-11T09:15:00+05:30,16270.0,16250,16500,2022-05-11T09:20:00+05:30,27.3,2022-05-11T15:20:00+05:30,4.65,16000,2022-05-11T09:20:00+05:30,23.55,2022-05-11T15:20:00+05:30,28.55,16700,2022-05-11T09:20:00+05:30,5.45,2022-05-11T15:20:00+05:30,1.95,15800,2022-05-11T09:20:00+05:30,7.0,2022-05-11T15:20:00+05:30,6.55,50,6,300,38.40,1710.00,200.00,1510.00,
2022-05-12,TRADED,,2022-05-12,2022-05-12T09:15:00+05:30,16021.1,16000,16250,2022-05-12T09:20:00+05:30,4.15,2022-05-12T15:20:00+05:30,0.1,15750,2022-05-12T09:20:00+05:30,10.65,2022-05-12T15:20:00+05:30,0.1,16450,2022-05-12T09:20:00+05:30,1.65,2022-05-12T15:20:00+05:30,0.1,15550,2022-05-12T09:20:00+05:30,1.7,2022-05-12T15:20:00+05:30,0.05,50,6,300,11.45,1020.00,200.00,820.00,
2022-05-13,TRADED,,2022-05-19,2022-05-13T09:15:00+05:30,15977.0,16000,16250,2022-05-13T09:20:00+05:30,68.9,2022-05-13T15:20:00+05:30,27.7,15750,2022-05-13T09:20:00+05:30,119.65,2022-05-13T15:20:00+05:30,159.55,16450,2022-05-13T09:20:00+05:30,29.6,2022-05-13T15:20:00+05:30,10.6,15550,2022-05-13T09:20:00+05:30,68.7,2022-05-13T15:20:00+05:30,91.5,50,6,300,90.25,-870.00,200.00,-1070.00,
2022-05-16,TRADED,,2022-05-19,2022-05-16T09:15:00+05:30,15845.1,15850,16100,2022-05-16T09:20:00+05:30,54.85,2022-05-16T15:20:00+05:30,49.85,15600,2022-05-16T09:20:00+05:30,102.45,2022-05-16T15:20:00+05:30,63.3,16300,2022-05-16T09:20:00+05:30,21.15,2022-05-16T15:20:00+05:30,16.15,15400,2022-05-16T09:20:00+05:30,54.95,2022-05-16T15:20:00+05:30,29.7,50,6,300,81.20,1770.00,200.00,1570.00,
2022-05-17,TRADED,,2022-05-19,2022-05-17T09:15:00+05:30,15912.6,15900,16150,2022-05-17T09:20:00+05:30,50.65,2022-05-17T15:20:00+05:30,187.1,15650,2022-05-17T09:20:00+05:30,48.7,2022-05-17T15:20:00+05:30,10.3,16350,2022-05-17T09:20:00+05:30,14.45,2022-05-17T15:20:00+05:30,71.15,15450,2022-05-17T09:20:00+05:30,22.05,2022-05-17T15:20:00+05:30,5.6,50,6,300,62.85,-19740.00,200.00,-19940.00,
2022-05-18,TRADED,,2022-05-19,2022-05-18T09:15:00+05:30,16318.2,16300,16550,2022-05-18T09:20:00+05:30,26.6,2022-05-18T15:20:00+05:30,4.25,16050,2022-05-18T09:20:00+05:30,28.7,2022-05-18T15:20:00+05:30,22.6,16750,2022-05-18T09:20:00+05:30,4.95,2022-05-18T15:20:00+05:30,1.9,15850,2022-05-18T09:20:00+05:30,12.3,2022-05-18T15:20:00+05:30,6.55,50,6,300,38.05,3495.00,200.00,3295.00,
