entry_date,event_timestamp,event_sequence,event_group,order_action,side,strike,price,higher_side_before,higher_value_before,lower_side_before,lower_value_before,target_low,target_high,target_value,active_ce_value_after,active_pe_value_after,remarks
2025-01-01,2025-01-01T09:30:00+05:30,1,INITIAL_ENTRY,SELL,CE,23650,116.95,,,,,,,,116.95,0.00,Initial ATM CE short entry.
2025-01-01,2025-01-01T09:30:00+05:30,1,INITIAL_ENTRY,SELL,PE,23650,114.35,,,,,,,,116.95,114.35,Initial ATM PE short entry.
2025-01-01,2025-01-01T10:50:00+05:30,2,FIRST_ADD,SELL,PE,23500,45.5,CE,198.45,PE,88.00,39.69,59.53,49.61,198.45,133.50,Added OTM PE short closest to the first-add target.
2025-01-01,2025-01-01T12:22:00+05:30,3,EXCEPTION_EXIT,BUY,CE,23650,244.0,CE,244.00,PE,119.00,,,,0.00,119.00,Forced exit after no_valid_rebalance_candidate: No OTM PE contract satisfied the value band 158.60-207.40 at 2025-01-01T12:22:00+05:30 while also having exact final exit timestamp 2025-01-01T15:20:00+05:30.
2025-01-01,2025-01-01T12:22:00+05:30,3,EXCEPTION_EXIT,BUY,PE,23650,77.5,CE,244.00,PE,119.00,,,,0.00,41.50,Forced exit after no_valid_rebalance_candidate: No OTM PE contract satisfied the value band 158.60-207.40 at 2025-01-01T12:22:00+05:30 while also having exact final exit timestamp 2025-01-01T15:20:00+05:30.
2025-01-01,2025-01-01T12:22:00+05:30,3,EXCEPTION_EXIT,BUY,PE,23500,41.5,CE,244.00,PE,119.00,,,,0.00,0.00,Forced exit after no_valid_rebalance_candidate: No OTM PE contract satisfied the value band 158.60-207.40 at 2025-01-01T12:22:00+05:30 while also having exact final exit timestamp 2025-01-01T15:20:00+05:30.
2025-01-02,2025-01-02T09:30:00+05:30,1,INITIAL_ENTRY,SELL,CE,23750,120.35,,,,,,,,120.35,0.00,Initial ATM CE short entry.
2025-01-02,2025-01-02T09:30:00+05:30,1,INITIAL_ENTRY,SELL,PE,23750,108.5,,,,,,,,120.35,108.50,Initial ATM PE short entry.
2025-01-02,2025-01-02T09:38:00+05:30,2,FIRST_ADD,SELL,PE,23600,35.29,CE,153.85,PE,74.84,30.77,46.15,38.46,153.85,110.13,Added OTM PE short closest to the first-add target.
2025-01-02,2025-01-02T09:56:00+05:30,3,EXCEPTION_EXIT,BUY,CE,23750,171.75,CE,171.75,PE,79.25,,,,0.00,79.25,Forced exit after no_valid_rebalance_candidate: No OTM PE contract satisfied the value band 111.64-145.99 at 2025-01-02T09:56:00+05:30 while also having exact final exit timestamp 2025-01-02T15:20:00+05:30.
2025-01-02,2025-01-02T09:56:00+05:30,3,EXCEPTION_EXIT,BUY,PE,23750,54.6,CE,171.75,PE,79.25,,,,0.00,24.65,Forced exit after no_valid_rebalance_candidate: No OTM PE contract satisfied the value band 111.64-145.99 at 2025-01-02T09:56:00+05:30 while also having exact final exit timestamp 2025-01-02T15:20:00+05:30.
