entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,ce_entered,ce_contract_file,ce_entry_timestamp,ce_entry_open,ce_ma_at_entry,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_brokerage,ce_net_pnl,pe_entered,pe_contract_file,pe_entry_timestamp,pe_entry_open,pe_ma_at_entry,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_brokerage,pe_net_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,Wednesday,TRADED,,2025-01-02,current_week,2025-01-01T09:40:00+05:30,23628.65,23650,yes,NIFTY_23650_CE_02_JAN_25.csv,2025-01-01T09:40:00+05:30,111.35,130.71,2025-01-01T10:00:00+05:30,134.81,ma_sl,-24.46,-1834.74,50.00,-1884.74,yes,NIFTY_23650_PE_02_JAN_25.csv,2025-01-01T09:40:00+05:30,122.2,144.81,2025-01-01T09:45:00+05:30,140.86,ma_sl,-19.66,-1474.14,50.00,-1524.14,-3308.88,100.00,-3408.88,
2025-01-02,Thursday,PARTIAL,,2025-01-09,next_week,2025-01-02T09:40:00+05:30,23816.95,23800,no,NIFTY_23800_CE_09_JAN_25.csv,,,220.17,,,not_entered,0.00,0.00,0.00,0.00,yes,NIFTY_23800_PE_09_JAN_25.csv,2025-01-02T09:40:00+05:30,203.55,240.08,2025-01-02T15:20:00+05:30,62.20,day_close,140.35,10526.25,50.00,10476.25,10526.25,50.00,10476.25,
2025-01-03,Friday,PARTIAL,,2025-01-09,current_week,2025-01-03T09:40:00+05:30,24100.35,24100,no,NIFTY_24100_CE_09_JAN_25.csv,,,182.75,,,not_entered,0.00,0.00,0.00,0.00,yes,NIFTY_24100_PE_09_JAN_25.csv,2025-01-03T09:40:00+05:30,191.1,242.57,2025-01-03T10:30:00+05:30,215.33,ma_sl,-25.23,-1892.61,50.00,-1942.61,-1892.61,50.00,-1942.61,
2025-01-06,Monday,PARTIAL,,2025-01-09,current_week,2025-01-06T09:40:00+05:30,24019.6,24000,yes,NIFTY_24000_CE_09_JAN_25.csv,2025-01-06T09:40:00+05:30,132.15,187.96,2025-01-06T10:15:00+05:30,178.78,ma_sl,-47.63,-3572.04,50.00,-3622.04,no,NIFTY_24000_PE_09_JAN_25.csv,,,136.79,,,not_entered,0.00,0.00,0.00,0.00,-3572.04,50.00,-3622.04,
2025-01-07,Tuesday,TRADED,,2025-01-09,current_week,2025-01-07T09:40:00+05:30,23781.4,23800,yes,NIFTY_23800_CE_09_JAN_25.csv,2025-01-07T09:40:00+05:30,140.69,156.00,2025-01-07T11:30:00+05:30,122.50,ma_sl,17.19,1289.01,50.00,1239.01,yes,NIFTY_23800_PE_09_JAN_25.csv,2025-01-07T09:40:00+05:30,162.55,223.36,2025-01-07T10:00:00+05:30,233.48,ma_sl,-71.93,-5394.84,50.00,-5444.84,-4105.83,100.00,-4205.83,
2025-01-08,Wednesday,TRADED,,2025-01-09,current_week,2025-01-08T09:40:00+05:30,23670.45,23650,yes,NIFTY_23650_CE_09_JAN_25.csv,2025-01-08T09:40:00+05:30,99.0,171.77,2025-01-08T13:45:00+05:30,80.15,ma_sl,17.85,1338.78,50.00,1288.78,yes,NIFTY_23650_PE_09_JAN_25.csv,2025-01-08T09:40:00+05:30,85.0,97.77,2025-01-08T09:45:00+05:30,94.89,ma_sl,-10.89,-817.05,50.00,-867.05,521.73,100.00,421.73,
2025-01-09,Thursday,TRADED,,2025-01-16,next_week,2025-01-09T09:40:00+05:30,23603.9,23600,yes,NIFTY_23600_CE_16_JAN_25.csv,2025-01-09T09:40:00+05:30,194.7,224.36,2025-01-09T10:15:00+05:30,218.37,ma_sl,-24.67,-1849.92,50.00,-1899.92,yes,NIFTY_23600_PE_16_JAN_25.csv,2025-01-09T09:40:00+05:30,164.9,183.07,2025-01-09T10:45:00+05:30,177.21,ma_sl,-13.31,-998.46,50.00,-1048.46,-2848.38,100.00,-2948.38,
2025-01-10,Friday,PARTIAL,,2025-01-16,current_week,2025-01-10T09:40:00+05:30,23439.35,23450,yes,NIFTY_23450_CE_16_JAN_25.csv,2025-01-10T09:40:00+05:30,200.25,268.45,2025-01-10T11:00:00+05:30,243.61,ma_sl,-44.36,-3326.64,50.00,-3376.64,no,NIFTY_23450_PE_16_JAN_25.csv,,,119.48,,,not_entered,0.00,0.00,0.00,0.00,-3326.64,50.00,-3376.64,
2025-01-13,Monday,PARTIAL,,2025-01-16,current_week,2025-01-13T09:40:00+05:30,23218.9,23200,yes,NIFTY_23200_CE_16_JAN_25.csv,2025-01-13T09:40:00+05:30,181.5,364.40,2025-01-13T15:20:00+05:30,104.55,day_close,75.95,5696.25,50.00,5646.25,no,NIFTY_23200_PE_16_JAN_25.csv,,,76.51,,,not_entered,0.00,0.00,0.00,0.00,5696.25,50.00,5646.25,
2025-01-14,Tuesday,TRADED,,2025-01-16,current_week,2025-01-14T09:40:00+05:30,23172.7,23150,yes,NIFTY_23150_CE_16_JAN_25.csv,2025-01-14T09:40:00+05:30,138.69,182.12,2025-01-14T10:45:00+05:30,156.26,ma_sl,-18.57,-1392.39,50.00,-1442.39,yes,NIFTY_23150_PE_16_JAN_25.csv,2025-01-14T09:40:00+05:30,99.55,118.08,2025-01-14T15:20:00+05:30,53.85,day_close,44.70,3352.50,50.00,3302.50,1960.11,100.00,1860.11,
2025-01-15,Wednesday,TRADED,,2025-01-16,current_week,2025-01-15T09:40:00+05:30,23174.85,23150,yes,NIFTY_23150_CE_16_JAN_25.csv,2025-01-15T09:40:00+05:30,106.75,135.90,2025-01-15T10:30:00+05:30,134.79,ma_sl,-29.04,-2177.97,50.00,-2227.97,yes,NIFTY_23150_PE_16_JAN_25.csv,2025-01-15T09:40:00+05:30,68.59,69.41,2025-01-15T13:15:00+05:30,44.78,ma_sl,22.81,1711.11,50.00,1661.11,-466.86,100.00,-566.86,
2025-01-16,Thursday,PARTIAL,,2025-01-23,next_week,2025-01-16T09:40:00+05:30,23335.0,23350,no,NIFTY_23350_CE_23_JAN_25.csv,,,130.04,,,not_entered,0.00,0.00,0.00,0.00,yes,NIFTY_23350_PE_23_JAN_25.csv,2025-01-16T09:40:00+05:30,163.75,245.20,2025-01-16T14:15:00+05:30,187.73,ma_sl,-24.98,-1873.50,50.00,-1923.50,-1873.50,50.00,-1923.50,
2025-01-17,Friday,PARTIAL,,2025-01-23,current_week,2025-01-17T09:40:00+05:30,23198.65,23200,yes,NIFTY_23200_CE_23_JAN_25.csv,2025-01-17T09:40:00+05:30,187.6,257.84,2025-01-17T12:15:00+05:30,227.22,ma_sl,-40.62,-3046.32,50.00,-3096.32,no,NIFTY_23200_PE_23_JAN_25.csv,,,119.63,,,not_entered,0.00,0.00,0.00,0.00,-3046.32,50.00,-3096.32,
2025-01-20,Monday,PARTIAL,,2025-01-23,current_week,2025-01-20T09:40:00+05:30,23178.55,23200,yes,NIFTY_23200_CE_23_JAN_25.csv,2025-01-20T09:40:00+05:30,177.45,192.85,2025-01-20T09:45:00+05:30,192.81,ma_sl,-16.36,-1226.70,50.00,-1276.70,no,NIFTY_23200_PE_23_JAN_25.csv,,,168.28,,,not_entered,0.00,0.00,0.00,0.00,-1226.70,50.00,-1276.70,
2025-01-21,Tuesday,TRADED,,2025-01-23,current_week,2025-01-21T09:40:00+05:30,23343.35,23350,yes,NIFTY_23350_CE_23_JAN_25.csv,2025-01-21T09:40:00+05:30,143.0,143.09,2025-01-21T09:45:00+05:30,144.74,ma_sl,-2.74,-205.20,50.00,-255.20,yes,NIFTY_23350_PE_23_JAN_25.csv,2025-01-21T09:40:00+05:30,145.19,151.14,2025-01-21T09:45:00+05:30,145.69,ma_gap_sl,-1.50,-112.50,50.00,-162.50,-317.70,100.00,-417.70,
2025-01-22,Wednesday,TRADED,,2025-01-23,current_week,2025-01-22T09:40:00+05:30,23115.3,23100,yes,NIFTY_23100_CE_23_JAN_25.csv,2025-01-22T09:40:00+05:30,122.95,210.17,2025-01-22T14:15:00+05:30,82.30,ma_sl,39.65,2973.75,50.00,2923.75,yes,NIFTY_23100_PE_23_JAN_25.csv,2025-01-22T09:40:00+05:30,85.85,108.02,2025-01-22T09:45:00+05:30,110.79,ma_sl,-25.94,-1945.44,50.00,-1995.44,1028.31,100.00,928.31,
2025-01-23,Thursday,PARTIAL,,2025-01-30,next_week,2025-01-23T09:40:00+05:30,23171.45,23150,no,NIFTY_23150_CE_30_JAN_25.csv,,,196.47,,,not_entered,0.00,0.00,0.00,0.00,yes,NIFTY_23150_PE_30_JAN_25.csv,2025-01-23T09:40:00+05:30,164.85,227.74,2025-01-23T15:15:00+05:30,139.94,ma_sl,23.91,1792.89,50.00,1742.89,1792.89,50.00,1742.89,
2025-01-24,Friday,PARTIAL,,2025-01-30,current_week,2025-01-24T09:40:00+05:30,23195.3,23200,yes,NIFTY_23200_CE_30_JAN_25.csv,2025-01-24T09:40:00+05:30,200.55,232.29,2025-01-24T11:00:00+05:30,223.97,ma_sl,-24.42,-1831.35,50.00,-1881.35,no,NIFTY_23200_PE_30_JAN_25.csv,,,157.21,,,not_entered,0.00,0.00,0.00,0.00,-1831.35,50.00,-1881.35,
2025-01-27,Monday,PARTIAL,,2025-01-30,current_week,2025-01-27T09:40:00+05:30,23002.0,23000,yes,NIFTY_23000_CE_30_JAN_25.csv,2025-01-27T09:40:00+05:30,184.95,308.48,2025-01-27T15:20:00+05:30,89.45,day_close,94.50,7087.50,50.00,7037.50,no,NIFTY_23000_PE_30_JAN_25.csv,,,97.80,,,not_entered,0.00,0.00,0.00,0.00,7087.50,50.00,7037.50,
2025-01-28,Tuesday,PARTIAL,,2025-01-30,current_week,2025-01-28T09:40:00+05:30,22887.65,22900,no,NIFTY_22900_CE_30_JAN_25.csv,,,155.94,,,not_entered,0.00,0.00,0.00,0.00,yes,NIFTY_22900_PE_30_JAN_25.csv,2025-01-28T09:40:00+05:30,166.2,174.22,2025-01-28T09:45:00+05:30,176.37,ma_sl,-11.17,-837.87,50.00,-887.87,-837.87,50.00,-887.87,
