entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,premium_band,sl_trigger,ce_strike,ce_contract_file,ce_entry_timestamp,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_brokerage,ce_net_pnl,pe_strike,pe_contract_file,pe_entry_timestamp,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_brokerage,pe_net_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,Wednesday,TRADED,,2025-01-02,current_week,2025-01-01T09:20:00+05:30,23673.1,23650,CE:20.00-30.00(fb) PE:20.00-25.00,CE,23950,NIFTY_23950_CE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,27.3,54.60,2025-01-01T10:50:00+05:30,54.90,gap_sl,-28.60,-2145.00,50.00,-2195.00,23300,NIFTY_23300_PE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,21.7,43.40,2025-01-01T10:50:00+05:30,15.95,partner_gap_sl,4.75,356.25,50.00,306.25,-1788.75,100.00,-1888.75,
2025-01-02,Thursday,TRADED,,2025-01-09,next_week,2025-01-02T09:20:00+05:30,23788.2,23800,CE:15.00-20.00 PE:15.00-20.00,CE,24550,NIFTY_24550_CE_09_JAN_25.csv,2025-01-02T09:20:00+05:30,17.95,35.90,2025-01-02T12:25:00+05:30,35.90,sl,-18.95,-1421.25,50.00,-1471.25,22900,NIFTY_22900_PE_09_JAN_25.csv,2025-01-02T09:20:00+05:30,19.3,38.60,2025-01-02T12:25:00+05:30,13.85,partner_sl,4.45,333.75,50.00,283.75,-1087.50,100.00,-1187.50,
2025-01-03,Friday,TRADED,,2025-01-09,current_week,2025-01-03T09:20:00+05:30,24176.05,24200,CE:10.00-15.00 PE:10.00-15.00,none,24800,NIFTY_24800_CE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,13.3,26.60,2025-01-03T15:20:00+05:30,4.15,day_close,8.15,611.25,50.00,561.25,23300,NIFTY_23300_PE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,13.65,27.30,2025-01-03T15:20:00+05:30,8.60,day_close,4.05,303.75,50.00,253.75,915.00,100.00,815.00,
2025-01-06,Monday,TRADED,,2025-01-09,current_week,2025-01-06T09:20:00+05:30,24031.8,24050,CE:5.00-10.00 PE:5.00-10.00,PE,24650,NIFTY_24650_CE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,8.5,17.00,2025-01-06T09:37:00+05:30,7.60,partner_sl,-0.10,-7.50,50.00,-57.50,23350,NIFTY_23350_PE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,9.19,18.38,2025-01-06T09:37:00+05:30,18.38,sl,-10.19,-764.25,50.00,-814.25,-771.75,100.00,-871.75,
2025-01-07,Tuesday,TRADED,,2025-01-09,current_week,2025-01-07T09:20:00+05:30,23754.6,23750,CE:20.00-25.00 PE:20.00-25.00,none,24250,NIFTY_24250_CE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,23.6,47.20,2025-01-07T15:20:00+05:30,6.20,day_close,16.40,1230.00,50.00,1180.00,23150,NIFTY_23150_PE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,24.4,48.80,2025-01-07T15:20:00+05:30,7.30,day_close,16.10,1207.50,50.00,1157.50,2437.50,100.00,2337.50,
2025-01-08,Wednesday,TRADED,,2025-01-09,current_week,2025-01-08T09:20:00+05:30,23679.5,23700,CE:20.00-25.00 PE:20.00-25.00,none,23950,NIFTY_23950_CE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,20.35,40.70,2025-01-08T15:20:00+05:30,14.25,day_close,5.10,382.50,50.00,332.50,23400,NIFTY_23400_PE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,24.35,48.70,2025-01-08T15:20:00+05:30,9.15,day_close,14.20,1065.00,50.00,1015.00,1447.50,100.00,1347.50,
2025-01-09,Thursday,TRADED,,2025-01-16,next_week,2025-01-09T09:20:00+05:30,23616.55,23600,CE:15.00-20.00 PE:15.00-20.00,none,24300,NIFTY_24300_CE_16_JAN_25.csv,2025-01-09T09:20:00+05:30,16.64,33.28,2025-01-09T15:20:00+05:30,9.50,day_close,6.14,460.50,50.00,410.50,22950,NIFTY_22950_PE_16_JAN_25.csv,2025-01-09T09:20:00+05:30,20.0,40.00,2025-01-09T15:20:00+05:30,24.05,day_close,-5.05,-378.75,50.00,-428.75,81.75,100.00,-18.25,
2025-01-10,Friday,TRADED,,2025-01-16,current_week,2025-01-10T09:20:00+05:30,23561.2,23550,CE:10.00-15.00 PE:10.00-15.00,PE,24200,NIFTY_24200_CE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,12.65,25.30,2025-01-10T09:35:00+05:30,10.70,partner_sl,0.95,71.25,50.00,21.25,22800,NIFTY_22800_PE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,14.45,28.90,2025-01-10T09:35:00+05:30,28.90,sl,-15.45,-1158.75,50.00,-1208.75,-1087.50,100.00,-1187.50,
2025-01-13,Monday,TRADED,,2025-01-16,current_week,2025-01-13T09:20:00+05:30,23242.85,23250,CE:5.00-10.00 PE:5.00-10.00,none,24050,NIFTY_24050_CE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,8.55,17.10,2025-01-13T15:20:00+05:30,4.84,day_close,2.71,203.25,50.00,153.25,22250,NIFTY_22250_PE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,9.5,19.00,2025-01-13T15:20:00+05:30,9.80,day_close,-1.30,-97.50,50.00,-147.50,105.75,100.00,5.75,
2025-01-14,Tuesday,TRADED,,2025-01-16,current_week,2025-01-14T09:20:00+05:30,23211.35,23200,CE:20.00-25.00 PE:20.00-25.00,none,23550,NIFTY_23550_CE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,23.0,46.00,2025-01-14T15:20:00+05:30,11.40,day_close,10.60,795.00,50.00,745.00,22850,NIFTY_22850_PE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,23.4,46.80,2025-01-14T15:20:00+05:30,13.00,day_close,9.40,705.00,50.00,655.00,1500.00,100.00,1400.00,
2025-01-15,Wednesday,TRADED,,2025-01-16,current_week,2025-01-15T09:20:00+05:30,23225.15,23250,CE:20.00-30.00(fb) PE:20.00-30.00(fb),none,23400,NIFTY_23400_CE_16_JAN_25.csv,2025-01-15T09:20:00+05:30,25.05,50.10,2025-01-15T15:20:00+05:30,10.10,day_close,13.95,1046.25,50.00,996.25,23050,NIFTY_23050_PE_16_JAN_25.csv,2025-01-15T09:20:00+05:30,25.85,51.70,2025-01-15T15:20:00+05:30,17.35,day_close,7.50,562.50,50.00,512.50,1608.75,100.00,1508.75,
2025-01-16,Thursday,TRADED,,2025-01-23,next_week,2025-01-16T09:20:00+05:30,23335.5,23350,CE:15.00-20.00 PE:15.00-20.00,none,23900,NIFTY_23900_CE_23_JAN_25.csv,2025-01-16T09:20:00+05:30,18.7,37.40,2025-01-16T15:20:00+05:30,21.15,day_close,-3.45,-258.75,50.00,-308.75,22650,NIFTY_22650_PE_23_JAN_25.csv,2025-01-16T09:20:00+05:30,18.3,36.60,2025-01-16T15:20:00+05:30,25.90,day_close,-8.60,-645.00,50.00,-695.00,-903.75,100.00,-1003.75,
