period,days,skipped_days,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,2,8,2,7,1,2,5,1,0,0,3,5,0,156.40,10166.00,19.55,2022-05-26,196.60,12779.00,2022-05-16,-73.70,-4790.50,3,4,125.60,8164.00
2022-06,22,0,17,0,14,3,4,13,0,0,0,3,10,0,-38.10,-2476.50,-2.93,2022-06-21,155.80,10127.00,2022-06-01,-79.70,-5180.50,2,4,140.60,9139.00
2022-07,21,0,12,0,8,4,3,8,1,0,0,3,7,0,335.20,21788.00,33.52,2022-07-20,322.00,20930.00,2022-07-21,-23.60,-1534.00,2,4,28.80,1872.00
2022-08,20,0,7,0,6,1,2,5,0,0,0,1,5,0,-66.90,-4348.50,-11.15,2022-08-30,24.40,1586.00,2022-08-04,-75.50,-4907.50,1,5,91.30,5934.50
2022-09,22,1,10,1,9,1,1,8,0,0,1,1,6,0,-189.50,-12317.50,-27.07,2022-09-30,45.60,2964.00,2022-09-01,-81.80,-5317.00,1,6,235.10,15281.50
2022-10,19,1,10,1,7,3,3,6,1,0,0,3,4,0,103.30,6714.50,14.76,2022-10-19,71.80,4667.00,2022-10-03,-16.50,-1072.50,1,2,16.50,1072.50
2022-11,21,0,12,0,8,4,4,8,0,0,0,3,7,0,79.10,5141.50,7.91,2022-11-07,133.00,8645.00,2022-11-14,-19.00,-1235.00,1,2,49.80,3237.00
2022-12,22,0,20,0,12,8,9,9,1,1,0,10,7,0,358.40,23296.00,21.08,2022-12-23,168.10,10926.50,2022-12-20,-78.80,-5122.00,5,3,132.50,8612.50
2023-01,21,0,20,0,12,8,8,11,0,0,1,5,10,0,123.80,8047.00,8.25,2023-01-17,163.60,10634.00,2023-01-30,-91.90,-5973.50,2,3,109.30,7104.50
2023-02,20,0,12,0,8,4,5,7,0,0,0,5,6,0,-23.30,-1514.50,-2.12,2023-02-15,63.20,4108.00,2023-02-20,-46.30,-3009.50,2,2,73.10,4751.50
2023-03,21,2,22,2,16,6,6,13,0,0,3,3,12,0,-76.60,-4979.00,-5.11,2023-03-24,156.30,10159.50,2023-03-16,-82.30,-5349.50,1,5,205.80,13377.00
2023-04,17,1,3,1,3,0,0,2,0,0,1,0,2,0,-47.80,-3107.00,-23.90,2023-04-18,-9.10,-591.50,2023-04-19,-38.70,-2515.50,0,2,47.80,3107.00
2023-05,22,0,20,0,15,5,5,13,1,1,0,6,11,0,8.70,565.50,0.51,2023-05-23,74.20,4823.00,2023-05-08,-63.00,-4095.00,2,6,127.20,8268.00
2023-06,21,0,19,0,13,6,6,10,1,2,0,5,9,0,-90.40,-5876.00,-6.46,2023-06-23,89.60,5824.00,2023-06-27,-88.00,-5720.00,1,3,117.50,7637.50
2023-07,21,0,17,0,10,7,7,9,0,1,0,4,9,0,145.40,9451.00,11.18,2023-07-24,147.20,9568.00,2023-07-26,-67.60,-4394.00,2,5,97.40,6331.00
2023-08,22,1,16,1,12,4,6,10,0,0,0,6,7,0,153.20,9958.00,11.78,2023-08-03,163.80,10647.00,2023-08-09,-57.40,-3731.00,2,4,74.40,4836.00
2023-09,20,0,17,0,9,8,5,9,2,0,1,5,8,0,277.40,18031.00,21.34,2023-09-20,146.10,9496.50,2023-09-27,-42.00,-2730.00,2,4,110.00,7150.00
2023-10,20,0,10,0,8,2,2,8,0,0,0,2,8,0,-233.90,-15203.50,-23.39,2023-10-10,15.80,1027.00,2023-10-13,-147.90,-9613.50,1,3,233.90,15203.50
2023-11,21,0,11,0,10,1,1,9,1,0,0,2,8,0,-33.00,-2145.00,-3.30,2023-11-01,36.80,2392.00,2023-11-23,-27.50,-1787.50,1,7,77.90,5063.50
2023-12,20,0,9,0,9,0,0,8,0,1,0,0,8,0,-200.70,-13045.50,-25.09,2023-12-19,-1.50,-97.50,2023-12-21,-62.70,-4075.50,0,8,200.70,13045.50
2024-01,22,0,19,0,14,5,5,13,1,0,0,5,11,0,-155.70,-10120.50,-9.73,2024-01-20,42.60,2769.00,2024-01-24,-69.70,-4530.50,3,4,155.70,10120.50
2024-02,21,0,17,0,14,3,3,12,0,1,1,3,9,0,-336.15,-21849.75,-28.01,2024-02-02,123.90,8053.50,2024-02-14,-170.50,-11082.50,2,7,548.65,35662.25
