entry_date,status,skip_reason,trades,skipped_rows,long_trades,short_trades,stop_exits,day_close_exits,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees,remarks
2022-05-05,SKIPPED,insufficient_spot_history,0,1,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,No entry signal had 25 completed SMA bars between 09:30 and 15:00.
2022-05-06,TRADED,,2,0,0,2,1,1,0,2,0,-37.65,-2447.25,-18.83,-14.80,-22.85,0,2,37.65,2447.25,
2022-05-09,TRADED,,6,0,3,3,6,0,0,6,0,-324.78,-21110.70,-54.13,-5.45,-172.84,0,6,324.78,21110.70,
2022-05-10,TRADED,,8,0,6,2,8,0,0,8,0,-126.89,-8247.85,-15.86,-5.81,-32.97,0,8,126.89,8247.85,
2022-05-11,TRADED,,3,0,2,1,3,0,1,2,0,50.17,3261.05,16.72,142.76,-54.77,1,2,92.59,6018.35,
2022-05-12,TRADED,,1,0,0,1,0,1,1,0,0,90.50,5882.50,90.50,90.50,90.50,1,0,0.00,0.00,
2022-05-13,TRADED,,2,0,1,1,1,1,1,1,0,47.20,3068.00,23.60,109.30,-62.10,1,1,62.10,4036.50,
2022-05-16,TRADED,,4,0,2,2,4,0,1,3,0,-38.30,-2489.50,-9.57,64.88,-67.69,1,2,67.69,4399.85,
2022-05-17,TRADED,,1,0,1,0,0,1,1,0,0,281.40,18291.00,281.40,281.40,281.40,1,0,0.00,0.00,
2022-05-18,TRADED,,4,0,2,2,3,1,1,3,0,-143.71,-9341.15,-35.93,37.30,-98.50,1,3,181.01,11765.65,
2022-05-19,TRADED,,1,0,0,1,0,1,1,0,0,159.60,10374.00,159.60,159.60,159.60,1,0,0.00,0.00,
2022-05-20,TRADED,,1,0,1,0,0,1,1,0,0,167.30,10874.50,167.30,167.30,167.30,1,0,0.00,0.00,
2022-05-23,TRADED,,2,0,1,1,1,1,2,0,0,103.40,6721.00,51.70,58.40,45.00,2,0,0.00,0.00,
2022-05-24,TRADED,,3,0,1,2,2,1,1,2,0,25.32,1645.80,8.44,76.20,-47.26,1,2,50.88,3307.20,
2022-05-25,TRADED,,3,0,1,2,2,1,1,2,0,7.86,510.90,2.62,69.80,-31.46,1,2,61.94,4026.10,
2022-05-26,TRADED,,3,0,1,2,2,1,2,1,0,114.70,7455.50,38.23,78.00,-4.61,2,1,4.61,299.65,
2022-05-27,TRADED,,1,0,1,0,0,1,1,0,0,30.70,1995.50,30.70,30.70,30.70,1,0,0.00,0.00,
2022-05-30,TRADED,,1,0,1,0,0,1,1,0,0,67.90,4413.50,67.90,67.90,67.90,1,0,0.00,0.00,
2022-05-31,TRADED,,7,0,3,4,7,0,0,7,0,-195.25,-12691.25,-27.89,-2.55,-99.64,0,7,195.25,12691.25,
2022-06-01,TRADED,,3,0,0,3,2,1,1,2,0,-3.78,-245.70,-1.26,83.80,-77.79,1,2,87.58,5692.70,
2022-06-02,TRADED,,4,0,2,2,3,1,1,3,0,41.57,2702.05,10.39,85.00,-21.49,1,3,43.43,2822.95,
2022-06-03,TRADED,,3,0,1,2,2,1,1,2,0,-47.42,-3082.30,-15.81,67.70,-82.40,1,2,115.12,7482.80,
2022-06-06,TRADED,,3,0,1,2,2,1,0,3,0,-128.32,-8340.80,-42.77,-4.46,-106.36,0,3,128.32,8340.80,
2022-06-07,TRADED,,1,0,0,1,1,0,1,0,0,22.74,1478.10,22.74,22.74,22.74,1,0,0.00,0.00,
2022-06-08,TRADED,,3,0,1,2,2,1,1,2,0,-65.63,-4265.95,-21.88,17.10,-77.49,1,2,82.73,5377.45,
2022-06-09,TRADED,,5,0,3,2,4,1,1,4,0,-25.22,-1639.30,-5.04,103.10,-69.54,1,4,128.32,8340.80,
2022-06-10,TRADED,,1,0,0,1,0,1,1,0,0,53.30,3464.50,53.30,53.30,53.30,1,0,0.00,0.00,
2022-06-13,TRADED,,1,0,0,1,0,1,1,0,0,23.90,1553.50,23.90,23.90,23.90,1,0,0.00,0.00,
2022-06-14,TRADED,,6,0,2,4,5,1,1,5,0,-149.78,-9735.70,-24.96,35.00,-94.17,1,5,184.78,12010.70,
2022-06-15,TRADED,,4,0,3,1,4,0,0,4,0,-84.90,-5518.50,-21.22,-2.88,-38.57,0,4,84.90,5518.50,
2022-06-16,TRADED,,3,0,1,2,2,1,1,2,0,219.15,14244.75,73.05,336.80,-88.44,1,2,117.65,7647.25,
2022-06-17,TRADED,,4,0,2,2,4,0,0,4,0,-157.47,-10235.55,-39.37,-5.88,-116.42,0,4,157.47,10235.55,
2022-06-20,TRADED,,7,0,1,6,7,0,1,6,0,-85.80,-5577.00,-12.26,4.42,-20.14,1,3,85.80,5577.00,
2022-06-21,TRADED,,1,0,1,0,0,1,1,0,0,199.30,12954.50,199.30,199.30,199.30,1,0,0.00,0.00,
2022-06-22,TRADED,,1,0,0,1,0,1,1,0,0,63.00,4095.00,63.00,63.00,63.00,1,0,0.00,0.00,
2022-06-23,TRADED,,4,0,3,1,3,1,1,3,0,-51.22,-3329.30,-12.80,44.20,-63.79,1,3,95.42,6202.30,
2022-06-24,TRADED,,1,0,1,0,0,1,1,0,0,8.60,559.00,8.60,8.60,8.60,1,0,0.00,0.00,
2022-06-27,TRADED,,2,0,2,0,2,0,0,2,0,-54.92,-3569.80,-27.46,-2.39,-52.53,0,2,54.92,3569.80,
2022-06-28,TRADED,,5,0,2,3,4,1,1,4,0,-77.46,-5034.90,-15.49,25.80,-85.71,1,4,103.26,6711.90,
2022-06-29,TRADED,,4,0,2,2,4,0,1,3,0,-99.84,-6489.60,-24.96,6.58,-67.28,1,3,106.42,6917.30,
