entry_date,status,skip_reason,next_trading_day,signal_timestamp,signal_close,spot_sma_25,signal_relation,direction,entry_price_points,exit_timestamp,exit_open_points,points_pnl,rupees_pnl,remarks
2022-05-05,TRADED,,2022-05-06,2022-05-05T15:15:00+05:30,16669.2,16817.24,BELOW_SMA,SHORT,16669.2,2022-05-06T09:15:00+05:30,16415.6,253.60,16484.00,
2022-05-06,TRADED,,2022-05-09,2022-05-06T15:15:00+05:30,16438.2,16405.61,ABOVE_SMA,LONG,16438.2,2022-05-09T09:15:00+05:30,16227.7,-210.50,-13682.50,
2022-05-09,TRADED,,2022-05-10,2022-05-09T15:15:00+05:30,16308.4,16285.35,ABOVE_SMA,LONG,16308.4,2022-05-10T09:15:00+05:30,16248.9,-59.50,-3867.50,
2022-05-10,TRADED,,2022-05-11,2022-05-10T15:15:00+05:30,16207.8,16322.52,BELOW_SMA,SHORT,16207.8,2022-05-11T09:15:00+05:30,16270.0,-62.20,-4043.00,
2022-05-11,TRADED,,2022-05-12,2022-05-11T15:15:00+05:30,16202.2,16136.88,ABOVE_SMA,LONG,16202.2,2022-05-12T09:15:00+05:30,16021.1,-181.10,-11771.50,
2022-05-12,TRADED,,2022-05-13,2022-05-12T15:15:00+05:30,15826.5,15849.52,BELOW_SMA,SHORT,15826.5,2022-05-13T09:15:00+05:30,15977.0,-150.50,-9782.50,
2022-05-13,TRADED,,2022-05-16,2022-05-13T15:15:00+05:30,15767.2,15960.80,BELOW_SMA,SHORT,15767.2,2022-05-16T09:15:00+05:30,15845.1,-77.90,-5063.50,
2022-05-16,TRADED,,2022-05-17,2022-05-16T15:15:00+05:30,15864.5,15873.55,BELOW_SMA,SHORT,15864.5,2022-05-17T09:15:00+05:30,15912.6,-48.10,-3126.50,
2022-05-17,TRADED,,2022-05-18,2022-05-17T15:15:00+05:30,16282.6,16126.58,ABOVE_SMA,LONG,16282.6,2022-05-18T09:15:00+05:30,16318.2,35.60,2314.00,
2022-05-18,TRADED,,2022-05-19,2022-05-18T15:15:00+05:30,16256.5,16308.97,BELOW_SMA,SHORT,16256.5,2022-05-19T09:15:00+05:30,15917.4,339.10,22041.50,
2022-05-19,TRADED,,2022-05-20,2022-05-19T15:15:00+05:30,15828.5,15871.29,BELOW_SMA,SHORT,15828.5,2022-05-20T09:15:00+05:30,16043.8,-215.30,-13994.50,
2022-05-20,TRADED,,2022-05-23,2022-05-20T15:15:00+05:30,16278.7,16186.66,ABOVE_SMA,LONG,16278.7,2022-05-23T09:15:00+05:30,16291.0,12.30,799.50,
2022-05-23,TRADED,,2022-05-24,2022-05-23T15:15:00+05:30,16191.7,16320.30,BELOW_SMA,SHORT,16191.7,2022-05-24T09:15:00+05:30,16225.5,-33.80,-2197.00,
2022-05-24,TRADED,,2022-05-25,2022-05-24T15:15:00+05:30,16139.5,16167.81,BELOW_SMA,SHORT,16139.5,2022-05-25T09:15:00+05:30,16196.3,-56.80,-3692.00,
2022-05-25,TRADED,,2022-05-26,2022-05-25T15:15:00+05:30,16037.8,16090.07,BELOW_SMA,SHORT,16037.8,2022-05-26T09:15:00+05:30,16105.0,-67.20,-4368.00,
2022-05-26,TRADED,,2022-05-27,2022-05-26T15:15:00+05:30,16201.5,16036.72,ABOVE_SMA,LONG,16201.5,2022-05-27T09:15:00+05:30,16296.6,95.10,6181.50,
2022-05-27,TRADED,,2022-05-30,2022-05-27T15:15:00+05:30,16356.1,16302.69,ABOVE_SMA,LONG,16356.1,2022-05-30T09:15:00+05:30,16527.9,171.80,11167.00,
2022-05-30,TRADED,,2022-05-31,2022-05-30T15:15:00+05:30,16668.2,16650.93,ABOVE_SMA,LONG,16668.2,2022-05-31T09:15:00+05:30,16578.4,-89.80,-5837.00,
2022-05-31,TRADED,,2022-06-01,2022-05-31T15:15:00+05:30,16578.2,16626.93,BELOW_SMA,SHORT,16578.2,2022-06-01T09:15:00+05:30,16594.4,-16.20,-1053.00,
2022-06-01,TRADED,,2022-06-02,2022-06-01T15:15:00+05:30,16540.8,16551.43,BELOW_SMA,SHORT,16540.8,2022-06-02T09:15:00+05:30,16481.7,59.10,3841.50,
2022-06-02,TRADED,,2022-06-03,2022-06-02T15:15:00+05:30,16637.4,16569.72,ABOVE_SMA,LONG,16637.4,2022-06-03T09:15:00+05:30,16761.7,124.30,8079.50,
2022-06-03,TRADED,,2022-06-06,2022-06-03T15:15:00+05:30,16583.6,16708.96,BELOW_SMA,SHORT,16583.6,2022-06-06T09:15:00+05:30,16530.7,52.90,3438.50,
2022-06-06,TRADED,,2022-06-07,2022-06-06T15:15:00+05:30,16563.7,16544.24,ABOVE_SMA,LONG,16563.7,2022-06-07T09:15:00+05:30,16469.6,-94.10,-6116.50,
2022-06-07,TRADED,,2022-06-08,2022-06-07T15:15:00+05:30,16404.4,16399.82,ABOVE_SMA,LONG,16404.4,2022-06-08T09:15:00+05:30,16474.9,70.50,4582.50,
2022-06-08,TRADED,,2022-06-09,2022-06-08T15:15:00+05:30,16335.4,16398.64,BELOW_SMA,SHORT,16335.4,2022-06-09T09:15:00+05:30,16263.8,71.60,4654.00,
2022-06-09,TRADED,,2022-06-10,2022-06-09T15:15:00+05:30,16481.8,16378.10,ABOVE_SMA,LONG,16481.8,2022-06-10T09:15:00+05:30,16284.0,-197.80,-12857.00,
2022-06-10,TRADED,,2022-06-13,2022-06-10T15:15:00+05:30,16191.5,16236.33,BELOW_SMA,SHORT,16191.5,2022-06-13T09:15:00+05:30,15877.5,314.00,20410.00,
